YLR451W	YKL038W	YER028C	YGL181W	YNL103W	YIR017C	YDR253C	YKL015W	YOR344C	YDL020C	YHR006W	YML007W	YGL254W	YGL013C	YOR032C	YPL038W	YBL005W	YOR140W	YER040W	YOR113W	YFL021W	YCR040W	YLR098C	YJL056C	YDL170W	YFL017C	YEL072W	YLL034C	YGL255W	YFL056C	YCR041W	YML048W	YPL251W	YAL022C	YOR328W	YDR210WD	YFR030W	YOL041C	YNR007C	YDL027C	YJR110W	YER002W	YOL013WB	YNL142W	YMR196W	YJR138W	YLR373C	YPR170C	YDR077W	YCR006C
0.9293797	0.6024585	0.3995335	0.1251912	0.5148008	0.2918652	0.7184669	0.3190800	0.6046606	0.3816775	0.1876661	0.6687440	0.5983264	0.1496571	0.7344163	0.7361910	0.6685738	0.6047529	0.9154064	0.7143932	0.1917707	0.4714694	0.7153742	0.7573095	0.4957133	0.0943665	0.1404298	0.5243611	0.4522433	0.4072011	0.5575496	0.5692843	0.2265916	0.1247801	0.6803115	0.6023272	0.6047996	0.7222435	0.4294129	0.4290301	0.8237383	0.5658513	0.0286285	0.3955401	0.7600623	0.3682764	0.0230417	0.3212308	0.2912550	0.0470704
0.7606446	0.5712342	0.4453483	0.1638021	0.4919814	0.2414428	0.7298258	0.3691401	0.8259261	0.6014225	0.3074771	0.3207833	0.6647018	0.1021052	0.9986810	0.6568815	0.8020848	0.6497330	0.9000062	0.9189423	0.2893160	0.3951303	0.8926784	0.8418019	0.5061834	0.3496879	0.0755992	0.6672087	0.3553721	0.3790635	0.6671130	0.4797939	0.1777682	0.1227062	0.4906940	0.6186314	0.4929679	0.7413286	0.5322351	0.4058354	0.6402005	0.4934933	0.0181714	0.3085644	0.8527210	0.6024079	0.0249286	0.2277443	0.2979947	0.0405051
0.7927438	0.5748594	0.5617397	0.1307369	0.5532979	0.2045068	0.6419535	0.3041495	0.6648625	0.4012696	0.4874399	0.4994056	0.4093149	0.1872668	0.6190418	0.7073899	0.7874586	0.3772781	0.7975403	0.8129170	0.2256011	0.3471595	0.6992495	0.7588274	0.4516925	0.4787950	0.0832071	0.5638913	0.3958691	0.3553589	0.6847558	0.7256295	0.3428038	0.2288449	0.5319300	0.7155071	0.4276115	0.8063149	0.6583588	0.4890710	0.7689672	0.4998325	0.0067278	0.3181188	0.8020997	0.5641526	0.0549190	0.3343300	0.2280020	0.0216210
0.6386277	0.6329713	0.4892270	0.1472652	0.6040947	0.1794158	0.7445551	0.2357882	0.9085184	0.4496748	0.4509201	0.5707751	0.7599054	0.0672906	0.7638969	0.6635086	0.8236944	0.6388350	0.7619974	0.6368301	0.1794191	0.2536454	0.7832613	0.7669308	0.5716258	0.2565570	0.0825706	0.5661381	0.3377670	0.5271933	0.7749088	0.6499776	0.2880204	0.0590093	0.2135998	0.7915957	0.4612065	0.6664501	0.6738565	0.4056823	0.6325594	0.4445481	0.0108983	0.3304047	0.9035829	0.4095737	0.0599555	0.0997335	0.1990232	0.0555641
0.6248954	0.5784775	0.3883864	0.1470249	0.6055341	0.2327623	0.9050873	0.2914667	0.7708948	0.4496993	0.5275133	0.5830554	0.6712076	0.1637149	0.3731938	0.6831308	0.6877515	0.6010983	0.6377372	0.6151762	0.2628619	0.1651219	0.8669882	0.6755889	0.5798830	0.5661251	0.0463639	0.5237936	0.4166704	0.3290922	0.7264329	0.7349598	0.2007257	0.1245554	0.6333633	0.6894403	0.4623364	0.8525360	0.5414984	0.3913621	0.7000633	0.4634074	0.0028385	0.3923694	0.5745803	0.6287025	0.0496213	0.3055314	0.2725827	0.0165399
0.8284740	0.6431177	0.3549720	0.0959350	0.5654890	0.2968380	0.8160400	0.1842757	0.7309568	0.3713202	0.3568482	0.6302510	0.7121851	0.1799317	0.6415958	0.3887573	0.6276675	0.4236241	0.7283332	0.8337019	0.2696278	0.3100652	0.8607490	0.8268350	0.5732155	0.2237095	0.1025638	0.6200302	0.4014923	0.4545692	0.6849273	0.7276115	0.2571422	0.1298959	0.6976352	0.6902215	0.5457199	0.7702392	0.5313519	0.3521459	0.7611070	0.4921146	0.0017419	0.5034494	0.7077922	0.3643347	0.0198935	0.4205868	0.2276738	0.0458614
0.6790978	0.5588399	0.3116689	0.1211442	0.5825548	0.1657600	0.6475240	0.2513809	0.6373934	0.4188769	0.3343709	0.7168530	0.5997636	0.1758344	0.8061446	0.7636086	0.2775001	0.4313098	0.7274351	0.7813460	0.1862717	0.4280743	0.8354248	0.6025942	0.5184060	0.1576437	0.0962148	0.4307165	0.4077123	0.3027785	0.7202083	0.6109512	0.2228128	0.0989758	0.7117742	0.7287300	0.4055630	0.6355706	0.3625016	0.3268510	0.7437364	0.4778777	0.0014159	0.4561351	0.6972268	0.3926300	0.0215645	0.3194732	0.3593337	0.0217917
0.7587380	0.5551735	0.4769906	0.1279274	0.7691403	0.1466085	0.6613033	0.2826320	0.7113836	0.3858365	0.4233629	0.5816198	0.6756966	0.1842397	0.6640851	0.8275535	0.6917232	0.2525568	0.7941216	0.6694830	0.3154247	0.4589599	0.6838444	0.6448459	0.4371844	0.2463650	0.0757452	0.5675552	0.4051949	0.4034552	0.6667675	0.6979566	0.2609538	0.1257874	0.5801286	0.7140418	0.5142363	0.6978151	0.4682016	0.3975621	0.7687216	0.5357307	0.0029592	0.5519383	0.7437085	0.6447832	0.0298408	0.3951938	0.2492760	0.0712718
0.6533539	0.4998774	0.4163713	0.1471502	0.4920414	0.2162649	0.6798830	0.3457047	0.8105312	0.3853616	0.3332053	0.6619656	0.7195948	0.1398110	0.8012622	0.5875378	0.6328366	0.6970988	0.3265222	0.7947555	0.2431845	0.4854582	0.6171768	0.7398297	0.1256121	0.3239102	0.0714278	0.6779728	0.5491130	0.3977747	0.8403156	0.5747336	0.4491180	0.1560390	0.5466631	0.1561742	0.5813279	0.7214955	0.6174787	0.5551448	0.7380875	0.3377267	0.0014843	0.4763550	0.7121710	0.6343772	0.0160011	0.3443771	0.4435176	0.0304335
0.6475141	0.5255052	0.3695679	0.1547216	0.5785075	0.1951843	0.6015094	0.3112848	0.6761683	0.4891329	0.5238375	0.5497031	0.7436392	0.1020853	0.6388168	0.7376076	0.8265692	0.5603427	0.5927305	0.3148250	0.2627099	0.3335415	0.8370125	0.8487822	0.3931979	0.3419351	0.0898720	0.7511621	0.3475420	0.3989303	0.7768358	0.6869384	0.1973866	0.1557952	0.6122142	0.5958937	0.4595034	0.8018603	0.6425768	0.4499776	0.7875811	0.5015400	0.0042568	0.4595619	0.6443723	0.3458125	0.0192197	0.4154077	0.2642097	0.0207115
