YLR451W	YKL038W	YER028C	YGL181W	YNL103W	YIR017C	YDR253C	YKL015W	YOR344C	YDL020C	YHR006W	YML007W	YGL254W	YGL013C	YOR032C	YPL038W	YBL005W	YOR140W	YER040W	YOR113W	YFL021W	YCR040W	YLR098C	YJL056C	YDL170W	YFL017C	YEL072W	YLL034C	YGL255W	YFL056C	YCR041W	YML048W	YPL251W	YAL022C	YOR328W	YDR210WD	YFR030W	YOL041C	YNR007C	YDL027C	YJR110W	YER002W	YOL013WB	YNL142W	YMR196W	YJR138W	YLR373C	YPR170C	YDR077W	YCR006C
0.9263931	0.5929054	0.3152213	0.1045297	0.6669158	0.2180235	0.6437587	0.3183314	0.5728280	0.3574565	0.0000000	0.7241292	0.7197714	0.2285397	0.9063306	0.7936756	0.6534838	0.5850820	0.6589649	0.7980617	0.1480160	0.5052924	0.6823175	0.7268135	0.3860361	0.0531752	0.0891294	0.5480888	0.4494915	0.4010537	0.5228158	0.6798334	0.2328167	0.1474715	0.5948384	0.6462889	0.5829241	0.7444131	0.4577376	0.4378888	0.6845923	0.4521951	0.0014908	0.4063819	0.6534391	0.5247546	0.0298384	0.3503076	0.2100869	0.0294897
0.7940136	0.5148634	0.3143313	0.2114021	0.5115093	0.1580652	0.8872741	0.4019851	0.6756842	0.6588863	0.3734392	0.0000000	0.6616063	0.0847741	0.8364433	0.7853486	0.9126755	0.5937406	0.7678667	0.6280041	0.2341124	0.3175138	0.7252831	0.6867579	0.5483909	0.2068819	0.1134117	0.5773624	0.3510655	0.2600482	0.7843604	0.3216779	0.2772541	0.0313039	0.1828556	0.6518697	0.3764033	0.7117211	0.5374345	0.3455977	0.0689383	0.4800213	0.0044987	0.4619200	0.7405682	0.4840777	0.0359490	0.1086639	0.2563710	0.0158642
0.7152343	0.5281338	0.2984335	0.1441364	0.6090670	0.1766426	0.7237998	0.2700852	0.7626657	0.4347587	0.3232921	0.5567136	0.0000000	0.1817098	0.7127978	0.6656413	0.7602535	0.0452611	0.6972822	0.6244286	0.1790187	0.3873609	0.7680488	0.8116044	0.5416145	0.3791578	0.0751771	0.5817574	0.3446577	0.4066883	0.6757293	0.5883286	0.2829385	0.4990785	0.5618810	0.8309462	0.5132808	0.6713249	0.5735057	0.3744010	0.8553983	0.4833202	0.0017244	0.4180468	0.8486427	0.4965428	0.0498309	0.4391570	0.2200975	0.0283319
0.6394789	0.5091707	0.4917270	0.1826805	0.5502968	0.2000297	0.6722225	0.3024792	0.7172743	0.3901203	0.4473315	0.5802582	0.6549658	0.0000000	0.7494989	0.6997124	0.7185461	0.7431368	0.7831492	0.8286817	0.2683155	0.3434200	0.8016479	0.7116476	0.4462062	0.2698164	0.1056973	0.6948349	0.3672246	0.3725778	0.6954252	0.5893974	0.1932838	0.0781466	0.1078692	0.6624861	0.4986150	0.7697870	0.6490450	0.4813270	0.7105785	0.3704312	0.0193147	0.3603345	0.7487695	0.5973430	0.0858135	0.0062935	0.2787623	0.0146154
0.7431972	0.6339345	0.3729229	0.1301041	0.4528634	0.2574912	0.7260352	0.1413990	0.7702245	0.3631228	0.5952376	0.5717445	0.6314551	0.1434849	0.0000000	0.8005052	0.7162989	0.5484329	0.8362641	0.6781096	0.2724768	0.2045297	0.7706151	0.6509674	0.4605240	0.7195380	0.0914451	0.5245207	0.3776247	0.3827704	0.7434986	0.7163130	0.3146700	0.0915368	0.6441710	0.5876470	0.4120230	0.7836282	0.6612293	0.3230952	0.5881605	0.4057831	0.0081755	0.5168083	0.6259844	0.4439320	0.0408033	0.3601691	0.2306345	0.0311381
0.7428786	0.6175820	0.3360288	0.0920030	0.5292939	0.4084721	0.6526425	0.2195057	0.6036458	0.4697258	0.3503295	0.6800442	0.5099219	0.6563650	0.6867395	0.0000000	0.1130036	0.4895765	0.6700462	0.7960806	0.1922417	0.4104136	0.7524965	0.7156694	0.5290752	0.2767444	0.1640453	0.6564520	0.1531724	0.4182464	0.6345863	0.6950953	0.0478390	0.5677003	0.7824311	0.7230281	0.4377201	0.7712812	0.2670172	0.4046849	0.8166588	0.4709468	0.0125076	0.3742007	0.6979112	0.0534782	0.0355485	0.7081989	0.2451707	0.0313281
0.7384747	0.4277551	0.4718456	0.1552529	0.6250338	0.2131964	0.7310362	0.2550824	0.7711070	0.4290183	0.4249736	0.5526429	0.7984642	0.1853322	0.7235966	0.8128683	0.0000000	0.5045058	0.7433271	0.7994943	0.1880116	0.3317693	0.8398135	0.7612084	0.4780954	0.3942962	0.0933953	0.7200269	0.4015295	0.3741915	0.7564253	0.6267751	0.1991200	0.1756727	0.6832430	0.6679459	0.4287558	0.8062392	0.0087617	0.3778784	0.7277681	0.5126602	0.0103313	0.2430694	0.8380826	0.5206618	0.0794283	0.3009794	0.2115805	0.0254619
0.7562661	0.6087818	0.5009933	0.1334213	0.6519536	0.2138857	0.8087425	0.2866122	0.7530689	0.3681135	0.4140926	0.6195637	0.6273331	0.1814026	0.7936956	0.6882639	0.6262560	0.0000000	0.8570333	0.6704402	0.2112839	0.2824455	0.7121575	0.7277186	0.5764397	0.2562845	0.0515827	0.5754009	0.4390408	0.3055743	0.7317646	0.5728109	0.2572447	0.1469095	0.7153572	0.7734790	0.5124201	0.7531530	0.4028041	0.3528357	0.6151254	0.4949925	0.0012709	0.3204118	0.5729557	0.4723845	0.0349879	0.4931301	0.2570776	0.0318146
0.7550946	0.6151615	0.3733504	0.0794300	0.6251879	0.2388728	0.6820169	0.2932649	0.7127034	0.4473563	0.4187044	0.6496638	0.6382419	0.1414884	0.7145707	0.8212949	0.5726239	0.5422163	0.0000000	0.6209765	0.7058736	0.5993587	0.7350521	0.6156713	0.0211241	0.1651230	0.0354061	0.5592702	0.6190608	0.3334282	0.6954431	0.6705220	0.7446314	0.1121060	0.6345132	0.0661269	0.4579320	0.6860270	0.4596271	0.3821898	0.0709507	0.4179091	0.0023218	0.0350056	0.8338354	0.6797403	0.0404988	0.3368847	0.4923853	0.0332341
0.8573346	0.5228852	0.3141413	0.1623121	0.6146428	0.2249289	0.7534529	0.3002117	0.7125617	0.4596963	0.4961991	0.5828800	0.6101205	0.1106574	0.6372931	0.7993647	0.7012892	0.5486528	0.8248046	0.0000000	0.1864541	0.4341500	0.8804478	0.7064228	0.3914190	0.3218213	0.0637029	0.7112755	0.5213890	0.3247434	0.7508065	0.4971673	0.1943253	0.1214115	0.6001470	0.6232220	0.4906068	0.6209522	0.5269715	0.4312802	0.7102823	0.5099594	0.0110339	0.4368511	0.7223657	0.4890843	0.0441605	0.3318401	0.2920700	0.0357164
