YLR451W	YKL038W	YER028C	YGL181W	YNL103W	YIR017C	YDR253C	YKL015W	YOR344C	YDL020C	YHR006W	YML007W	YGL254W	YGL013C	YOR032C	YPL038W	YBL005W	YOR140W	YER040W	YOR113W	YFL021W	YCR040W	YLR098C	YJL056C	YDL170W	YFL017C	YEL072W	YLL034C	YGL255W	YFL056C	YCR041W	YML048W	YPL251W	YAL022C	YOR328W	YDR210WD	YFR030W	YOL041C	YNR007C	YDL027C	YJR110W	YER002W	YOL013WB	YNL142W	YMR196W	YJR138W	YLR373C	YPR170C	YDR077W	YCR006C
0.5550770	0.3502268	0.5051847	0.2422697	0.4188813	0.4687743	0.6212982	0.3466316	0.7467037	0.2968271	0.1438550	0.5068967	0.6520515	0.1718814	0.6581192	0.8135379	0.2433022	0.6215670	0.8173178	0.5358967	0.1907949	0.6911890	0.3377707	0.7537196	0.5629673	0.3901399	0.1862688	0.5164471	0.1901945	0.3878417	0.5159018	0.6828582	0.3225247	0.0725125	0.2858055	0.6748355	0.5846992	0.7562388	0.4086499	0.3025331	0.8165135	0.6028069	0.0226896	0.3721197	0.8768573	0.4972804	0.0165814	0.4612796	0.4388579	0.0521282
0.4865391	0.2308927	0.5842333	0.1305870	0.3015172	0.2087611	0.7687265	0.2872996	0.7820865	0.3853184	0.2565512	0.5839814	0.8203726	0.1752287	0.5586201	0.6436461	0.2689313	0.2882979	0.6873868	0.4702398	0.0489108	0.5551843	0.5785456	0.4168378	0.5752612	0.1724176	0.5238482	0.5236530	0.6684446	0.2528102	0.6695059	0.6310487	0.0519140	0.5343889	0.6111571	0.7048291	0.4367314	0.6537082	0.4112427	0.3548917	0.6489851	0.4008071	0.0341289	0.0236422	0.7106319	0.3363447	0.0221975	0.3451773	0.4686310	0.0047055
0.5921270	0.5388864	0.4475646	0.1604590	0.5620265	0.0554950	0.7076287	0.3347062	0.6774595	0.3146940	0.3326746	0.4451173	0.7531353	0.1402461	0.7235765	0.5896485	0.6573523	0.4466348	0.6398881	0.8328797	0.2392672	0.0804061	0.5959024	0.7413755	0.4245615	0.4964139	0.2632755	0.5952263	0.2529122	0.5871214	0.7197610	0.3731133	0.0646918	0.0507555	0.6078110	0.7692140	0.1781956	0.7811304	0.5638729	0.4885148	0.7323502	0.5637004	0.0018303	0.5169480	0.6452155	0.4380238	0.0123195	0.3450481	0.1311383	0.0011982
0.6869310	0.4645044	0.4308098	0.3543436	0.5730537	0.3141348	0.8218729	0.1974440	0.6622456	0.3509746	0.1608252	0.4452851	0.7583363	0.1481666	0.8211682	0.7306321	0.5611009	0.3771700	0.7470642	0.5478128	0.1907250	0.4287951	0.6427958	0.5669921	0.6444892	0.0001045	0.1047495	0.3945967	0.2452583	0.3694728	0.4604780	0.6941379	0.0872849	0.1575406	0.4235656	0.6755521	0.1394427	0.5530608	0.5418003	0.3816944	0.7160835	0.4180257	0.0022558	0.4241212	0.7148878	0.5358556	0.0278372	0.2404708	0.2710269	0.0214412
0.7644119	0.5768468	0.3483287	0.0002623	0.7002486	0.5447849	0.7506155	0.0941521	0.8925383	0.3079968	0.3174449	0.7119547	0.9048777	0.1341664	0.7721700	0.7928021	0.5228833	0.3153851	0.5542469	0.5973205	0.2612725	0.6061443	0.6931784	0.6923126	0.2591577	0.1430796	0.0180906	0.4407430	0.5112127	0.3111037	0.6311230	0.6961836	0.5566873	0.0875349	0.5704637	0.0564442	0.4026963	0.6252919	0.4750170	0.4536888	0.7497403	0.6958893	0.0034455	0.5665057	0.7342660	0.4907108	0.0376583	0.4098122	0.6523557	0.0000062
0.4283228	0.1276779	0.7511655	0.0787922	0.3347450	0.4042994	0.6845533	0.1371531	0.6304684	0.3539075	0.5801669	0.3961300	0.7084868	0.1605816	0.6428826	0.8699197	0.7033151	0.4091832	0.6415601	0.8474620	0.0833677	0.5521981	0.8034715	0.9014739	0.4482986	0.4990259	0.0185982	0.2217572	0.2409900	0.4948351	0.6645695	0.6228617	0.2087331	0.0132660	0.4306821	0.5112143	0.5995921	0.7452272	0.6171566	0.4875022	0.7045504	0.4174480	0.1987955	0.4368475	0.8462712	0.4283844	0.0528243	0.4492384	0.3887125	0.0019223
0.7427985	0.4942754	0.4524982	0.0516511	0.6730265	0.0677057	0.9010582	0.1523504	0.8193622	0.5001583	0.4734545	0.5410148	0.6122062	0.1200164	0.6878309	0.7507090	0.3843098	0.3384627	0.7580054	0.6547030	0.1758782	0.1849027	0.7139214	0.6244917	0.5088990	0.5314991	0.3199366	0.5166348	0.4502518	0.2643725	0.6213686	0.6258101	0.1075519	0.3020968	0.7160342	0.7138467	0.8276527	0.7213346	0.5094694	0.4643482	0.7479328	0.4827535	0.0034883	0.5192359	0.8201470	0.4484554	0.0276297	0.3815216	0.5289870	0.0246111
0.6888053	0.5669671	0.2369660	0.1254515	0.5174239	0.1679796	0.6352814	0.1062840	0.8085928	0.3502336	0.1863850	0.7181168	0.5205482	0.2738293	0.7374743	0.7307627	0.5739279	0.5706266	0.8240805	0.6980472	0.2845080	0.4341512	0.7404766	0.3970977	0.4820452	0.2961266	0.2702066	0.2883905	0.5972226	0.1443168	0.4599321	0.4972881	0.1763211	0.1011925	0.5526513	0.6651112	0.2358707	0.6849781	0.4893962	0.3833680	0.6990529	0.4627040	0.0140958	0.4126846	0.6946262	0.4478514	0.0273359	0.6895860	0.2132070	0.0365317
0.6822733	0.6902723	0.4156737	0.1380923	0.6026707	0.2948812	0.7984815	0.4459569	0.6991365	0.3583730	0.2836552	0.6970797	0.6480629	0.3331048	0.6907920	0.7576106	0.6030265	0.4771989	0.8008777	0.6146245	0.1907538	0.5799527	0.6996505	0.6740140	0.5372312	0.1882143	0.0610929	0.6825415	0.4543919	0.4152585	0.5943253	0.7502159	0.1432437	0.2529407	0.6842579	0.4583902	0.4789274	0.7782314	0.5615313	0.3483172	0.6966537	0.7059283	0.0056337	0.3227901	0.8562029	0.4875263	0.0455232	0.6056754	0.0648079	0.0463331
0.7169649	0.5683750	0.1905096	0.4389020	0.6086677	0.2816150	0.6391075	0.0317500	0.7144817	0.4046540	0.2520953	0.5412122	0.6598604	0.1007191	0.8009730	0.7581698	0.2252188	0.5271998	0.5466930	0.7992600	0.2772774	0.1403027	0.8347653	0.7388611	0.3693216	0.0237727	0.2984666	0.1198613	0.3732610	0.3037513	0.7158857	0.7077198	0.1571346	0.1205440	0.5617523	0.3181998	0.4863313	0.6159292	0.3528439	0.3621023	0.7826455	0.5016065	0.0061185	0.4981218	0.6740007	0.3802156	0.0193536	0.3921960	0.1073274	0.0032208
