YLR451W	YKL038W	YER028C	YGL181W	YNL103W	YIR017C	YDR253C	YKL015W	YOR344C	YDL020C	YHR006W	YML007W	YGL254W	YGL013C	YOR032C	YPL038W	YBL005W	YOR140W	YER040W	YOR113W	YFL021W	YCR040W	YLR098C	YJL056C	YDL170W	YFL017C	YEL072W	YLL034C	YGL255W	YFL056C	YCR041W	YML048W	YPL251W	YAL022C	YOR328W	YDR210WD	YFR030W	YOL041C	YNR007C	YDL027C	YJR110W	YER002W	YOL013WB	YNL142W	YMR196W	YJR138W	YLR373C	YPR170C	YDR077W	YCR006C
0.4519632	0.2828590	0.6380680	0.1795451	0.4007849	0.2359038	0.6834440	0.3130453	0.8207449	0.3515534	0.1445472	0.4402749	0.6660545	0.1826836	0.8433543	0.7631756	0.2815186	0.4570567	0.8470703	0.5431810	0.1999670	0.6042504	0.3737801	0.8275290	0.5272191	0.4097583	0.1660539	0.5940955	0.1377856	0.4509152	0.4738796	0.7496759	0.3169049	0.1304621	0.3350251	0.6697964	0.4235837	0.7182624	0.4092926	0.4155167	0.7194989	0.6809067	0.0281916	0.3812841	0.8718425	0.4612040	0.0112615	0.3268574	0.4124377	0.0395017
0.5111000	0.2377439	0.5685619	0.1367663	0.4261298	0.1163835	0.7287067	0.2792074	0.5887296	0.4237355	0.1907132	0.5705667	0.7202432	0.1369381	0.5620380	0.7991858	0.2692346	0.2244484	0.6771850	0.4565661	0.0575455	0.6099147	0.5993557	0.5628376	0.4635742	0.2254564	0.6023418	0.6558074	0.5195039	0.1756677	0.6578862	0.6657953	0.0704753	0.5369091	0.5362588	0.7325702	0.5450118	0.8254027	0.4935682	0.2961284	0.5387223	0.3218737	0.0241199	0.0081842	0.7022948	0.4448126	0.0066273	0.3201630	0.5028886	0.0004783
0.7567137	0.6613968	0.6365504	0.1395107	0.5125885	0.0959271	0.5507794	0.2357242	0.5734639	0.3740238	0.4373306	0.4178389	0.6892843	0.1393641	0.6808366	0.5215290	0.6997949	0.4829606	0.7463313	0.7873181	0.2127923	0.0999145	0.6152633	0.7357591	0.5079119	0.5565229	0.2882321	0.7499524	0.2191990	0.6200509	0.7000328	0.3123101	0.1028184	0.0539025	0.5956410	0.6746506	0.1313416	0.6994516	0.5975663	0.3809011	0.7496736	0.6021172	0.0060449	0.4343319	0.7159230	0.4560745	0.0230399	0.3519023	0.1441674	0.0007107
0.6998540	0.5137468	0.3891870	0.3868458	0.5280280	0.2034646	0.8681329	0.1056538	0.7952051	0.4739960	0.1355040	0.4529498	0.7979001	0.1171045	0.8327580	0.7001605	0.4741206	0.4019140	0.7158214	0.5168708	0.2730236	0.2892843	0.7350156	0.6370217	0.5863620	0.0008673	0.0877670	0.4929495	0.1845870	0.3257234	0.4109207	0.6815884	0.0396385	0.1041008	0.4625727	0.6635884	0.1479714	0.4150295	0.4583864	0.2682380	0.7072572	0.4399113	0.0094372	0.4326739	0.8077095	0.6225531	0.0388574	0.2683869	0.3169148	0.0423293
0.7217317	0.5084720	0.3601136	0.0006852	0.6263471	0.5228400	0.7438143	0.1480387	0.6726099	0.1989970	0.3286521	0.6695808	0.8106790	0.1141285	0.7795724	0.8183624	0.6725036	0.3683958	0.2836882	0.5134587	0.2925955	0.6112077	0.8135362	0.7707399	0.2472784	0.1210979	0.0285379	0.4562042	0.5463254	0.3379287	0.7347954	0.7939155	0.5933551	0.0541509	0.5780128	0.0821523	0.4590629	0.6352542	0.6906866	0.4682983	0.6854675	0.6296488	0.0053398	0.5822815	0.6359952	0.5064205	0.0212762	0.3933919	0.6582966	0.0000062
0.3411455	0.2214882	0.7433522	0.1519154	0.3952942	0.3307595	0.5899535	0.0934130	0.6799715	0.2612752	0.5204198	0.3468306	0.8243107	0.1744023	0.7655062	0.7345610	0.6604184	0.5918471	0.7622833	0.6312113	0.0838130	0.5884238	0.7208716	0.6213315	0.4275450	0.5875555	0.0142429	0.2449219	0.2611754	0.4550395	0.5707466	0.6852435	0.2054361	0.0114173	0.4677932	0.6756760	0.6637977	0.6374432	0.5617870	0.3832653	0.5309285	0.3447148	0.1862271	0.4697812	0.5916473	0.4949670	0.0279188	0.3746534	0.3069125	0.0007091
0.7051898	0.5677101	0.3999279	0.0742898	0.6911139	0.0631463	0.8448024	0.2405329	0.7152578	0.4544433	0.4724480	0.5991959	0.7186434	0.1131834	0.6069986	0.7443758	0.3421011	0.4544878	0.7529834	0.7157569	0.2141409	0.2472164	0.6739468	0.7121475	0.5697939	0.5229380	0.2376651	0.5727260	0.5723657	0.2132161	0.6741464	0.5357230	0.0547365	0.3803296	0.6175040	0.6916902	0.6692980	0.6704786	0.7311756	0.3915147	0.6923911	0.5133783	0.0024852	0.4260616	0.7526641	0.4805869	0.0272039	0.3009744	0.4985216	0.0225515
0.8057870	0.4786687	0.3303959	0.0942825	0.4899175	0.1668427	0.6376391	0.1456234	0.7224843	0.3756898	0.1884601	0.6587164	0.5474759	0.2112903	0.7472750	0.7565415	0.5730974	0.4483329	0.6824465	0.8204502	0.2134224	0.5431204	0.6639636	0.5575392	0.5844462	0.3466675	0.2296527	0.3357872	0.5615869	0.0958104	0.4904064	0.5974532	0.1789300	0.0984632	0.5455830	0.6203124	0.1904641	0.8404640	0.6029778	0.3457716	0.6854559	0.4845551	0.0087375	0.4927385	0.6909742	0.4573274	0.0098712	0.6280782	0.1494215	0.0131076
0.7149974	0.6123886	0.2783298	0.1137263	0.4483471	0.2352237	0.7795280	0.3241648	0.7489745	0.3828092	0.2751068	0.7310528	0.6378850	0.1987663	0.7019734	0.7140452	0.4956358	0.4048881	0.7289690	0.7838262	0.1548243	0.5898016	0.7743956	0.7662730	0.5107987	0.2391289	0.0310911	0.8505155	0.4563057	0.3947185	0.5761500	0.6418615	0.1352344	0.2281697	0.7182561	0.5182025	0.5216366	0.6237027	0.5926335	0.4447867	0.6526424	0.7108178	0.0109687	0.2838894	0.8326535	0.5075050	0.0353110	0.5704537	0.0380581	0.0391234
0.7362613	0.5084341	0.1882674	0.5276206	0.6521215	0.2418857	0.6916446	0.0376639	0.6884573	0.3138273	0.2387671	0.6358457	0.6835992	0.1666675	0.7437697	0.6986052	0.4061094	0.5064186	0.5783819	0.8266694	0.1844512	0.1663379	0.5774983	0.6747674	0.3086157	0.0108018	0.3757711	0.1435212	0.3903731	0.3330316	0.6933348	0.6341144	0.0928667	0.0893437	0.5947493	0.3997186	0.4869714	0.4796652	0.3865953	0.3664621	0.7725231	0.4786733	0.0128104	0.4708735	0.6464789	0.3326734	0.0125841	0.3279109	0.1567629	0.0001403
