YGR288W	YCR065W	YDR026C	YDR049W	YER040W	YLR228C	YJL110C	YGL254W	YGL209W	YCL066W	YJL056C	YOR140W	YDL170W	YPL248C	YCR096C	YLR098C	YCR040W	YDR310C	YHR006W	YKL020C	YFL021W	YML099C	YPR199C	YML113W	YDR421W	YDR101C	YML065W	YOR315W	YPL253C	YNL142W	YHR135C	YDR039C	YIL144W	YBL111C	YMR087W	YMR098C	YNR068C	YJR010CA	YPL216W	YNL108C	YLR048W	YJR011C	YER107C	YJR157W	YGL169W	YMR202W	YHR109W	YNL339C	YJR080C	YLL048C
0.5248078	0.7481603	0.7246505	0.4331892	0.6429010	0.5069434	0.5149255	0.0077646	0.4124984	0.5024309	0.4194792	0.4108626	0.7702727	0.5495003	0.0357744	0.7672180	0.4737604	0.4572707	0.6727468	0.6647405	0.2018001	0.6933216	0.6480905	0.6220892	0.8194221	0.0255205	0.4847064	0.3886152	0.8460146	0.6402648	0.6934520	0.6195665	0.5606894	0.4447284	0.5537108	0.4263174	0.4113330	0.1460900	0.7404950	0.2195671	0.1053903	0.0429803	0.2258296	0.5336466	0.4561858	0.1856032	0.5781867	0.3604565	0.4017571	0.4862800
0.6045748	0.7306712	0.7918707	0.3878913	0.6768516	0.6941033	0.6306597	0.0144894	0.4756566	0.4392098	0.8323687	0.2480541	0.7691894	0.5324912	0.0343270	0.8377062	0.3743521	0.4538754	0.7568848	0.6708890	0.1938198	0.7489821	0.7388744	0.8472960	0.7392499	0.0084165	0.2789229	0.4837405	0.7010078	0.4183320	0.7497929	0.6170515	0.6926471	0.4826814	0.6163145	0.3483142	0.3852949	0.1224656	0.8792363	0.3064591	0.1667520	0.0131088	0.1152450	0.4509481	0.5987116	0.1309738	0.7909339	0.2415874	0.3657203	0.5260883
0.4564808	0.6868772	0.8452513	0.4017120	0.7519147	0.5192948	0.4491640	0.0056806	0.4963523	0.4971742	0.7507747	0.4897423	0.3751835	0.5528662	0.0493459	0.7436582	0.3479759	0.4505968	0.7181856	0.8011399	0.1472043	0.7410842	0.6991639	0.7273709	0.8297612	0.0157921	0.3375183	0.5612370	0.6148380	0.5906872	0.6079331	0.6191181	0.5571527	0.4796642	0.5564733	0.2628545	0.2489837	0.0991451	0.8210817	0.2708398	0.1619706	0.0434809	0.1691148	0.4198004	0.7030017	0.1677509	0.7881591	0.3203521	0.3328135	0.5995165
0.6019473	0.7263807	0.6895791	0.5354217	0.7201216	0.5914416	0.5192612	0.0080521	0.5169551	0.2335843	0.6830677	0.6547278	0.6817978	0.2809359	0.0348904	0.6910582	0.4029053	0.5320219	0.7207656	0.8626741	0.2569064	0.6904226	0.6718997	0.6624138	0.7356587	0.0184013	0.2739037	0.4673839	0.8210049	0.5178191	0.7653449	0.6335356	0.6431302	0.4047987	0.6612796	0.2139360	0.3529839	0.1216048	0.7324814	0.2684950	0.2718878	0.0300529	0.1739551	0.4261898	0.6184587	0.1021350	0.6809285	0.2718452	0.4179776	0.5465579
0.5174266	0.8063439	0.6473093	0.4029384	0.6979773	0.5207119	0.6342754	0.0054294	0.4940315	0.4053336	0.6741221	0.5042482	0.6827201	0.6125086	0.0198786	0.8212825	0.4078399	0.5835263	0.6958746	0.7303189	0.1965260	0.6691902	0.7587317	0.7030165	0.7257975	0.0078018	0.2779198	0.4571164	0.7043008	0.3523977	0.6687589	0.5271389	0.5353810	0.4201250	0.6936831	0.2304650	0.4286058	0.1787486	0.9731724	0.2785321	0.2984647	0.0223756	0.1906374	0.4312454	0.5533078	0.2385246	0.6888683	0.2809576	0.2971399	0.5339171
0.4790747	0.6938088	0.7659372	0.4416602	0.7773772	0.5873925	0.5492094	0.0093493	0.5130305	0.4611487	0.7851009	0.5553814	0.8081504	0.4885348	0.0320273	0.3386428	0.3622438	0.3526984	0.6753325	0.6789668	0.1401896	0.5761715	0.7049579	0.7551786	0.6829025	0.0201090	0.2342410	0.4045640	0.7833595	0.5569451	0.6982641	0.6731495	0.6029565	0.5892449	0.6300183	0.3497366	0.4740072	0.2163107	0.7838098	0.3345840	0.1418434	0.0449480	0.2063977	0.4539101	0.6438028	0.1537618	0.7195702	0.2348023	0.3511620	0.4168854
0.5380590	0.8558427	0.8278306	0.4308099	0.7966653	0.5605166	0.4390238	0.0065857	0.5668152	0.3675527	0.6370218	0.5263480	0.6677911	0.3770406	0.0408879	0.7872287	0.1429526	0.4106654	0.6500466	0.7393312	0.1279890	0.7955423	0.8018378	0.6921089	0.7919913	0.0293074	0.2103748	0.4469540	0.7270786	0.4353994	0.7283156	0.6930295	0.5958896	0.5287024	0.5394461	0.3222159	0.2827235	0.1082623	0.8123606	0.3558084	0.2761424	0.0439138	0.2039741	0.5155113	0.6657997	0.1712148	0.6521818	0.2882489	0.2939115	0.3909388
0.5329851	0.8101106	0.8235981	0.4304738	0.7915043	0.4918469	0.4316344	0.0051247	0.3878072	0.3317580	0.7414448	0.4004443	0.7765404	0.4801760	0.0452061	0.7248787	0.3848614	0.1902478	0.7286694	0.7851359	0.1684415	0.7166688	0.6360678	0.7143804	0.7467097	0.0058000	0.2213056	0.5096859	0.7122448	0.3690642	0.8197832	0.6608576	0.4863423	0.5589938	0.4664155	0.3345279	0.4190515	0.1709760	0.6653149	0.2443829	0.2082392	0.0608083	0.1653630	0.4454611	0.5459516	0.1612545	0.6909366	0.2919034	0.2798792	0.4769502
0.4029975	0.6596099	0.7855306	0.4430995	0.7375865	0.5929636	0.4242176	0.0150226	0.5341857	0.4632457	0.7696065	0.5633079	0.6333881	0.5155660	0.0583790	0.8205239	0.5343483	0.4467676	0.3301500	0.7886165	0.2504469	0.7486970	0.6602980	0.6931689	0.6448121	0.0451128	0.3516800	0.5788414	0.7681794	0.4204677	0.6857309	0.5981989	0.6424201	0.5664279	0.5956399	0.3236600	0.4849362	0.2088068	0.6404325	0.2880723	0.1460454	0.0469005	0.2392771	0.3477733	0.3940060	0.1161540	0.7543191	0.2549709	0.3432041	0.4557019
0.4948888	0.7308977	0.7335310	0.3972144	0.7508718	0.5094360	0.4954719	0.0014419	0.4228031	0.3949043	0.6947802	0.5883360	0.8087728	0.4565104	0.1208059	0.7774890	0.3151053	0.5093932	0.7996375	0.3273790	0.1229717	0.8557342	0.8030410	0.7822831	0.6472810	0.0159256	0.2336576	0.4010175	0.5484793	0.6489109	0.6370068	0.5518781	0.5020052	0.5299702	0.4820671	0.3389680	0.4459691	0.1525818	0.6813435	0.2703269	0.1873641	0.1053425	0.1537487	0.3809400	0.6734641	0.1539971	0.7427441	0.2663294	0.3662086	0.5060468
0.6041707	0.8380197	0.6020485	0.3365659	0.7981875	0.5939706	0.4323901	0.0059656	0.6686364	0.4724004	0.6154428	0.4445052	0.7670409	0.4138798	0.1099010	0.7834286	0.4623157	0.5201391	0.6804203	0.8569956	0.1362512	0.6260443	0.7726117	0.7179979	0.7595982	0.0186201	0.2722106	0.4644457	0.7923129	0.6572177	0.8837468	0.6688486	0.6285004	0.5508177	0.5890476	0.4958911	0.3582775	0.1530347	0.7500602	0.3647822	0.0890322	0.0549202	0.1536305	0.4335184	0.5931710	0.1844512	0.6987750	0.3373994	0.3759624	0.2576274
0.5041151	0.6360590	0.6637161	0.3518098	0.8383354	0.5294262	0.5397431	0.0025490	0.4588700	0.4218711	0.6393662	0.4108886	0.6314775	0.5005981	0.0416782	0.7281560	0.3945714	0.5397442	0.8251636	0.7176077	0.1710881	0.3311261	0.7107377	0.7383218	0.6586932	0.0150328	0.2649622	0.4952369	0.7209176	0.4429608	0.8319933	0.5951308	0.5612768	0.5444588	0.4817588	0.3588890	0.3309214	0.1771449	0.7789614	0.3213061	0.1949755	0.0636165	0.1820653	0.4303610	0.5368779	0.1153229	0.6139557	0.3203715	0.3805956	0.5039744
0.5409495	0.6917551	0.5866129	0.3852786	0.6884877	0.4892345	0.4375526	0.0164747	0.3745941	0.5015932	0.9397644	0.5146434	0.7663859	0.5482074	0.0492314	0.5983912	0.4390242	0.5423396	0.7247699	0.8286175	0.2305665	0.6383882	0.3406849	0.7542191	0.7852339	0.0096009	0.2912872	0.4381506	0.6511422	0.4568888	0.6833402	0.6569906	0.6501715	0.4157203	0.5296026	0.2882886	0.4417239	0.1558977	0.7485595	0.3098567	0.2137256	0.0239103	0.1420915	0.3275248	0.5018845	0.1366760	0.7944040	0.2319659	0.2987818	0.4699433
0.5830935	0.7308465	0.6090731	0.4349973	0.7431557	0.4916964	0.4734651	0.0161089	0.6148151	0.4763489	0.7066177	0.4699460	0.7705833	0.4722058	0.0284322	0.7452967	0.4210450	0.5104421	0.7988353	0.8215724	0.2013859	0.7275619	0.6987507	0.3292567	0.7742835	0.0206845	0.2870314	0.4220920	0.7656416	0.6710042	0.7643368	0.6922349	0.7316210	0.5699168	0.4114121	0.3262593	0.4624604	0.1686758	0.7705605	0.2312157	0.1287550	0.0812739	0.1598803	0.5019341	0.5866419	0.1099060	0.6349688	0.2790314	0.3908008	0.4901025
0.5408013	0.6734062	0.7066186	0.3847809	0.6156751	0.5791071	0.4996337	0.0040076	0.4784568	0.3784005	0.6894338	0.4758872	0.9454518	0.4912815	0.0311153	0.8371369	0.3447833	0.5095766	0.7169981	0.7931709	0.2595086	0.6837031	0.7465674	0.6997919	0.3662536	0.0267981	0.4392003	0.3330367	0.6690240	0.4751998	0.5156726	0.7913360	0.7444947	0.4932248	0.4415867	0.2864937	0.4520196	0.1569041	0.6691985	0.2693654	0.1549336	0.0439581	0.1787981	0.4414547	0.6059124	0.0874416	0.7330838	0.3249132	0.5770972	0.6158776
0.3795865	0.5912758	0.6405806	0.3230746	0.7794003	0.5928693	0.5460660	0.0092935	0.4439499	0.3966824	0.6809742	0.6508838	0.8520075	0.6137729	0.0503021	0.6647477	0.4432932	0.4849249	0.7366363	0.7604675	0.2224924	0.8427910	0.6504464	0.6536604	0.7123154	0.0113783	0.3155818	0.4397660	0.6890371	0.4352809	0.7868177	0.7132422	0.5652848	0.5426006	0.5421153	0.2706999	0.3246390	0.1740728	0.6666229	0.2985254	0.2356666	0.0561082	0.1686571	0.3780547	0.5990115	0.1553381	0.7394765	0.2474531	0.2921829	0.5336624
0.5155427	0.5864368	0.7787516	0.3673795	0.7959120	0.4224250	0.4255277	0.0042458	0.4177903	0.3818864	0.7706136	0.4941862	0.7174203	0.5213049	0.0460807	0.7717864	0.3650189	0.5024675	0.7888244	0.7256844	0.1762199	0.7730704	0.6748274	0.8457199	0.6537348	0.0202994	0.1359412	0.3837625	0.7019815	0.4235589	0.6687660	0.6845611	0.5071616	0.5627553	0.4222675	0.2513750	0.3782320	0.1509346	0.7685152	0.2486408	0.2537330	0.0630906	0.1281461	0.2980780	0.5660105	0.1808416	0.7899164	0.3710009	0.4200488	0.4518239
