YGR288W	YCR065W	YDR026C	YDR049W	YER040W	YLR228C	YJL110C	YGL254W	YGL209W	YCL066W	YJL056C	YOR140W	YDL170W	YPL248C	YCR096C	YLR098C	YCR040W	YDR310C	YHR006W	YKL020C	YFL021W	YML099C	YPR199C	YML113W	YDR421W	YDR101C	YML065W	YOR315W	YPL253C	YNL142W	YHR135C	YDR039C	YIL144W	YBL111C	YMR087W	YMR098C	YNR068C	YJR010CA	YPL216W	YNL108C	YLR048W	YJR011C	YER107C	YJR157W	YGL169W	YMR202W	YHR109W	YNL339C	YJR080C	YLL048C
0.6420199	0.7671468	0.8659380	0.4737535	0.6675044	0.6290998	0.5902948	0.0004549	0.4493404	0.2509431	0.5625729	0.5656002	0.7531587	0.3355635	0.0159373	0.6745134	0.5037297	0.5292523	0.8221622	0.5994255	0.2730531	0.5759628	0.5813561	0.7869322	0.7977506	0.0075211	0.3623025	0.5059323	0.6790911	0.1807227	0.6691776	0.6913276	0.5357004	0.2623105	0.5506924	0.0036758	0.2994681	0.1246535	0.6464417	0.2771378	0.2988830	0.0181782	0.1822391	0.6203934	0.1831114	0.0653867	0.7428762	0.2792693	0.3154019	0.6059872
0.3946973	0.6673783	0.6270879	0.3447815	0.7333482	0.5010754	0.5199173	0.0095295	0.4934298	0.4925572	0.3124050	0.4976493	0.6912079	0.4888503	0.0014292	0.6606757	0.3908684	0.3653859	0.7694243	0.6832260	0.2400791	0.5358741	0.6158737	0.6880479	0.8643239	0.0231630	0.7554867	0.4482542	0.6461423	0.4919708	0.6768726	0.5379347	0.6271059	0.3738084	0.6046774	0.3409869	0.3967829	0.1586633	0.4842520	0.3207741	0.1955597	0.2260425	0.0063815	0.3064563	0.6118749	0.1532949	0.7222523	0.3513168	0.1313901	0.6751488
0.4165033	0.6843897	0.6329795	0.4310532	0.6851036	0.4368822	0.6139810	0.0016619	0.6321334	0.2806618	0.5984181	0.3590609	0.7428369	0.1760433	0.0423077	0.6710958	0.4516288	0.4884605	0.5351594	0.5472156	0.1500676	0.5495442	0.5762488	0.8093544	0.7039216	0.0018673	0.2195214	0.5146183	0.7400227	0.5176671	0.8442467	0.6095681	0.6955555	0.5580576	0.3776598	0.0596074	0.3638122	0.0709440	0.6308950	0.1995614	0.1379848	0.0512109	0.0010058	0.5249671	0.2813457	0.1113980	0.6989099	0.2334716	0.2386780	0.6045614
0.4942365	0.6526687	0.5774047	0.4699658	0.6660352	0.4736116	0.4891370	0.0287473	0.5087720	0.4614895	0.7930120	0.3097639	0.7262994	0.4992103	0.2352747	0.7554630	0.2730961	0.3823013	0.8266228	0.3955161	0.0920885	0.7822733	0.5790729	0.6673877	0.6873864	0.0213678	0.1783427	0.3907210	0.6600242	0.7701396	0.5808839	0.6159702	0.6697202	0.2930555	0.5354625	0.5892254	0.6393436	0.0757793	0.6042326	0.2843913	0.0479100	0.0562097	0.0016046	0.4322518	0.4778257	0.1393543	0.7123746	0.2265077	0.4915917	0.2093615
0.4512795	0.6747907	0.6044177	0.5578259	0.6809918	0.5301356	0.4234822	0.0200415	0.5960126	0.2112943	0.5763968	0.4286709	0.7590829	0.5691037	0.0387801	0.5884323	0.2603727	0.7437123	0.7266862	0.4203220	0.1582621	0.6440543	0.6798982	0.7485288	0.7835424	0.0087302	0.3411378	0.6183805	0.4641284	0.3139014	0.7380365	0.7061848	0.6158971	0.3609199	0.5374615	0.2487657	0.3796170	0.1823624	0.4956827	0.2464566	0.2915165	0.3022136	0.1464369	0.4414025	0.5260243	0.1367481	0.7495512	0.3649479	0.2717949	0.4612951
0.3850009	0.8253759	0.7276581	0.4080910	0.6771136	0.6353853	0.5350951	0.0000710	0.4202870	0.5936753	0.6333889	0.2673485	0.6876448	0.5805994	0.2581525	0.7655550	0.5528859	0.4952128	0.4468727	0.3179244	0.1064652	0.5099165	0.6707240	0.7364336	0.6098961	0.0617746	0.3330442	0.6886610	0.5493260	0.5110057	0.6697257	0.7956973	0.7019907	0.5072081	0.7149189	0.5891530	0.3784402	0.2124529	0.7169261	0.2897032	0.1134998	0.1795470	0.0677093	0.3785401	0.4974796	0.1180957	0.7109283	0.2449108	0.2304499	0.5790738
0.4283434	0.6136080	0.7197539	0.3567852	0.7396953	0.5671795	0.5982151	0.0023913	0.5053991	0.2952917	0.6966613	0.5495650	0.7044039	0.3116748	0.3799262	0.6340885	0.2470462	0.4307341	0.6753262	0.5742989	0.0959891	0.4438420	0.6764845	0.3686075	0.7017348	0.0258388	0.2320298	0.3826012	0.6839485	0.6739376	0.9503366	0.5538730	0.6569053	0.2959477	0.5791335	0.4131240	0.5289089	0.0718816	0.7032324	0.1855508	0.0690251	0.1227728	0.1257816	0.3913988	0.7344492	0.0932667	0.7691193	0.1604916	0.3253696	0.5447178
0.4516774	0.6150146	0.7091314	0.3331291	0.6758193	0.5408995	0.5747965	0.0017785	0.5191840	0.3220582	0.6549111	0.5409971	0.8384834	0.4499048	0.1560094	0.8954783	0.4854358	0.4436235	0.6476206	0.6232798	0.2533016	0.7525056	0.7788411	0.5555304	0.7263648	0.0018400	0.2878812	0.5228696	0.5126275	0.5029274	0.7600338	0.7570690	0.5885394	0.5675992	0.4956362	0.2152899	0.3901100	0.1431428	0.7873406	0.2340343	0.2733624	0.0456490	0.1189713	0.2790071	0.4522718	0.1017899	0.7231717	0.3016660	0.3262855	0.6979859
0.6431945	0.8053822	0.8054942	0.3673225	0.7439112	0.5328186	0.6709820	0.0113037	0.4164164	0.3709076	0.8072802	0.4687729	0.7970369	0.5375574	0.0274041	0.7320097	0.2680580	0.3981898	0.7247866	0.7245068	0.1585269	0.4997257	0.7413055	0.7800154	0.6070079	0.0064343	0.2666678	0.3986241	0.8097911	0.5536322	0.6471154	0.5465413	0.7474796	0.4991817	0.5256269	0.2933835	0.3608886	0.1905889	0.4516277	0.2675135	0.2935635	0.0701780	0.1534384	0.4613498	0.6802223	0.0908665	0.6499897	0.2394973	0.3408525	0.6381719
0.6939854	0.7357253	0.7080531	0.4574809	0.5714439	0.5776715	0.5709047	0.0000269	0.5562413	0.2371643	0.7611206	0.5711179	0.6828841	0.2287862	0.1582186	0.6954914	0.4280950	0.5048333	0.7903300	0.4622475	0.1904553	0.7241874	0.4913268	0.5907837	0.6500489	0.0088903	0.2136883	0.3964091	0.5666183	0.3737079	0.7592388	0.5929412	0.6055726	0.2279778	0.6687330	0.0203461	0.3049575	0.1144159	0.5521243	0.2759881	0.2538138	0.0324820	0.0824982	0.4956660	0.4453214	0.1824597	0.6872629	0.2375930	0.1982102	0.6214190
