YGR288W	YCR065W	YDR026C	YDR049W	YER040W	YLR228C	YJL110C	YGL254W	YGL209W	YCL066W	YJL056C	YOR140W	YDL170W	YPL248C	YCR096C	YLR098C	YCR040W	YDR310C	YHR006W	YKL020C	YFL021W	YML099C	YPR199C	YML113W	YDR421W	YDR101C	YML065W	YOR315W	YPL253C	YNL142W	YHR135C	YDR039C	YIL144W	YBL111C	YMR087W	YMR098C	YNR068C	YJR010CA	YPL216W	YNL108C	YLR048W	YJR011C	YER107C	YJR157W	YGL169W	YMR202W	YHR109W	YNL339C	YJR080C	YLL048C
0.7686771	0.9999150	0.9550720	0.5699553	0.8334906	0.9091975	0.8421221	0.0003467	0.6635938	0.2978079	0.8221731	0.6790157	0.9950881	0.4617579	0.0267875	1.0000000	0.7035794	0.6842472	1.0000000	0.9341137	0.3654593	0.8971128	0.7443803	1.0000000	0.9198916	0.0194118	0.4772394	0.6156002	0.9947917	0.4220483	0.9911427	0.9227190	0.8103579	0.3716877	0.6965745	0.0171640	0.5239397	0.1867500	0.9505937	0.3952885	0.3298081	0.0153484	0.2354673	0.7571856	0.3046211	0.1023767	0.9584488	0.3683667	0.4591226	0.8582598
0.6136388	0.9187914	0.9427182	0.4955585	1.0000000	0.6803151	0.6953138	0.0119281	0.5661622	0.5585184	0.4084404	0.6790387	0.9956753	0.6729977	0.0178230	0.8604387	0.5471709	0.5151610	1.0000000	0.8902002	0.2479963	0.7767484	1.0000000	1.0000000	1.0000000	0.0194118	0.8282832	0.5668972	0.7756985	0.6644990	0.9958132	0.9274112	0.7955527	0.5832072	0.9066717	0.4153195	0.5343018	0.2450979	0.6982072	0.4225945	0.2693855	0.2969639	0.0075928	0.4506408	0.7979020	0.2591630	0.9353469	0.4170586	0.2381830	0.7592281
0.6918402	0.9999257	0.9505293	0.5011897	1.0000000	0.7317925	0.8660622	0.0119281	0.8660306	0.3862423	1.0000000	0.4293025	0.9956753	0.3442268	0.0160731	1.0000000	0.6474353	0.6841660	0.7477720	0.7367797	0.2479963	0.8681190	0.7534625	0.9020839	1.0000000	0.0058357	0.2886620	0.6888050	0.9948026	0.5747056	0.9962132	0.9252801	0.8103597	0.8128310	0.6455753	0.0459139	0.5343018	0.1188272	0.9949294	0.2677170	0.2979449	0.1364230	0.0041492	0.7534196	0.4537998	0.2231616	0.9724365	0.3555577	0.3401191	0.8755504
0.6898934	0.9187169	0.9546147	0.5041173	0.8601856	0.7133203	0.5586597	0.0121219	0.6675089	0.5977280	1.0000000	0.4465232	0.9952168	0.7121412	0.2467958	0.9254775	0.3362652	0.6031960	1.0000000	0.7194342	0.0984075	0.9990194	0.8432104	0.9897986	0.8974115	0.0194118	0.2626228	0.5357241	0.9947954	0.9795014	0.9899183	0.8426999	0.8548627	0.4085313	0.7858970	0.8481038	0.7601177	0.1022296	0.9418945	0.3110457	0.0616396	0.0530406	0.0061215	0.4505984	0.6193299	0.2408297	0.9605659	0.4095277	0.5319425	0.3617921
0.7078779	0.9999118	0.9635175	0.6413897	1.0000000	0.7337906	0.6239270	0.0119281	0.6635903	0.2084834	1.0000000	0.6632975	0.9993053	0.7153872	0.0835138	0.7630743	0.3512149	1.0000000	1.0000000	0.5320412	0.2479963	0.8350577	0.9204207	1.0000000	1.0000000	0.0194118	0.3899960	0.8630181	0.6746082	0.6644990	0.9964631	0.9593509	0.8785318	0.4358481	0.7825951	0.4150118	0.5347492	0.2234357	0.7146898	0.3952896	0.3095286	0.3290710	0.2154818	0.6193584	0.6964765	0.2220349	0.9584481	0.3942672	0.4732152	0.5219053
0.5879039	0.9999308	0.9505299	0.5617319	1.0000000	0.8045734	0.6007465	0.0001226	0.6636109	0.5779393	1.0000000	0.3651110	0.9993240	0.7153715	0.3610794	1.0000000	0.8304360	0.6312976	0.4562108	0.3970728	0.1540120	0.7682696	0.8314623	1.0000000	0.9555724	0.0760570	0.3664038	0.8530709	0.8205854	0.5643079	0.9957192	0.9588439	0.8551532	0.7739758	0.8663183	0.7076061	0.5460820	0.2234232	0.8571812	0.3952835	0.1563146	0.2723801	0.0962749	0.4947932	0.7148963	0.1827437	0.9584521	0.3980548	0.3031331	0.4660404
0.5374574	0.9999049	0.9792874	0.6380965	1.0000000	0.7672806	0.8640497	0.0119281	0.6700797	0.3789505	1.0000000	0.7241940	0.9956753	0.5645762	0.5122387	0.9102812	0.2102727	0.6354570	0.9121295	1.0000000	0.1246445	0.6148853	1.0000000	0.5241485	0.9287852	0.0213886	0.3308415	0.6000903	0.9948048	0.9478818	0.9915754	0.8505521	0.8314605	0.2976568	0.7584120	0.5938482	0.5343018	0.1423325	0.9530794	0.2633248	0.1019695	0.2142987	0.2283692	0.6469308	0.9913553	0.1180450	0.9584467	0.2543271	0.3843060	0.8741747
0.6179978	0.9187914	0.9482344	0.4995419	1.0000000	0.6803177	0.8717397	0.0001320	0.6430017	0.4500807	0.8375888	0.7540892	0.9956753	0.5015653	0.2474964	1.0000000	0.6681543	0.5657807	0.8220257	0.9041238	0.2479963	0.8959770	1.0000000	0.7552435	1.0000000	0.0082951	0.4498609	0.6916157	0.7017376	0.6644990	0.9942186	0.8510980	0.8228291	0.7610719	0.7224766	0.2914163	0.5343018	0.2400797	0.9952432	0.3278169	0.2655253	0.0282939	0.2231225	0.4506435	0.6096940	0.2591471	0.9353478	0.3737538	0.4306541	0.9137811
0.8312949	0.9999124	0.9505278	0.5011887	1.0000000	0.7317854	0.8596952	0.0119281	0.6635910	0.5669506	1.0000000	0.6133197	0.9993272	0.6967655	0.0372865	0.9902923	0.4946092	0.5625514	1.0000000	1.0000000	0.2122876	0.8987073	0.9792258	1.0000000	0.9685948	0.0125298	0.3899960	0.5830423	0.9948856	0.7653999	0.9932102	0.9245911	0.8103575	0.6776854	0.7818981	0.2698826	0.5347519	0.2234266	0.6633673	0.3506998	0.4625973	0.2018712	0.2354674	0.5869755	0.9730560	0.0955755	0.9673431	0.2982818	0.4978997	0.9001576
0.8171792	0.9998609	0.9505220	0.6506123	0.8818737	0.7317556	0.7757079	0.0002782	0.8089825	0.3831401	1.0000000	0.8339468	0.9953094	0.3173165	0.1714560	1.0000000	0.5900641	0.7159014	1.0000000	0.6456907	0.3263143	0.9292816	0.6193102	0.8401451	1.0000000	0.0055229	0.2800865	0.6076208	0.8227372	0.4929352	0.9962837	0.8505455	0.8925601	0.2826782	0.7368898	0.0351257	0.4700923	0.1397843	0.8794142	0.3953058	0.3831838	0.0546308	0.1143132	0.6368847	0.7442951	0.2231877	0.9584375	0.3315635	0.3645812	0.8273668
