YKL062W	YCR096C	YOL067C	YGL254W	YMR019W	YBL103C	YKL020C	YJR147W	YCR097W	YDR253C	YCR040W	YGR044C	YPR199C	YOL089C	YIR017C	YCL067C	YOR140W	YDR463W	YPL038W	YJL056C	YDR421W	YKR034W	YNL103W	YDR081C	YHR006W	YLR262C	YIL162W	YFL002WA	YNL014W	YLR180W	YDR375C	YGR271CA	YOR115C	YCR095C	YMR238W	YHR145C	YML065W	YMR228W	YDR078C	YDR101C	YJR044C	YPR168W	YJL188C	YDR098CA	YGR206W	YBR166C	YIL014W	YDR041W	YLR304C	YLR065C
0.1951678	0.1603449	0.7843091	1.0005638	0.2817401	1.0685702	0.7805041	0.8077753	0.9232071	0.7952512	0.2451150	0.8870223	1.0001584	1.0276631	0.9876862	0.8972937	0.4285944	0.7620877	1.0114566	1.0771154	1.0446063	1.0281681	0.7786344	0.8403833	1.0241481	0.6376974	0.0003675	0.1420398	0.5125332	0.9067181	0.2925852	0.0663600	0.4193947	0.3421271	1.0204896	0.3190926	0.6537588	0.7305825	0.5315605	0.3364048	0.0026245	0.3077237	0.8213665	0.6600785	0.8592643	0.4260317	0.2378504	0.7294975	0.6825285	0.9678631
0.3661229	0.2502393	1.0168560	1.0732756	0.4928783	0.8254421	0.9864843	0.9060207	0.3807294	0.6984355	0.3137696	0.8091625	1.0102648	0.6301059	1.0015771	1.0880392	0.6192786	0.6316125	1.0336643	0.9356050	1.0784406	0.6295929	0.7737457	0.7203707	0.7492906	0.5683686	0.0180151	0.2283018	0.2553889	0.9677583	0.1668252	0.2471202	0.5445391	0.5579706	1.0190603	0.4078352	0.8144250	0.0585452	0.6390875	0.0813223	0.0663624	0.3625020	0.8924064	0.1379849	0.9008502	0.6214826	0.5263013	0.7181000	0.6992632	0.9781612
0.1015924	0.2621455	0.7359721	1.0117087	0.5712275	1.0015387	0.9825120	0.9829674	0.9334837	0.6150824	0.4760826	0.9642618	0.7577878	1.0825239	1.0109478	1.0085295	0.4933837	0.6049807	0.8664423	0.9095283	1.1346211	0.6698051	0.9814008	0.6285709	0.9442541	0.7092825	0.0616883	0.1857374	0.2052943	1.0192184	0.3671429	0.1643928	0.4682551	0.3610618	1.0181440	0.2357049	0.6845375	0.3332933	0.4332983	0.2735388	0.0074840	0.5844974	0.7473200	0.6974936	0.8519183	0.1486443	0.4235036	0.7838130	0.6541801	0.9759766
0.2026928	0.0028699	1.0430665	1.0489480	0.1932214	0.9820263	0.9419285	1.0085768	0.2808686	0.9839894	0.5050074	0.7929393	1.0466496	0.5299787	0.9412390	0.9785261	0.2794206	0.7544903	0.9651677	0.6732217	0.9632877	0.8932433	0.7945168	0.9801571	0.9664665	0.5789713	0.0523171	0.2216626	0.3240559	0.8913500	0.4289383	0.1339706	0.5619999	0.2804306	1.0196720	0.5452614	0.4175106	0.5781184	0.3875662	0.0536348	0.0033496	0.2464313	0.8929488	0.3360602	0.8975137	0.5858430	0.8035441	1.0315838	0.8209345	0.9714106
0.2511879	0.0538501	0.6064405	0.9076934	0.5989361	0.9697929	1.0228823	0.7946907	0.5233948	1.0170587	0.2814849	0.9311323	1.0287870	0.8849490	0.9122314	1.0366800	0.4217469	0.7366408	0.7164935	1.0307512	0.7121495	1.0110362	0.8157128	1.1742298	1.0635558	0.7137543	0.0917727	0.2069348	0.4729201	0.8979308	0.5298041	0.0658746	0.7413098	0.3791563	0.9070398	0.2371610	0.9078962	0.1566260	0.4498384	0.2555995	0.0807230	0.4398695	0.9515470	0.0811005	1.0438647	0.3383441	0.5665497	0.7337002	0.8355584	0.9673030
0.2618008	0.0130737	1.1012459	1.0421289	0.1992354	1.0654510	0.9836876	0.7597494	0.4136604	0.8681366	0.2366573	0.8894016	0.9606742	0.8623269	0.9369111	1.0142744	0.3610391	0.8269224	1.0739102	0.7107450	1.0543523	1.0924303	0.7858405	0.8903801	0.5867871	0.6481376	0.0646667	0.2746140	0.7979963	0.9158158	0.4493875	0.0497160	0.7167393	0.3094770	0.9601159	0.5384145	0.3226539	0.1504461	0.2446908	0.5436148	0.0025786	0.2629043	0.8216493	0.4915567	0.9611126	0.1466807	0.2794745	0.7729419	0.7241288	0.9424387
0.2067131	0.0040249	0.5571774	0.9632407	0.3685892	0.9889446	0.9962045	1.0209537	0.6394501	0.6978679	0.0998947	0.3455765	0.6914561	0.9269890	0.9382881	0.9065996	0.0688659	0.8013966	0.9453502	0.7844208	0.5492323	1.0000627	0.8649049	0.9216576	1.0541394	0.7595388	0.8315656	0.2249046	0.2751425	1.0252239	0.4946830	0.2110990	0.5121871	0.4156360	1.0306193	0.4718717	0.4767386	0.1838121	0.5097516	0.2468868	0.0264191	0.3090958	0.7971362	0.2386757	0.9030841	0.2219642	0.3173128	0.7945764	0.7540371	0.8592671
0.1665109	0.0239239	1.0388475	0.9305920	0.6595961	0.8420581	1.0327569	1.0787645	0.5150575	0.9175599	0.1709166	0.8545756	1.0419253	1.0415939	1.0839998	0.4700209	0.3931751	0.7314294	0.8612955	1.0030182	0.9230077	0.5628846	1.0377832	0.7294115	0.9630109	0.6605759	0.0484289	0.2104192	0.2204930	0.9440770	0.1605846	0.1626151	0.4206626	0.4085574	0.9563370	0.2323677	0.7860750	0.2223767	0.5386394	0.3002968	0.0195253	0.3299724	0.8457133	0.6025226	0.8691292	0.1676083	0.0444022	0.7729405	0.6533476	0.8196808
0.2677310	0.4636581	0.8555237	0.9969561	0.1108238	0.9693657	1.0245772	0.9677135	0.5854837	1.0544486	0.3289559	0.7823688	0.8623157	0.8371759	0.9992953	0.9727237	0.3228299	0.8479596	0.9890390	1.0308443	0.8312610	0.7470301	0.9467713	0.9333022	0.6745025	0.2882187	0.0728326	0.2116597	0.3902989	1.0662973	0.4541087	0.0020289	0.5371457	0.3023042	1.0410613	0.3239650	0.6517573	0.3767877	0.4208614	0.5024383	0.0617797	0.1236865	0.8162485	0.3044727	0.9473992	0.3116444	0.6168264	0.7805288	0.7019466	1.0092493
0.1898078	0.1001712	1.0442724	0.9555005	0.2094232	0.6294866	0.9729339	0.9186642	0.5401998	0.9224444	0.3187798	0.7126914	0.9599079	0.9599936	0.9192410	0.5651674	0.2229550	0.7813811	0.7333971	0.7443288	1.0005425	1.0484670	1.0569164	1.0766092	1.0720703	0.5337046	0.0029955	0.2257987	0.3941153	0.8997342	0.3068568	0.1405147	0.5297879	0.1196336	1.0182983	0.4963294	0.4401332	0.5176411	0.7529979	0.2594680	0.0118319	0.5508694	0.8939748	0.2958526	0.9290353	0.0689194	0.3456677	0.5254336	0.5695731	0.9291367
