YKL062W	YCR096C	YOL067C	YGL254W	YMR019W	YBL103C	YKL020C	YJR147W	YCR097W	YDR253C	YCR040W	YGR044C	YPR199C	YOL089C	YIR017C	YCL067C	YOR140W	YDR463W	YPL038W	YJL056C	YDR421W	YKR034W	YNL103W	YDR081C	YHR006W	YLR262C	YIL162W	YFL002WA	YNL014W	YLR180W	YDR375C	YGR271CA	YOR115C	YCR095C	YMR238W	YHR145C	YML065W	YMR228W	YDR078C	YDR101C	YJR044C	YPR168W	YJL188C	YDR098CA	YGR206W	YBR166C	YIL014W	YDR041W	YLR304C	YLR065C
0.0897029	0.1207995	0.5790072	0.6632562	0.1492050	0.7626410	0.5409608	0.5596091	0.5586641	0.5477656	0.1773188	0.4845669	0.7614058	0.6763040	0.7457574	0.6439929	0.3083530	0.4110882	0.8355296	0.7738276	0.6481143	0.6918659	0.6364798	0.5230549	0.5995363	0.5047757	0.0026271	0.0769382	0.4376736	0.5746231	0.2362798	0.0458906	0.2411058	0.2650287	0.6560566	0.2678049	0.6479750	0.4971835	0.3249596	0.2456749	0.0010763	0.2737458	0.5977773	0.3395095	0.5709057	0.2569881	0.1731831	0.4841023	0.5524024	0.7548115
0.1977918	0.2034810	0.6258841	0.7098657	0.3518156	0.4802099	0.6200634	0.5741622	0.2929824	0.4675253	0.2023306	0.5117599	0.5689048	0.4847109	0.6150395	0.6739249	0.3982873	0.3857021	0.6128349	0.6009457	0.8215650	0.4509854	0.4418728	0.4566548	0.6122881	0.3146224	0.0138274	0.0937330	0.1214546	0.6957646	0.1237357	0.1840544	0.4125526	0.3095676	0.6362401	0.2295339	0.5582968	0.0794741	0.5102650	0.0550522	0.0444318	0.2337402	0.7242663	0.1253885	0.6332216	0.3720095	0.3593821	0.4359953	0.4028774	0.6158557
0.0384295	0.2440929	0.4608440	0.8487685	0.5010870	0.6337673	0.7254950	0.6632862	0.4385578	0.3821662	0.3799196	0.6798117	0.4900588	0.7923523	0.7301696	0.6845666	0.2563183	0.4480472	0.5650905	0.7225144	0.7691279	0.4743095	0.6266024	0.4723251	0.6641451	0.5178766	0.0636360	0.1744720	0.1920531	0.8103082	0.2155827	0.0666294	0.2687567	0.2904413	0.7658882	0.1348883	0.4199036	0.2592562	0.2687159	0.1878309	0.0043937	0.2651603	0.4528107	0.4462630	0.6228826	0.1224921	0.3132359	0.5714402	0.4571994	0.6112560
0.1990449	0.0026632	0.7537700	0.7562235	0.1289899	0.6924099	0.6268629	0.5846277	0.2322414	0.7188275	0.4235285	0.5886192	0.5331825	0.4166666	0.7649256	0.6380168	0.1804909	0.6170814	0.6158314	0.5024546	0.6356406	0.5308599	0.6126766	0.7952712	0.8473341	0.4346582	0.0357473	0.1277302	0.3041854	0.6759524	0.3447912	0.1490717	0.3200406	0.2655975	0.6305864	0.3099181	0.2694422	0.3719917	0.3686069	0.0496640	0.0029541	0.1439438	0.5496223	0.2758032	0.7114664	0.4376098	0.4400385	0.7049793	0.5783098	0.7020108
0.1288798	0.0525204	0.4146882	0.7063600	0.5005751	0.5681406	0.6948316	0.5204392	0.3355702	0.5827842	0.2017860	0.6334509	0.7420464	0.5653070	0.6763408	0.7381327	0.3012018	0.4690169	0.5031625	0.7168155	0.4152514	0.7064583	0.5079901	0.8729078	0.6107944	0.4108266	0.0546545	0.1475048	0.2929030	0.8786821	0.4200833	0.0547648	0.4633300	0.1685332	0.5913622	0.0833126	0.6714622	0.1004287	0.2893256	0.2462601	0.0505650	0.2732446	0.6441012	0.0542506	0.6142034	0.2743767	0.3301630	0.4790008	0.4796470	0.7232460
0.1218489	0.0126897	0.7783057	0.7408153	0.1683495	0.7349094	0.8624916	0.5067009	0.2689863	0.5218404	0.1040695	0.6402162	0.7154956	0.4990719	0.5855470	0.6892968	0.2618411	0.5303997	0.7107627	0.4780633	0.6244444	0.8303965	0.4929887	0.6656847	0.4055665	0.4365701	0.1379858	0.1720562	0.6505542	0.7074868	0.2719191	0.0526074	0.4641717	0.2736973	0.5517455	0.3793081	0.2287213	0.1155513	0.1709215	0.3700914	0.0148483	0.1918369	0.7179100	0.3549396	0.6237411	0.0940138	0.1559259	0.6316478	0.5433630	0.6676785
0.1692873	0.0114903	0.3389325	0.6060766	0.2657550	0.6236929	0.6456300	0.7231643	0.5370305	0.4880754	0.0821289	0.2267588	0.5028814	0.7284568	0.6403866	0.7123258	0.0360431	0.4578251	0.6816901	0.4846158	0.4598295	0.5338155	0.5212125	0.6292468	0.6219871	0.5565190	0.6541039	0.1475006	0.1666030	0.7511633	0.3217712	0.1306130	0.3672672	0.2948525	0.5795476	0.2708518	0.3633623	0.1177073	0.3663816	0.1405763	0.0081862	0.2193823	0.5643574	0.2019822	0.8016162	0.1598425	0.2041060	0.6664698	0.4785762	0.4956871
0.0871890	0.0080493	0.7187617	0.6065947	0.4090066	0.6741372	0.6444595	0.7049175	0.3726272	0.5844102	0.1943656	0.6450676	0.6254591	0.6426993	0.7266883	0.3077768	0.3078777	0.4524695	0.5289559	0.6466888	0.6695427	0.3726427	0.6454136	0.5749173	0.6712760	0.4317481	0.0752021	0.1422357	0.1225015	0.6960424	0.1198841	0.1347193	0.3516042	0.3092446	0.6652694	0.1815254	0.5847188	0.1751170	0.3111131	0.3451460	0.0137192	0.2052195	0.5975880	0.4867192	0.6850218	0.1404336	0.0421151	0.5660277	0.3694600	0.5194986
0.1543128	0.3181755	0.6018560	0.6151816	0.0776508	0.7295104	0.6746540	0.6307571	0.3493217	0.6884519	0.1888104	0.6223856	0.6339612	0.5878264	0.7212563	0.5681477	0.2256839	0.6724509	0.6948447	0.7548963	0.5215746	0.5074637	0.6271391	0.7097144	0.4380384	0.2420638	0.0395548	0.1587225	0.2390490	0.8183172	0.2936248	0.0017784	0.3430049	0.2237437	0.6926784	0.1770634	0.4650236	0.2489417	0.3089648	0.3011742	0.0695777	0.0867054	0.6849275	0.1687100	0.5669265	0.1563922	0.4211413	0.4279489	0.5087596	0.7656529
0.1103116	0.0327900	0.6851038	0.6621634	0.1730893	0.4493706	0.7780974	0.7246755	0.3591994	0.6447640	0.2281577	0.4806599	0.6584143	0.5951243	0.5723681	0.3467202	0.1609270	0.4756474	0.4406273	0.5356614	0.6079387	0.6214737	0.7383424	0.7776895	0.7089066	0.3561659	0.0026729	0.1590291	0.3080326	0.5641355	0.2033482	0.1628340	0.3675468	0.0694734	0.5832054	0.3201274	0.3580822	0.3431969	0.6049894	0.2033524	0.0125163	0.3118077	0.5343816	0.1432857	0.5798721	0.1106995	0.3575673	0.4341279	0.4657354	0.6480190
