YKL062W	YCR096C	YOL067C	YGL254W	YMR019W	YBL103C	YKL020C	YJR147W	YCR097W	YDR253C	YCR040W	YGR044C	YPR199C	YOL089C	YIR017C	YCL067C	YOR140W	YDR463W	YPL038W	YJL056C	YDR421W	YKR034W	YNL103W	YDR081C	YHR006W	YLR262C	YIL162W	YFL002WA	YNL014W	YLR180W	YDR375C	YGR271CA	YOR115C	YCR095C	YMR238W	YHR145C	YML065W	YMR228W	YDR078C	YDR101C	YJR044C	YPR168W	YJL188C	YDR098CA	YGR206W	YBR166C	YIL014W	YDR041W	YLR304C	YLR065C
0.1140960	0.0100232	0.5395957	0.6686727	0.2251107	0.5724212	0.8514535	0.7350175	0.4704147	0.5983639	0.1217178	0.5004972	0.6713374	0.5600734	0.7651531	0.6772180	0.1625065	0.5874032	0.6403168	0.7157975	0.6871924	0.7099611	0.6995082	0.7983273	0.6966403	0.4489627	0.0299012	0.1481874	0.2120723	0.5893338	0.2914702	0.1469333	0.3242732	0.1645135	0.6982153	0.2264744	0.4778237	0.1398714	0.3313970	0.1429661	0.0497830	0.1417138	0.5097041	0.1718441	0.6922789	0.3029064	0.3300358	0.4298071	0.3960485	0.5677544
0.0757039	0.0084684	0.6070969	0.6859402	0.3279316	0.6862819	0.7572961	0.6571018	0.4410833	0.6708521	0.1449950	0.3010732	0.7348019	0.7170137	0.7076782	0.7321931	0.0359650	0.5408644	0.7099901	0.6986070	0.6108725	0.7356844	0.5581030	0.7409392	0.7468540	0.5657301	0.2542503	0.2148967	0.2253968	0.7430657	0.2916723	0.1187490	0.3479733	0.2677926	0.6865795	0.2589735	0.5129787	0.1365601	0.3142471	0.1490638	0.0632274	0.1889668	0.4493695	0.2578387	0.7018318	0.3871510	0.3932711	0.4694820	0.4636751	0.5402330
0.1339378	0.0107442	0.7196884	0.6971741	0.3705202	0.8223045	0.6962297	0.7361138	0.5079294	0.4668823	0.2176518	0.4665953	0.3831569	0.7482621	0.5207121	0.7252958	0.1654832	0.5177297	0.6182238	0.7679013	0.5821836	0.6623461	0.6728031	0.6533496	0.7441287	0.4784221	0.0344766	0.1418277	0.1879099	0.5992395	0.3200792	0.1098128	0.3770007	0.1617982	0.6928679	0.2059779	0.4386646	0.1509493	0.2997359	0.1518524	0.0501359	0.1146718	0.6290196	0.2225391	0.6080282	0.3424951	0.2157496	0.5463788	0.3879574	0.6419042
0.4911796	0.0133984	0.7004702	0.6605398	0.2551597	0.9311168	0.7660494	0.6520298	0.2326516	0.5555307	0.1817835	0.5220707	0.7118136	0.4086080	0.7096077	0.7802214	0.2900719	0.4668920	0.7059696	0.7632386	0.7581864	0.6571707	0.6420370	0.6278176	0.7338303	0.3873111	0.2587101	0.1325270	0.3225686	0.7023678	0.2921961	0.1654350	0.3532003	0.1731304	0.6004768	0.2039078	0.5391868	0.0344356	0.3467130	0.1919337	0.0424497	0.1242664	0.6040983	0.0689745	0.5763976	0.2649810	0.3519379	0.5663887	0.4640225	0.6205046
0.0819292	0.0108610	0.6825381	0.5832788	0.2663806	0.5988252	0.7407684	0.6004737	0.4868215	0.6315647	0.1722778	0.5816801	0.7288702	0.6808249	0.3339719	0.5723541	0.1849661	0.6581964	0.7417136	0.7073508	0.5784961	0.7367495	0.6088342	0.7547600	0.6325353	0.4648676	0.0526125	0.1612317	0.2661232	0.6815876	0.2997456	0.1459262	0.4411084	0.1947751	0.5667326	0.2014941	0.4310965	0.1548704	0.3786706	0.2065016	0.0706461	0.1402825	0.6262528	0.1594351	0.6092368	0.3431424	0.2651744	0.5674606	0.4442201	0.5550582
0.1757509	0.0078999	0.8499755	0.7858258	0.3699053	0.7939175	0.6893741	0.6151981	0.4373348	0.7160177	0.2069852	0.6621396	0.7181709	0.6904309	0.6753339	0.2905337	0.2964661	0.5432905	0.6385433	0.7171663	0.7269555	0.7231584	0.7402429	0.6941152	0.7674943	0.4060423	0.0344752	0.1101896	0.1967591	0.5452240	0.2347170	0.1064444	0.3222253	0.1841525	0.7717673	0.3123137	0.5170666	0.1909139	0.2744364	0.1413207	0.0456382	0.1051918	0.5159557	0.1590096	0.6658035	0.2826239	0.2696524	0.5746305	0.5725533	0.5876639
0.1392317	0.0069014	0.7010550	0.6476395	0.2685756	0.7196262	0.6097722	0.6844922	0.5059072	0.6044539	0.1350222	0.5501223	0.6363827	0.6328601	0.6764565	0.6462742	0.1005161	0.5800386	0.6895781	0.6978349	0.6950683	0.6353347	0.7270235	0.7606780	0.8002652	0.5339887	0.0698710	0.1372581	0.1808839	0.6857918	0.3585884	0.1076872	0.4155679	0.1586794	0.7484950	0.2065494	0.4933041	0.1184372	0.4054269	0.1445698	0.0465439	0.1674796	0.4318117	0.2686710	0.8079644	0.2271644	0.3410564	0.6915408	0.4687898	0.6763830
0.1249036	0.0155391	0.6848709	0.7200349	0.3908220	0.6323457	0.5995762	0.6580469	0.4758736	0.6572212	0.1319944	0.6303714	0.7278421	0.6410333	0.7332867	0.7086170	0.2427931	0.2942624	0.6976903	0.6925856	0.7614489	0.5878256	0.4778911	0.6976410	0.8344609	0.4673173	0.0267103	0.1617248	0.2020066	0.7470487	0.3328360	0.1489892	0.3337316	0.3988962	0.6600952	0.1634623	0.3806172	0.2284752	0.4222387	0.1424112	0.0311620	0.0976435	0.5786530	0.1285482	0.6920476	0.2572645	0.3594297	0.5835847	0.4510732	0.6288499
0.1153909	0.0125523	0.7280780	0.6421644	0.3379219	0.7753351	0.6657374	0.6373534	0.3766771	0.8195082	0.2421334	0.4866750	0.6070091	0.7555364	0.7072925	0.5955818	0.2501020	0.6954765	0.4471071	0.7717195	0.8142039	0.8053824	0.7138401	0.7873731	0.6633225	0.4248839	0.0325711	0.1040272	0.1606329	0.7979627	0.3120257	0.0772363	0.4054769	0.2468971	0.7164494	0.1689543	0.3999662	0.2291547	0.3168448	0.2286961	0.0512854	0.5493582	0.5159515	0.2313609	0.6487242	0.2843363	0.3762312	0.5495345	0.5245612	0.5728042
0.1151264	0.0084363	0.7958681	0.6643414	0.3403576	0.8987437	0.6594225	0.7541842	0.4265116	0.7534349	0.1482800	0.5256494	0.6590903	0.7372976	0.6884385	0.7628360	0.2122324	0.5092413	0.7085729	0.2628774	0.6954420	0.7930998	0.7714817	0.6273705	0.8262259	0.4979136	0.0235816	0.1832030	0.2146046	0.6881257	0.3536524	0.1544479	0.3997099	0.1923259	0.6701805	0.6164137	0.0582098	0.1680141	0.3132262	0.1384325	0.0308371	0.1165209	0.4904497	0.2177920	0.7988522	0.3863607	0.2529371	0.6560782	0.4626356	0.6850264
0.1588704	0.0016952	0.5578954	0.7663783	0.3101939	0.7179489	0.7251134	0.7948701	0.5422966	0.6269868	0.1683128	0.5536219	0.6783735	0.7203412	0.5821507	0.8358494	0.2384028	0.5566703	0.6882298	0.5767226	0.4147973	0.6934173	0.6519778	0.6104452	0.7118138	0.4511085	0.0554564	0.1742764	0.1463412	0.6520444	0.4950293	0.1128809	0.4058787	0.1769223	0.6319177	0.1949269	0.4864992	0.1137502	0.2664929	0.1816472	0.0317260	0.1873782	0.5054901	0.1502618	0.7396083	0.2277757	0.3254138	0.5895565	0.4209458	0.6374356
0.1702689	0.0054250	0.7968872	0.8109131	0.4189700	0.8964806	0.6744238	0.5930542	0.5044421	0.7652506	0.1873982	0.6016098	0.7133757	0.7059874	0.8208825	0.6045938	0.2687340	0.5350490	0.8369872	0.6837526	0.6750153	0.3104473	0.7873011	0.8006772	0.8283079	0.4103744	0.0394914	0.2316148	0.2566697	0.5946749	0.2822278	0.1675616	0.4029641	0.2010002	0.7028027	0.1981440	0.4466921	0.1396067	0.2626681	0.1541587	0.0295227	0.1131027	0.5650578	0.2336195	0.7436809	0.0894420	0.3246037	0.5918413	0.4354740	0.5640803
0.1014590	0.0027775	0.8007022	0.6738450	0.2119200	0.6252847	0.7419750	0.6009272	0.3801249	0.6746366	0.1555061	0.6325113	0.7494923	0.7426583	0.7067967	0.6312334	0.1824910	0.5472852	0.6895347	0.7034577	0.8508456	0.7681182	0.3078611	0.5920768	0.7154613	0.5304719	0.0373407	0.1133598	0.1438773	0.7941091	0.2220006	0.0903392	0.3656607	0.1821851	0.5964163	0.1659431	0.5368346	0.1146955	0.3072157	0.1519063	0.0908124	0.1096692	0.6233308	0.1778819	0.6240443	0.4197379	0.2991875	0.4375149	0.5353552	0.6350608
