YOR032C	YHR006W	YOR344C	YLR182W	YGL073W	YER111C	YMR043W	YKL015W	YDR216W	YLR131C	YKL185W	YFL021W	YDR520C	YGR249W	YKR099W	YGL162W	YMR070W	YCR040W	YLR013W	YER045C	YKR034W	YML099C	YJL089W	YPR196W	YJL110C	YAL025C	YNL298W	YPL126W	YGR109WB	YPL169C	YOR247W	YNL289W	YJR088C	YOR138C	YCR019W	YJR148W	YKL079W	YPL025C	YOL113W	YER078WA	YOL043C	YDR158W	YNL241C	YKL175W	YHR005CA	YLR128W	YMR134W	YPR038W	YHR152W	YCR041W
0.4332591	0.0268410	0.2483986	0.7096712	0.6101713	0.5832006	0.5504599	0.1942208	0.3547822	0.0135272	0.2022987	0.6805744	0.1771914	0.1764870	0.5821375	0.4903849	0.2632617	0.6041792	0.6154410	0.0561071	0.0022455	0.5891146	0.6529408	0.0064778	0.0944882	0.0001603	0.2148057	0.4069686	0.5181875	0.0635849	0.3124776	0.0130640	0.0809653	0.0797749	0.4777850	0.2283358	0.6128643	0.7110472	0.6058054	0.7550482	0.4146401	0.6751982	0.4765459	0.6396764	0.1292282	0.0704214	0.3859292	0.6013862	0.0000885	0.6365224
0.7130082	0.2640329	0.2940704	0.6907115	0.4349063	0.6676013	0.4639067	0.5028331	0.7320219	0.0963747	0.0194654	0.6555249	0.1580025	0.3482581	0.4930063	0.3961565	0.1558030	0.2082529	0.3719440	0.0910845	0.7782812	0.5850438	0.3988414	0.0043667	0.6018220	0.5898036	0.0086695	0.5047803	0.7092917	0.0118401	0.1778772	0.3806487	0.2170144	0.1224067	0.1165335	0.3566501	0.6979103	0.5026227	0.4827524	0.3307165	0.0615517	0.5349225	0.1665337	0.2543010	0.5187107	0.3737463	0.2554373	0.0629140	0.0005692	0.7290743
0.8032844	0.2441758	0.4086042	0.7139716	0.6977769	0.4744368	0.4764149	0.3703346	0.6948402	0.0291788	0.0015932	0.6696728	0.2057760	0.2402176	0.5424554	0.5293252	0.1895984	0.1191801	0.6900550	0.0527431	0.5989750	0.5724469	0.5820198	0.0501754	0.4642913	0.5531921	0.1781356	0.4122988	0.6497111	0.0082985	0.2902841	0.3246328	0.4297409	0.1170721	0.4128351	0.2582552	0.4348920	0.5021083	0.6172728	0.6010201	0.0971218	0.3456969	0.2968120	0.3098366	0.0848551	0.1240046	0.3035268	0.2013869	0.0860935	0.3524532
0.5891080	0.1958178	0.4334729	0.6593925	0.4391233	0.6035131	0.7284094	0.6146944	0.6791586	0.0065883	0.0038431	0.7612906	0.1632573	0.2073845	0.6588541	0.6902143	0.2628119	0.3005358	0.4638328	0.0574242	0.6070264	0.4844931	0.5649335	0.0010774	0.4851988	0.4203469	0.2592438	0.4155616	0.8511297	0.0092258	0.3443377	0.0969783	0.2220037	0.0690067	0.1716442	0.0524246	0.4313637	0.6586121	0.5526774	0.6702523	0.0701954	0.5530289	0.1836664	0.2427775	0.4061002	0.0700843	0.3218271	0.0605561	0.0011099	0.5176473
0.6911895	0.0862031	0.3202410	0.6336852	0.5835987	0.4773175	0.6255789	0.3088163	0.6088381	0.0254701	0.3252437	0.7134553	0.1468086	0.1721093	0.6567093	0.7842934	0.3120216	0.2316098	0.6993938	0.0301726	0.5861192	0.5655533	0.6440569	0.0214781	0.6678061	0.5560826	0.2957044	0.4519822	0.4790093	0.0123429	0.1002502	0.0919754	0.1924478	0.0689867	0.1989182	0.1051604	0.5760142	0.5532620	0.5074011	0.6570521	0.1014526	0.6523919	0.2480284	0.3834208	0.2300527	0.1126053	0.4229175	0.1553057	0.0791651	0.3775913
0.6435038	0.0342936	0.2561068	0.7789922	0.5641545	0.6371886	0.5540724	0.2515009	0.4228203	0.0642604	0.4511833	0.7771366	0.2148630	0.1960193	0.5049014	0.6847227	0.3100107	0.2947894	0.2640254	0.0517590	0.7809052	0.6670153	0.6571583	0.0388407	0.4241298	0.5580963	0.0015712	0.4194459	0.6125872	0.0396339	0.1722521	0.0107859	0.2878079	0.1521502	0.2420167	0.1644138	0.5096060	0.7804836	0.4621113	0.4259704	0.1258020	0.5644707	0.1776778	0.3844232	0.1772388	0.1841980	0.5572225	0.4437714	0.0685910	0.5209338
0.7320644	0.3576865	0.5408171	0.4902450	0.6070379	0.4948032	0.7074770	0.2090969	0.5604987	0.0230335	0.3913331	0.4251404	0.0405006	0.1859160	0.4633229	0.5937028	0.3131119	0.2127271	0.6766769	0.0872146	0.5509334	0.5149963	0.6287546	0.0021019	0.3877825	0.5879668	0.1246900	0.5391404	0.6497147	0.0378782	0.3624747	0.0406982	0.3870156	0.1412187	0.2334313	0.3740211	0.6524954	0.5457803	0.4839034	0.6104738	0.0698554	0.6263738	0.2173220	0.4225704	0.3221232	0.2672153	0.4543941	0.5370425	0.0702458	0.2927294
0.5949379	0.4767257	0.7321010	0.6883646	0.6464418	0.5047135	0.8623380	0.4765814	0.6935792	0.0474937	0.0024708	0.5273967	0.0598113	0.2057783	0.5217500	0.6648654	0.2260459	0.5602713	0.6154938	0.0876727	0.0081987	0.5876483	0.5506722	0.0019782	0.0003314	0.0438203	0.0193926	0.4914503	0.6654231	0.0040840	0.4796960	0.0384906	0.6454930	0.1326190	0.3081426	0.1791988	0.8010448	0.5791339	0.5853235	0.6049053	0.5099077	0.6928505	0.1003819	0.1919421	0.4764188	0.1437009	0.3487102	0.0540043	0.0980792	0.2794703
0.6339428	0.0118852	0.1052549	0.6750924	0.5696939	0.5821691	0.5348420	0.0023409	0.5867490	0.1151765	0.1368950	0.6385044	0.1785682	0.4339220	0.5174665	0.3423346	0.1304644	0.4905802	0.6542640	0.1845270	0.0029622	0.4490763	0.4472984	0.0348035	0.0002867	0.2166803	0.3210735	0.4491656	0.4002513	0.0057279	0.3499179	0.3189602	0.0753625	0.1231996	0.3974199	0.4081277	0.6573426	0.6051954	0.5570602	0.5863750	0.7211534	0.7428398	0.0951461	0.5200983	0.1003497	0.4034849	0.2159082	0.6704829	0.0937436	0.3236887
0.6386870	0.0485979	0.3069360	0.5652624	0.5063878	0.6781759	0.7445123	0.5180167	0.7969613	0.0155116	0.2720548	0.7365837	0.0815943	0.1174376	0.4239650	0.6811427	0.3570965	0.6081085	0.6361065	0.0458417	0.0018818	0.6479884	0.3998085	0.0426488	0.0453795	0.0759997	0.0984677	0.5392692	0.5931341	0.0442201	0.2247233	0.5277799	0.5290068	0.1492887	0.3139872	0.2172614	0.5941035	0.6394777	0.5529683	0.6471515	0.5983913	0.5452846	0.0755705	0.2979428	0.0771159	0.4132234	0.5612271	0.2712687	0.0848861	0.5295603
0.7381438	0.1141553	0.3613008	0.8786961	0.4040973	0.5624234	0.7494707	0.3048447	0.5363413	0.0516477	0.1678691	0.6957682	0.0758047	0.0439345	0.6015736	0.6643657	0.2998155	0.4729281	0.6637292	0.0679652	0.0010894	0.6738030	0.6414858	0.0150239	0.1903502	0.0004746	0.0435319	0.6132289	0.7008179	0.0382115	0.3387294	0.2842568	0.3838833	0.1020126	0.4649687	0.3095309	0.6643418	0.5881116	0.5575773	0.3894358	0.4758934	0.4745822	0.3151274	0.5332301	0.5047133	0.1449774	0.7331486	0.4028480	0.0007050	0.7223170
