YOR032C	YHR006W	YOR344C	YLR182W	YGL073W	YER111C	YMR043W	YKL015W	YDR216W	YLR131C	YKL185W	YFL021W	YDR520C	YGR249W	YKR099W	YGL162W	YMR070W	YCR040W	YLR013W	YER045C	YKR034W	YML099C	YJL089W	YPR196W	YJL110C	YAL025C	YNL298W	YPL126W	YGR109WB	YPL169C	YOR247W	YNL289W	YJR088C	YOR138C	YCR019W	YJR148W	YKL079W	YPL025C	YOL113W	YER078WA	YOL043C	YDR158W	YNL241C	YKL175W	YHR005CA	YLR128W	YMR134W	YPR038W	YHR152W	YCR041W
0.5781245	0.2944822	0.4304506	0.6795485	0.6492191	0.5205592	0.8274262	0.3325198	0.6242696	0.0436540	0.0064050	0.8198053	0.1180379	0.2119739	0.6516535	0.7645183	0.2690285	0.5968190	0.6756014	0.0667588	0.0013261	0.5638447	0.8121763	0.0249735	0.0767775	0.0410043	0.1500071	0.5477303	0.6784881	0.0241004	0.3159032	0.2426711	0.2786361	0.1411880	0.5492235	0.2187339	0.7619298	0.4250435	0.5516950	0.5859549	0.6188056	0.5723046	0.0706630	0.4204493	0.3636277	0.1320519	0.5566600	0.3612693	0.0770907	0.4584118
0.7906536	0.3989905	0.3390722	0.6676860	0.6561352	0.6240330	0.5635175	0.2790388	0.6517583	0.0754809	0.0146595	0.3788921	0.3867763	0.1906249	0.6000518	0.7582253	0.3898331	0.4181006	0.6070233	0.0567792	0.0020252	0.3119639	0.7152694	0.0325489	0.0937392	0.0205549	0.1754126	0.5061455	0.6908117	0.0333345	0.2887615	0.2286536	0.3008585	0.1337183	0.2940019	0.2444948	0.7127865	0.5823871	0.6783507	0.4063328	0.6559849	0.6009373	0.1123698	0.5245003	0.3119325	0.1046172	0.5537013	0.4210625	0.0929764	0.3619033
0.6553911	0.1746273	0.3981159	0.6827659	0.7577139	0.5237209	0.5950909	0.3250233	0.6733806	0.0857803	0.0107886	0.6539277	0.0579127	0.2075100	0.6066429	0.7206080	0.2830783	0.6202209	0.7099788	0.0859716	0.0006602	0.6921778	0.6715199	0.0303658	0.0759360	0.0172530	0.1910274	0.4532796	0.6295728	0.0281844	0.2943792	0.2171347	0.2562873	0.1532280	0.4321851	0.2265494	0.6622863	0.5842361	0.5853994	0.4701388	0.6691668	0.6323624	0.0910242	0.4533039	0.3271502	0.2213458	0.4758189	0.6047897	0.0869185	0.4498729
0.7344670	0.2054547	0.3782816	0.6664700	0.5800573	0.5392311	0.7543802	0.3227743	0.7028825	0.0448412	0.0126777	0.6539874	0.1777199	0.1342608	0.5764555	0.6548956	0.3579288	0.6493747	0.6672346	0.0534747	0.0019637	0.5966096	0.6491317	0.0569580	0.0703946	0.0244515	0.1447139	0.5737828	0.6570100	0.0282959	0.2737710	0.2153568	0.3470410	0.1897616	0.4818287	0.1687701	0.7663308	0.4894327	0.7498420	0.5105978	0.7328434	0.6348813	0.0785248	0.4051098	0.3525267	0.1482918	0.7382466	0.4187398	0.0595812	0.4556926
0.5954971	0.3211050	0.4660866	0.6125921	0.8225583	0.6605425	0.6648144	0.2814889	0.7020501	0.0527690	0.0250217	0.7156755	0.1886524	0.1262615	0.3641288	0.6839837	0.3551028	0.5268895	0.6085550	0.0405886	0.0043057	0.6459950	0.8841297	0.0579907	0.0621076	0.0263889	0.1637104	0.4815473	0.6284330	0.0157578	0.2512425	0.2287393	0.2924430	0.1006424	0.3079999	0.1969340	0.6607616	0.5200851	0.6417170	0.5328529	0.6014066	0.5195271	0.0650077	0.3986455	0.2863171	0.1486325	0.5003367	0.3719992	0.0530293	0.3734259
0.6556241	0.2152270	0.4088366	0.6690023	0.6649788	0.5206459	0.6365267	0.3096875	0.6186214	0.0606933	0.0072069	0.6337461	0.1685557	0.2960598	0.5879504	0.4461325	0.1358413	0.4812462	0.6274475	0.1713812	0.0021161	0.6066783	0.6609844	0.0504787	0.0811088	0.0107866	0.2124072	0.5037736	0.6868267	0.0336282	0.3354276	0.2311259	0.2905974	0.1501398	0.5177868	0.2023265	0.6252321	0.5729024	0.5660747	0.5102700	0.6462593	0.6129754	0.0756816	0.3062749	0.2989740	0.1483499	0.3761215	0.3953152	0.0935864	0.4830700
0.6697577	0.1531740	0.3415256	0.6488647	0.8571644	0.5128211	0.6762694	0.2529395	0.7391022	0.0812210	0.0150788	0.5377507	0.1773221	0.1397535	0.4796036	0.6575091	0.1625400	0.6330471	0.6658393	0.0722263	0.0041848	0.5850402	0.5821107	0.0312571	0.1537055	0.0229654	0.1108725	0.5479772	0.6334566	0.0324873	0.3554840	0.2123753	0.3314325	0.1061186	0.4079836	0.1886054	0.6541092	0.5422015	0.5400020	0.5278487	0.6778087	0.6407625	0.0978363	0.4330302	0.3082482	0.1352056	0.5163894	0.4331717	0.0754684	0.4599311
0.7680611	0.3597076	0.3028145	0.6801966	0.5904857	0.6431704	0.5892483	0.2471974	0.6452661	0.0679232	0.0149229	0.7189287	0.1232328	0.1353778	0.6121451	0.6950721	0.3421243	0.2249833	0.7947536	0.0424366	0.0025683	0.6745653	0.6730325	0.0205835	0.1000048	0.0193049	0.1708497	0.5779880	0.7401952	0.0215919	0.2818200	0.2204778	0.3188266	0.0870641	0.4025311	0.1804163	0.6251969	0.5010212	0.6086494	0.6274003	0.7587810	0.5933417	0.1302335	0.4465459	0.2550395	0.1725437	0.5892293	0.3053998	0.0677302	0.3646740
0.7955177	0.3431675	0.3899756	0.7643314	0.6341705	0.5656522	0.6701482	0.2489387	0.6272262	0.0460222	0.0656539	0.7645664	0.2043529	0.1451938	0.6051025	0.6716357	0.3580505	0.5324320	0.3377527	0.0470080	0.0001850	0.6176528	0.6774354	0.0494475	0.0778531	0.0092724	0.1906340	0.5688461	0.6166380	0.0177865	0.2681171	0.1997764	0.3913277	0.0885762	0.3912768	0.2183537	0.7219549	0.6632671	0.5328215	0.5071286	0.7766689	0.4941370	0.0954683	0.3623003	0.3151601	0.1884890	0.4964332	0.2935281	0.0976542	0.4477306
0.6414359	0.3277212	0.4646558	0.7275901	0.8116799	0.4750558	0.5762658	0.2808736	0.6973877	0.0529215	0.0320590	0.5070534	0.1670749	0.1741966	0.5906682	0.5229724	0.2783228	0.6200472	0.8333643	0.0435304	0.0013988	0.6060287	0.6937652	0.0273185	0.0612933	0.0171604	0.1444578	0.4269899	0.6576431	0.0317825	0.3497446	0.3310624	0.3264204	0.0536297	0.3145142	0.1593043	0.6013869	0.5861996	0.4870638	0.4949466	0.6967723	0.5546501	0.0626289	0.3997148	0.3163784	0.1669413	0.4480031	0.4820336	0.0789331	0.4702857
0.7113559	0.2100043	0.3800132	0.6469808	0.7448928	0.6357270	0.7285913	0.3444999	0.6771923	0.0664143	0.0170928	0.7782247	0.1653377	0.2093186	0.5498193	0.5734861	0.3535618	0.6132608	0.6583336	0.0824476	0.0005213	0.5003142	0.6847945	0.0353928	0.0650457	0.0155994	0.1619903	0.4457788	0.7133395	0.0133454	0.2985675	0.2470269	0.2352606	0.1221635	0.4452138	0.2280185	0.6027815	0.5298427	0.6524502	0.6275414	0.6871721	0.6058276	0.0805834	0.5568121	0.2163096	0.1411277	0.4881318	0.4689634	0.0605006	0.4292048
0.6993772	0.2158445	0.3273383	0.6759374	0.6731612	0.5691389	0.5597934	0.2823005	0.5642660	0.0605425	0.0176360	0.6810982	0.1550388	0.1901446	0.5781628	0.7768684	0.3006044	0.7220237	0.5561010	0.0539910	0.0036356	0.2740790	0.7020504	0.0315832	0.0718545	0.0191834	0.1430461	0.5634867	0.6525776	0.0289758	0.3408392	0.3105042	0.2732509	0.1124613	0.2979109	0.2078911	0.6999812	0.4676034	0.6704103	0.4680780	0.6507974	0.4800735	0.0893639	0.3132307	0.3352629	0.1085934	0.4332348	0.3961526	0.0503728	0.4659098
0.6772161	0.3003730	0.4194535	0.5591528	0.5623602	0.6531914	0.5886800	0.2633482	0.7295192	0.0513038	0.0266936	0.6335594	0.1979279	0.1386656	0.2905195	0.6193177	0.2593166	0.5925433	0.7508526	0.0881517	0.0009629	0.6381262	0.3593273	0.0658027	0.1162520	0.0048530	0.1754232	0.5008439	0.6648398	0.0241073	0.3442169	0.2082655	0.2927470	0.0955840	0.3326557	0.2025056	0.6100642	0.5376756	0.5819269	0.4978373	0.7744281	0.5107903	0.0593502	0.4645398	0.3465359	0.6555336	0.5461140	0.3628689	0.0655124	0.3685518
0.7662050	0.3136280	0.3755926	0.7440566	0.6457211	0.6319117	0.7185172	0.2136361	0.7609967	0.0516957	0.0164564	0.6763210	0.1577025	0.1469301	0.6267299	0.6905016	0.2914312	0.4800951	0.6496261	0.0565939	0.0029133	0.6350845	0.7181192	0.0254847	0.1243658	0.0110965	0.2075491	0.4296758	0.6164439	0.0507681	0.3458678	0.2521077	0.2527722	0.1205536	0.3652052	0.1915173	0.5937724	0.4761692	0.5804507	0.5269291	0.7282230	0.4451005	0.0748554	0.3948835	0.2360355	0.1515652	0.5732604	0.4803923	0.0928992	0.4161588
0.7132789	0.3606444	0.3666267	0.7537178	0.6635846	0.5823578	0.7632990	0.3296138	0.5909999	0.0371861	0.0132731	0.7130354	0.1569151	0.1706294	0.5983156	0.7615073	0.3689139	0.4761065	0.6791698	0.0617001	0.0141905	0.5434309	0.6565699	0.0232511	0.0288157	0.0112321	0.1899294	0.5438323	0.6643680	0.0311598	0.2455456	0.2852523	0.2879151	0.1360448	0.3132392	0.1960237	0.5795153	0.5141728	0.5940273	0.4303086	0.8155359	0.5063727	0.0485633	0.3541140	0.2516427	0.0888508	0.5700957	0.2464220	0.0657839	0.3360152
0.6125816	0.2553084	0.3606537	0.6193601	0.5545316	0.5822664	0.6646553	0.2993368	0.7436933	0.0651507	0.0251918	0.6528588	0.1852611	0.2067906	0.6247439	0.6685833	0.3418864	0.5646613	0.5646703	0.0595980	0.0017262	0.5394477	0.5979535	0.0363978	0.0729110	0.0497747	0.1288056	0.4836440	0.7327201	0.0312417	0.2575659	0.2682139	0.2867082	0.0861823	0.4077573	0.2144035	0.7821975	0.6419395	0.5833350	0.3980404	0.6475022	0.6009698	0.0896255	0.3984124	0.2647179	0.1432623	0.4903089	0.3207891	0.0877822	0.4563662
0.5960772	0.2879998	0.2618111	0.7732067	0.7817888	0.6086286	0.6888194	0.2944874	0.7078752	0.0359182	0.0185670	0.6066043	0.1988905	0.1442331	0.5065275	0.6677527	0.3572131	0.5599766	0.6984168	0.0631660	0.0033506	0.6595699	0.6524016	0.0533839	0.0832927	0.0261610	0.0779731	0.5261055	0.5834390	0.0132100	0.2951771	0.2356627	0.3371896	0.1421497	0.4541862	0.1227701	0.6214384	0.6404816	0.6023987	0.5746498	0.5833958	0.6030835	0.0374589	0.3762959	0.3461333	0.0996108	0.4089010	0.3559410	0.0620684	0.4472660
0.7192680	0.3308960	0.3565119	0.7663936	0.7096152	0.5232022	0.6367839	0.3270818	0.7050767	0.0295167	0.0377688	0.8172687	0.1351488	0.1635604	0.5647536	0.7048235	0.3036933	0.4764286	0.6189983	0.0633282	0.0118752	0.7066071	0.5950847	0.0484820	0.0788430	0.0043832	0.1518868	0.3683199	0.6191469	0.0274404	0.2839788	0.2324943	0.2770819	0.1082545	0.4234919	0.2381774	0.5904203	0.6218839	0.7631014	0.3774466	0.6796213	0.4957952	0.0816295	0.4484891	0.2770898	0.1482162	0.5085665	0.4247841	0.0600967	0.4756641
0.6929280	0.3130617	0.4644300	0.6717246	0.7935868	0.5675123	0.6655867	0.2931862	0.6913719	0.0458599	0.0216578	0.7347117	0.1918200	0.1593648	0.6083938	0.6424304	0.3149118	0.4277823	0.6337743	0.0596999	0.0002010	0.6561869	0.6270665	0.0424497	0.0916098	0.0107351	0.2209246	0.5827646	0.3807916	0.0273275	0.3336717	0.2502646	0.2441902	0.0743960	0.4821416	0.2474007	0.6493135	0.7315763	0.7488348	0.5453470	0.6599630	0.6429828	0.0736840	0.3514305	0.2296857	0.1776308	0.4298946	0.3695443	0.0570053	0.4071840
0.5467439	0.2754150	0.4454992	0.7618866	0.6098912	0.5891062	0.7290154	0.3386272	0.6924749	0.0498653	0.0208554	0.5887549	0.1361051	0.1799714	0.6010406	0.6061251	0.3561529	0.4964324	0.8074237	0.0274877	0.0006542	0.6542556	0.7813618	0.0221446	0.0733159	0.0114526	0.2327317	0.5695326	0.5920469	0.0120580	0.3180027	0.2696141	0.3051908	0.1017381	0.5016196	0.1711826	0.5996978	0.5566501	0.5922252	0.4350052	0.6567466	0.5693602	0.0994776	0.4622428	0.3441800	0.1302559	0.5172843	0.4006252	0.0918050	0.4401630
0.6440871	0.1418464	0.2944954	0.7067124	0.6400054	0.5924252	0.7499295	0.3127765	0.6918674	0.0359750	0.0210305	0.7407459	0.1596222	0.1666829	0.7802792	0.6946442	0.3153916	0.5105768	0.7017024	0.0614376	0.0018500	0.6796172	0.7004771	0.0340115	0.1417700	0.0125412	0.2328956	0.5580148	0.5904879	0.0123586	0.1798229	0.1756155	0.2242307	0.1500781	0.4505142	0.1879698	0.6778582	0.5212905	0.5978987	0.6383112	0.6093389	0.6229775	0.0712518	0.3732981	0.2771907	0.2148392	0.6592147	0.2564867	0.0675683	0.4336480
0.7140082	0.2898790	0.3624027	0.7125204	0.6181048	0.5288802	0.6956740	0.2255665	0.7327435	0.0299472	0.0205373	0.7190419	0.1844905	0.2836369	0.5849387	0.7620441	0.2795559	0.4783267	0.6320247	0.1157349	0.0013066	0.6733671	0.6687062	0.0431730	0.0499473	0.0142714	0.1398336	0.6898741	0.6888445	0.0569047	0.3665244	0.1109254	0.3659447	0.1008358	0.3803868	0.2152120	0.6407065	0.5289089	0.7307016	0.5208165	0.6283170	0.5394464	0.1101941	0.5060962	0.2579946	0.1216210	0.4781615	0.5908729	0.1245737	0.2900688
0.8341585	0.2652750	0.3120064	0.6339665	0.7723867	0.6745310	0.6888245	0.3412483	0.6926909	0.0665257	0.0069525	0.6804326	0.1240956	0.2691871	0.5673953	0.7469243	0.3564557	0.4952950	0.7174153	0.0590556	0.0045581	0.5537877	0.6400641	0.0327176	0.0991330	0.0167016	0.1759599	0.5387819	0.6842832	0.0728882	0.3011224	0.2983636	0.1209151	0.0913470	0.4730840	0.1862258	0.5908947	0.4556434	0.5790796	0.4862431	0.5808657	0.6557306	0.0894335	0.3902420	0.2179732	0.1688408	0.5688944	0.3541187	0.0993790	0.3303407
0.7476926	0.2263269	0.3527960	0.6210895	0.7825771	0.5898764	0.6728678	0.2736867	0.7379338	0.0445293	0.0251108	0.7836098	0.1674723	0.1644971	0.6836451	0.5508866	0.2318225	0.4245465	0.6510949	0.0579121	0.0020213	0.6974709	0.6825335	0.0371734	0.0953719	0.0135357	0.1983174	0.4969498	0.8370528	0.0448124	0.3500672	0.3227125	0.2802166	0.0924977	0.3774580	0.2375776	0.6369309	0.5672125	0.5836512	0.4315471	0.6293080	0.6024418	0.0887952	0.5181115	0.2675490	0.1472622	0.5988119	0.4526670	0.0671281	0.4745619
0.7497122	0.1484731	0.3425161	0.6515184	0.6053349	0.5561230	0.6393705	0.4387118	0.7742930	0.0465284	0.0221726	1.0000000	0.1604582	0.1786315	0.5221115	0.5838282	0.2734648	0.5702036	0.7159476	0.1342926	0.0001738	0.5748851	0.6869929	0.0256802	0.0787833	0.0330287	0.1892829	0.5348210	0.5887335	0.0332389	0.3044077	0.1923842	0.2976141	0.1069995	0.1480177	0.1545291	0.5979150	0.5740883	0.5160455	0.6143780	0.6078147	0.6181889	0.0856587	0.3255507	0.3034798	0.1285317	0.4637333	0.2664208	0.0749905	0.5292587
0.6669645	0.3066644	0.3948303	0.6505480	0.6360434	0.6603268	0.6375084	0.2856213	0.6454286	0.0812238	0.0217172	0.7485848	0.1999980	0.2211745	0.5546080	0.7498194	0.2914764	0.5443121	0.7189778	0.0541390	0.0005112	0.6003499	0.5305334	0.0577681	0.0665600	0.0153415	0.2252505	0.4540257	0.6419727	0.0310729	0.2502501	0.2580232	0.2721042	0.1157329	0.4584440	0.0889126	0.6465814	0.5319239	0.6274246	0.4786211	0.6596030	0.6973020	0.0880744	0.4348789	0.3131059	0.2089367	0.4764211	0.2626070	0.0953680	0.3188587
0.6679096	0.3024317	0.4657551	0.6974757	0.6245309	0.5042532	0.6038654	0.3480723	0.8893844	0.0442574	0.0252231	0.5406336	0.1529779	0.2713195	0.6341030	0.6784599	0.2976899	0.4577147	0.5951653	0.0790911	0.0003269	0.6375609	0.6441457	0.0589006	0.0538689	0.0155000	0.1782652	0.5546876	0.5038959	0.0250525	0.2915232	0.2860448	0.3162211	0.0758506	0.3310905	0.1962467	0.3399116	0.5582352	0.5328635	0.3468918	0.8134942	0.5789727	0.0963134	0.3903605	0.3132326	0.2293992	0.4810478	0.3028453	0.0667267	0.4241943
0.6848165	0.1637040	0.4927588	0.6119021	0.8012730	0.6621982	0.6057093	0.3184279	0.6175901	0.0611574	0.0137380	0.6251240	0.1269598	0.1778151	0.5827457	0.7537562	0.3321023	0.6216795	0.6785252	0.0516193	0.0051571	0.6902813	0.6998558	0.0269891	0.0653446	0.0200875	0.1324790	0.5624056	0.5736623	0.0250018	0.2788823	0.1755328	0.2935466	0.0869528	0.3911727	0.2627518	0.7557157	0.2462063	0.7202109	0.5588080	0.7018548	0.6270309	0.1352212	0.3591737	0.2964804	0.1240051	0.5933898	0.3265288	0.0748294	0.4465883
0.7626762	0.2079762	0.4533269	0.6778327	0.7360949	0.4521824	0.5614440	0.2936667	0.6732642	0.0579650	0.0328543	0.6875158	0.1608109	0.1561719	0.5890738	0.5530303	0.3113012	0.5136529	0.6114670	0.0631277	0.0061691	0.6545286	0.5946857	0.0353787	0.0632908	0.0135845	0.1518703	0.4315526	0.6815157	0.0368748	0.3889108	0.2493814	0.2452975	0.0985239	0.4108584	0.2509426	0.7800187	0.6051045	0.3424027	0.5469411	0.6270252	0.6896920	0.1218230	0.4627118	0.2950694	0.1349010	0.5319897	0.3808282	0.0764659	0.3541594
0.6705781	0.2069599	0.3062809	0.6673165	0.6027178	0.6242610	0.6661152	0.4103507	0.6726447	0.0476046	0.0360398	0.7074613	0.1515818	0.1601874	0.5701272	0.7383415	0.4150851	0.5155395	0.6489437	0.0705385	0.0008341	0.6404143	0.7691122	0.0185600	0.1030662	0.0330914	0.1912260	0.4460392	0.5982156	0.0188560	0.3241850	0.2484719	0.2737666	0.1288996	0.4580150	0.1590463	0.6492553	0.5268635	0.6683677	0.3150312	0.7782569	0.5842629	0.0486879	0.3728282	0.3707557	0.1426193	0.5515576	0.4778646	0.0917967	0.4746556
0.7426783	0.2821539	0.4469900	0.6954242	0.5816647	0.4846051	0.6897363	0.3472308	0.7113485	0.0739917	0.0072188	0.7549921	0.1401394	0.2167275	0.7536720	0.6714436	0.2300790	0.4492564	0.6974412	0.0357176	0.0007439	0.6897348	0.6955591	0.0223231	0.0904903	0.0096839	0.1693141	0.5928249	0.6011867	0.0196901	0.2678073	0.1945332	0.2687196	0.1109604	0.4288528	0.1597471	0.7852213	0.5476486	0.6089774	0.4534186	0.3744473	0.5508934	0.1012230	0.3781536	0.2819586	0.1193019	0.4686401	0.4353140	0.0828546	0.4479701
0.6410252	0.2195079	0.3545460	0.7071232	0.6459564	0.5654937	0.5209608	0.2817500	0.6944168	0.0870580	0.0262392	0.6106534	0.1745827	0.1421734	0.5834459	0.5932669	0.3050769	0.6029086	0.6486669	0.0801600	0.0009352	0.6227914	0.5866053	0.0375511	0.0888874	0.0142666	0.1307681	0.3620489	0.7250705	0.0519332	0.2598424	0.2933410	0.2394618	0.0816631	0.4890759	0.2094466	0.7885535	0.5399172	0.6600954	0.4686659	0.6524894	0.3073493	0.1117479	0.3807459	0.2918065	0.1589753	0.5151399	0.2759666	0.0727600	0.4530147
0.7628960	0.2461199	0.4375429	0.6288424	0.6617238	0.6266434	0.6578844	0.3629470	0.7191327	0.0608248	0.0254165	0.6938229	0.1475843	0.1730598	0.5379890	0.6827898	0.3104710	0.6766427	0.6651126	0.0761061	0.0011302	0.7020923	0.6768937	0.0215569	0.1002846	0.0153737	0.1538788	0.5429591	0.7078024	0.0378477	0.3157524	0.2895162	0.3416889	0.1344064	0.4641610	0.1595769	0.6848912	0.5324049	0.5761803	0.4772943	0.6311321	0.5220878	0.0288656	0.3233633	0.3003041	0.1442047	0.4725292	0.3318417	0.0752530	0.4392748
0.6889367	0.1865141	0.3382630	0.6837206	0.7052826	0.5707002	0.6704068	0.2236913	0.7736726	0.1151686	0.0080606	0.6829469	0.1753168	0.1548709	0.5208069	0.6728228	0.2888921	0.6473007	0.6680542	0.0631362	0.0025055	0.7563941	0.7109809	0.0352281	0.0941246	0.0132529	0.1685675	0.5296089	0.6643136	0.0240679	0.3575848	0.2545260	0.2244394	0.1645973	0.4066596	0.2348372	0.7002446	0.4915717	0.5778592	0.5974069	0.6800311	0.4957774	0.1271749	0.2253702	0.3135505	0.1830187	0.5144853	0.2916203	0.0871159	0.4777745
