YBL005W	YGL013C	YOR140W	YBR182C	YHL027W	YGL162W	YGR249W	YGR044C	YER045C	YCR097W	YCL067C	YPL177C	YOL089C	YML099C	YMR019W	YKL185W	YCL066W	YCR040W	YDR421W	YMR070W	YLR013W	YGL254W	YMR021C	YHR006W	YJL110C	YDR393W	YGR136W	YLR300W	YLR393W	YCL043C	YGR282C	YDR420W	YCR104W	YOR268C	YNR008W	YOR209C	YPR203W	YKR097W	YDR282C	YPR198W	YML111W	YDR351W	YDR058C	YPR169W	YBL109W	YIL014CA	YOR280C	YLR390W	YDR402C	YPL249CA
0.5552370	0.7127591	0.5078730	1.0000000	0.7403361	0.8062375	0.2150907	0.3091216	0.4817977	0.8083511	0.0643454	0.0762944	0.9721715	1.0000000	0.0013255	0.2792959	0.9914791	0.5432105	1.0000000	0.0000376	0.8712550	0.8023894	1.0000000	0.6563088	0.9584541	0.3022391	0.7028985	0.9992287	0.0001379	0.4536082	0.0752981	0.8270346	0.1412312	0.3831045	0.6394852	0.1372997	0.9797519	0.0506839	0.7585428	0.2322094	0.7697498	0.0333691	0.1497976	0.0529169	0.2505981	0.8708591	0.7870389	0.6200971	0.7102100	0.2954469
0.5850050	0.6693213	0.3186073	1.0000000	0.7872979	1.0000000	0.2574891	0.0258740	0.9139064	0.7856929	0.0720011	0.0635915	0.7627578	0.8288015	0.0591064	0.3240631	0.5990871	0.6495379	1.0000000	0.0000177	1.0000000	1.0000000	0.7314945	1.0000000	1.0000000	0.1182013	0.4440848	0.9992264	0.0064600	0.7916572	0.0081691	0.6252160	0.1088827	0.4271186	0.6882512	0.2149472	0.9699646	0.0545214	0.7704078	0.4250238	0.7869250	0.0352018	0.1527015	0.0514429	0.1856585	0.9205870	0.9097458	0.6200971	0.6648081	0.4603824
0.4044645	0.9786852	0.3241531	1.0000000	0.9530637	1.0000000	0.2126407	0.3039428	0.8442560	0.8284961	0.1693736	0.2247356	0.6379706	0.8762059	0.0544703	0.3999941	0.9588462	0.4479996	1.0000000	0.0000156	0.7853437	1.0000000	0.9772349	0.8880795	0.6421846	0.3617883	0.5763442	0.9992242	0.0003550	0.8033038	0.0347796	0.7265603	0.1856737	0.2056680	0.6280514	0.1332775	0.9421928	0.1525030	0.8232545	0.6615080	0.8840215	0.0530571	0.1319427	0.0158286	0.3723794	0.8317080	0.5825390	0.6200971	0.7262659	0.2084097
0.2962422	1.0000000	0.1751511	0.9496863	0.8178035	1.0000000	0.2482566	0.0651121	0.3084610	0.8858754	0.0720047	0.0203722	1.0000000	0.9965612	0.0571691	0.4232541	0.9407995	0.7676867	1.0000000	0.0000140	0.9098516	0.7497291	1.0000000	0.8665509	1.0000000	0.1102203	0.5863147	0.8858415	0.0065250	0.3873801	0.0135015	0.7683570	0.0309502	0.1993276	0.5957531	0.4493627	0.9892652	0.0857634	0.8475721	0.1816437	0.7795901	0.0585484	0.1497976	0.0110165	0.4112402	0.9896589	0.9909346	0.6332945	0.8554201	0.1983299
0.4332716	0.9198643	0.0628601	0.4036844	0.5343104	1.0000000	0.3506297	0.1474526	0.8335629	0.8281583	0.0593492	0.0193637	0.5957407	0.5690928	0.0627582	0.8078778	0.9994720	0.5057958	1.0000000	0.0453170	1.0000000	1.0000000	0.7053709	0.7649615	1.0000000	0.4079763	0.5049277	0.9440849	0.0121502	0.8253996	0.2214443	0.0549842	0.2626598	0.2425680	0.7724672	0.4702287	0.9591757	0.3149362	0.6904455	0.1627792	0.8354850	0.3590033	0.3124663	0.0362645	0.1374237	0.9596348	0.9700151	0.3824620	0.5831298	0.5603527
0.3485532	1.0000000	0.1533508	1.0000000	0.7901778	1.0000000	0.2565980	0.0030777	0.4866685	0.8120860	0.0421129	0.0014718	1.0000000	1.0000000	0.0014441	0.3999941	0.8067454	0.2430024	1.0000000	0.0453170	1.0000000	1.0000000	1.0000000	0.9511038	1.0000000	0.1444107	0.6895505	0.9992242	0.0064600	0.7381057	0.0752981	0.6252175	0.0372015	0.1967420	0.8166230	0.3042045	0.9167047	0.1293296	0.9439366	0.0981976	0.7796825	0.0212036	0.1497976	0.0306497	0.0568561	0.9999421	0.9898222	0.7951210	0.6660687	0.2026252
0.3946140	1.0000000	0.1238443	0.8023081	0.8759430	0.9809403	0.2351752	0.8181189	0.6489182	0.8120860	0.2313181	0.0363643	1.0000000	0.8625433	0.0571691	0.3693700	0.9174616	0.2000026	1.0000000	0.0453184	0.7359621	0.9825181	1.0000000	0.6829095	0.5777493	0.0992551	0.6429675	0.9915827	0.0006631	0.8098637	0.0197724	0.7574594	0.0405518	0.2092926	0.8609813	0.4446583	0.8485695	0.0696763	0.8980114	0.6016972	0.7791282	0.0827960	0.0261279	0.0159755	0.6750113	0.5643106	0.9925026	0.6138097	0.7780004	0.3295286
0.3184421	1.0000000	0.6277906	0.7484100	0.7433136	1.0000000	0.2716097	0.0220904	0.5015427	0.8029403	0.0094785	0.2583553	0.9342199	0.5880258	0.0019328	0.5380212	0.8649843	0.6603793	1.0000000	0.0000194	0.8285005	1.0000000	1.0000000	0.6297261	1.0000000	0.1307495	0.7278018	0.9968512	0.0070019	0.8162881	0.0292822	0.4309068	0.1473928	0.2141706	0.8043251	0.6012876	0.5476638	0.7701807	0.8731918	0.0008794	0.7900119	0.0963055	0.1497976	0.0121492	0.5096819	0.7123409	0.8065019	0.6102850	0.6960837	0.1991373
0.3018215	1.0000000	0.2822400	1.0000000	0.8336541	1.0000000	0.2436392	0.0481015	0.8866515	0.8120860	0.0731838	0.0004934	1.0000000	1.0000000	0.0571691	0.3999941	0.9814079	0.5867816	0.7842752	0.0080955	1.0000000	1.0000000	0.9663815	0.7933616	0.9188589	0.1063035	0.7631130	0.9973844	0.0064600	0.8064161	0.0104069	0.9160722	0.0469377	0.1967420	0.5863591	0.1882032	0.9872930	0.0781639	0.9388545	0.0008728	0.8182015	0.0342146	0.1577158	0.0306497	0.3491672	0.7130290	0.9915120	0.6200971	0.6841928	0.2026252
0.3688157	1.0000000	0.2254742	1.0000000	0.8245882	1.0000000	0.2462652	0.0754854	0.3490260	0.8120860	0.0552619	0.0426072	1.0000000	0.8659914	0.0571691	0.3999941	0.9919360	0.6788614	1.0000000	0.0000141	1.0000000	0.7834167	1.0000000	0.7559289	1.0000000	0.1085268	0.5863166	0.9096544	0.0064600	0.4890276	0.0139744	0.6252165	0.1371906	0.1967420	0.8971480	0.2466025	0.9872930	0.0781639	0.9329631	0.5296387	0.8834807	0.0402588	0.1497976	0.0306497	0.3364076	0.5236302	0.9574292	0.7389624	0.7398412	0.2181704
0.3961452	0.9564583	0.2696841	0.9822745	0.7777090	1.0000000	0.2604860	0.3403424	0.4645177	0.7859604	0.0732621	0.1116384	0.8304863	1.0000000	0.0025733	0.4079617	0.9672894	0.6009880	0.9278180	0.0453170	1.0000000	0.8215068	0.7062081	0.9764126	0.8551415	0.3348719	0.4987056	0.9688139	0.0003228	0.5911884	0.0169866	0.7523939	0.1691397	0.1616577	0.8757196	0.5551698	0.7664527	0.3370260	0.7790193	0.4664706	0.8836487	0.0341200	0.3115258	0.0145273	0.2595118	0.8514829	0.8414949	0.6700089	0.6632081	0.2129916
0.3946140	1.0000000	0.2710002	1.0000000	0.7554178	0.8153045	0.0812379	0.2960782	0.4544807	0.8959726	0.2351520	0.1622914	0.9456346	1.0000000	0.0574574	0.2757170	0.6082694	0.3165437	0.6655210	0.0453376	0.8900083	1.0000000	1.0000000	0.8355218	0.6337438	0.0109023	0.7759961	0.9992290	0.0064600	0.7381056	0.0752981	0.7556088	0.1454544	0.1967420	0.5180552	0.0082198	0.9897465	0.3146671	0.8507984	0.2397804	0.8156511	0.0468492	0.0805838	0.0060135	0.3413798	0.8638359	0.4963640	0.6200972	0.7231812	0.2026252
0.3654530	1.0000000	0.4040573	0.6687006	0.6100128	0.8117298	0.3490196	0.2084331	0.7636643	0.9131577	0.1122873	0.2332745	1.0000000	0.9218438	0.0015877	0.5936902	0.8862622	0.5339292	0.6955624	0.0000245	0.9930860	1.0000000	1.0000000	1.0000000	1.0000000	0.3777709	0.5863147	0.9698238	0.0006651	0.7496324	0.0426155	0.4404625	0.1371906	0.1523248	0.8996470	0.5559544	0.9874307	0.1723790	0.9329646	0.4687372	0.7781665	0.0910250	0.1497976	0.0306497	0.1130148	0.7169021	0.9704836	0.4899974	0.6366444	0.3061270
0.3946140	1.0000000	0.2201684	0.7899312	0.6391511	0.7802751	0.3622748	0.5492568	0.8960908	0.8093108	0.1224453	0.2296829	0.9106112	1.0000000	0.0014284	0.5113340	0.9755969	0.6078394	0.8081686	0.0222319	1.0000000	0.7761669	1.0000000	1.0000000	0.8431070	0.2187329	0.5863147	0.9975729	0.0004846	0.4081308	0.0948965	0.4481913	0.1516551	0.2103410	0.6952353	0.5612994	0.9872930	0.1434255	0.9240729	0.1063711	0.8484020	0.0856140	0.1497976	0.0306497	0.8138918	0.7177262	0.9664952	0.4834947	0.7157043	0.1875516
0.3375993	0.6907490	0.3474246	0.9517104	0.8151891	1.0000000	0.2490299	0.2912336	0.6239744	0.9033711	0.0720011	0.2256012	1.0000000	0.8601574	0.0571691	0.4222792	0.8245586	0.5841071	1.0000000	0.0453170	1.0000000	0.7548037	1.0000000	1.0000000	1.0000000	0.1108820	0.6045159	0.9990140	0.0004128	0.5707162	0.0113078	0.5878117	0.1371906	0.4066360	0.9191534	0.1984776	0.6886879	0.1113470	0.9017508	0.1399813	0.7005742	0.0583064	0.0390489	0.0465419	0.1828534	0.8818296	0.9908352	0.7377928	0.6766999	0.4184451
0.4052850	0.6977298	0.4225102	1.0000000	0.9021340	1.0000000	0.0315542	0.5409932	0.9124289	0.9032732	0.1616685	0.0358187	1.0000000	0.7256343	0.0011952	0.3999941	0.5538748	0.4359589	0.6937153	0.0453170	0.7421683	1.0000000	1.0000000	0.6465308	0.7814187	0.1456349	0.6376045	0.9992242	0.0003726	0.8390605	0.0752981	0.7442453	0.1371906	0.3529289	0.8681374	0.3071457	0.9666217	0.2272341	0.9639115	0.1882629	0.8570316	0.0189841	0.0498411	0.0424545	0.1802383	0.6854142	0.9999939	0.6200971	0.7095779	0.3011388
0.2833077	1.0000000	0.3789833	0.7679306	0.9460434	1.0000000	0.2142864	0.0150944	0.8265581	0.7649924	0.0468262	0.0844211	0.7272418	1.0000000	0.0596286	0.3348828	0.8945959	0.3483240	0.6521461	0.0000148	0.7478264	1.0000000	0.8864588	1.0000000	1.0000000	0.3444960	0.7110633	0.9972611	0.0006946	0.8594755	0.0985567	0.4053960	0.2011090	0.2123073	0.9384919	0.2068821	0.9934650	0.0577464	0.8911613	0.0484245	0.8194767	0.0560952	0.0592168	0.0160569	0.4433162	0.9991385	0.9545258	0.4666759	0.7869355	0.4384294
0.3300129	1.0000000	0.4440799	0.5361025	0.6045952	1.0000000	0.1796981	0.8008677	0.6642370	0.7721521	0.1182549	0.2164510	0.7599238	1.0000000	0.0591447	0.6975535	0.6918712	0.8022048	1.0000000	0.0000161	0.9972217	0.6424253	1.0000000	1.0000000	0.8001671	0.0579930	0.5863133	0.9845425	0.0086358	0.1929520	0.1923278	0.4092045	0.0715983	0.2175882	0.9240190	0.1567847	0.9873480	0.1765327	0.9926533	0.0948077	0.8161554	0.2022674	0.0409626	0.0306497	0.1616815	0.5730030	0.9970952	0.3743281	0.6727411	0.1361073
0.3946140	1.0000000	0.5677370	1.0000000	0.8874063	1.0000000	0.2288767	0.2070748	0.7910282	0.8120860	0.0805224	0.2359614	1.0000000	0.7822732	0.0571691	0.3952663	0.9933416	0.5007399	1.0000000	0.0000148	1.0000000	1.0000000	0.7448130	1.0000000	0.9495206	0.0941410	0.5585229	0.9032810	0.0003778	0.7381057	0.0752981	0.8195448	0.1281241	0.1967420	0.8769625	0.1611192	0.9872930	0.2644801	0.9082725	0.3652771	0.9010387	0.0530571	0.1432087	0.0106419	0.4005535	0.9303713	0.9931840	0.6200973	0.8861282	0.3175611
