YBL005W	YGL013C	YOR140W	YBR182C	YHL027W	YGL162W	YGR249W	YGR044C	YER045C	YCR097W	YCL067C	YPL177C	YOL089C	YML099C	YMR019W	YKL185W	YCL066W	YCR040W	YDR421W	YMR070W	YLR013W	YGL254W	YMR021C	YHR006W	YJL110C	YDR393W	YGR136W	YLR300W	YLR393W	YCL043C	YGR282C	YDR420W	YCR104W	YOR268C	YNR008W	YOR209C	YPR203W	YKR097W	YDR282C	YPR198W	YML111W	YDR351W	YDR058C	YPR169W	YBL109W	YIL014CA	YOR280C	YLR390W	YDR402C	YPL249CA
0.4398512	1.0366698	0.1285404	0.9797890	0.7126105	1.0001316	0.3246585	0.0228161	0.8123875	0.9736838	0.0537213	0.1812499	0.9809802	0.8976997	0.0606488	0.4021740	1.0369460	0.5209838	1.0840523	0.0460720	0.9944775	0.9966853	1.0265726	0.9520722	1.0340678	0.1428125	0.6569088	0.9688247	0.0110192	0.8103580	0.0888832	0.6518177	0.1519985	0.1791739	0.8890437	0.2664128	0.8958541	0.1131716	0.8633761	0.3274580	0.7205991	0.0635703	0.1393367	0.0399845	0.2868166	1.0392285	0.9912733	0.6436332	0.7438380	0.1925642
0.4017228	0.9430632	0.2857608	1.0788964	0.8462226	0.9939862	0.2608980	0.1956553	0.7563543	0.9285781	0.0602440	0.1334989	1.0525577	1.0073881	0.0701643	0.3886008	1.0150029	0.5943871	0.9208750	0.0449108	1.0138261	1.0500447	1.0287807	0.9421727	1.0076528	0.2149900	0.6304210	0.9940247	0.0069402	0.8210189	0.0792890	0.8184665	0.1833396	0.2331207	0.8857765	0.3778493	1.0327619	0.1075587	0.8955972	0.3627217	0.8116290	0.0609346	0.1112473	0.0357923	0.2731623	0.8868027	0.9167050	0.6408126	0.7389571	0.2039446
0.4217000	0.9784716	0.2205018	1.0299439	0.7871298	1.0174128	0.2328932	0.1286889	0.7330009	0.6761146	0.0744406	0.2604402	0.5340032	1.0099989	0.0786020	0.4183915	0.9432461	0.6530364	1.0242936	0.0552142	0.9693922	0.9982356	1.0224287	1.0417711	0.9948693	0.1438711	0.7220984	0.9072245	0.0066746	0.7577259	0.0618220	0.6928020	0.3727937	0.2355406	0.9853711	0.2394220	1.0827907	0.0926969	0.9739578	0.2898884	0.7697566	0.0359082	0.1594522	0.0184703	0.2979161	0.9528601	1.0074347	0.7042863	0.6973890	0.2317558
0.3932713	1.0383303	0.1298450	0.9805761	0.7288100	1.0440393	0.2826656	0.0371408	0.7070464	0.8801548	0.0575277	0.3124327	1.0495444	0.5032013	0.0733496	0.3780424	1.0661108	0.6153838	1.0346429	0.0407394	1.0406231	1.0613296	1.0229952	1.0001425	1.0238432	0.1533423	0.5779454	1.0655758	0.0128651	0.7315288	0.0924740	0.7824613	0.1393038	0.1888398	0.8763672	0.2864938	1.0223407	0.0791374	0.8275846	0.3435080	0.8316491	0.0347881	0.1607246	0.0279552	0.2715878	1.0190739	0.9159694	0.6717455	0.6977000	0.1851099
0.4218426	0.9980401	0.1113926	1.0572287	0.7992270	0.9677846	0.2482748	0.1469671	0.6827317	0.8542565	0.0861160	0.2206161	1.0274668	1.0501119	0.0183102	0.4114746	1.0284025	0.6622612	1.0618413	0.0592539	0.9981549	1.0658084	1.0856184	1.0197586	0.9578368	0.1397547	0.7166153	0.9291453	0.0079901	0.7590262	0.0564084	0.8467785	0.1823107	0.1829361	0.9451777	0.2717029	0.9191616	0.1079830	0.8125541	0.3171401	0.7989742	0.0469238	0.1847380	0.0350355	0.2900681	0.9944443	0.9654502	0.6261701	0.7581470	0.1966351
0.4177474	1.0297394	0.1827784	1.0451116	0.7004641	0.9376728	0.2963282	0.1024413	0.6536331	0.9307917	0.0561826	0.2111991	0.9900792	0.9995321	0.0746287	0.2278799	1.0418824	0.6329744	1.0304391	0.0427295	1.0668215	1.0768327	1.1153820	0.9782067	1.0499074	0.1094391	0.6829734	1.1154211	0.0124106	0.6871152	0.0580981	0.7663581	0.1558654	0.2141646	0.8812670	0.2040056	1.0364132	0.0420120	0.8564634	0.3124746	0.7505997	0.0634675	0.1339281	0.0383846	0.2626241	1.0300471	0.9607901	0.6534981	0.7453553	0.2072011
0.4074568	1.0180409	0.1869206	1.0551974	0.7330707	1.0255430	0.2600875	0.0860013	0.7309042	0.8771477	0.0861906	0.2448087	1.0383301	0.9955415	0.0743995	0.4729291	0.4639950	0.5418265	1.0321794	0.0424915	1.0013820	0.9821125	1.0681006	1.0418149	1.0841453	0.1919772	0.6575061	0.9968224	0.0023825	0.6637619	0.0660925	0.8134320	0.1506680	0.1625377	0.9338780	0.3994480	1.0313824	0.1225238	0.8997927	0.3155685	0.7615981	0.0676469	0.1534378	0.0243124	0.2836496	0.9493671	1.0134598	0.6022954	0.6770216	0.1964910
0.3484094	1.0381377	0.1369349	0.9718229	0.7812674	0.9292523	0.2591638	0.0668386	0.7349845	0.8620185	0.0580589	0.2191795	0.9565442	1.0634602	0.0632381	0.4758386	1.0569416	0.2620380	1.0159334	0.0559504	0.9491992	1.0307890	0.9637966	1.0025739	1.0394488	0.1644542	0.6726647	1.1301445	0.0064717	0.6999581	0.0683691	0.6814593	0.1250852	0.1864474	0.8668901	0.3091143	0.9390697	0.1053205	0.8362640	0.2818893	0.8457480	0.0571409	0.1592807	0.0329817	0.2358210	0.9663123	0.9859953	0.6187757	0.6957575	0.1793451
0.3713593	1.0068574	0.4341347	1.0068141	0.7700443	1.0815307	0.2673089	0.4873089	0.7711417	0.8539796	0.2122391	0.2296301	0.9918164	0.9198914	0.0700529	0.4006046	0.9182511	0.6552622	0.5011760	0.0587936	1.0031414	1.0306927	1.0664312	1.0435538	0.9448415	0.1369927	0.6339771	0.9079656	0.0080356	0.7090608	0.0897718	0.7052861	0.1620259	0.2415352	0.7963050	0.1760306	1.0171291	0.1094286	0.8446506	0.3355086	0.7939505	0.0468140	0.1413494	0.0211304	0.2455170	0.6958177	1.0023702	0.6415067	0.6552338	0.2086879
0.4254110	1.0030454	0.1883533	0.9586298	0.8113036	1.0337174	0.2337191	0.0746437	0.6833476	0.8390007	0.0645360	0.1904133	0.9619961	0.9559898	0.0495728	0.4174270	1.0385346	0.5894823	1.0194325	0.0493668	1.1163913	1.0388629	1.0808230	0.9791977	0.9745894	0.1228565	0.6778851	1.0130406	0.0048460	0.6464673	0.0636333	0.6501016	0.1251119	0.2182883	0.8601670	0.2575748	0.9432746	0.1281634	0.7772085	0.2883306	0.7664125	0.0532148	0.1489943	0.0313192	0.2834360	0.9609198	1.0072829	0.6852585	0.6050915	0.2470366
