YBL005W	YGL013C	YOR140W	YBR182C	YHL027W	YGL162W	YGR249W	YGR044C	YER045C	YCR097W	YCL067C	YPL177C	YOL089C	YML099C	YMR019W	YKL185W	YCL066W	YCR040W	YDR421W	YMR070W	YLR013W	YGL254W	YMR021C	YHR006W	YJL110C	YDR393W	YGR136W	YLR300W	YLR393W	YCL043C	YGR282C	YDR420W	YCR104W	YOR268C	YNR008W	YOR209C	YPR203W	YKR097W	YDR282C	YPR198W	YML111W	YDR351W	YDR058C	YPR169W	YBL109W	YIL014CA	YOR280C	YLR390W	YDR402C	YPL249CA
0.0000000	0.6497542	0.0784174	0.6938247	0.4902009	0.6874230	0.2024471	0.0500541	0.6418184	0.5955005	0.1088406	0.1784924	0.7346338	0.7121702	0.0495916	0.2996103	0.7406706	0.5043589	0.7390288	0.0422049	0.6258017	0.7940941	0.5887431	0.6259824	0.7343731	0.1375030	0.4350259	0.6439427	0.0393702	0.5343210	0.0554438	0.4808576	0.0842292	0.2099350	0.7077651	0.2518254	0.8671757	0.0736781	0.6484904	0.1917493	0.5888130	0.0879895	0.0919355	0.0360625	0.1836821	0.6339708	0.6336980	0.3879022	0.6094594	0.1839627
0.8607241	0.0000000	0.2329392	0.8971742	0.6178078	0.6539971	0.2708112	0.0328520	0.5914139	0.5961063	0.0259097	0.2365708	0.6418173	0.7833206	0.0464711	0.3437994	0.6310064	0.4428777	0.6264255	0.0216489	0.8406451	0.6837186	0.8108023	0.7079192	0.7609538	0.1342169	0.4704770	0.6163817	0.0068726	0.5482740	0.0585454	0.5227033	0.1307443	0.6846679	0.2222939	0.1782925	0.2494830	0.1029836	0.2314964	0.1976935	0.0139209	0.0320358	0.0803667	0.6399183	0.1259513	0.7749465	0.6271318	0.4230274	0.4659313	0.4896470
0.2664676	0.7372656	0.0000000	0.7166689	0.6115283	0.7201896	0.1709272	0.0781138	0.4520474	0.7003697	0.0862935	0.0726587	0.7481393	0.9484460	0.0625235	0.3004114	0.6679485	0.4033355	0.6541912	0.0134887	0.7327185	0.5382502	0.6747022	0.7601098	0.6957177	0.1106838	0.5149993	0.6858300	0.0018721	0.4201783	0.0566742	0.5644500	0.0901912	0.1767610	0.5585597	0.2043273	0.6990899	0.1084691	0.5086042	0.1810918	0.5689110	0.0380205	0.1159355	0.0267181	0.1937698	0.6280318	0.6299862	0.4769379	0.3904111	0.1351274
0.2525530	0.7029601	0.0647188	0.0000000	0.1756599	0.7409938	0.3411310	0.0217993	0.5766050	0.5823235	0.0470018	0.2453980	0.7370687	0.6892024	0.0248152	0.7139710	0.6597775	0.4584207	0.6697755	0.0301021	0.6321360	0.7969236	0.5590982	0.7083597	0.7820624	0.2132716	0.4450487	0.2753533	0.7004718	0.5987440	0.9002248	0.0944443	0.1034621	0.7649209	0.6371117	0.4563555	0.7779562	0.1883825	0.4616814	0.0004321	0.0114408	0.6831626	0.0893197	0.0230582	0.1617466	0.7037593	0.7598363	0.0302294	0.2549942	0.0038146
0.2057867	0.6947931	0.1081850	0.7667945	0.0000000	0.6464768	0.4497399	0.0704466	0.6585318	0.5930119	0.0676966	0.2509893	0.7968917	0.7787217	0.0139842	0.2065935	0.7653824	0.3831535	0.7223347	0.0155881	0.6863794	0.7864707	0.6746136	0.7638075	0.7529763	0.2623764	0.5085600	0.7181033	0.0066610	0.5430895	0.0527800	0.5298620	0.0867751	0.1538217	0.7873893	0.7290381	0.6691340	0.0729658	0.5242524	0.1927605	0.5347498	0.0722358	0.0816069	0.0315512	0.1403852	0.7993136	0.7000240	0.5170929	0.0518340	0.1668100
0.3477078	0.7254278	0.1305489	0.6961329	0.2704779	0.0000000	0.5961429	0.0273116	0.3917893	0.6197048	0.0573689	0.4533531	0.6588014	0.8017097	0.0440867	0.3265000	0.7040405	0.3268599	0.8328862	0.7092540	0.6082767	0.7456280	0.6593442	0.6806269	0.7450889	0.5023576	0.4710624	0.6709130	0.0037335	0.6022500	0.0526310	0.5435375	0.1238965	0.1047007	0.6829287	0.7755185	0.6105999	0.0863247	0.4926424	0.2528799	0.5735414	0.0448855	0.0840320	0.0419253	0.1223937	0.7751892	0.4174200	0.5099882	0.4303298	0.1611318
0.2139259	0.7008758	0.1262039	0.7665886	0.5073700	0.6510722	0.0000000	0.0580524	0.4849595	0.7284154	0.0883834	0.1344887	0.6937606	0.6635128	0.0453075	0.2941552	0.8498710	0.4135001	0.7077295	0.0301282	0.7066565	0.7302286	0.6221809	0.6799727	0.6784953	0.0069644	0.4866156	0.7826872	0.0010767	0.5670053	0.0478849	0.5713085	0.0920710	0.1879067	0.5729214	0.0326474	0.7119595	0.0643695	0.6058862	0.2186416	0.6530784	0.0552394	0.0680495	0.0484731	0.2346605	0.7382226	0.7268302	0.4125463	0.5530570	0.1591902
0.2692662	0.7599074	0.0826602	0.8965181	0.5439685	0.7149301	0.1409719	0.0000000	0.5877874	0.6478501	0.0616462	0.1417805	0.6521227	0.7550080	0.0231074	0.2726703	0.6739901	0.5211247	0.7501255	0.0447162	0.8129645	0.6508190	0.7187881	0.7302480	0.7053993	0.1288488	0.4440143	0.6535365	0.0072222	0.5122449	0.0768105	0.4682638	0.0961782	0.1046075	0.6962977	0.1936743	0.6543800	0.0473468	0.6408517	0.2514168	0.5788784	0.0569084	0.1523935	0.0300695	0.2510175	0.8173089	0.8178422	0.4323043	0.5585550	0.1168445
0.2301888	0.7985764	0.1175334	0.6132545	0.4304385	0.5700410	0.2200459	0.1442751	0.0000000	0.6208336	0.0821913	0.2051770	0.7645109	0.6744871	0.0554545	0.2432963	0.7149672	0.4347891	0.6582757	0.0380740	0.7112816	0.6015289	0.7541377	0.7102056	0.7683908	0.1128642	0.4557108	0.6133798	0.0130375	0.5297378	0.0447120	0.5104343	0.0729402	0.2197705	0.6255951	0.2144470	0.7294625	0.1052674	0.5336708	0.2094099	0.5728061	0.0317975	0.1020191	0.0281158	0.1530141	0.6038251	0.7572613	0.4420253	0.5097389	0.0924090
0.2914228	0.7477313	0.3655651	0.7373021	0.6468113	0.6491000	0.1429554	0.3357761	0.5486805	0.0000000	0.0511639	0.1587313	0.7120937	0.6473969	0.0234409	0.2765174	0.7091507	0.5620009	0.7537656	0.0358875	0.7003440	0.8925021	0.5857422	0.7454306	0.7227084	0.0754866	0.4162840	0.6341963	0.0024899	0.5483841	0.0662463	0.5725889	0.1313871	0.1539174	0.7022377	0.1874308	0.7891154	0.0657351	0.6873201	0.3140466	0.5748943	0.0470217	0.1221079	0.0219149	0.2455640	0.5188308	0.7435404	0.4964697	0.5191888	0.1510706
