YBL005W	YGL013C	YOR140W	YBR182C	YHL027W	YGL162W	YGR249W	YGR044C	YER045C	YCR097W	YCL067C	YPL177C	YOL089C	YML099C	YMR019W	YKL185W	YCL066W	YCR040W	YDR421W	YMR070W	YLR013W	YGL254W	YMR021C	YHR006W	YJL110C	YDR393W	YGR136W	YLR300W	YLR393W	YCL043C	YGR282C	YDR420W	YCR104W	YOR268C	YNR008W	YOR209C	YPR203W	YKR097W	YDR282C	YPR198W	YML111W	YDR351W	YDR058C	YPR169W	YBL109W	YIL014CA	YOR280C	YLR390W	YDR402C	YPL249CA
0.5552326	0.7127591	0.5078625	1.0000000	0.7403363	0.8062376	0.2150891	0.3091151	0.4817966	0.8083531	0.0643452	0.0762945	0.9721715	1.0000000	0.0013255	0.2792979	0.9914791	0.5432104	1.0000000	0.0000376	0.8712561	0.8023947	1.0000000	0.6563088	0.9584541	0.3022332	0.7028979	0.9992287	0.0001379	0.4538167	0.0752981	0.8270320	0.1412312	0.3831038	0.6397246	0.1372902	0.9797516	0.0506851	0.7585564	0.2322102	0.7697501	0.0333691	0.1497976	0.0529168	0.2505956	0.8708752	0.7870398	0.6200973	0.7102144	0.2954469
0.5849998	0.6693214	0.3186071	1.0000000	0.7872979	1.0000000	0.2574892	0.0258739	0.9139063	0.7857009	0.0720011	0.0635908	0.7627578	0.8288017	0.0591064	0.3240643	0.5990870	0.6495284	1.0000000	0.0000177	1.0000000	1.0000000	0.7314946	1.0000000	1.0000000	0.1182018	0.4441008	0.9992264	0.0064600	0.7916559	0.0081691	0.6252194	0.1088827	0.4271176	0.6885656	0.2149479	0.9699648	0.0545221	0.7704105	0.4250226	0.7869254	0.0352018	0.1526986	0.0514427	0.1856596	0.9205870	0.9097457	0.6200973	0.6648080	0.4603823
0.4044643	0.9786852	0.3240409	1.0000000	0.9530636	1.0000000	0.2126412	0.3038328	0.8442561	0.8285066	0.1693671	0.2247350	0.6379706	0.8762060	0.0544703	0.3999941	0.9588527	0.4479923	1.0000000	0.0000156	0.7853456	1.0000000	0.9772349	0.8880795	0.6421849	0.3617905	0.5763465	0.9992242	0.0003550	0.8033021	0.0347796	0.7265607	0.1856736	0.2056680	0.6280653	0.1332817	0.9421925	0.1525030	0.8232503	0.6615044	0.8840215	0.0530571	0.1319427	0.0158286	0.3723693	0.8319894	0.5825387	0.6200973	0.7262646	0.2084097
0.2962423	1.0000000	0.1751484	0.9496863	0.8178035	1.0000000	0.2482566	0.0651121	0.3084612	0.8858747	0.0720047	0.0203727	1.0000000	0.9965612	0.0571691	0.4232525	0.9407995	0.7676881	1.0000000	0.0000140	0.9098524	0.7497357	1.0000000	0.8665509	1.0000000	0.1102209	0.5863161	0.8858416	0.0065250	0.3876394	0.0135015	0.7683587	0.0309502	0.1993276	0.5957509	0.4493633	0.9892651	0.0857625	0.8475710	0.1816451	0.7795901	0.0585484	0.1497976	0.0110165	0.4112377	0.9896588	0.9909345	0.6332953	0.8554198	0.1983299
0.4332712	0.9198643	0.0628606	0.4036844	0.5343106	1.0000000	0.3506268	0.1474527	0.8335598	0.8281639	0.0593492	0.0193635	0.5957407	0.5690930	0.0627582	0.8078645	0.9994720	0.5057895	1.0000000	0.0453170	1.0000000	1.0000000	0.7053709	0.7649615	1.0000000	0.4079613	0.5049359	0.9440864	0.0121502	0.8253986	0.2214439	0.0550097	0.2626598	0.2425680	0.7724908	0.4702060	0.9591757	0.3149303	0.6904698	0.1627835	0.8354850	0.3590023	0.3124647	0.0362645	0.1374239	0.9596341	0.9700209	0.3824660	0.5831389	0.5603527
0.3485536	1.0000000	0.1533509	1.0000000	0.7901777	1.0000000	0.2565985	0.0030800	0.4866695	0.8120923	0.0421131	0.0014751	1.0000000	1.0000000	0.0014442	0.3999941	0.8067454	0.2429961	1.0000000	0.0453170	1.0000000	1.0000000	1.0000000	0.9511038	1.0000000	0.1444138	0.6895489	0.9992242	0.0064600	0.7381067	0.0752981	0.6252341	0.0372015	0.1967420	0.8165987	0.3042083	0.9167047	0.1293296	0.9439260	0.0982086	0.7796826	0.0212038	0.1497976	0.0306497	0.0568582	0.9999414	0.9898216	0.7951162	0.6660678	0.2026252
0.3946140	1.0000000	0.1238431	0.8023081	0.8759430	0.9809403	0.2351751	0.8180339	0.6489182	0.8120874	0.2313075	0.0363643	1.0000000	0.8625435	0.0571691	0.3693653	0.9174750	0.2000051	1.0000000	0.0453184	0.7359644	0.9825186	1.0000000	0.6829095	0.5777496	0.0992550	0.6429679	0.9915827	0.0006631	0.8098700	0.0197724	0.7574678	0.0405518	0.2092926	0.8609817	0.4446583	0.8485692	0.0696738	0.8980100	0.6016957	0.7791282	0.0827958	0.0261280	0.0159755	0.6750001	0.5645238	0.9925027	0.6138124	0.7780004	0.3295286
0.3184424	1.0000000	0.6277908	0.7484100	0.7433139	1.0000000	0.2716068	0.0220906	0.5015406	0.8029463	0.0094786	0.2583461	0.9342199	0.5880270	0.0019328	0.5379983	0.8649843	0.6603807	1.0000000	0.0000194	0.8285040	1.0000000	1.0000000	0.6297261	1.0000000	0.1307357	0.7277997	0.9968513	0.0070019	0.8162836	0.0292821	0.4309743	0.1473928	0.2141706	0.8043077	0.6012772	0.5476636	0.7701773	0.8732021	0.0008864	0.7900119	0.0963049	0.1497976	0.0121492	0.5096706	0.7123404	0.8065046	0.6102929	0.6960905	0.1991373
0.3018216	1.0000000	0.2822134	1.0000000	0.8336540	1.0000000	0.2436394	0.0480805	0.8866515	0.8120874	0.0731830	0.0004939	1.0000000	1.0000000	0.0571691	0.3999941	0.9814080	0.5867799	0.7842752	0.0080956	1.0000000	1.0000000	0.9663815	0.7933616	0.9188590	0.1063050	0.7631121	0.9973844	0.0064600	0.8064144	0.0104069	0.9160669	0.0469377	0.1967420	0.5863574	0.1882053	0.9872930	0.0781639	0.9388518	0.0008759	0.8182015	0.0342146	0.1577157	0.0306497	0.3491658	0.7130424	0.9915118	0.6200973	0.6841922	0.2026252
0.3688158	1.0000000	0.2254813	1.0000000	0.8245881	1.0000000	0.2462657	0.0754879	0.3490266	0.8120890	0.0552620	0.0426072	1.0000000	0.8659918	0.0571691	0.3999941	0.9919359	0.6788584	1.0000000	0.0000141	1.0000000	0.7834290	1.0000000	0.7559289	1.0000000	0.1085299	0.5863194	0.9096546	0.0064600	0.4894261	0.0139744	0.6252240	0.1371906	0.1967420	0.8971372	0.2466067	0.9872930	0.0781639	0.9329576	0.5296338	0.8834807	0.0402588	0.1497976	0.0306497	0.3364074	0.5236276	0.9574287	0.7389612	0.7398399	0.2181704
0.3961439	0.9564584	0.2696374	0.9822745	0.7777090	1.0000000	0.2604860	0.3402544	0.4645179	0.7859728	0.0732598	0.1116382	0.8304864	1.0000000	0.0025733	0.4079605	0.9672903	0.6009723	0.9278180	0.0453170	1.0000000	0.8215170	0.7062084	0.9764126	0.8551418	0.3348718	0.4987394	0.9688139	0.0003228	0.5914743	0.0169867	0.7523952	0.1691397	0.1616576	0.8757575	0.5551697	0.7664528	0.3370255	0.7790218	0.4664671	0.8836487	0.0341200	0.3115147	0.0145273	0.2595070	0.8516795	0.8414949	0.6700091	0.6632083	0.2129916
0.3946140	1.0000000	0.2709041	1.0000000	0.7554184	0.8153046	0.0812363	0.2959900	0.4544790	0.8959721	0.2351311	0.1622910	0.9456346	1.0000000	0.0574574	0.2757216	0.6082887	0.3165472	0.6655211	0.0453376	0.8900106	1.0000000	1.0000000	0.8355218	0.6337446	0.0109005	0.7759924	0.9992289	0.0064600	0.7381061	0.0752981	0.7556078	0.1454544	0.1967420	0.5180734	0.0082189	0.9897462	0.3146690	0.8508141	0.2397820	0.8156511	0.0468492	0.0805839	0.0060135	0.3413635	0.8640876	0.4963641	0.6200976	0.7231893	0.2026252
0.3654531	1.0000000	0.4039165	0.6687006	0.6100133	0.8117298	0.3490142	0.2083598	0.7636594	0.9131563	0.1122861	0.2332738	1.0000000	0.9218439	0.0015877	0.5936757	0.8862637	0.5339310	0.6955624	0.0000245	0.9930861	1.0000000	1.0000000	1.0000000	1.0000000	0.3777449	0.5863161	0.9698239	0.0006651	0.7496323	0.0426154	0.4404993	0.1371906	0.1523248	0.8996413	0.5559231	0.9874307	0.1723691	0.9329730	0.4687389	0.7781665	0.0910246	0.1497976	0.0306497	0.1130149	0.7170368	0.9704934	0.4900034	0.6366580	0.3061270
0.3946140	1.0000000	0.2201579	0.7899312	0.6391516	0.7802752	0.3622699	0.5491506	0.8960882	0.8093140	0.1224434	0.2296824	0.9106112	1.0000000	0.0014284	0.5113260	0.9755979	0.6078353	0.8081686	0.0222319	1.0000000	0.7761729	1.0000000	1.0000000	0.8431071	0.2187034	0.5863161	0.9975729	0.0004846	0.4083702	0.0948964	0.4482174	0.1516551	0.2103410	0.6952394	0.5612703	0.9872930	0.1434197	0.9240811	0.1063737	0.8484020	0.0856138	0.1497976	0.0306497	0.8138895	0.7180124	0.9665049	0.4834989	0.7157133	0.1875516
0.3375923	0.6907491	0.3474139	0.9517104	0.8151891	1.0000000	0.2490300	0.2912331	0.6239746	0.9033686	0.0720011	0.2255998	1.0000000	0.8601579	0.0571691	0.4222758	0.8245587	0.5841099	1.0000000	0.0453170	1.0000000	0.7548177	1.0000000	1.0000000	1.0000000	0.1108834	0.6045180	0.9990140	0.0004128	0.5710627	0.0113078	0.5878284	0.1371906	0.4066333	0.9193045	0.1984796	0.6886883	0.1113451	0.9017502	0.1399854	0.7005755	0.0583063	0.0390491	0.0465414	0.1828561	0.8818341	0.9908350	0.7377926	0.6766996	0.4184450
