YGL013C	YBL005W	YOR140W	YPL038W	YPL248C	YGL035C	YGR044C	YCL066W	YML051W	YDR146C	YLR013W	YGL209W	YJL056C	YCR097W	YCR018C	YCL067C	YCR040W	YHR006W	YOR032C	YOL089C	YMR280C	YCR096C	YKL020C	YBL103C	YKL185W	YCR039C	YMR240C	YOR148C	YCL074W	YAR003W	YER134C	YDL114W	YBR070C	YDR397C	YJL188C	YDR469W	YFL064C	YLR467W	YDR343C	YGL001C	YNL253W	YFL063W	YDR544C	YHR092C	YOL083W	YIL128W	YLR360W	YER078C	YMR193W	YDL082W
0.1991508	0.2621511	0.6017967	0.7597845	0.6108788	0.4256732	0.5276750	0.2902786	0.4883390	0.1158336	0.3100788	0.6421938	0.4627788	0.6294078	0.3824087	0.0209701	0.4271216	0.8746125	0.4927481	0.7132734	0.6332682	0.6281695	0.8619757	0.7282535	0.4865611	0.0000154	0.5217683	0.4909001	0.3993304	0.1366064	0.0881377	0.4366826	0.0508283	0.4201316	0.0730228	0.2547477	0.0033709	0.4962650	0.7254056	0.4377506	0.1636272	0.6485376	0.1293104	0.0069023	0.0711945	0.5185532	0.6183465	0.3915537	0.3704705	0.6191485
0.3483865	0.5468288	0.4021266	0.6682628	0.5313447	0.4260989	0.7265789	0.4225021	0.3640857	0.2699657	0.5308284	0.7082938	0.7468623	0.7711312	0.0020696	0.0023786	0.5533054	0.6912488	0.7139069	0.6111750	0.6971757	0.6246101	0.7918642	0.7893673	0.2833530	0.0004988	0.5602193	0.4675799	0.3807045	0.2157450	0.1924627	0.5235305	0.0530644	0.2321034	0.1828601	0.6206915	0.5019532	0.4864873	0.6766310	0.5030593	0.2290947	0.5704850	0.0041761	0.0006850	0.1072974	0.4612610	0.6274479	0.4492566	0.3733322	0.6477210
0.3175515	0.6409881	0.2518348	0.7529933	0.6943386	0.3371428	0.6091477	0.4971297	0.3571583	0.0084989	0.2842901	0.7755543	0.6459408	0.7445314	0.2164144	0.0290549	0.5338616	0.6729451	0.6797406	0.5016102	0.5778987	0.4065161	0.6269440	0.6493486	0.0009520	0.0000464	0.3960546	0.3775859	0.3470358	0.0861295	0.1901125	0.3052870	0.8414292	0.6921775	0.1965776	0.6839320	0.3135660	0.7658362	0.5473979	0.6128304	0.1418715	0.7150429	0.1943694	0.0097933	0.1158077	0.3896330	0.1177071	0.3074651	0.3788737	0.5128700
0.2747869	0.6698426	0.3068312	0.8091167	0.6282559	0.4657810	0.4778264	0.4049156	0.2224865	0.0000778	0.0270527	0.6936915	0.7311962	0.7078374	0.0000093	0.0558106	0.5703244	0.9600938	0.7456610	0.6446939	0.5695862	0.5952059	0.7257217	0.7299122	0.0000920	0.0006355	0.4651083	0.3852006	0.0977208	0.1712670	0.1095985	0.0139572	0.7590354	0.6721228	0.3157641	0.6688714	0.1881925	0.0287906	0.5542868	0.3089366	0.1699254	0.6486375	0.5059058	0.0001066	0.1358760	0.5205374	0.0013031	0.3043535	0.5468398	0.4299350
0.3041421	0.4147540	0.2891008	0.7837888	0.8146300	0.2529509	0.5971230	0.6974260	0.3766383	0.0467479	0.3029188	0.4285793	0.7808686	0.6812791	0.0694443	0.0334476	0.4490101	0.6392121	0.7012694	0.6674995	0.5136586	0.5335911	0.4608001	0.5695659	0.0102993	0.0001464	0.5030994	0.5504519	0.4508736	0.0600516	0.2952436	0.5017408	0.7911277	0.6493746	0.2064463	0.6326532	0.0001185	0.5523084	0.0882261	0.5220171	0.0459337	0.7621431	0.3218313	0.0469707	0.2282854	0.4603071	0.0004076	0.6154757	0.3441563	0.5286968
0.3043896	0.4341003	0.3633853	0.7258289	0.3828210	0.1135417	0.8375185	0.1322004	0.6324625	0.0042982	0.1416208	0.2548055	0.4484499	0.6698548	0.0001799	0.0621055	0.5811224	0.7741876	0.6599911	0.6874714	0.5422527	0.5835918	0.9401173	0.3916363	0.0000619	0.0001144	0.5546888	0.4535547	0.2487217	0.2449835	0.2903014	0.1413539	0.7084469	0.6746243	0.1408806	0.5424346	0.0012934	0.3990464	0.0068159	0.4037683	0.2474010	0.6129965	0.2546702	0.2422629	0.3729667	0.5377060	0.0520191	0.4785823	0.4383078	0.4694115
0.2341707	0.3979674	0.1852485	0.6871784	0.3393513	0.3771876	0.3712369	0.3558669	0.5235772	0.0091017	0.3169340	0.9745132	0.7172041	0.7022259	0.3931982	0.0253577	0.7075425	0.7186004	0.6902373	0.7068505	0.5987282	0.6205848	0.6033262	0.7494665	0.1115335	0.0004016	0.4535998	0.4652293	0.1437396	0.2315017	0.0605573	0.3447997	0.7619130	0.4144731	0.1438441	0.6132720	0.0001415	0.3438571	0.7479907	0.5713246	0.1517661	0.2446656	0.2338794	0.0011099	0.0944124	0.5428651	0.1915514	0.2571916	0.6520553	0.3560440
0.3651853	0.4323047	0.2771036	0.6440548	0.6388961	0.3983023	0.5119428	0.3704375	0.3283630	0.0522997	0.3172838	0.6538238	0.7283505	0.6618066	0.0726821	0.0191698	0.6334977	0.7380964	0.6066995	0.7633695	0.8451357	0.5123782	0.5766885	0.7267449	0.5354077	0.0002987	0.5271959	0.5485237	0.0873775	0.1104497	0.2061805	0.5695673	0.0925157	0.3455869	0.1627156	0.6482833	0.0102593	0.3612690	0.6747847	0.5392036	0.1276370	0.5389833	0.0894440	0.0006263	0.0966881	0.2144998	0.7284762	0.3624424	0.4704311	0.3715918
0.3223908	0.5286777	0.4075452	0.7381722	0.4792974	0.3765831	0.3181279	0.1301028	0.6205527	0.0109617	0.0078641	0.6169949	0.2667041	0.5470253	0.1554020	0.0650700	0.3735386	0.8167108	0.8347342	0.7616535	0.6616187	0.6212336	0.7054589	0.8718175	0.0009591	0.0001876	0.5514864	0.2301675	0.0903093	0.1741257	0.1725597	0.2262616	0.4308666	0.6483617	0.0471455	0.5908069	0.0009487	0.0116911	0.5326775	0.6033316	0.4013609	0.7014918	0.3533598	0.0004659	0.1564189	0.6286285	0.2730268	0.4364219	0.3699673	0.4445623
0.4564172	0.5738251	0.1499791	0.5139588	0.1827568	0.4089743	0.2697399	0.3139411	0.4357347	0.0002437	0.1009745	0.6965575	0.6554264	0.7910716	0.0553954	0.0061605	0.4169010	0.8195714	0.7311415	0.7330428	0.4838920	0.7177283	0.6184031	0.6890538	0.1741319	0.0010619	0.4377153	0.5438294	0.1719141	0.4721194	0.1017317	0.3071158	0.6506472	0.8314544	0.3021535	0.6497860	0.0000303	0.3544996	0.6280322	0.6277718	0.1418485	0.6600967	0.4193750	0.0119790	0.3116204	0.4602375	0.6173891	0.2074468	0.3989758	0.3821190
0.3460402	0.5603331	0.5998927	0.7510344	0.5288892	0.4316566	0.7098340	0.3863132	0.3955476	0.0016804	0.1855971	0.8078396	0.7818111	0.6742307	0.0047144	0.0156364	0.7786235	0.8551043	0.8073206	0.7393728	0.6368075	0.7543945	0.4343404	0.7078291	0.1791813	0.0006074	0.5433915	0.4361945	0.6087525	0.1497309	0.1269603	0.2463232	0.7505585	0.7550080	0.1614044	0.6793577	0.0000519	0.6768342	0.5967084	0.3743220	0.1210679	0.7400122	0.3445035	0.0016601	0.2065445	0.4778238	0.4510716	0.4022643	0.2613903	0.4184007
0.2119783	0.3894205	0.4153385	0.7006973	0.4041675	0.2661770	0.6000089	0.3982416	0.6408135	0.1164004	0.2527360	0.5259318	0.8096830	0.5429289	0.0014144	0.0170813	0.8305945	0.7587599	0.6308542	0.5351691	0.6421860	0.6647820	0.7943779	0.3822602	0.0752893	0.0001865	0.6638136	0.2907235	0.3916828	0.1396660	0.2647464	0.3199463	0.7058128	0.3321173	0.1181159	0.3920707	0.0539378	0.5235302	0.6052735	0.4556381	0.0902922	0.5451535	0.2446118	0.0017598	0.0687430	0.4107237	0.0083494	0.2635103	0.5160646	0.7020589
0.4004649	0.5067923	0.5533790	0.6676126	0.3196706	0.4821518	0.5062745	0.2741111	0.5076206	0.0000109	0.0736819	0.6054343	0.6668912	0.8191930	0.0273838	0.1060552	0.4634753	0.6999428	0.8212452	0.8806509	0.5641510	0.6394157	0.2476407	0.7588895	0.0962757	0.0004416	0.4555562	0.2834125	0.2103864	0.2836281	0.1465731	0.1308981	0.7676951	0.7012181	0.2969278	0.6465646	0.0599052	0.3297451	0.6465349	0.3954979	0.2019803	0.6911898	0.3307707	0.0011454	0.1059573	0.5553038	0.4109728	0.3686644	0.3825421	0.3900337
0.2173729	0.4130453	0.5501267	0.7979599	0.8243537	0.4865339	0.5878817	0.0008143	0.1744554	0.0005527	0.0002159	0.8195723	0.6926825	0.6714155	0.1108661	0.0593866	0.3421975	0.7539700	0.4697998	0.6468527	0.7985815	0.6193574	0.6837385	0.6212268	0.3720636	0.0000682	0.5846121	0.4041384	0.1088479	0.1686363	0.1600805	0.0038072	0.8165195	0.9037632	0.3178425	0.6507945	0.1613241	0.0017593	0.7112581	0.5404884	0.1018366	0.7569642	0.3743406	0.0141735	0.0818891	0.6529976	0.4601812	0.5804688	0.5127336	0.5934117
0.3295019	0.4917260	0.2964703	0.5815309	0.1933775	0.5484938	0.4384279	0.4691997	0.6838026	0.4296791	0.4944816	0.7563821	0.5814231	0.6098795	0.0465531	0.0661882	0.4375373	0.9083968	0.5474487	0.7515686	0.7035489	0.6366920	0.6217170	0.7238624	0.4084061	0.0001014	0.2930513	0.3788632	0.5646230	0.5023746	0.1049188	0.7360215	0.0505677	0.1820218	0.2243901	0.5900181	0.5661350	0.4492666	0.7020527	0.6445261	0.1144815	0.3317109	0.0201316	0.0006838	0.1799486	0.5199574	0.7622232	0.4453037	0.3570835	0.6047081
0.1603761	0.2665790	0.3148859	0.5148078	0.6436622	0.2939876	0.3541012	0.1611534	0.4380664	0.0000826	0.0828932	0.5563697	0.6866036	0.4791188	0.0000000	0.0484871	0.5280534	0.6554275	0.6869266	0.6025775	0.7127685	0.7499753	0.7688706	0.7606982	0.3566393	0.0008220	0.4797014	0.4183820	0.3545001	0.1386672	0.2207323	0.0767182	0.8986128	0.7233628	0.2904836	0.1280805	0.0849231	0.3351418	0.6725906	0.5229211	0.1769359	0.5895097	0.3309258	0.0074382	0.0994429	0.4334773	0.1978801	0.2573058	0.5565509	0.6941974
