YGL013C	YBL005W	YOR140W	YPL038W	YPL248C	YGL035C	YGR044C	YCL066W	YML051W	YDR146C	YLR013W	YGL209W	YJL056C	YCR097W	YCR018C	YCL067C	YCR040W	YHR006W	YOR032C	YOL089C	YMR280C	YCR096C	YKL020C	YBL103C	YKL185W	YCR039C	YMR240C	YOR148C	YCL074W	YAR003W	YER134C	YDL114W	YBR070C	YDR397C	YJL188C	YDR469W	YFL064C	YLR467W	YDR343C	YGL001C	YNL253W	YFL063W	YDR544C	YHR092C	YOL083W	YIL128W	YLR360W	YER078C	YMR193W	YDL082W
0.3958179	0.5799875	0.3632018	1.0182395	0.7285012	0.5901713	0.5546164	0.3726409	0.6600630	0.0482692	0.0000000	1.0866066	1.1298598	0.9013274	0.0179826	0.1041031	0.7383777	1.0029846	0.9873112	1.0563626	0.9353866	0.8871161	0.9998181	1.0270226	0.0622075	0.0008379	0.7109902	0.6797638	0.0973612	0.2317860	0.1389594	0.0639506	1.0021015	0.9894940	0.3537317	0.9755679	0.0631887	0.1011893	0.7627326	0.5566161	0.1708796	0.9466036	0.3434016	0.0014175	0.1309417	0.6375572	0.0465882	0.4657340	0.5772427	0.6636763
0.4464712	0.6916808	0.3237482	1.0039293	0.5821866	0.0728024	0.6185728	0.4527595	0.8832650	0.0376460	0.0961524	0.0000000	1.0341988	0.9687414	0.0173425	0.1083215	0.7297553	1.0791603	1.0255191	1.0360602	0.1975147	0.8382401	1.0812249	1.0186820	0.0377980	0.0040703	0.6379323	0.7252757	0.2235653	0.3537254	1.1127508	0.2165947	1.0831183	0.9803316	0.4018079	0.9586054	0.0816146	0.5200739	0.1871358	0.6790483	0.1722804	1.0379015	0.3775639	0.9281961	0.6682561	0.6613082	0.0878088	0.3986139	0.6669370	0.6343530
0.4901553	0.7201750	0.3752201	1.0467084	0.6267988	0.5360684	0.5547694	0.4253362	0.7387687	0.0497296	0.1593504	1.0020052	0.0000000	0.9358527	0.0078742	0.0838682	0.6181811	0.9747999	1.1212040	0.9378360	0.9335775	0.9021774	1.1055070	0.9782097	0.0286604	0.0722113	0.7165040	0.7039342	0.2952775	0.3071345	0.2120849	0.2778262	0.9468215	0.9277199	0.0070515	0.8697834	0.0874211	0.5335414	0.7699270	0.5937049	1.0199109	1.0231578	0.3470960	0.0024404	0.1777889	0.6544320	0.0513527	0.4222648	0.5859933	0.7811997
0.3741054	0.7182944	0.3613364	0.9791582	0.6442554	0.5084499	0.4921708	0.4213773	0.6572067	0.0485724	0.0763016	0.9792004	0.9417769	0.0000000	0.0093621	0.0982063	0.5251964	1.0770800	0.9520429	0.9282690	0.9149121	0.9384235	1.0957515	0.9935923	0.0923029	0.0340624	0.6877308	0.6447353	0.1929026	0.2267237	0.2236352	0.2059561	1.0189577	0.9779813	0.2352811	0.8273588	0.0564825	0.4175981	0.7749743	0.6054255	0.2162807	1.0440789	0.3563855	0.0016746	0.2077885	0.6954869	0.0767504	0.4684229	0.5587395	0.6271032
0.3732330	0.6826947	0.4069191	0.8816288	0.6210103	0.4839999	0.6861623	0.4111637	0.7400061	0.0482613	0.1168178	0.9614136	0.9066310	0.8693524	0.0000000	0.1101924	0.7964544	0.9933618	0.9129044	0.9553537	0.8830716	1.0346327	0.9611409	1.0638450	0.0431544	0.0016752	0.6296152	0.7356011	0.3426025	0.2518098	0.1474437	0.3389946	0.9354371	0.8540430	0.2429781	0.9461782	0.0389726	0.5171858	0.6832119	0.7019471	0.2270057	1.1353608	0.3352661	0.0044405	0.1135928	0.7125721	0.0891328	0.5102295	0.4442226	0.5866889
0.4953988	0.7299267	0.3745623	1.0160441	0.5834154	0.6084777	0.6388936	0.3892704	0.6763098	0.0219392	0.0852248	1.0042652	0.9865494	0.8494389	0.0100440	0.0000000	0.8212408	0.9041807	1.1145079	1.0425481	0.9480461	0.8313959	1.0547588	0.9441462	0.0632333	0.0090144	0.6664951	0.6225311	0.1914454	0.2548954	0.1804527	0.1757219	1.0231592	1.0648980	0.3544760	0.8234399	0.0510834	0.5441086	0.6855855	0.6769409	0.2032827	0.9733906	0.4320781	0.0049254	0.1634556	0.6241974	0.1493645	0.4752104	0.4572121	0.7389976
0.3540446	0.6104598	0.3968526	1.0261841	0.6150407	0.5544031	0.6207539	0.4188261	0.6786674	0.0638293	0.1468057	1.1132620	1.0645900	0.8343082	0.0096057	0.1165633	0.0000000	0.9449571	0.9759697	1.0213928	0.8907423	0.9935359	0.8949466	1.0573421	0.0363021	0.0024151	0.7324020	0.5974293	0.4053913	0.2675927	0.1234796	0.3206458	0.9208945	0.8274077	0.2804117	0.8779207	0.0954143	0.5409158	0.7399662	0.5500595	0.2174051	0.9955784	0.3514476	0.0009605	0.1349159	0.5759104	0.0408487	0.4080825	0.4654795	0.6877749
0.4595673	0.7344458	0.3868169	1.0814732	0.8057231	0.5919784	0.5827090	0.3673629	0.6623095	0.0292055	0.0663166	1.0495026	1.0883282	0.8986003	0.0076975	0.1252070	0.7656341	0.0000000	1.0459851	1.1787054	0.9517814	0.9083045	0.9629364	1.0971277	0.0516046	0.0005621	0.6398110	0.6975495	0.2424856	0.2016068	0.1527787	0.1939981	1.0636310	0.9386995	0.3893170	0.8808310	0.0547464	0.4805210	0.7268695	0.6679356	0.2434349	1.1023542	0.3929070	0.0048124	0.2052174	0.6752338	0.0490133	0.4813953	0.5257521	0.6052804
0.3785168	0.7144025	0.3010079	1.0744923	0.6441061	0.5759223	0.4821547	0.3999698	0.7006339	0.0403419	0.0416609	0.9322236	1.0570011	0.9386854	0.0193267	0.1148238	0.7503190	0.0182704	0.0000000	0.9248148	0.8952687	0.8865651	1.0192653	1.0443089	0.0470949	0.0015004	0.6861070	0.6615276	0.1054275	0.2721110	0.2060947	0.1972144	1.0367450	0.9918638	0.3006089	0.9046232	0.0674794	0.2941923	0.6390214	1.0832098	0.2301304	0.9945361	0.3479299	0.0016204	0.1511838	0.6137426	0.0370649	0.3478508	0.5186513	0.6208789
0.4778097	0.6750220	0.3710377	0.9105791	0.6766622	0.5763123	0.5645168	0.4254284	0.6878978	0.0260375	0.0654023	0.9807157	0.9540779	0.3985240	0.0082375	0.1202451	0.9001075	0.9120678	1.0178898	0.0000000	0.7679566	0.0620024	1.0420535	1.0514535	0.0571982	0.0005733	0.6802912	0.6582006	0.2312976	0.2256637	0.9780903	0.1730578	1.0898280	1.0457068	0.3441709	0.8219631	0.0725756	0.5591173	0.7028055	0.8888344	0.2103497	0.9898026	0.3060798	0.0026245	0.1683108	0.7339865	0.0856634	0.3647352	0.5281081	0.6304758
