YGL013C	YBL005W	YOR140W	YPL038W	YPL248C	YGL035C	YGR044C	YCL066W	YML051W	YDR146C	YLR013W	YGL209W	YJL056C	YCR097W	YCR018C	YCL067C	YCR040W	YHR006W	YOR032C	YOL089C	YMR280C	YCR096C	YKL020C	YBL103C	YKL185W	YCR039C	YMR240C	YOR148C	YCL074W	YAR003W	YER134C	YDL114W	YBR070C	YDR397C	YJL188C	YDR469W	YFL064C	YLR467W	YDR343C	YGL001C	YNL253W	YFL063W	YDR544C	YHR092C	YOL083W	YIL128W	YLR360W	YER078C	YMR193W	YDL082W
0.3353061	0.5449285	0.3287317	0.7253215	0.4381030	0.3953883	0.4806719	0.3460357	0.4630014	0.0729563	0.0000000	0.8728599	0.7752785	0.6981977	0.0128626	0.1032699	0.6996798	0.7452063	0.6367324	0.8500588	0.5952328	0.5090093	0.6901313	0.6506942	0.0544864	0.0005741	0.4533778	0.4619741	0.0727408	0.1611556	0.0861234	0.0605508	0.7457572	0.7699345	0.2535624	0.7685976	0.0369141	0.0843179	0.4743096	0.4838844	0.1275675	0.6133393	0.3429883	0.0014070	0.1024861	0.5475530	0.0206903	0.3566889	0.3867063	0.4041723
0.3552966	0.5207826	0.2231656	0.6081953	0.4241753	0.0602349	0.4157242	0.2791687	0.7334775	0.0316446	0.1186125	0.0000000	0.7392615	0.6545377	0.0119899	0.0637936	0.5440020	0.7687021	0.7347575	0.7131369	0.1432598	0.6385516	0.8994088	0.6484751	0.0260274	0.0025620	0.4465009	0.5231713	0.1706663	0.1969098	0.7646869	0.1888693	0.8023408	0.6821778	0.2712894	0.7675270	0.0709309	0.3498551	0.1341338	0.4689169	0.0966443	0.7530266	0.3086735	0.6248015	0.4502690	0.4421123	0.0619223	0.2597052	0.4368747	0.4606495
0.3497111	0.5258749	0.3199493	0.7977104	0.4178032	0.3883374	0.4453790	0.3439875	0.5426434	0.0447543	0.1175403	0.7853862	0.0000000	0.6889137	0.0063403	0.0775657	0.4417090	0.7495261	0.8175401	0.7747674	0.6857151	0.6558833	0.7951231	0.6590344	0.0313526	0.0499972	0.5135202	0.5456105	0.2018227	0.3110200	0.1570299	0.1943861	0.7633693	0.5713777	0.0007144	0.6475410	0.0725221	0.3607868	0.5352811	0.4831234	0.7212437	0.6889104	0.1985719	0.0007806	0.1498285	0.5731994	0.0773952	0.3309839	0.5006231	0.6237442
0.3039573	0.4737731	0.2317424	0.7218885	0.5132467	0.4385984	0.3645824	0.2685288	0.4158071	0.0437421	0.0365439	0.7514733	0.8260274	0.0000000	0.0078741	0.0645288	0.4363232	0.7810197	0.6935902	0.6852038	0.6557764	0.7121474	0.9129775	0.7837586	0.0881294	0.0121381	0.4684323	0.4583485	0.1452389	0.1631386	0.1291936	0.2086146	0.8256792	0.7091174	0.1532772	0.6213312	0.0332126	0.2688658	0.5444747	0.4389674	0.1409487	0.7961167	0.3446452	0.0019456	0.1387172	0.4790739	0.0671288	0.3953226	0.4406486	0.4499218
0.2432995	0.5289640	0.2445671	0.6557956	0.4102137	0.3057560	0.5175411	0.3751340	0.5438252	0.0570978	0.0719765	0.6889138	0.7889824	0.6701931	0.0000000	0.0640139	0.6350021	0.7588177	0.7661659	0.7045479	0.6411272	0.7303118	0.5760712	0.6830260	0.0384431	0.0006655	0.4095103	0.4812158	0.1761260	0.1780934	0.1456324	0.2036538	0.7037390	0.6064782	0.1680834	0.6851848	0.0356803	0.3792542	0.5528810	0.5645203	0.1402507	0.7990617	0.2429836	0.0038319	0.0855657	0.5760129	0.0631128	0.3786396	0.3009462	0.4475387
0.4257297	0.5616252	0.2754158	0.6826343	0.4710117	0.4305409	0.5537843	0.2039301	0.4931505	0.0099672	0.0747598	0.6738743	0.8149887	0.5364714	0.0233501	0.0000000	0.5318056	0.6188183	0.6929618	0.6654987	0.7897066	0.6311918	0.7642756	0.5691718	0.0549658	0.0089354	0.4892582	0.4420472	0.1157743	0.1793837	0.1270270	0.1580622	0.7280705	0.7692603	0.2113695	0.6315695	0.0284512	0.3588476	0.6212757	0.4778220	0.2265195	0.8416504	0.3123388	0.0025809	0.0968338	0.5485638	0.0805210	0.3467500	0.3235960	0.5856295
0.2455599	0.4174859	0.4017685	0.7236676	0.4597721	0.4067313	0.4356384	0.3177010	0.4101842	0.0586851	0.1018586	0.8211408	0.6946376	0.5942631	0.0124396	0.0914238	0.0000000	0.6995154	0.6780149	0.6089547	0.5868078	0.7127771	0.5610959	0.7815162	0.0318784	0.0011804	0.4480061	0.3860403	0.2518071	0.1791489	0.0973853	0.2256082	0.6976568	0.6120442	0.1931400	0.5527287	0.0543105	0.3351805	0.4586885	0.4003614	0.1694438	0.6932661	0.2820102	0.0006147	0.1119964	0.4019077	0.0281210	0.2495214	0.3286042	0.4862057
0.3622264	0.5616414	0.2910530	0.8022524	0.5938671	0.3897826	0.4178267	0.2813240	0.4119822	0.0132965	0.0465709	0.7214006	0.8288627	0.6975876	0.0210552	0.0748812	0.5096358	0.0000000	0.7695921	0.7462117	0.7623813	0.7189383	0.7225854	0.8468956	0.0566324	0.0014765	0.4242366	0.5689732	0.1633343	0.1255523	0.1098273	0.1841017	0.7973176	0.6930336	0.3156710	0.5924399	0.0407231	0.3575339	0.6003427	0.4822201	0.1667754	0.7151397	0.2943491	0.0113318	0.1639218	0.5530267	0.0197325	0.3492039	0.5241356	0.4695705
0.3175946	0.5927904	0.1831698	0.8033041	0.4279980	0.4640098	0.3544123	0.2491939	0.5297311	0.0385508	0.0156882	0.6401545	0.7682582	0.6578246	0.0103317	0.1207745	0.6368584	0.0233686	0.0000000	0.5048289	0.6503669	0.6831602	0.7517607	0.9050231	0.0342781	0.0005096	0.3964152	0.5634435	0.0578859	0.2070579	0.1879659	0.1792155	0.7940914	0.8221749	0.1989378	0.5836941	0.0350878	0.2189462	0.5486969	0.7638054	0.1746496	0.7446636	0.3109824	0.0007304	0.1088423	0.4802267	0.0227718	0.3354620	0.3386988	0.5237635
0.3221976	0.4579277	0.2579582	0.6955345	0.4451593	0.4562221	0.4327246	0.3642464	0.5819597	0.0170599	0.0551327	0.6358936	0.6106732	0.2474083	0.0156827	0.1057117	0.7050727	0.6574781	0.6288505	0.0000000	0.5220853	0.0677919	0.7035785	0.9206539	0.0403296	0.0012954	0.4535397	0.5111768	0.1419003	0.1511094	0.7109614	0.0961207	0.8145054	0.6673461	0.2756344	0.6691237	0.0646881	0.4798006	0.5529953	0.5849222	0.1353357	0.8114488	0.2605338	0.0034487	0.1161960	0.5077213	0.0694537	0.2239168	0.3919264	0.3916063
