YKL020C	YCR096C	YCR040W	YPR199C	YHR006W	YJL056C	YCL066W	YLR013W	YCL067C	YPL248C	YCR041W	YDR008C	YCR107W	YNL339C	YDR103W	YBR040W	YDR007W	YNL105W	YCR039C	YCL065W	YKL209C	YLR080W	YML065W	YMR135WA	YLR397C	YJR161C	YKL178C	YLR374C	YPL187W	YLR082C	YGR296W	YBL109W	YBL112C	YMR086CA	YGR103W	YJR044C	YEL057C	MEL1	YCR083W	YMR087W	YDR210WD	YJL055W	YNL337W	YDR006C	YML048WA	YGR173W	YFL002WA	YHR091C	YGL089C	YAL049C
0.6152010	0.0154518	0.4409893	0.6275941	0.6023058	0.7365752	0.2562781	0.7408351	0.1467269	0.6364752	0.0000000	0.7118284	0.5898379	0.2276023	0.6061130	0.0261388	0.7376712	0.6912029	0.4847695	0.6726019	0.2836661	0.4328232	0.5192751	0.0410279	0.5666717	0.7066979	0.5946530	0.0092993	0.1689003	0.6339045	0.3399723	0.2750911	0.0414917	0.0322724	0.3179963	0.2714622	0.4422969	0.0509501	0.4846325	0.1611667	0.2204010	0.0758059	0.3776193	0.6067091	0.4842151	0.0281893	0.4506987	0.0941536	0.4543972	0.5729565
0.7146177	0.0109332	0.4270713	0.6610746	0.5281445	0.5539289	0.2342578	0.6310020	0.1396332	0.8795390	0.2598260	0.0000000	0.8064971	0.1795789	0.7007796	0.0240947	0.7748736	0.6188177	0.6455661	0.6184635	0.3771728	0.4772830	0.4263990	0.0697204	0.3880998	0.4716679	0.6022920	0.0100424	0.2617785	0.5542290	0.3052786	0.4053789	0.0559211	0.0265276	0.3199247	0.2409993	0.4248077	0.0316993	0.5351630	0.1537255	0.2835998	0.1389189	0.2835854	0.5894621	0.5773745	0.0315839	0.4819872	0.0734739	0.5464390	0.4682115
0.5966358	0.0013155	0.5025186	0.7424975	0.6159906	0.7071173	0.2398166	0.6506151	0.1085419	0.6754710	0.2629603	0.6167208	0.0000000	0.1581625	0.6191591	0.0233985	0.5597810	0.5300985	0.5225786	0.6796741	0.3270080	0.4027396	0.5770149	0.0481949	0.6094089	0.5640329	0.5675096	0.0122534	0.2869717	0.5216008	0.2773779	0.3453735	0.0230790	0.0120860	0.3249436	0.2713171	0.4589790	0.0632434	0.4703027	0.1707482	0.3270325	0.0781868	0.2429245	0.5532230	0.5395908	0.0303582	0.5260564	0.0456876	0.4535839	0.5901720
0.6690070	0.0083890	0.5494162	0.5995672	0.6146808	0.6529716	0.3135576	0.6461913	0.1485208	0.6153830	0.2345079	0.6950847	0.5210726	0.0000000	0.5903117	0.0094228	0.6194378	0.6419408	0.5746860	0.5941150	0.3103763	0.3268331	0.4568502	0.0963063	0.4404092	0.6768103	0.6443795	0.0252533	0.2207600	0.6033681	0.2441244	0.4205155	0.0284843	0.0157639	0.2651690	0.2187359	0.5121568	0.0374026	0.4295076	0.1066667	0.2289962	0.0751829	0.2816602	0.5843643	0.4787837	0.0311960	0.5024010	0.0971501	0.4953896	0.4036030
0.7994859	0.0047139	0.5128364	0.7486188	0.7518608	0.7837400	0.3263831	0.7268774	0.1218385	0.6576227	0.2501416	0.6616761	0.6619948	0.1910049	0.0000000	0.0098220	0.5276906	0.6001349	0.5449606	0.7138180	0.3289599	0.4400607	0.4984289	0.0378653	0.3891137	0.5751044	0.5958465	0.0087245	0.1871661	0.5948979	0.2920371	0.3656917	0.0057582	0.0262080	0.3036562	0.3386904	0.3849052	0.0369641	0.4694418	0.1983836	0.2738213	0.0700509	0.2785706	0.6760796	0.5017564	0.0260187	0.6513103	0.0359837	0.5088029	0.5065022
0.8285335	0.0194417	0.4758302	0.7270913	0.6593853	0.6986231	0.2614321	0.6351569	0.1112466	0.7281149	0.3210326	0.6846704	0.6576141	0.1741745	0.4993783	0.0000000	0.6431243	0.6563213	0.4983935	0.7161726	0.3214398	0.4705485	0.4856425	0.0429733	0.3642044	0.5726738	0.6528142	0.0400115	0.2487564	0.6846522	0.3933185	0.3602689	0.0057546	0.0355508	0.3567228	0.3400348	0.4629077	0.0268210	0.5397154	0.2033339	0.2482575	0.0700138	0.3113205	0.6087822	0.4831789	0.0252349	0.4963019	0.0821264	0.4765374	0.5162560
0.5671610	0.0093514	0.4217980	0.7933426	0.8270262	0.6447028	0.2570736	0.7338747	0.1665994	0.7799271	0.3160348	0.7110096	0.5775066	0.1868312	0.7092187	0.0189034	0.0000000	0.5979312	0.5586560	0.5724042	0.2850924	0.4809162	0.3921955	0.0342107	0.3974685	0.6903808	0.6790327	0.0116553	0.1760137	0.5930838	0.3184487	0.3811840	0.0230541	0.0426858	0.4047053	0.2187091	0.4954445	0.0760902	0.4019514	0.2048428	0.2375552	0.0724024	0.2631875	0.5679080	0.5307360	0.0256458	0.5219781	0.0501325	0.4720418	0.5225159
0.6223884	0.0128509	0.4809550	0.7179307	0.7428963	0.7100876	0.3269977	0.5987110	0.1621566	0.6995240	0.2525502	0.7436466	0.5578957	0.2095596	0.6079212	0.0034075	0.6870544	0.0001031	0.6041803	0.6087727	0.2065306	0.4093038	0.5649446	0.0471588	0.3603650	0.5809336	0.7046602	0.0083570	0.1574508	0.6182319	0.2604598	0.3753241	0.0206738	0.0445306	0.3119771	0.3798493	0.3634472	0.0405900	0.4075177	0.1464540	0.3284619	0.0644776	0.2812722	0.6161527	0.5943917	0.0233753	0.5338117	0.0219382	0.4812073	0.5868731
0.6274363	0.0062662	0.4895160	0.5959929	0.7515732	0.6685608	0.3128646	0.6955396	0.1345434	0.7246372	0.2535827	0.7920503	0.5988329	0.2548366	0.5486642	0.0112659	0.6498567	0.7381587	0.0000000	0.4902489	0.3069726	0.4810609	0.4526497	0.0477635	0.4645147	0.5118683	0.6490197	0.0122826	0.1739523	0.7162810	0.3180410	0.3368430	0.0390619	0.0343351	0.4208965	0.2734046	0.3704557	0.0401057	0.3825660	0.1084016	0.2882308	0.0552183	0.2820328	0.6010917	0.5901146	0.0368961	0.4240557	0.0678468	0.4159871	0.4585330
0.7852072	0.0174791	0.5634415	0.6429840	0.6806870	0.5536568	0.2566793	0.6320362	0.1287517	0.7537830	0.2771514	0.6227216	0.6781603	0.1684687	0.5488677	0.0321775	0.6022146	0.6294026	0.6446243	0.0000000	0.2774829	0.4420343	0.4856564	0.0580875	0.4114990	0.4797915	0.5855405	0.0186310	0.2167250	0.6475095	0.2808994	0.3732666	0.0325501	0.0468354	0.3500700	0.2240075	0.3717298	0.0405159	0.4636107	0.1945093	0.2571991	0.0951591	0.3037144	0.7264612	0.5086319	0.0254518	0.6081913	0.0306970	0.4348774	0.6132748
0.6274695	0.0236771	0.5250227	0.7059456	0.6403369	0.6780357	0.2338410	0.4447242	0.1475924	0.6082630	0.2703117	0.7095409	0.6110667	0.1589203	0.4990857	0.0054767	0.5485544	0.6641610	0.4907163	0.5810104	0.0000000	0.4212923	0.5659547	0.0349163	0.4975568	0.5378706	0.5788259	0.0154429	0.1683460	0.5065952	0.2810516	0.3434902	0.0235316	0.0222689	0.3185447	0.2764342	0.3845710	0.0772270	0.4640949	0.2193672	0.2274969	0.0876386	0.2926523	0.5899135	0.5877173	0.0255426	0.5380877	0.1277888	0.4863195	0.4086185
0.7495215	0.0140138	0.3592349	0.6783989	0.6313702	0.7333835	0.4079167	0.6396945	0.1808712	0.6398806	0.3034730	0.6556614	0.5352693	0.2136825	0.6247147	0.0088997	0.5323105	0.6720027	0.4579522	0.6383209	0.3598376	0.0000000	0.4904348	0.0505160	0.4149488	0.5446257	0.5914973	0.0117457	0.3361879	0.6350990	0.2647413	0.3783180	0.0242400	0.0312009	0.3094485	0.3648751	0.4804884	0.0416647	0.4700227	0.1490441	0.3353399	0.0746127	0.2989704	0.6061473	0.5482644	0.0255578	0.3558183	0.0610685	0.5178496	0.4723900
0.5769841	0.0020371	0.4633166	0.7389823	0.6245121	0.7052450	0.2647477	0.9357312	0.1462239	0.6225720	0.2989061	0.6563720	0.7296452	0.2439886	0.6659803	0.0092791	0.5493016	0.6866829	0.6319672	0.6538136	0.3080280	0.4178137	0.0000000	0.0968219	0.4808931	0.5971902	0.6132932	0.0150869	0.1733424	0.6618830	0.2736907	0.2870166	0.0348511	0.0915122	0.3969897	0.2307662	0.4757807	0.0377001	0.5645091	0.1656492	0.2689602	0.0977607	0.4115211	0.6205643	0.4455545	0.0302665	0.5042581	0.0498915	0.5032997	0.5997332
0.7523438	0.0081536	0.5845012	0.5207838	0.6576568	0.8372316	0.4372168	0.7019954	0.1225577	0.6595989	0.3206767	0.6382482	0.6543917	0.1759534	0.5406312	0.0149518	0.7049070	0.6482814	0.5724025	0.5839960	0.2859668	0.5217370	0.3961981	0.0000000	0.3682491	0.4666358	0.7041649	0.0096559	0.2536903	0.6922394	0.2036178	0.3659252	0.0187384	0.0186271	0.3359642	0.2528106	0.4491361	0.0338592	0.3361013	0.1139092	0.3374307	0.0603066	0.2993283	0.6405095	0.5135267	0.0198615	0.6025864	0.0733688	0.5608741	0.5007127
0.5788407	0.0162685	0.5075700	0.6660255	0.6281080	0.6256318	0.2284906	0.5721200	0.0936828	0.7372805	0.3462536	0.8862320	0.5963375	0.1728796	0.5934080	0.0288892	0.6371757	0.7866455	0.5275122	0.5774048	0.4157733	0.5106469	0.5720740	0.0664863	0.0000000	0.7062106	0.6365136	0.0184722	0.1872617	0.6541687	0.3392311	0.3527404	0.0069285	0.0423257	0.3639624	0.2760188	0.4537296	0.0195902	0.4418564	0.1493434	0.2994500	0.0923276	0.3271574	0.6881058	0.4902446	0.0662568	0.5317710	0.0774756	0.4920192	0.7358151
0.7542845	0.0128821	0.4683207	0.6964015	0.7075144	0.7579243	0.2532724	0.6591059	0.1373636	0.6911557	0.3063012	0.8053848	0.5887033	0.2044317	0.7211606	0.0061129	0.6404697	0.7354126	0.5159861	0.6502124	0.3464205	0.4948891	0.4864685	0.0198409	0.4641069	0.0000000	0.7470574	0.0088002	0.1963842	0.5375466	0.3876298	0.3469353	0.0428880	0.0798219	0.3558023	0.3938585	0.3444456	0.0540962	0.3960336	0.2211064	0.2843131	0.0574518	0.3188759	0.6519855	0.6407074	0.0354064	0.3720570	0.0978817	0.3846930	0.5370221
0.5750979	0.0081428	0.4051306	0.6614234	0.8589720	0.6400561	0.2081847	0.7206077	0.2242588	0.7454973	0.4132592	0.5984717	0.5752020	0.2079609	0.7281058	0.0075063	0.8204238	0.7130490	0.6190669	0.5736881	0.2907711	0.3491733	0.4321021	0.0824630	0.4069914	0.5567313	0.0000000	0.0236836	0.1886444	0.5415320	0.2456302	0.3439096	0.0306233	0.0217304	0.4584646	0.3236151	0.5229245	0.0585524	0.6364736	0.1204110	0.3305990	0.0455243	0.2917392	0.5658472	0.5574486	0.0287579	0.4718357	0.0464538	0.4357901	0.4954668
0.7567864	0.0099607	0.3494902	0.7212189	0.6684303	0.6052228	0.3217995	0.7953146	0.1573305	0.7059327	0.2688690	0.6284185	0.5904100	0.3084017	0.7132000	0.0323113	0.6206003	0.7026424	0.4798031	0.6440887	0.2017415	0.4973858	0.3620758	0.0327880	0.4785319	0.5766491	0.6312952	0.0088070	0.2312122	0.6242699	0.3418066	0.4101381	0.0145814	0.0504748	0.2989559	0.2125751	0.3963493	0.0802211	0.5002974	0.1213039	0.3182270	0.0878274	0.2995395	0.6516609	0.5351273	0.0443746	0.4582629	0.0691451	0.5533673	0.5039532
