YKL020C	YCR096C	YCR040W	YPR199C	YHR006W	YJL056C	YCL066W	YLR013W	YCL067C	YPL248C	YCR041W	YDR008C	YCR107W	YNL339C	YDR103W	YBR040W	YDR007W	YNL105W	YCR039C	YCL065W	YKL209C	YLR080W	YML065W	YMR135WA	YLR397C	YJR161C	YKL178C	YLR374C	YPL187W	YLR082C	YGR296W	YBL109W	YBL112C	YMR086CA	YGR103W	YJR044C	YEL057C	MEL1	YCR083W	YMR087W	YDR210WD	YJL055W	YNL337W	YDR006C	YML048WA	YGR173W	YFL002WA	YHR091C	YGL089C	YAL049C
0.7087605	0.0095811	0.3649959	0.7091300	0.6237640	0.6304809	0.2719460	0.5844203	0.0972954	0.6418015	0.1899714	0.7435193	0.5369247	0.1483463	0.6875528	0.0066590	0.7044628	0.7045392	0.5707803	0.6912454	0.3036577	0.4373451	0.4284472	0.0411080	0.5347266	0.4892140	0.6562829	0.0402295	0.2231533	0.6957000	0.2421011	0.3108620	0.0362922	0.0271484	0.3221945	0.2659513	0.4515395	0.0625007	0.4409423	0.2219067	0.2509276	0.0618196	0.3283442	0.5531314	0.5765923	0.0514833	0.4694651	0.0497303	0.5630939	0.6572763
0.7109712	0.0176497	0.4291641	0.7260154	0.7607886	0.6713607	0.3046821	0.7003279	0.1677220	0.6906596	0.2777729	0.3134082	0.5103444	0.2495925	0.6161197	0.0051750	0.6317802	0.6471837	0.5731974	0.6770072	0.2634505	0.4189720	0.4894070	0.0331587	0.3985741	0.5941777	0.6177296	0.0131823	0.1463668	0.5636688	0.2511603	0.2806278	0.0499423	0.0235429	0.2554378	0.2545486	0.4476568	0.0467928	0.4566698	0.1611599	0.2528528	0.1044243	0.3010214	0.6984865	0.5430788	0.0506835	0.3525703	0.0476746	0.5322158	0.5767694
0.6580149	0.0138873	0.5271671	0.6423484	0.6830561	0.7793151	0.2273816	0.6566036	0.1136557	0.6453997	0.3404376	0.7210102	0.3198190	0.1716480	0.6155144	0.0231723	0.6619605	0.7730951	0.5928909	0.7279831	0.2465977	0.3923099	0.5540052	0.0705943	0.4080939	0.6201095	0.6968820	0.0129949	0.1852096	0.7169440	0.2968646	0.4343890	0.0299672	0.0681877	0.3008252	0.3020789	0.3113361	0.0565906	0.4426841	0.1202101	0.3794575	0.0973842	0.2730893	0.7159844	0.5904810	0.0552361	0.4939485	0.0499718	0.4615745	0.4481998
0.6171464	0.0048315	0.4407528	0.6344914	0.5929328	0.6001267	0.2467667	0.6904979	0.1254891	0.5676365	0.2704113	0.5825699	0.6801618	0.1075361	0.6467621	0.0086204	0.6074874	0.6265532	0.5935827	0.6155432	0.3425207	0.4683409	0.4827185	0.0793021	0.4291668	0.6582284	0.7329272	0.0223912	0.2151001	0.6722756	0.2654706	0.3748678	0.0161756	0.0169383	0.3510330	0.3026949	0.3684567	0.0461182	0.4319488	0.1168462	0.2901814	0.0852323	0.2632872	0.5552785	0.4809187	0.0144485	0.4812398	0.0858490	0.4474982	0.6161373
0.7488966	0.0093416	0.5030167	0.8597940	0.6848897	0.5747735	0.3800336	0.6784091	0.0953337	0.6419630	0.3084999	0.6040383	0.6426661	0.2423032	0.2970033	0.0141585	0.6718147	0.7615612	0.4803432	0.7120182	0.3360679	0.4892024	0.5124011	0.0491464	0.4287933	0.6440498	0.7851114	0.0150069	0.2650645	0.6580546	0.2907860	0.4810574	0.0246261	0.0115033	0.3411634	0.2255042	0.4449158	0.0551797	0.3836665	0.1769243	0.2550347	0.0948885	0.3396090	0.6372373	0.5092700	0.0270887	0.4823623	0.1341874	0.4560308	0.4722372
0.6266496	0.0018406	0.4242207	0.7198179	0.6236412	0.6263026	0.2881985	0.6123127	0.1369882	0.6242423	0.3790808	0.7033371	0.6533305	0.2733276	0.5467881	0.0212774	0.6782782	0.8086252	0.6859135	0.5925375	0.4653627	0.4264403	0.4293984	0.0463261	0.4634371	0.6060910	0.5788516	0.0207697	0.2619886	0.5724263	0.2681413	0.2876780	0.0490541	0.0450427	0.3339127	0.2791202	0.3915003	0.0305062	0.4027648	0.1641285	0.2934006	0.0871582	0.2639829	0.5900043	0.5959379	0.0409615	0.4429850	0.0573566	0.4418461	0.5239068
0.7344541	0.0084502	0.3677401	0.6873657	0.6592044	0.6679972	0.3180701	0.7989019	0.0908972	0.7076220	0.3172263	0.5659345	0.6274360	0.1636759	0.7378071	0.0048889	0.3404499	0.6625377	0.5144710	0.6212146	0.3397678	0.4483078	0.4382427	0.0525414	0.4926122	0.6057464	0.6978124	0.0206135	0.1944846	0.6329124	0.2264257	0.4375094	0.0168689	0.0359629	0.2694920	0.1941469	0.4275571	0.0615980	0.5973600	0.1327105	0.2264163	0.0666194	0.3133065	0.6109912	0.5907007	0.0244096	0.5271712	0.0930187	0.5342478	0.5661671
0.6674018	0.0041378	0.5490013	0.6238667	0.6427424	0.7656961	0.2444426	0.5647413	0.0917800	0.7532888	0.2403674	0.5993680	0.6244411	0.2135147	0.5484721	0.0118080	0.5577125	0.3171496	0.6383871	0.6684505	0.2456719	0.5408882	0.5362729	0.0521692	0.4676031	0.5354373	0.6819131	0.0094475	0.2086002	0.5713695	0.2591129	0.3901448	0.0257824	0.0209825	0.2929869	0.3002576	0.3895787	0.0702032	0.4251028	0.1215957	0.4134868	0.0559167	0.3338810	0.6857016	0.4779784	0.0563253	0.4440498	0.0424740	0.4978044	0.4961943
0.6875111	0.0076075	0.4291654	0.6471221	0.7858837	0.6816194	0.2631253	0.7687068	0.1272891	0.6335713	0.3000451	0.5573095	0.6808018	0.1640817	0.6072418	0.0066760	0.5717405	0.6432390	0.2796470	0.6403451	0.2755237	0.5023572	0.6235848	0.0452719	0.4803186	0.6037065	0.6738386	0.0266590	0.2192018	0.5163240	0.2373692	0.4472290	0.0371995	0.0533085	0.3626261	0.3144985	0.4553816	0.0390932	0.5715397	0.1395421	0.2887597	0.0736094	0.2789458	0.6113033	0.6200026	0.0250003	0.4885411	0.0780945	0.5191229	0.5076717
0.6430874	0.0100883	0.5095877	0.5593649	0.7023550	0.6447283	0.2439657	0.7061437	0.1402791	0.4207837	0.3225525	0.7040017	0.7152186	0.1446199	0.5923539	0.0139331	0.5770522	0.6674387	0.6118636	0.3611267	0.2998877	0.5033592	0.4553768	0.0526977	0.4840956	0.5721818	0.7421411	0.0080914	0.1840455	0.6964120	0.2498516	0.3053342	0.0264594	0.0213031	0.3013328	0.4183575	0.4465906	0.1090591	0.4683629	0.0961110	0.2144314	0.0907534	0.1955530	0.4826628	0.5284133	0.0205369	0.5403326	0.0328041	0.5257519	0.5199310
