YCR096C	YKL020C	YOL089C	YPR199C	YCR040W	YMR019W	YHR006W	YJR147W	YKR034W	YJL110C	YOL067C	YCL067C	YJL056C	YLR013W	YGL254W	YDR463W	YPL038W	YDR081C	YBL103C	YFL021W	YCR097W	YDL170W	YML113W	YDR421W	YBR083W	YKL095W	YLL055W	YJR110W	YBL113C	YDR180W	YPL251W	YDR068W	YJR011C	YJL195C	YDR508C	YFR042W	YCR090C	YCR041W	YDR067C	YJR080C	YCR039C	YBR292C	YFL002WA	YBR006W	YLR027C	YJR008W	YAL012W	YMR257C	YIR029W	YPL243W
0.6859899	1.0185485	1.0408120	1.0593552	0.7232341	0.1764607	1.0503037	0.8952115	0.0102372	0.0176488	0.4488987	0.4836708	1.1425324	1.0986846	0.4847846	0.2640026	1.0584946	1.0511888	1.1673787	0.9967405	0.3256640	0.8939017	1.0302722	0.9977528	0.9413323	0.4271623	0.0552486	0.4529882	0.4265966	0.5260644	0.8318597	0.7440365	0.0493322	0.9084780	0.7328770	0.0977171	0.8610926	0.5039069	0.7653171	0.6990473	0.9375585	0.9168378	0.7975278	0.4409255	0.7099503	0.2864402	0.1278084	0.8695185	0.3029770	1.1242310
0.7180145	0.9090067	0.8841362	0.9264592	0.7193338	0.2703019	1.0223640	1.0051280	0.0098874	0.0131619	1.0626837	0.2537525	1.0287615	0.9921737	0.4820453	0.2763108	1.0944402	1.0810903	0.9869727	1.0048317	0.3314668	0.9716660	0.9778864	0.9211668	1.0487870	0.3251624	0.0644059	0.4492750	0.4496205	0.6548392	0.8603600	0.7077770	0.0527008	0.8762776	0.6247785	0.0794474	0.9029109	0.4121601	0.7530611	0.7644771	0.8650956	0.8800520	0.8514424	0.4575060	0.5710599	0.2565459	0.1071607	0.9035502	0.3638058	0.8885384
0.7155220	1.0514732	0.9893319	0.9406041	0.8483673	0.2075085	1.0166883	1.0324870	0.0121058	0.0227516	0.9714606	0.4792730	0.5553366	1.0017737	0.5221740	0.2818226	1.0904987	0.9790726	1.0384333	1.0194472	0.2998183	1.0153039	0.9560363	0.9746838	0.9452838	0.3232113	0.0564526	0.4114943	0.4534532	0.6280785	0.7849081	0.6102029	0.0544457	0.9728327	0.6464302	0.1000313	0.7801095	0.3350069	0.9287819	0.7062060	0.7714717	0.9364834	0.7392032	0.4547580	0.5838497	0.3137858	0.0916337	1.0075654	0.2724845	1.0127556
0.6960033	1.0244788	1.0705192	1.0693557	0.7360375	0.3029055	0.9254435	1.0634575	0.0144673	0.0283368	1.0006739	0.5216360	1.0623990	0.5264250	0.4949000	0.2850560	0.9758516	1.0374574	1.0571867	1.0849125	0.3415755	0.9405053	0.9454931	0.9898613	0.9686812	0.3349091	0.0791643	0.4569169	0.4174384	0.5694925	0.9438051	0.6626923	0.0448292	0.8467900	0.6729053	0.1032756	0.9132033	0.5106945	0.9029045	0.6684655	0.8977817	0.8566485	0.7267876	0.4699556	0.5795488	0.2827072	0.0923488	0.9264896	0.3699194	0.9427935
0.7006477	1.0435146	0.9941313	1.0560773	0.7105341	0.2582689	1.1123505	1.0704822	0.0118115	0.0223356	1.0745600	0.4801261	0.9599741	1.0380216	0.2614079	0.2475330	0.9218508	1.0394383	1.0490580	0.8816623	0.2969877	0.9121851	1.1131065	0.9588424	1.1526113	0.3116233	0.0897646	0.3673460	0.4585950	0.6344965	0.8927012	0.6753265	0.0475638	0.8290092	0.7095136	0.0689488	0.7785685	0.4213956	0.7864132	0.7490927	0.8601358	0.9272940	0.8786894	0.4387749	0.5628147	0.2642663	0.1066009	0.8160039	0.2917127	1.0179783
0.8384138	1.0053491	0.9144461	1.0031250	0.6941859	0.2561824	1.0249485	0.9416421	0.0166389	0.0202760	0.9216756	0.5907430	0.9385558	1.0706178	0.5754911	0.0901908	0.9825515	1.0423537	0.9896092	0.9203129	0.3383071	0.9677532	1.0549968	1.0013378	1.0459031	0.3668305	0.0707984	0.4036468	0.4399131	0.6000461	0.9052696	0.6623603	0.1105418	0.9383924	0.9224870	0.0670984	0.7289205	0.3936549	0.8700764	0.7751085	0.9004299	0.7655850	0.7180732	0.3996834	0.5501934	0.3110996	0.1102475	1.0227311	0.3723617	1.0843306
0.7619102	1.0175630	1.1326821	1.0527956	0.7622282	0.2299568	0.9801871	1.0657366	0.0164124	0.0102276	1.0957957	0.5208038	1.0148126	0.9822222	0.4747611	0.2327513	0.5343216	1.0163624	1.0358333	1.0197077	0.3382701	1.0280098	0.9608007	0.9629314	1.0176780	0.3412350	0.0552104	0.4413903	0.3773986	0.5633220	0.9892046	0.6964726	0.0355907	0.8496172	0.7076988	0.0693629	0.8027100	0.3908854	0.8648800	0.6668897	1.0827763	0.8798463	0.7094990	0.4604993	0.0488213	0.3579747	0.1168918	1.0122179	0.3229486	0.9798760
0.6831418	0.9900715	1.1051899	0.9988132	0.7530239	0.2372285	1.0213656	0.9968759	0.0106697	0.0199670	1.0884244	0.4758629	1.1147890	1.0463527	0.4570792	0.3629705	0.9019139	0.4877763	0.9779553	0.9397588	0.3418706	0.9369001	0.9868307	1.0365081	1.0555358	0.3448541	0.0593573	0.3310563	0.4173775	0.6325383	0.8840657	0.6806861	0.0358233	0.8013510	0.7011601	0.0776884	0.8084844	0.4604273	0.7916945	0.8700680	0.8371099	0.8223277	0.6314670	0.4535156	0.4418665	0.3167306	0.0838860	0.8319474	0.3111154	1.1444003
0.5095540	0.9774357	0.9233159	0.9243976	0.8578741	0.4639684	0.8697191	0.9646782	0.0175066	0.0185568	0.9989396	0.5132618	0.9547040	1.0712415	0.4901490	0.2398790	0.9644921	1.1032732	0.4421048	1.0648545	0.4355012	1.0447888	0.9969577	1.0159983	1.0389226	0.3767364	0.1885381	0.1118349	0.4496945	0.6537172	0.8744211	0.3864355	0.0485584	0.6393083	0.9485029	0.2212598	0.2894469	0.4337440	1.0527134	0.7912802	0.9440444	0.6991155	0.8404658	0.4195329	0.5302407	0.3414851	0.0757012	0.7785853	0.3722196	0.9795467
0.7390739	0.9821288	0.9532134	1.0847567	0.6083310	0.3206110	0.9551959	1.1158270	0.0074713	0.0159454	0.9848716	0.4509028	0.9920000	0.9528371	0.4655776	0.2005387	0.9584354	0.9683642	1.0894394	0.5691419	0.2878646	1.0521601	0.9013899	0.8849171	1.1385941	0.3305490	0.1390546	0.1622848	0.4561434	0.6583072	0.8306770	0.9874636	0.2121467	0.8262300	0.7359958	0.1290864	0.7826437	0.4767385	0.8505307	0.8508621	0.8995226	0.7821994	0.6662289	0.4115765	0.5643832	0.2951843	0.1170339	0.9114976	0.3013543	1.0519374
