YCR096C	YKL020C	YOL089C	YPR199C	YCR040W	YMR019W	YHR006W	YJR147W	YKR034W	YJL110C	YOL067C	YCL067C	YJL056C	YLR013W	YGL254W	YDR463W	YPL038W	YDR081C	YBL103C	YFL021W	YCR097W	YDL170W	YML113W	YDR421W	YBR083W	YKL095W	YLL055W	YJR110W	YBL113C	YDR180W	YPL251W	YDR068W	YJR011C	YJL195C	YDR508C	YFR042W	YCR090C	YCR041W	YDR067C	YJR080C	YCR039C	YBR292C	YFL002WA	YBR006W	YLR027C	YJR008W	YAL012W	YMR257C	YIR029W	YPL243W
0.5927787	0.7272261	0.6647887	0.7409963	0.4246755	0.2269104	0.6880334	0.6542851	0.0008534	0.0018039	0.7519482	0.3791887	0.6879962	0.6769669	0.3985173	0.2199935	0.5851129	0.7634118	0.7022678	0.8104153	0.1837319	0.7116062	0.6590152	0.5169727	0.5929031	0.4077207	0.1980362	0.3106450	0.0857594	0.6453335	0.7224525	0.4861119	0.0242825	0.5242159	0.3672308	0.0679265	0.5579893	0.2535315	0.3220757	0.5017362	0.8095197	0.3121651	0.6274314	0.3959448	0.4584588	0.2382672	0.0705278	0.6758353	0.2314553	0.7584725
0.6587106	0.8064899	0.6161758	0.7895962	0.5368888	0.3537786	0.8215585	0.7066891	0.0001567	0.0124513	0.6439456	0.3118863	0.7449752	0.6608166	0.2869983	0.0566823	0.8529427	0.4960505	0.5858803	0.5363098	0.0503739	0.7264118	0.6919025	0.6240089	0.6306123	0.2912346	0.3669149	0.1442571	0.4494796	0.5041334	0.5220093	0.4765777	0.0393291	0.3930146	0.4677281	0.1534997	0.5807694	0.2705937	0.6416352	0.4595957	0.3084168	0.4938619	0.6049350	0.5554789	0.5240924	0.0874370	0.0796662	0.7044484	0.1716740	0.6872075
0.3273880	0.7858202	0.6638267	0.5680207	0.4836482	0.3627693	0.5282160	0.5292461	0.0059379	0.0979558	0.6951221	0.0002476	0.4884951	0.3656936	0.2579667	0.2584632	0.7261296	0.6153772	0.5069112	0.8335070	0.2766373	0.3687160	0.6686500	0.6888214	0.5622015	0.4756288	0.2710154	0.0968509	0.3822529	0.5173377	0.3517148	0.4602266	0.0222873	0.4461724	0.6372545	0.1150424	0.4474482	0.6444242	0.6337301	0.4253257	0.2330874	0.4980588	0.4165947	0.1898688	0.4173767	0.2058283	0.0869312	0.5769095	0.0590140	0.6343712
0.3361414	0.5350085	0.5938937	0.7972673	0.4845443	0.2888714	0.6300798	0.7387645	0.1345404	0.0014360	0.8328758	0.4344913	0.6806833	0.6182625	0.5520737	0.1583215	0.3130981	0.7009509	0.4234612	0.5694851	0.1752774	0.5651862	0.8577034	0.7586306	0.7446702	0.2563801	0.1888638	0.5101843	0.2368336	0.4427032	0.4686758	0.5906825	0.0517897	0.2267500	0.8201065	0.1567372	0.2928965	0.4413689	0.3133612	0.5577324	0.3865636	0.1858336	0.5458947	0.5978699	0.1505884	0.0683926	0.0426994	0.1803890	0.2554588	0.7223367
0.5331844	0.4110557	0.4990247	0.6608951	0.3908274	0.0840980	0.6492197	0.8144600	0.0000050	0.0000908	0.7728827	0.1537534	0.7717777	0.6723059	0.1581807	0.1966903	0.6790862	0.4644279	0.7795462	0.6646291	0.2604827	0.6934499	0.7630180	0.7288608	0.6794296	0.2527069	0.1908086	0.4305814	0.5516700	0.6453238	0.6293665	0.4455980	0.0374994	0.8056507	0.4107132	0.0222446	0.6511514	0.4625031	0.7887561	0.6369001	0.4269555	0.5880379	0.7666150	0.5665601	0.3175262	0.1927680	0.0636454	0.6584151	0.0259262	0.7477605
0.2782350	0.7921696	0.7837430	0.6422994	0.6410765	0.1026644	0.7146780	0.6620909	0.0000153	0.0009983	0.5124537	0.4027682	0.7241495	0.7077768	0.4577114	0.1991870	0.5573446	0.7364010	0.6563949	0.7979872	0.1841596	0.6391563	0.7516220	0.4917209	0.6431542	0.1109350	0.0003062	0.2490411	0.5439940	0.3998033	0.6766244	0.7906271	0.0076246	0.5460329	0.2130184	0.0118758	0.4853733	0.4670134	0.6268950	0.6176244	0.8693450	0.5886511	0.4989489	0.9286729	0.1435665	0.3751206	0.0701087	0.6457605	0.2031980	0.5582577
0.5906576	0.4287787	0.4621562	0.6969121	0.2828602	0.3200269	0.6441330	0.6601582	0.2863188	0.2938772	0.7369185	0.0000436	0.7131379	0.5871976	0.4608594	0.1814025	0.6844401	0.7852467	0.7433766	0.6546189	0.3023722	0.7345046	0.4364105	0.5426481	0.7901228	0.4585140	0.0778285	0.1845058	0.5318232	0.4971586	0.5188057	0.5331367	0.0222605	0.5803572	0.3040687	0.1292490	0.5267358	0.1736003	0.3019060	0.4698117	0.0118799	0.5166079	0.5865780	0.5465303	0.4782825	0.2902949	0.0553435	0.2578173	0.1270523	0.7900957
0.5667290	0.7251447	0.6289505	0.6973817	0.5363349	0.0841495	0.8117492	0.8383881	0.0000733	0.0015658	0.7360706	0.3782061	0.6063082	0.8558848	0.2579449	0.2023523	0.7630932	0.6784844	0.6547993	0.7573910	0.2751100	0.5677444	0.6874242	0.7316082	0.6407437	0.2893099	0.0133915	0.3702023	0.1250127	0.4267812	0.6554277	0.4448855	0.0541708	0.6444509	0.5874423	0.0126768	0.5933439	0.3975645	0.6989003	0.6918641	0.6549493	0.7159864	0.6060785	0.4091366	0.4503885	0.0207914	0.0667436	0.6889569	0.2374356	0.7033702
0.6025246	0.6662114	0.4113971	0.7458666	0.3030223	0.1904160	0.6203330	0.7736093	0.1196268	0.0004340	0.4410909	0.2669089	0.6860417	0.7402275	0.6016410	0.3066978	0.5294798	0.6042851	0.5466574	0.3209830	0.3024300	0.7135396	0.4880661	0.7087936	0.6198050	0.1433744	0.2994830	0.1461723	0.3297970	0.4881581	0.5114722	0.7793918	0.2112177	0.3254273	0.4382197	0.3063601	0.4227399	0.3375667	0.2194269	0.4544035	0.5731830	0.7703300	0.5653335	0.2643569	0.0958473	0.1892511	0.0266429	0.3526430	0.2661882	0.7527731
0.1951076	0.6837088	0.7152607	0.7779380	0.4295476	0.5334180	0.5379493	0.7282246	0.3304065	0.2732214	0.3189495	0.1353095	0.7561488	0.8066241	0.0844568	0.2205995	0.6876392	0.5081523	0.5028464	0.6746578	0.2332873	0.6455287	0.7193029	0.7033183	0.7195226	0.3509269	0.3692431	0.1190811	0.2267022	0.5163449	0.6291748	0.4361876	0.0297736	0.4176203	0.5705959	0.2107299	0.6175517	0.0991420	0.2512886	0.4161260	0.0145977	0.4751139	0.6174764	0.7333431	0.4597918	0.2724328	0.0000346	0.0739546	0.1779399	0.6548387
