YCR096C	YKL020C	YOL089C	YPR199C	YCR040W	YMR019W	YHR006W	YJR147W	YKR034W	YJL110C	YOL067C	YCL067C	YJL056C	YLR013W	YGL254W	YDR463W	YPL038W	YDR081C	YBL103C	YFL021W	YCR097W	YDL170W	YML113W	YDR421W	YBR083W	YKL095W	YLL055W	YJR110W	YBL113C	YDR180W	YPL251W	YDR068W	YJR011C	YJL195C	YDR508C	YFR042W	YCR090C	YCR041W	YDR067C	YJR080C	YCR039C	YBR292C	YFL002WA	YBR006W	YLR027C	YJR008W	YAL012W	YMR257C	YIR029W	YPL243W
0.6342565	0.6733707	0.6943884	0.7240154	0.2990421	0.2579928	0.7399497	0.7473233	0.0012326	0.0003940	0.6145526	0.3224427	0.7848892	0.6957967	0.3513645	0.1822611	0.7150739	0.8033415	0.5831180	0.6751667	0.2170720	0.7835410	0.7241121	0.6390974	0.6476430	0.3224464	0.2296460	0.2892689	0.1229153	0.4999274	0.6988060	0.5001356	0.0189232	0.5270359	0.5305458	0.0968941	0.5848447	0.2212328	0.4343748	0.5117925	0.6856969	0.2975757	0.6383110	0.3775444	0.3765167	0.2722140	0.1121882	0.7940478	0.2569890	0.7510859
0.6347300	0.7341320	0.9776596	0.7352584	0.4522125	0.3644452	0.8704105	0.8228673	0.0009815	0.0218210	0.6749694	0.2863703	0.7923266	0.7690437	0.2907376	0.0553260	0.9710504	0.4869072	0.5810051	0.5416191	0.0688738	0.5809440	0.8481610	0.6150221	0.6970644	0.2363247	0.3911622	0.1401531	0.4443717	0.4335350	0.6629323	0.5186427	0.0520175	0.3811159	0.5268456	0.1366463	0.5485695	0.2454051	0.5857119	0.5298392	0.3240480	0.4280463	0.5521593	0.6554053	0.5317012	0.0818041	0.0821131	0.7024807	0.2183170	0.6843279
0.3668800	0.6899087	0.7069475	0.5389406	0.5827328	0.3912007	0.5938605	0.5990926	0.0083182	0.0906468	0.5757506	0.0002096	0.5664120	0.4296025	0.2775655	0.2515272	0.6082882	0.5998416	0.4770197	0.7861770	0.3051274	0.4513473	0.5607017	0.7330858	0.5726076	0.3752952	0.2627026	0.1346898	0.3832360	0.4925872	0.4665564	0.5880544	0.0354725	0.3332198	0.5851027	0.1919430	0.3826115	0.5726048	0.6942212	0.5828393	0.2618082	0.4737045	0.4309388	0.1159762	0.4932155	0.2936216	0.1159575	0.7942646	0.0662050	0.6904100
0.1885655	0.5717478	0.6244823	0.8356362	0.3867547	0.3290385	0.7774270	0.7601594	0.1611780	0.0103809	0.7143233	0.2804288	0.6459543	0.5566592	0.5512639	0.2261485	0.3599619	0.7888761	0.4487440	0.8145288	0.2710357	0.5275600	0.8016717	0.6765013	0.7169272	0.3337483	0.2029773	0.4934887	0.2300606	0.3675344	0.5774523	0.6450794	0.0330769	0.1764318	0.5710263	0.0897958	0.3208804	0.4255688	0.3222865	0.5297604	0.3279028	0.1634940	0.5131049	0.6286482	0.1320045	0.0330320	0.0241691	0.1354721	0.2816246	0.8602512
0.4482229	0.4959456	0.4870140	0.6888448	0.3503949	0.1791926	0.8638579	0.7021686	0.0001830	0.0005664	0.8556375	0.2847969	0.7456897	0.7472403	0.1670062	0.3585134	0.6272079	0.4882369	0.6623626	0.8025250	0.2670091	0.7000186	0.8025045	0.6364433	0.7365555	0.2979450	0.1575793	0.3378169	0.4376577	0.6700745	0.5817797	0.5155011	0.0270437	0.7499885	0.5097678	0.0162132	0.5576092	0.3884253	0.6850532	0.6099578	0.4403355	0.6211129	0.7303458	0.6048569	0.3108430	0.1976692	0.0830681	0.7641841	0.0289246	0.6591233
0.2883548	0.7916191	0.6132640	0.5666463	0.7439084	0.0653881	0.7331191	0.6551212	0.0009382	0.0013282	0.4502236	0.3331274	0.7968086	0.9381816	0.4983143	0.2337059	0.5373562	0.5143245	0.6472967	0.6851245	0.1963151	0.8173750	0.7000514	0.5084306	0.7319948	0.0963938	0.0012877	0.3016196	0.4702890	0.4418041	0.7061150	0.7175862	0.0135172	0.5309498	0.2931536	0.0009370	0.4426560	0.5373619	0.6680017	0.4604921	0.9262310	0.5779795	0.5340409	0.6997328	0.1209021	0.4245692	0.0927641	0.5529204	0.1518106	0.7099205
0.5367252	0.4085223	0.4508675	0.7709572	0.2677006	0.3446562	0.6796716	0.5528243	0.3173615	0.1903741	0.6035055	0.0008726	0.6825117	0.5798386	0.4825374	0.1716068	0.6371971	0.8287906	0.7210311	0.5358584	0.3101027	0.7140380	0.5280941	0.4923207	0.6886759	0.4125290	0.1075613	0.2830656	0.5287017	0.5365014	0.4994457	0.4751581	0.0282826	0.6261454	0.2505078	0.1036927	0.6261831	0.2793364	0.2332293	0.3704362	0.0094112	0.6149455	0.5287444	0.5407403	0.6084756	0.2231397	0.0753587	0.1984084	0.1142700	0.6800412
0.4484276	0.7132155	0.6818695	0.8291842	0.5864741	0.1257121	0.5572091	0.6951030	0.0014506	0.0012321	0.7611195	0.3328220	0.5507098	0.9178457	0.1791622	0.0835619	0.7640748	0.5908247	0.7468660	0.6642632	0.3085017	0.5787197	0.7388821	0.6110116	0.5530120	0.3685179	0.0025993	0.4349322	0.1424522	0.3951965	0.3652502	0.3997734	0.0552115	0.5920084	0.5289535	0.0064527	0.4352531	0.4005566	0.7557796	0.4704527	0.6462391	0.7018579	0.5132361	0.3974800	0.4641920	0.0235030	0.0985424	0.7018085	0.1591006	0.7404771
0.6525800	0.6527274	0.4590349	0.6983812	0.3863917	0.1794817	0.7512628	0.6783930	0.0926809	0.0018764	0.4284534	0.3685599	0.8522550	0.7154218	0.5515223	0.3215728	0.5128583	0.5708364	0.6448430	0.4362926	0.3820316	0.7607605	0.5584107	0.7288359	0.5644600	0.1508488	0.2756505	0.1441653	0.2601682	0.5233299	0.5521934	0.7535414	0.2666449	0.4441045	0.3700308	0.3848096	0.3936153	0.4121366	0.2458027	0.6168427	0.6445581	0.6269466	0.4884129	0.2586786	0.1057793	0.2701137	0.0585534	0.3234078	0.2505881	0.8565031
0.1630864	0.7258635	0.7353425	0.6855642	0.5166223	0.3427255	0.5009781	0.6762543	0.3308462	0.3292668	0.3983601	0.1697572	0.7039638	0.7426907	0.0889613	0.3064883	0.6656696	0.5425229	0.5735017	0.6896872	0.2686895	0.7150031	1.0076334	0.5947079	0.6790364	0.3248535	0.3770183	0.1777200	0.2139718	0.5274343	0.6647022	0.3775673	0.0144909	0.5190634	0.4016049	0.2393269	0.5110233	0.1463045	0.2470287	0.4702033	0.0154148	0.4130398	0.4569667	0.7279622	0.5264623	0.3212989	0.0000477	0.0725922	0.1149341	0.6203726
