YCR096C	YKL020C	YOL089C	YPR199C	YCR040W	YMR019W	YHR006W	YJR147W	YKR034W	YJL110C	YOL067C	YCL067C	YJL056C	YLR013W	YGL254W	YDR463W	YPL038W	YDR081C	YBL103C	YFL021W	YCR097W	YDL170W	YML113W	YDR421W	YBR083W	YKL095W	YLL055W	YJR110W	YBL113C	YDR180W	YPL251W	YDR068W	YJR011C	YJL195C	YDR508C	YFR042W	YCR090C	YCR041W	YDR067C	YJR080C	YCR039C	YBR292C	YFL002WA	YBR006W	YLR027C	YJR008W	YAL012W	YMR257C	YIR029W	YPL243W
0.4678866	0.7768174	0.8011615	0.8524725	0.5621325	0.1363608	0.7872386	0.6168020	0.0037049	0.0311171	0.3148300	0.3402571	0.7514992	0.8357934	0.3123150	0.1688592	0.8553797	0.6558227	0.8580770	0.7819891	0.1910119	0.7272533	0.6574846	0.7081299	0.6744126	0.3592451	0.0667649	0.3681614	0.2748465	0.3932784	0.6791073	0.5581094	0.0292443	0.5822158	0.5189571	0.0675753	0.6317100	0.3998212	0.4836650	0.5613188	0.5788693	0.6572365	0.5647065	0.2592628	0.5324280	0.2879644	0.0951549	0.5838255	0.2110089	0.8130448
0.5501228	0.6790042	0.6668415	0.6718599	0.5390778	0.2196077	0.7117151	0.7261095	0.0089562	0.0059903	0.7269123	0.1824490	0.7454768	0.7955648	0.3719001	0.2094737	0.7010884	0.7236763	0.7202017	0.7476660	0.2696907	0.6503954	0.6529548	0.7061247	0.6952397	0.3351303	0.0434514	0.3862391	0.3221210	0.4535820	0.7086526	0.5200292	0.0541062	0.6281815	0.4609640	0.0509226	0.6496722	0.3092779	0.5490970	0.5956196	0.6932799	0.7015330	0.5991951	0.2891532	0.4725070	0.1561900	0.1013014	0.6870907	0.2524615	0.6016831
0.4769681	0.8423778	0.6661272	0.7586247	0.6379164	0.1230071	0.7475374	0.7844891	0.0064512	0.0202911	0.7429733	0.3031146	0.4121589	0.6866675	0.3499573	0.2306500	0.7459612	0.7892514	0.7717230	0.7117536	0.2210748	0.6399047	0.6718256	0.6717501	0.6911108	0.3137806	0.0325013	0.3218657	0.3392523	0.4754587	0.5220279	0.4466343	0.0480695	0.7024909	0.4590666	0.0723443	0.5403761	0.2542889	0.7310492	0.5343252	0.5723483	0.6553666	0.5084952	0.2796788	0.3928227	0.2303771	0.0403765	0.7590388	0.2077106	0.7589621
0.5360366	0.7847704	0.7572236	0.8038617	0.5680913	0.1913717	0.7574644	0.7942905	0.0124161	0.0137705	0.6902394	0.4166267	0.8256478	0.3431603	0.3955401	0.1853469	0.7455767	0.7281188	0.7914673	0.8595669	0.3151897	0.7009927	0.7291231	0.7583729	0.7200894	0.2411753	0.0407935	0.2520681	0.2978419	0.4360865	0.6621830	0.5076487	0.0598603	0.5992001	0.4750349	0.0821778	0.5816203	0.3246464	0.5813166	0.5532643	0.6082822	0.5887644	0.5888979	0.3799556	0.4946316	0.2136618	0.0552059	0.6326045	0.3468960	0.5974260
0.5265061	0.7986085	0.7808818	0.8158846	0.5841941	0.1370174	0.8350527	0.6993401	0.0055873	0.0200048	0.8418244	0.2959101	0.5909142	0.7734310	0.1713349	0.1917351	0.6740527	0.7103664	0.8385868	0.6867663	0.1859296	0.6777869	0.9232792	0.7025070	0.9308792	0.2084798	0.0605136	0.2407974	0.3231699	0.4980667	0.6192729	0.4529858	0.0318904	0.7183513	0.4781747	0.0365092	0.5522300	0.2681259	0.6365986	0.5053107	0.7652506	0.7219640	0.6957595	0.3414637	0.3363527	0.1573928	0.0598848	0.5077360	0.2641270	0.8400040
0.5724982	0.7006586	0.6374579	0.7139891	0.6330414	0.1476039	0.6321120	0.6660098	0.0065728	0.0112976	0.7871954	0.3987581	0.6170266	0.6899618	0.3972386	0.0661363	0.6146739	0.8294424	0.6949294	0.6436691	0.2502885	0.6735465	0.8036998	0.7942894	0.7890648	0.3483829	0.0509228	0.2266545	0.2882513	0.4645436	0.6993757	0.4937048	0.1063308	0.6429221	0.6867228	0.0449137	0.5986296	0.3178120	0.5626495	0.6199133	0.6990379	0.5598413	0.5344056	0.3024780	0.3140791	0.1675224	0.0627455	0.7652693	0.2841713	0.7369000
0.5661212	0.7287573	0.8979886	0.7437501	0.6395602	0.1776285	0.8915012	0.7858293	0.0108883	0.0059770	0.7185483	0.3950622	0.7083757	0.6324573	0.2653008	0.2112032	0.4262224	0.7435697	0.7913661	0.7805461	0.2366238	0.7826799	0.6697929	0.6913963	0.8440215	0.3041640	0.0282975	0.3185819	0.2458450	0.4055102	0.6650969	0.5490426	0.0405560	0.5572768	0.5392853	0.0972668	0.5648872	0.3499800	0.6445772	0.4842404	0.7838626	0.6251094	0.5063657	0.3296386	0.0311301	0.2488950	0.0891517	0.7506785	0.2456687	0.6549600
0.5444007	0.6704555	0.8171200	0.7029276	0.5901631	0.1741227	0.6542188	0.8294763	0.0131157	0.0234775	0.8385077	0.3280676	0.7789475	0.7120675	0.3778317	0.2452305	0.6815494	0.3540403	0.7015660	0.6621895	0.2716913	0.5844121	0.9012621	0.6813528	0.8328860	0.3000400	0.0371435	0.2485353	0.2396431	0.4461307	0.6590771	0.5861192	0.0481687	0.5539933	0.5239022	0.0562385	0.6629744	0.3499083	0.6528755	0.6227117	0.5718926	0.6544105	0.3962320	0.2680815	0.2728154	0.2615302	0.0596818	0.5327632	0.1934617	0.7813544
0.3212802	0.7308900	0.5856064	0.7670930	0.7027292	0.2893169	0.6525542	0.7167834	0.0247288	0.0148716	0.8106444	0.4157090	0.6583583	0.9119444	0.3725744	0.1773665	0.7269322	0.8073399	0.2903654	0.6968008	0.3137721	0.7909858	0.6877189	0.7577893	0.8662249	0.3062496	0.1374057	0.0714419	0.3279361	0.4828242	0.5873282	0.2757314	0.0280762	0.5102930	0.6253538	0.1999161	0.1897212	0.3296686	0.7941192	0.5530462	0.7133672	0.5241541	0.5909470	0.2891669	0.3757853	0.3345204	0.0626851	0.4799922	0.2733500	0.8889579
0.5627248	0.6812179	0.7872820	0.8590497	0.4818905	0.2273242	0.7495724	0.7597967	0.0057706	0.0144202	0.6449458	0.3156777	0.6614571	0.6906420	0.2812228	0.1202766	0.7619097	0.7107651	0.7707140	0.3790477	0.2824709	0.8257584	0.7507162	0.7057108	0.9104371	0.1764377	0.0619330	0.1102296	0.3023045	0.5055897	0.5895464	0.7470391	0.1380391	0.7053754	0.4919669	0.0996268	0.5516073	0.3682453	0.6646796	0.6567184	0.5862142	0.6327417	0.4956608	0.3749520	0.5267454	0.2187888	0.0666241	0.6648563	0.2397653	0.7002120
0.4936395	0.6347701	0.7214311	0.7459756	0.5860634	0.1782222	0.8205258	0.7654003	0.0025303	0.0422677	0.6101515	0.3586794	0.5954980	0.5946471	0.3554208	0.2569698	0.8241756	0.7474549	0.8320656	0.6758540	0.1246811	0.7587190	0.6997615	0.6253371	0.8111229	0.2655756	0.0425416	0.2794361	0.3279914	0.5234563	0.6789549	0.4575968	0.0310801	0.6812579	0.4373230	0.0958749	0.5084892	0.3625606	0.4763617	0.6157557	0.7288654	0.6147788	0.6138196	0.3278707	0.5194446	0.2421281	0.0512056	0.7307891	0.1751616	0.8244434
