YCR018C	YGR044C	YOR140W	YCR097W	YGL254W	YCR040W	YLR098C	YJL056C	YPR199C	YOL089C	YOL067C	YPL038W	YDR146C	YCR096C	YLR013W	YGL209W	YML113W	YPL248C	YGL035C	YJL110C	YDR253C	YDL170W	YDR463W	YKL020C	YMR019W	YLR302C	YKL001C	YEL057C	YCR039C	YDR491C	YIL162W	YNL035C	YDR112W	YNL238W	YCR018CA	YAL049C	YDR098CA	YJR138W	YMR260C	YER079W	YMR283C	YMR228W	YBR275C	YGR084C	YDR040C	YCL041C	YAR002CA	YOR236W	YFL065C	YBL074C
0.7546692	0.7612805	0.8593475	0.0735034	0.3714095	0.1888356	0.7781293	0.6947305	0.6420090	0.5910705	0.0000000	0.8141036	0.1978647	0.7759735	0.6140274	0.7104167	0.6588666	0.2141715	0.4776302	0.7461116	0.6873395	0.5752102	0.6007200	0.6976147	0.2651084	0.8609100	0.4786422	0.4798451	0.7230670	0.2352417	0.5735967	0.4685534	0.7596155	0.0674978	0.0772231	0.3677003	0.6225669	0.2451862	0.1937976	0.4632065	0.2783817	0.0434310	0.7595823	0.5405692	0.5135607	0.4469815	0.6491002	0.6556485	0.2373064	0.3155014
0.5192881	0.7115783	0.6597784	0.0536935	0.6782744	0.2096105	0.7180552	0.8075457	0.7986762	0.6899434	0.7652512	0.0000000	0.2441931	0.6885414	0.5994356	0.7067804	0.6934346	0.3745248	0.5511870	0.6621031	0.6723394	0.7550027	0.8208813	0.6551141	0.0417020	0.3241288	0.3622804	0.4393997	0.7391779	0.1436505	0.6038664	0.6204689	0.7462620	0.0968295	0.3798943	0.6189537	0.6324746	0.0243185	0.1664283	0.6112887	0.1909029	0.7189680	0.6504230	0.6483261	0.6315160	0.5137071	0.6349768	0.7020837	0.2852407	0.7100303
0.8037089	0.7666080	0.7933032	0.0124630	0.6388934	0.1604848	0.7987089	0.6887760	0.6632938	0.7466999	0.6709113	0.7056142	0.0000000	0.6994438	0.6539890	0.8436829	0.6764589	0.2905088	0.4732560	0.7443065	0.7398810	0.6600067	0.6268142	0.6861232	0.0438817	0.3061061	0.4538983	0.3897957	0.7263943	0.1770016	0.6268295	0.5786220	0.6731534	0.6983419	0.4215947	0.4700632	0.7427532	0.2405498	0.3026733	0.6543294	0.2832472	0.6560707	0.7524273	0.6078115	0.5615884	0.5837035	0.7613067	0.0931306	0.1034450	0.2132547
0.6795585	0.7117608	0.7593315	0.0450080	0.6009072	0.0876476	0.8023237	0.7120681	0.6414820	0.7712204	0.7251621	0.5964482	0.2525210	0.0000000	0.5889592	0.6831533	0.7052487	0.3291630	0.5730758	0.8340083	0.7671436	0.7365930	0.8204406	0.6794608	0.0475730	0.2436274	0.3310144	0.5804218	0.7269262	0.1771045	0.5617473	0.5502818	0.6585906	0.0851127	0.4642937	0.3741390	0.6762294	0.2800167	0.2179486	0.3970346	0.2791167	0.7441200	0.7177357	0.5596469	0.5354769	0.4521792	0.6929775	0.6819024	0.1877068	0.2176996
0.7079358	0.6910688	0.7507187	0.0581884	0.6502492	0.2670760	0.7537852	0.7060066	0.7066083	0.6578573	0.6615553	0.6377055	0.1522230	0.6380083	0.0000000	0.6914545	0.6541028	0.4638568	0.5211442	0.6799882	0.7844655	0.5809160	0.7732169	0.6947100	0.0715864	0.3046057	0.5246873	0.4766336	0.7232904	0.2845708	0.5595369	0.6501851	0.7104805	0.0849159	0.4725522	0.5075184	0.7762198	0.2885145	0.3629026	0.5055380	0.2776121	0.7265384	0.6121414	0.5162812	0.4836931	0.5336330	0.8442309	0.6132473	0.7222547	0.2892147
0.5686063	0.7090799	0.5674709	0.0885732	0.7454867	0.2275675	0.5957228	0.6572231	0.7873231	0.6752848	0.7096330	0.6286004	0.3723464	0.5717798	0.6081532	0.0000000	0.7586950	0.6712801	0.0677817	0.6786008	0.5852457	0.7298353	0.7091307	0.6824955	0.0192712	0.3086762	0.3889568	0.3339869	0.6910168	0.5387380	0.5453530	0.5813808	0.5668765	0.0802380	0.4035579	0.5918911	0.7609878	0.1961604	0.5022739	0.3456855	0.8141193	0.6347004	0.0187863	0.4689762	0.5312051	0.6605566	0.8671735	0.6525116	0.2509892	0.2927595
0.7063051	0.7160614	0.7545702	0.0427259	0.6201010	0.2390639	0.7053525	0.5921269	0.7037554	0.6811043	0.6794004	0.6845471	0.2437644	0.6433676	0.5605452	0.6718022	0.0000000	0.4265590	0.5794756	0.5822218	0.5793652	0.7587274	0.8138637	0.6568346	0.0407823	0.2582819	0.4038555	0.3598676	0.6151122	0.1645309	0.6733131	0.6119542	0.6774850	0.0933043	0.3871379	0.4612030	0.8159684	0.3408957	0.2552970	0.5584375	0.3878252	0.7893020	0.6273743	0.5404934	0.5464919	0.5360667	0.7124456	0.5994563	0.0984442	0.1966226
0.8023774	0.8348826	0.6730446	0.0530157	0.6130158	0.2246606	0.5799174	0.5429683	0.5328262	0.6759848	0.7667822	0.4970059	0.2420390	0.5903425	0.7515541	0.5668117	0.7329228	0.0000000	0.4641604	0.8573710	0.6991300	0.8309338	0.6734874	0.5385630	0.0277324	0.1960797	0.3972165	0.6012341	0.6957439	0.0212088	0.5797786	0.6939917	0.6128102	0.0797765	0.5127557	0.0346920	0.6508621	0.2611885	0.1903114	0.5954962	0.2966826	0.7370384	0.6138092	0.4476374	0.7504731	0.5853306	0.0338915	0.6609263	0.1846831	0.3200776
0.7544645	0.6779425	0.6842499	0.0547674	0.6471541	0.2242959	0.7517710	0.7403004	0.7585638	0.7704975	0.6739643	0.6849846	0.0045804	0.7329415	0.7418631	0.7431468	0.6158340	0.0752561	0.0000000	0.7461488	0.6510724	0.7140564	0.5904151	0.7237569	0.0255489	0.3508719	0.3898482	0.6076137	0.6538234	0.0517391	0.2879084	0.5755567	0.8259930	0.6999056	0.3358383	0.1813311	0.7260968	0.3085513	0.7230601	0.5733614	0.2994042	0.6968139	0.7139480	0.5236909	0.5808351	0.5520566	0.4210033	0.0423599	0.1331494	0.2192244
0.7108819	0.6805757	0.5909451	0.0824090	0.6179341	0.1567194	0.6395028	0.7628664	0.6740913	0.5832535	0.7251786	0.4524014	0.2088211	0.4606999	0.7550259	0.6405348	0.6511836	0.3865464	0.4538838	0.0000000	0.7528323	0.8091691	0.7873612	0.7342157	0.0234788	0.2933913	0.4763580	0.4518072	0.5692074	0.2555375	0.5458720	0.6866329	0.5659834	0.0817185	0.3650340	0.6566369	0.7328400	0.1990991	0.6052076	0.5499251	0.2208439	0.7553472	0.7102680	0.5031398	0.8542998	0.6599992	0.6013170	0.6954776	0.1663099	0.3087479
