YCR018C	YGR044C	YOR140W	YCR097W	YGL254W	YCR040W	YLR098C	YJL056C	YPR199C	YOL089C	YOL067C	YPL038W	YDR146C	YCR096C	YLR013W	YGL209W	YML113W	YPL248C	YGL035C	YJL110C	YDR253C	YDL170W	YDR463W	YKL020C	YMR019W	YLR302C	YKL001C	YEL057C	YCR039C	YDR491C	YIL162W	YNL035C	YDR112W	YNL238W	YCR018CA	YAL049C	YDR098CA	YJR138W	YMR260C	YER079W	YMR283C	YMR228W	YBR275C	YGR084C	YDR040C	YCL041C	YAR002CA	YOR236W	YFL065C	YBL074C
0.6687694	0.7832795	0.7661204	0.0660411	0.5481620	0.1563555	0.6791602	0.7581508	0.7014159	0.5047879	0.4828272	0.8243194	0.1913750	0.7783410	0.7172063	0.7056605	0.6403359	0.3659607	0.5532398	0.7823925	0.6659471	0.6476128	0.7228690	0.7659226	0.0255659	0.3422870	0.3958272	0.5554127	0.6708468	0.2457073	0.5917163	0.7386770	0.6294957	0.1213946	0.3097052	0.4126951	0.7151220	0.2307289	0.1877767	0.5887145	0.2830522	0.5983479	0.7234616	0.5770207	0.5375360	0.4698955	0.6523926	0.7279331	0.2108272	0.2969383
0.6580097	0.6755664	0.6066446	0.0801289	0.5554307	0.2077083	0.5823051	0.7820283	0.7050565	0.5526189	0.6250475	0.3119646	0.2578150	0.7047055	0.6703061	0.7280493	0.7053584	0.4239789	0.3983805	0.7052987	0.6756318	0.6595208	0.7323509	0.7084794	0.0450821	0.3124414	0.5054109	0.4648139	0.6787269	0.2323568	0.7017557	0.5929208	0.7810374	0.0906933	0.3828846	0.4533824	0.6988387	0.1041512	0.1757240	0.5998067	0.3307198	0.6505003	0.7216488	0.5035322	0.6021663	0.5036494	0.6445551	0.6668056	0.1151346	0.5661821
0.8596940	0.7031796	0.5996118	0.0467439	0.5284305	0.1630349	0.6236866	0.5662065	0.7205327	0.7795758	0.7575417	0.6132470	0.0750551	0.6584602	0.7829742	0.8103807	0.6500992	0.2596431	0.4359990	0.6967840	0.7023680	0.5623710	0.7379330	0.6098196	0.0253749	0.3388290	0.3649913	0.4093600	0.7130699	0.2215865	0.6076808	0.4891427	0.6576010	0.1392512	0.4129486	0.5043412	0.6939681	0.3443290	0.3053960	0.6066289	0.2171939	0.6597254	0.6134038	0.5945618	0.5292534	0.6337466	0.5877012	0.6340599	0.1155029	0.2306401
0.6277213	0.8361922	0.7065730	0.0469480	0.7170243	0.1080614	0.7008765	0.7423370	0.6164717	0.7141988	0.6846142	0.6978412	0.3045557	0.3516253	0.6936082	0.6586512	0.6003818	0.3380519	0.5728534	0.7991685	0.6641014	0.6768403	0.7755657	0.6570759	0.0270595	0.2700682	0.3941731	0.6224169	0.8117834	0.2261543	0.5685091	0.7214378	0.6155160	0.0735891	0.4338033	0.4540821	0.7013547	0.2785709	0.2641609	0.5291487	0.2183557	0.6399941	0.7328158	0.5369679	0.5826448	0.5171870	0.8144537	0.8394509	0.1675464	0.3149201
0.6700341	0.6687807	0.7045051	0.0629658	0.5168599	0.2738661	0.6506183	0.5407152	0.5993445	0.8686121	0.7040702	0.7686281	0.1914729	0.7564653	0.3460888	0.5412744	0.7724543	0.3575468	0.5171708	0.7077067	0.6443849	0.6013339	0.6546484	0.6635473	0.0623538	0.3434582	0.3548284	0.4981579	0.6829283	0.2715708	0.6425478	0.5732213	0.5519896	0.1763462	0.5167212	0.5066702	0.7389043	0.3217730	0.2976665	0.7540928	0.3031820	0.6599456	0.6370115	0.5388627	0.6164806	0.5037673	0.8583148	0.7410008	0.2398457	0.3608298
0.6496631	0.6920344	0.6979161	0.0559114	0.5327414	0.2930063	0.6596518	0.7303746	0.7699715	0.7703961	0.7211427	0.7885877	0.1726099	0.6190375	0.7382323	0.4122556	0.7205914	0.6822274	0.3082061	0.7106319	0.5307679	0.7378615	0.6633505	0.6464037	0.0268887	0.2827120	0.3874952	0.3117572	0.6939482	0.3736188	0.5327226	0.6582029	0.5756853	0.0612683	0.3642787	0.5091569	0.6716670	0.2008659	0.2659443	0.6403404	0.7485351	0.6145793	0.7361268	0.5245527	0.4686730	0.5457817	0.7094951	0.7450302	0.1434001	0.2670342
0.7210666	0.7194705	0.7196992	0.0364874	0.6422255	0.1105644	0.5540389	0.7371170	0.7045099	0.7403621	0.6162664	0.6532888	0.1916443	0.6580459	0.6141660	0.7670042	0.4102685	0.3082947	0.5379383	0.7774274	0.5863109	0.7284523	0.7004407	0.7569075	0.0390496	0.2261515	0.3948631	0.5014559	0.7065483	0.2675987	0.6734140	0.5458619	0.7666049	0.1067502	0.4307325	0.4816665	0.6510645	0.2674551	0.2818731	0.5751065	0.2663034	0.6743528	0.7184111	0.4102915	0.6575693	0.5585792	0.7009848	0.7177369	0.2001157	0.3024368
0.6881643	0.7853649	0.6288854	0.0506209	0.5324798	0.1532390	0.7003019	0.7967322	0.7514392	0.6885034	0.7069684	0.8970223	0.2369889	0.6495679	0.5810116	0.7437010	0.7397219	0.1911900	0.5233369	0.6876182	0.7411215	0.7292692	0.6599383	0.5966950	0.0251185	0.3555983	0.3357841	0.5802702	0.5900599	0.1149518	0.6319057	0.5792840	0.6080116	0.1144575	0.3801966	0.3038816	0.6589457	0.2283153	0.2149331	0.5544593	0.3363065	0.6684503	0.6670552	0.5791209	0.6189130	0.4093677	0.6268704	0.6602694	0.1475813	0.2255549
0.7809581	0.7109613	0.6527058	0.0376091	0.5242144	0.1902210	0.7120144	0.7963112	0.6335492	0.5664666	0.7919550	0.7589693	0.0976714	0.8107218	0.6430655	0.8128024	0.7759016	0.2176711	0.3072460	0.6734598	0.6970952	0.6389340	0.7776163	0.7770755	0.0253215	0.3164670	0.4418528	0.6062082	0.6124544	0.1041789	0.5356459	0.6275253	0.6951577	0.1309939	0.3295010	0.3013280	0.7304869	0.2657413	0.3608849	0.6420269	0.3040757	0.7501086	0.5941681	0.4847214	0.5649648	0.5298528	0.5876383	0.6190158	0.1427312	0.2252973
0.8013460	0.6059674	0.5996951	0.0640860	0.6309600	0.1547771	0.5627335	0.5894833	0.7209974	0.6915705	0.6459524	0.6568383	0.2450263	0.6236534	0.6479058	0.6674486	0.6231335	0.4537926	0.5084059	0.3493976	0.7953108	0.6678390	0.6306815	0.6760421	0.0250188	0.3583189	0.3030726	0.3968947	0.6025684	0.3166805	0.6103722	0.5451661	0.6739782	0.0911519	0.5654880	0.4611669	0.7341010	0.2304349	0.4588940	0.4933716	0.2402394	0.6765688	0.7857941	0.3621504	0.5987320	0.5304001	0.6424614	0.6405954	0.1401808	0.2297897
0.7494239	0.7034199	0.7073044	0.0743760	0.5889181	0.2608669	0.7024540	0.7388830	0.7281092	0.6845528	0.5805850	0.6635389	0.2108662	0.6381231	0.4831468	0.6702756	0.7249792	0.3228416	0.4774804	0.6754813	0.4007002	0.5059937	0.7762123	0.6841421	0.0390670	0.2636574	0.1713421	0.4356320	0.6774428	0.1739204	0.5854064	0.6759538	0.6734623	0.0776659	0.4711975	0.4333739	0.7420461	0.2896883	0.2021700	0.4616411	0.3671280	0.6998310	0.7737550	0.4483622	0.4495945	0.5511109	0.7377375	0.7512634	0.2633751	0.2583568
0.7494571	0.8316111	0.6831312	0.0769724	0.6765574	0.2832899	0.8094939	0.7325604	0.6368535	0.6320391	0.6805321	0.5782967	0.2753932	0.6612927	0.5824300	0.6943498	0.6109249	0.3273030	0.4811604	0.7478478	0.7596381	0.3414585	0.7126839	0.7588395	0.0330952	0.3722090	0.3511740	0.3759937	0.7091722	0.2762284	0.6764130	0.7264463	0.6272333	0.0392583	0.4809305	0.3922223	0.5582167	0.3323184	0.2689474	0.4653518	0.2026394	0.7971930	0.6929380	0.4881180	0.6203005	0.4112291	0.6272903	0.6343004	0.1985372	0.3115489
0.7821846	0.6042479	0.6521894	0.0421318	0.6512058	0.1620806	0.6203296	0.5949074	0.7524115	0.6876807	0.6714763	0.6723405	0.2606312	0.6937667	0.5422824	0.5607346	0.7778643	0.2962867	0.4515769	0.7810644	0.7316842	0.8626847	0.3926984	0.7485558	0.1048647	0.5754073	0.3575042	0.5160626	0.6851228	0.2868090	0.7854759	0.4911907	0.7295086	0.0746231	0.4139889	0.4525008	0.6342167	0.2378020	0.2145850	0.6196770	0.3214165	0.5532787	0.7302683	0.4604412	0.5245906	0.5788352	0.7179851	0.6951383	0.2399199	0.3580873
0.8144037	0.6482619	0.6470776	0.0421396	0.6417399	0.3169585	0.8015617	0.7964769	0.6749257	0.7465201	0.7372728	0.6395995	0.2657229	0.6615661	0.5982509	0.7982756	0.7577497	0.3979140	0.5582560	0.7315417	0.6755274	0.6725372	0.7129385	0.2538069	0.0328396	0.3663135	0.3498033	0.5156421	0.5490876	0.2745538	0.6495160	0.5227358	0.6592466	0.1788430	0.5312064	0.4703013	0.8254992	0.2388402	0.3132537	0.5063397	0.2196234	0.7444537	0.7143630	0.4358010	0.5978745	0.6078288	0.7081036	0.6385044	0.1737852	0.2929531
0.7227332	0.7235731	0.7453021	0.0316048	0.7093694	0.1679276	0.5745271	0.7777685	0.8432272	0.7108043	0.7452573	0.6934620	0.2504038	0.6347950	0.6158906	0.7633877	0.5958736	0.3580778	0.5638350	0.7143133	0.7216276	0.7216144	0.7404008	0.6623779	0.0285422	0.3068186	0.3362293	0.5171648	0.7336510	0.1862276	0.4781760	0.6928925	0.7973148	0.1016824	0.3718126	0.4573298	0.5977885	0.3921350	0.2253429	0.7095649	0.2594453	0.5705211	0.7024992	0.4552142	0.6844413	0.5158536	0.7610792	0.5812511	0.1281507	0.1539151
