YCR018C	YGR044C	YOR140W	YCR097W	YGL254W	YCR040W	YLR098C	YJL056C	YPR199C	YOL089C	YOL067C	YPL038W	YDR146C	YCR096C	YLR013W	YGL209W	YML113W	YPL248C	YGL035C	YJL110C	YDR253C	YDL170W	YDR463W	YKL020C	YMR019W	YLR302C	YKL001C	YEL057C	YCR039C	YDR491C	YIL162W	YNL035C	YDR112W	YNL238W	YCR018CA	YAL049C	YDR098CA	YJR138W	YMR260C	YER079W	YMR283C	YMR228W	YBR275C	YGR084C	YDR040C	YCL041C	YAR002CA	YOR236W	YFL065C	YBL074C
0.9999724	1.0000000	0.9650699	0.0010487	0.9027195	0.0936937	0.4839116	0.9014319	1.0000000	1.0000000	1.0000000	1.0000000	0.1790702	0.9874045	0.9746436	0.8972779	1.0000000	0.5843074	0.7799893	1.0000000	0.8945302	1.0000000	0.8642887	1.0000000	0.0381751	0.4845044	0.3528535	0.5879973	0.9001648	0.3363627	0.5642709	0.8156299	0.9878978	0.0785995	0.8831596	0.6727400	1.0000000	0.4965507	0.3059374	0.6948460	0.4661769	0.9535438	0.9994432	0.3781930	0.7629560	0.7249935	0.9420453	0.8524142	0.0184998	0.3464088
0.9522821	0.9689208	0.8033630	0.0018740	0.8340430	0.1957247	0.8919773	0.6792176	1.0000000	0.9806698	0.8894049	0.9137907	0.0775179	0.9844000	0.9933122	1.0000000	0.9127325	0.4880857	0.6771408	1.0000000	0.8672508	1.0000000	1.0000000	0.9215264	0.0194174	0.3799782	0.4747410	0.6172199	0.8926165	0.5523291	0.8524425	0.7903540	0.9768111	0.1795952	0.5824011	0.6792295	1.0000000	0.4371996	0.3393454	0.9442253	0.4070381	0.9580589	0.9996435	0.4000675	0.6743452	0.6912570	0.9996770	0.7139049	0.1306072	0.3115958
0.9522884	1.0000000	0.9727378	0.0018219	0.6414289	0.1567178	0.8893698	1.0000000	1.0000000	1.0000000	0.8564905	1.0000000	0.2961286	0.6070346	0.7135332	0.7212872	0.9712609	0.5708148	0.6933722	1.0000000	1.0000000	1.0000000	0.9572837	0.9706956	0.0521136	0.1961033	0.3392952	0.6130009	1.0000000	0.3242718	0.9796847	0.8156299	0.9579223	0.1262890	0.5593712	0.6638378	0.8849284	0.4090892	0.3336083	0.4898762	0.7316318	0.8737254	0.9991830	0.3263644	0.7546312	0.7408103	0.9997776	0.9487106	0.1106820	0.2542662
0.9999670	0.9552111	0.8463716	0.0017552	0.9639864	0.1494795	1.0000000	1.0000000	0.9334597	1.0000000	1.0000000	1.0000000	0.1797353	0.6262891	0.7748105	1.0000000	1.0000000	0.4397119	0.6771408	1.0000000	0.9604937	0.6550964	1.0000000	0.7749420	0.0096250	0.4343711	0.6018799	0.7235460	1.0000000	0.2064344	0.8797417	0.8321266	0.9877861	0.0651260	0.7876838	0.5545305	0.9542709	0.6787098	0.3393454	0.8303751	0.4070381	0.9029655	0.9893260	0.8087477	0.8085440	0.7504670	0.9415877	0.9320989	0.1611734	0.2523174
0.9999546	0.9999877	0.9808610	0.0593261	0.6810399	0.4816027	1.0000000	1.0000000	0.8469529	1.0000000	0.6744651	0.7845782	0.6359324	0.7028927	0.5053576	0.9366971	1.0000000	0.5473698	0.7418232	1.0000000	0.8519364	0.3910930	0.9082898	0.9645115	0.0576126	0.4262185	0.3286003	0.5063775	0.9999993	0.3843263	0.7966625	0.8275715	0.7674473	0.0838659	0.5102234	0.7256311	1.0000000	0.3384088	0.3175649	0.4839056	0.3889657	0.8002158	0.9886353	0.7918656	0.6350575	0.5911620	0.9419811	0.9630492	0.4033817	0.3591995
0.9999728	0.9999975	0.9904579	0.0452112	0.8412809	0.1085921	0.8879825	0.8030142	0.8171309	0.8470436	0.5706864	1.0000000	0.5690472	0.7561135	0.6976873	0.6906601	0.7662954	0.6662459	0.6304507	0.4578466	0.9986979	1.0000000	1.0000000	1.0000000	0.0484643	0.5406869	0.3805195	0.5921778	0.9999999	0.4863773	0.8010706	0.8156280	0.8135251	0.0203592	0.3539832	0.7192819	1.0000000	0.7338257	0.4612051	0.2832214	0.5876292	0.7774594	0.9988753	0.7338591	0.3944348	0.8467486	0.9477799	0.8880056	0.3614051	0.5146462
0.9999428	0.8521380	0.9671199	0.0013541	0.6646626	0.1813045	1.0000000	1.0000000	0.7637793	1.0000000	0.7456519	1.0000000	0.3601131	0.6037356	0.8745823	1.0000000	0.7477812	0.4677200	0.6771408	1.0000000	0.9257173	0.6937558	0.7796005	1.0000000	0.0762485	0.5749312	0.5753385	0.7055713	1.0000000	0.3813145	0.5135425	0.6858166	0.9327310	0.1123587	0.4832706	0.5818348	0.3180542	0.4527946	0.2719784	0.6308321	0.3230954	0.7650676	0.9893623	0.6326211	0.9901691	0.7240782	0.9997041	0.9489648	0.2555801	0.3164099
0.9999512	0.9999843	0.9851032	0.0593261	0.7583470	0.4938617	1.0000000	1.0000000	0.7521461	1.0000000	0.8975485	0.9665202	0.3107903	0.8987309	0.7267824	0.9997012	1.0000000	0.4694588	0.6770672	0.7464103	1.0000000	0.9430868	1.0000000	0.5043699	0.0432298	0.4535566	0.7759726	0.5769090	0.9102270	0.2328639	0.9094677	0.8156180	0.9526971	0.1226127	0.6330642	0.5834952	0.6490856	0.2562723	0.4381269	0.6086335	0.4073336	0.9324935	0.9997308	0.9205966	0.8020357	0.7651690	0.9765047	0.8785047	0.0751425	0.2999646
0.9998273	0.6771631	0.9551292	0.0593261	0.9219235	0.3572258	1.0000000	0.6590256	0.8225453	1.0000000	1.0000000	0.9459494	0.5690684	0.9029502	0.6977099	1.0000000	1.0000000	0.3091313	0.7507002	1.0000000	0.8893707	0.9385403	1.0000000	0.7671625	0.0479141	0.4343711	0.6689935	0.8127388	0.5454195	0.1015810	0.3708437	0.3726256	0.6664820	0.0882638	0.8494653	0.3931578	1.0000000	0.1900831	0.3147858	0.8008246	0.4070381	0.9029654	0.9997187	0.2931939	0.8909642	0.8373144	0.9941026	0.9353487	0.3613933	0.3749103
0.9999629	0.9999788	0.9243842	0.0627192	0.9016408	0.5018696	1.0000000	1.0000000	1.0000000	0.7853512	0.8641574	0.7799260	0.3600896	0.8042711	0.8745985	0.6607961	1.0000000	0.7715404	0.7549250	1.0000000	1.0000000	0.7551701	0.6393430	1.0000000	0.1079311	0.6550017	0.6007571	0.3456792	0.9583639	0.5781741	0.9694832	0.8156138	0.9327407	0.1123628	0.5484771	0.7643448	1.0000000	0.5442237	0.3134774	0.8321388	0.5156827	0.8451664	0.9981930	0.8147870	0.8300281	0.7245037	0.9999482	0.9797442	0.1433539	0.7214722
