YCR018C	YGR044C	YOR140W	YCR097W	YGL254W	YCR040W	YLR098C	YJL056C	YPR199C	YOL089C	YOL067C	YPL038W	YDR146C	YCR096C	YLR013W	YGL209W	YML113W	YPL248C	YGL035C	YJL110C	YDR253C	YDL170W	YDR463W	YKL020C	YMR019W	YLR302C	YKL001C	YEL057C	YCR039C	YDR491C	YIL162W	YNL035C	YDR112W	YNL238W	YCR018CA	YAL049C	YDR098CA	YJR138W	YMR260C	YER079W	YMR283C	YMR228W	YBR275C	YGR084C	YDR040C	YCL041C	YAR002CA	YOR236W	YFL065C	YBL074C
0.9999724	1.0000000	0.9650769	0.0010488	0.9027203	0.0937158	0.4839333	0.9014342	1.0000000	1.0000000	1.0000000	1.0000000	0.1790730	0.9874057	0.9746214	0.8972780	1.0000000	0.5843059	0.7799896	1.0000000	0.8945307	1.0000000	0.8643037	1.0000000	0.0381424	0.4844954	0.3528771	0.5880130	0.9001648	0.3363144	0.5644092	0.8156299	0.9878707	0.0785897	0.8831155	0.6724824	1.0000000	0.4965149	0.3059344	0.6948243	0.4660488	0.9535460	0.9994432	0.3781163	0.7629559	0.7250000	0.9420454	0.8524215	0.0185103	0.3464088
0.9522822	0.9689226	0.8033803	0.0018740	0.8340435	0.1957442	0.8919792	0.6792200	1.0000000	0.9806698	0.8894049	0.9137912	0.0775195	0.9843999	0.9933066	1.0000000	0.9127361	0.4880859	0.6771408	1.0000000	0.8672510	1.0000000	1.0000000	0.9215287	0.0194244	0.3799782	0.4747525	0.6172185	0.8926165	0.5523303	0.8524911	0.7903634	0.9768034	0.1795684	0.5823928	0.6792597	1.0000000	0.4372116	0.3393443	0.9442247	0.4070381	0.9580590	0.9996435	0.4002760	0.6743454	0.6912731	0.9996770	0.7139431	0.1306098	0.3115737
0.9522886	1.0000000	0.9727417	0.0018220	0.6414291	0.1567548	0.8893717	1.0000000	1.0000000	1.0000000	0.8564905	1.0000000	0.2961326	0.6070369	0.7135130	0.7212873	0.9712621	0.5708107	0.6933726	1.0000000	1.0000000	1.0000000	0.9572857	0.9706965	0.0521047	0.1961029	0.3392990	0.6130245	1.0000000	0.3242074	0.9796756	0.8156299	0.9578984	0.1262829	0.5593807	0.6634943	0.8849285	0.4090868	0.3335884	0.4898077	0.7314527	0.8737260	0.9991831	0.3263869	0.7546312	0.7408312	0.9997775	0.9487121	0.1106945	0.2542700
0.9999670	0.9552137	0.8463781	0.0017553	0.9639865	0.1494882	1.0000000	1.0000000	0.9334603	1.0000000	1.0000000	1.0000000	0.1797362	0.6262921	0.7748031	1.0000000	1.0000000	0.4397121	0.6771408	1.0000000	0.9604938	0.6551182	1.0000000	0.7749485	0.0096345	0.4343711	0.6018817	0.7235440	1.0000000	0.2064416	0.8797561	0.8321377	0.9877737	0.0651227	0.7876905	0.5546153	0.9542709	0.6786856	0.3393443	0.8303696	0.4070381	0.9029655	0.9893266	0.8087397	0.8085452	0.7504639	0.9415877	0.9321014	0.1611778	0.2523213
0.9999546	0.9999877	0.9808616	0.0593261	0.6810404	0.4813932	1.0000000	1.0000000	0.8469543	1.0000000	0.6744651	0.7845793	0.6359312	0.7028998	0.5053923	0.9366971	1.0000000	0.5473701	0.7418233	1.0000000	0.8519366	0.3911315	0.9082941	0.9645125	0.0575910	0.4262167	0.3286016	0.5063784	0.9999993	0.3843195	0.7966785	0.8275715	0.7675275	0.0838669	0.5104669	0.7255701	1.0000000	0.3384826	0.3175632	0.4839259	0.3889403	0.8002183	0.9886378	0.7918591	0.6350575	0.5912171	0.9419811	0.9630491	0.4033537	0.3591399
0.9999728	0.9999975	0.9904591	0.0452112	0.8412816	0.1086407	0.8879844	0.8030157	0.8171325	0.8470436	0.5706864	1.0000000	0.5690564	0.7561374	0.6976242	0.6906602	0.7663049	0.6662402	0.6304511	0.4578468	0.9986979	1.0000000	1.0000000	1.0000000	0.0484635	0.5406868	0.3805216	0.5922077	0.9999999	0.4862958	0.8011598	0.8156280	0.8134663	0.0203575	0.3540827	0.7188896	1.0000000	0.7337982	0.4611399	0.2832006	0.5874830	0.7774606	0.9988755	0.7339407	0.3944338	0.8467648	0.9477798	0.8880061	0.3614411	0.5145997
0.9999428	0.8521413	0.9671234	0.0013541	0.6646628	0.1813127	1.0000000	1.0000000	0.7637799	1.0000000	0.7456519	1.0000000	0.3601131	0.6037416	0.8745826	1.0000000	0.7477851	0.4677201	0.6771408	1.0000000	0.9257174	0.6937651	0.7796048	1.0000000	0.0762130	0.5749281	0.5753401	0.7055708	1.0000000	0.3813161	0.5135778	0.6858434	0.9327318	0.1123587	0.4833146	0.5818612	0.3180542	0.4527906	0.2719787	0.6308450	0.3230992	0.7650703	0.9893626	0.6326245	0.9901691	0.7240926	0.9997041	0.9489653	0.2555800	0.3164104
0.9999512	0.9999843	0.9851049	0.0593261	0.7583485	0.4940083	1.0000000	1.0000000	0.7521658	1.0000000	0.8975487	0.9665219	0.3107927	0.8988127	0.7267656	0.9997012	1.0000000	0.4694613	0.6770673	0.7464119	1.0000000	0.9431026	1.0000000	0.5044543	0.0432355	0.4535564	0.7759372	0.5768962	0.9102270	0.2329004	0.9094360	0.8156181	0.9526677	0.1226079	0.6329001	0.5837719	0.6490876	0.2563597	0.4380053	0.6085580	0.4073328	0.9324942	0.9997309	0.9204875	0.8020671	0.7652329	0.9765050	0.8785060	0.0751562	0.2999344
0.9998274	0.6771703	0.9551375	0.0593261	0.9219236	0.3572077	1.0000000	0.6590264	0.8225459	1.0000000	1.0000000	0.9459495	0.5690678	0.9029519	0.6977242	1.0000000	1.0000000	0.3091314	0.7507002	1.0000000	0.8893708	0.9385421	1.0000000	0.7671653	0.0479141	0.4343711	0.6689938	0.8127382	0.5454195	0.1015842	0.3708925	0.3727077	0.6665076	0.0882642	0.8494476	0.3932418	1.0000000	0.1900896	0.3147865	0.8008683	0.4070381	0.9029654	0.9997187	0.2932928	0.8909646	0.8373144	0.9941027	0.9353505	0.3613857	0.3749038
0.9999629	0.9999788	0.9243844	0.0627192	0.9016407	0.5018786	1.0000000	1.0000000	1.0000000	0.7853512	0.8641574	0.7799264	0.3600900	0.8042773	0.8745983	0.6607962	1.0000000	0.7715373	0.7549251	1.0000000	1.0000000	0.7551775	0.6393500	1.0000000	0.1078433	0.6549938	0.6007563	0.3456889	0.9583639	0.5781330	0.9694812	0.8156138	0.9327426	0.1123625	0.5485124	0.7641445	1.0000000	0.5442537	0.3134710	0.8321397	0.5156282	0.8451704	0.9981935	0.8147835	0.8300281	0.7245034	0.9999482	0.9797443	0.1433542	0.7214179
