YLR183C	YCL066W	YJL056C	YCR040W	YML076C	YHR006W	YCR097W	YLR098C	YCR096C	YML113W	YOL067C	YMR019W	YLR013W	YJR147W	YFL021W	YDR310C	YOR032C	YDR463W	YJL110C	YKR034W	YOL089C	YCL067C	YDR520C	YDL170W	YDR081C	YPL193W	YOR240W	YER148W	YMR272WB	YKR035WA	YDR543C	YOL042W	YGR296W	YCR104W	YHR184W	YLL048C	YDR102C	YHR156C	YOR212W	YLR261C	YAR061W	YDR098CA	YGR020C	YLR023C	YKL137W	YPR188C	YDR099W	YER188CA	YPR054W	YOL102C
0.6717975	0.4681070	0.6501569	0.4379037	0.0995129	0.6718866	0.0464760	0.5471923	0.0517770	0.6847496	0.0000000	0.0766890	0.6606197	0.6788299	0.0244722	0.4410952	0.6705184	0.0489926	0.0685833	0.1419581	0.5980940	0.1791580	0.0026872	0.5938551	0.6917212	0.1867473	0.0948378	0.2335477	0.0220016	0.3344459	0.4894925	0.5331251	0.6239528	0.6954381	0.0122321	0.6466698	0.1047915	0.3573706	0.1396278	0.2588295	0.2383075	0.1869036	0.3954090	0.0233162	0.0732103	0.3870176	0.3791108	0.5653841	0.1556818	0.4050725
0.7114065	0.5532003	0.6804226	0.4338958	0.0744147	0.6937018	0.0448841	0.7102128	0.0730102	0.6584113	0.7735739	0.0000000	0.7099909	0.6359827	0.0132015	0.4682422	0.5877515	0.0319290	0.1977377	0.1314377	0.6795285	0.2333649	0.0032403	0.7783611	0.7797254	0.1730168	0.0618225	0.1898133	0.0481077	0.4444152	0.4338450	0.6877707	0.5603545	0.6283818	0.0307786	0.7592359	0.1070405	0.3396364	0.2095279	0.5283158	0.2234723	0.1719572	0.4307010	0.0109143	0.0618248	0.3744823	0.2714888	0.4891482	0.1718437	0.5327707
0.5304040	0.5583156	0.6896287	0.5076876	0.0836154	0.5862590	0.0432060	0.5955576	0.0650476	0.6586078	0.7540766	0.0416046	0.0000000	0.6273293	0.0251674	0.5473544	0.6461005	0.0156459	0.0703887	0.1249565	0.7274199	0.0480475	0.0061268	0.6991547	0.7909676	0.1646614	0.0613622	0.2145304	0.0785726	0.4327265	0.6563701	0.5787227	0.0446418	0.7883056	0.0146969	0.6760206	0.0913239	0.3314721	0.0526565	0.5933411	0.3332572	0.1630053	0.4943734	0.0291886	0.0710986	0.5437165	0.3173600	0.0367632	0.1846376	0.4078638
0.6979703	0.7298933	0.6582526	0.5501096	0.0574052	0.6179264	0.0479966	0.7300220	0.0637995	0.6516105	0.8002065	0.1316973	0.7081132	0.0000000	0.0260719	0.4279289	0.7427137	0.0122972	0.1210029	0.1242045	0.5797081	0.2455926	0.0095399	0.7600600	0.6480372	0.1912475	0.5984090	0.2362022	0.0508046	0.3677617	0.3936613	0.6249812	0.5011957	0.6731709	0.0322806	0.5389697	0.1205192	0.3407654	0.2035553	0.5340422	0.2274003	0.2704707	0.4472956	0.0138327	0.0516885	0.4727633	0.3420909	0.5806028	0.1107522	0.3866432
0.6801496	0.5471555	0.6857329	0.4770968	0.0887347	0.7155942	0.0956599	0.5877187	0.0921920	0.7246994	0.6904399	0.0252046	0.5376799	0.5160983	0.0000000	0.4360922	0.7087369	0.0159797	0.0846809	0.1545535	0.7196365	0.1858521	0.0028512	0.7314235	0.5635742	0.1770865	0.0832597	0.1690203	0.0214394	0.5319206	0.4162485	0.7182105	0.4923141	0.5531882	0.0195528	0.5686092	0.0756386	0.4354952	0.2126948	0.6534750	0.2208332	0.2035139	0.4229057	0.0368068	0.0922355	0.4640278	0.2511260	0.5744516	0.1292997	0.4891382
0.6479193	0.5401033	0.5583592	0.4375793	0.0663291	0.7300288	0.0404151	0.6357129	0.0396170	0.7648359	0.6858101	0.0342455	0.6345523	0.6026549	0.0798819	0.0000000	0.7990232	0.0333633	0.0256762	0.1211043	0.7272162	0.1986145	0.0034943	0.5596017	0.7426154	0.2604026	0.0905749	0.2482399	0.7567639	0.7341195	0.4635420	0.5550252	0.4705203	0.5344548	0.7945312	0.7023461	0.1023681	0.4545044	0.1859877	0.6037754	0.3877179	0.2470020	0.4291605	0.0398650	0.0803552	0.4224592	0.2823290	0.5801678	0.7578515	0.7022569
0.6297337	0.6292767	0.6652837	0.4516438	0.0650982	0.0064864	0.1348258	0.6397210	0.0384796	0.7861986	0.7403633	0.0562785	0.7266294	0.6166999	0.0226792	0.4187424	0.0000000	0.0285506	0.0863883	0.1653381	0.5746943	0.2295970	0.0183752	0.6588520	0.7008097	0.3022260	0.0587832	0.3096655	0.0424882	0.4295528	0.4457538	0.5683759	0.5627589	0.5527273	0.0425104	0.6908445	0.6970900	0.3997026	0.2466615	0.4624100	0.2945080	0.2418094	0.4409695	0.0077830	0.0903281	0.3978812	0.2736589	0.5354414	0.1928317	0.4204344
0.6179531	0.4511980	0.7257919	0.4118040	0.0721154	0.6858960	0.0493447	0.8439325	0.0745979	0.7071103	0.6376528	0.0460944	0.6693841	0.6556056	0.0134080	0.5357597	0.6614360	0.0000000	0.0948201	0.1077978	0.8053301	0.2781219	0.0281733	0.7874359	0.7143736	0.2162296	0.0664110	0.2049191	0.0337595	0.4365725	0.3685956	0.7113075	0.5853422	0.6216469	0.0337989	0.7367130	0.0960706	0.3554210	0.1425046	0.4165184	0.2362455	0.2796596	0.5251811	0.0098972	0.0945698	0.4949385	0.2217659	0.5936672	0.2389482	0.4513193
0.6969078	0.4225347	0.7621403	0.3398860	0.0926668	0.6768760	0.0460443	0.6402222	0.0763170	0.6516708	0.6818802	0.0853376	0.4775468	0.7153791	0.0417746	0.5236085	0.7642263	0.0271769	0.0000000	0.0460472	0.7371786	0.2085006	0.0089685	0.5978027	0.7645994	0.1763826	0.0660613	0.2203536	0.0441413	0.4937111	0.5144487	0.5969815	0.5547335	0.6797155	0.0523121	0.6275306	0.0921969	0.3969678	0.1495866	0.4600799	0.2454757	0.1510467	0.4651213	0.0251249	0.0681198	0.4839048	0.2768902	0.5872166	0.2112392	0.4168293
0.7273626	0.7197276	0.6197322	0.4427142	0.0702355	0.6686337	0.0616433	0.5698512	0.0917180	0.6788911	0.8516737	0.0454515	0.6741471	0.5596712	0.0203862	0.3104738	0.6244160	0.0243472	0.3822246	0.0000980	0.7130860	0.3668473	0.0067285	0.6796015	0.7104249	0.2429551	0.0498348	0.2079295	0.0531614	0.4984717	0.4555260	0.6507216	0.4445945	0.7645111	0.0247755	0.5527727	0.0794251	0.3848090	0.3252607	0.4648042	0.2422713	0.2894442	0.4520546	0.0217133	0.0877322	0.4131092	0.2088122	0.5345937	0.1769802	0.4777212
0.7472448	0.5683763	0.7672270	0.4568594	0.0457918	0.7867126	0.6958646	0.6814072	0.0338233	0.7710761	0.7247661	0.0427729	0.6916234	0.7174429	0.0264808	0.4535579	0.6125341	0.0400328	0.0803381	0.0758929	0.0000000	0.1783170	0.0165095	0.6440308	0.7271541	0.2140179	0.0543449	0.2165962	0.0692228	0.5050918	0.3995392	0.5953139	0.6288009	0.0567752	0.0191207	0.8298396	0.1032701	0.3976959	0.1460354	0.5395113	0.2008707	0.7474888	0.5509739	0.0430771	0.0630377	0.4555095	0.5038572	0.5502004	0.1744225	0.4667230
0.5979115	0.4587001	0.6654468	0.3323364	0.0508586	0.6502508	0.0648177	0.8151856	0.0486495	0.7527949	0.6289853	0.0118197	0.6801981	0.6779664	0.0279212	0.4117400	0.6173436	0.0123954	0.1306029	0.1135660	0.6985114	0.0000000	0.0055751	0.6363915	0.6524106	0.1992779	0.0483051	0.2516747	0.0375038	0.4360146	0.4068765	0.5052320	0.7024058	0.5665660	0.0094036	0.7119918	0.1014834	0.3502680	0.1011404	0.4664116	0.2029733	0.1805495	0.4709685	0.0317274	0.0597839	0.5157755	0.3287608	0.5143875	0.1612320	0.4191073
0.6452261	0.4367801	0.9005906	0.3550516	0.0461327	0.7742203	0.0474146	0.6181024	0.0880534	0.6538037	0.7541524	0.0253440	0.6414730	0.6649361	0.0297670	0.4210589	0.6255866	0.0672888	0.1145053	0.0951448	0.7008202	0.2153618	0.0000000	0.6836645	0.7003381	0.2306625	0.0566012	0.1914251	0.0916437	0.4534790	0.4752549	0.5573546	0.4974169	0.6274367	0.0088502	0.7017547	0.1511548	0.3713479	0.2266898	0.4992691	0.2335246	0.2033068	0.4819295	0.0212330	0.1013860	0.4121043	0.3585358	0.4587953	0.1748310	0.3897111
0.6860207	0.4543213	0.7439788	0.5004730	0.0765599	0.5803240	0.0759869	0.7143261	0.0559998	0.6297899	0.7058432	0.0328394	0.7065531	0.8349700	0.0482840	0.4862209	0.7849874	0.0279174	0.2332452	0.1001747	0.6086824	0.1551267	0.0053509	0.0000000	0.7012728	0.1861856	0.0579149	0.2023415	0.0590071	0.3575450	0.4228606	0.6805515	0.5705672	0.6814710	0.0084414	0.6890855	0.0858507	0.5599278	0.1534693	0.5105546	0.2396364	0.2455111	0.4064761	0.0223388	0.1121379	0.4996284	0.2563568	0.5091585	0.1635517	0.5900671
0.6714797	0.4748858	0.6696409	0.4595837	0.0726398	0.7847777	0.0421151	0.6718844	0.0736065	0.5822261	0.6692195	0.0612410	0.5887648	0.6470872	0.0164377	0.6085830	0.6796334	0.6245599	0.2648901	0.1403475	0.6905081	0.2628545	0.0065018	0.7067919	0.0000000	0.2324227	0.0999083	0.1574522	0.0430009	0.4471692	0.4288144	0.6870147	0.5428281	0.5562856	0.0182192	0.5558566	0.0730230	0.7326725	0.1845987	0.2192532	0.2627410	0.5641499	0.4425184	0.0275717	0.1228684	0.4223914	0.3074088	0.5446393	0.1875031	0.4854173
0.8245766	0.5976764	0.7985567	0.4547524	0.0816488	0.5773072	0.0762274	0.6679863	0.0634865	0.7108748	0.6609352	0.0287310	0.7393022	0.7134471	0.0210716	0.4210704	0.7853712	0.0341787	0.0804112	0.0826716	0.7996681	0.1796424	0.0059619	0.6990841	0.6280945	0.0000000	0.0657166	0.1448850	0.0360307	0.5002148	0.3329325	0.5719014	0.5090654	0.5161356	0.0474125	0.6040441	0.1038532	0.4997445	0.1748038	0.4702766	0.2647542	0.3220092	0.3638719	0.0409539	0.0967390	0.3378576	0.2980088	0.6630804	0.1721870	0.4470907
0.6298232	0.4628179	0.7336951	0.4326068	0.0376249	0.6484224	0.0560184	0.6457023	0.0481930	0.6884514	0.6886398	0.0252738	0.7040714	0.5465664	0.0397932	0.5353812	0.7828970	0.0138695	0.0522327	0.1433367	0.7002201	0.1995202	0.0092476	0.6481420	0.8566380	0.1459780	0.0000000	0.1920277	0.0348282	0.2919028	0.4783707	0.5580766	0.6148976	0.6600296	0.0416856	0.6748204	0.0940259	0.4157028	0.2622591	0.5681163	0.2191021	0.2204672	0.6410083	0.0208508	0.1154896	0.4541292	0.2721904	0.6009619	0.1716862	0.2930804
0.6897156	0.4995205	0.6241003	0.4480088	0.0935998	0.7122585	0.1153883	0.4779217	0.0508987	0.6976404	0.6876331	0.0731213	0.6136472	0.8043061	0.0170877	0.5688066	0.5902250	0.0453695	0.0657265	0.1461381	0.6827774	0.2230252	0.0132514	0.6677975	0.7040383	0.2109565	0.0827344	0.0000000	0.1066468	0.4525519	0.4010116	0.5946934	0.5228253	0.6681976	0.0096300	0.7129559	0.0788012	0.4218243	0.1580145	0.4552944	0.2187843	0.2461054	0.4710363	0.0467603	0.0573006	0.4283476	0.2623528	0.5273658	0.1640677	0.4423341
0.6313946	0.5315431	0.7240313	0.4623048	0.1152377	0.6209422	0.1028770	0.5954520	0.1194637	0.5915912	0.7862288	0.0401127	0.6992304	0.7123196	0.0311237	0.5092507	0.7107841	0.0463783	0.1029144	0.1272002	0.7419686	0.1850758	0.0058812	0.6236666	0.6138020	0.2054031	0.0347066	0.2318520	0.0000000	0.4592444	0.4829179	0.5500543	0.4928457	0.7408373	0.0268536	0.7539573	0.0559256	0.4272430	0.2260610	0.6000474	0.2209113	0.1599744	0.4111326	0.0419828	0.1002014	0.4469529	0.2773329	0.7645314	0.1715324	0.5389962
0.6513151	0.4625555	0.7503352	0.4179376	0.0617789	0.7150518	0.0712247	0.6997322	0.0509244	0.6587950	0.7103825	0.0551643	0.7225107	0.6642905	0.0169772	0.5349596	0.6591647	0.0469226	0.0971068	0.1389706	0.7115388	0.2240103	0.0066969	0.7481811	0.7015188	0.2198313	0.0973344	0.1788045	0.0294122	0.0000000	0.4125038	0.7145462	0.4960280	0.6872525	0.0582410	0.8957673	0.0990419	0.5044845	0.2370668	0.4570875	0.1958649	0.2911619	0.5331081	0.0090183	0.1140747	0.4477893	0.3724441	0.3967569	0.1599857	0.4919179
0.6297770	0.5228238	0.6066220	0.3252424	0.0916836	0.8405668	0.1041343	0.6910558	0.0824962	0.7185765	0.6807534	0.0456842	0.6456733	0.7298871	0.0116002	0.5540527	0.6226489	0.0214063	0.1226885	0.0876846	0.6804712	0.2323609	0.0205204	0.6992033	0.8200334	0.2751599	0.0537668	0.2334902	0.0623708	0.3211706	0.0000000	0.5763567	0.5968980	0.7570521	0.0150721	0.7258200	0.1116404	0.3537862	0.2586199	0.5260568	0.2900936	0.2126937	0.5359109	0.0423158	0.0839994	0.4624791	0.3026424	0.5041895	0.1119470	0.4244047
0.7331690	0.5258637	0.5550426	0.4865121	0.0720268	0.6413164	0.0741373	0.7722474	0.0421457	0.6444579	0.6206829	0.0731685	0.7915643	0.5781427	0.0254520	0.6221945	0.6965395	0.0122999	0.1275408	0.1124111	0.6464244	0.2141226	0.0074819	0.7557273	0.5913088	0.1464685	0.0496632	0.2229579	0.0577775	0.5021833	0.4608907	0.0000000	0.5273702	0.6401544	0.0356994	0.8226728	0.1030802	0.4329934	0.2383186	0.4771602	0.2482422	0.2468914	0.4149316	0.0097469	0.0776916	0.4814418	0.2821723	0.5894210	0.1074238	0.4950005
0.6505439	0.4577034	0.7210112	0.4223734	0.0799530	0.6002460	0.0899808	0.6665848	0.0644253	0.7427256	0.6757782	0.0448640	0.8132579	0.6802133	0.0085357	0.4382528	0.8002397	0.0312148	0.0548023	0.1248136	0.6976374	0.1637580	0.0100207	0.6977893	0.7229405	0.2398363	0.0716232	0.2496943	0.0507005	0.4699294	0.3563970	0.6142014	0.0000000	0.6070871	0.0269043	0.6380954	0.0707167	0.4045381	0.1908081	0.4761306	0.2871050	0.2592275	0.4042639	0.0164871	0.0870438	0.4198324	0.3007290	0.5446105	0.2048832	0.3622218
0.5980358	0.4216509	0.7142041	0.3561350	0.1022639	0.5538217	0.0342776	0.6541784	0.0627033	0.7201985	0.8110998	0.0356137	0.6224416	0.7575453	0.0279761	0.4682955	0.7321535	0.0152837	0.1133655	0.1029394	0.6863618	0.1359318	0.0023304	0.8064285	0.6978065	0.2510062	0.1007385	0.2151012	0.0446781	0.4530050	0.4092019	0.6354524	0.6346034	0.0000000	0.0267802	0.5499756	0.1285279	0.4102217	0.2271580	0.4247970	0.2638275	0.2565030	0.4681203	0.0563959	0.1028703	0.5990275	0.2292750	0.5216634	0.1293481	0.3916037
