YLR183C	YCL066W	YJL056C	YCR040W	YML076C	YHR006W	YCR097W	YLR098C	YCR096C	YML113W	YOL067C	YMR019W	YLR013W	YJR147W	YFL021W	YDR310C	YOR032C	YDR463W	YJL110C	YKR034W	YOL089C	YCL067C	YDR520C	YDL170W	YDR081C	YPL193W	YOR240W	YER148W	YMR272WB	YKR035WA	YDR543C	YOL042W	YGR296W	YCR104W	YHR184W	YLL048C	YDR102C	YHR156C	YOR212W	YLR261C	YAR061W	YDR098CA	YGR020C	YLR023C	YKL137W	YPR188C	YDR099W	YER188CA	YPR054W	YOL102C
0.7112943	0.5619806	0.6796268	0.4251532	0.0572048	0.7559959	0.0425561	0.7027240	0.0305723	0.6456788	0.3158619	0.0837398	0.6711549	0.5534887	0.0199652	0.5437913	0.7021387	0.0152450	0.0708418	0.0649589	0.6506624	0.2535521	0.0075876	0.7454763	0.8243483	0.1889757	0.0688978	0.2179363	0.0405868	0.5172043	0.3654615	0.5257118	0.5415491	0.5056978	0.0134451	0.5995005	0.1245904	0.3762760	0.2857403	0.4012916	0.2692171	0.2611611	0.4067614	0.0335438	0.0850477	0.3839460	0.2309464	0.4969396	0.2700693	0.4438125
0.6514447	0.5002943	0.7715404	0.5076194	0.0385987	0.6980177	0.0629149	0.6254853	0.0551120	0.7590429	0.7672257	0.0097547	0.5944151	0.7694139	0.0226892	0.4399653	0.6897104	0.0240854	0.0658184	0.1431019	0.6864724	0.1819089	0.0146241	0.5621142	0.6720894	0.3369450	0.0651079	0.2372069	0.0326246	0.3641826	0.4737635	0.6832920	0.4745995	0.6815396	0.0483194	0.6028290	0.0758027	0.5161807	0.1419230	0.4921658	0.2417186	0.2260535	0.4120491	0.0339361	0.0517730	0.4589421	0.3011288	0.4785970	0.1429326	0.4064595
0.6081574	0.5848445	0.7154718	0.3459829	0.0522861	0.7014962	0.1059650	0.6397879	0.0818149	0.5945417	0.6203757	0.0199534	0.2856421	0.6086863	0.0091527	0.4780534	0.6109736	0.0108525	0.1592355	0.0955927	0.6371354	0.1251017	0.0125961	0.7367244	0.6703646	0.2329961	0.0564202	0.2293368	0.0757328	0.3370817	0.5921224	0.6749810	0.4277200	0.6282208	0.0200951	0.6599492	0.0657668	0.4308176	0.0889441	0.5648983	0.1768045	0.2028221	0.4405700	0.0272121	0.0613319	0.4765104	0.2426025	0.1660320	0.1703012	0.3945176
0.6232442	0.3535080	0.8010125	0.3640903	0.0541169	0.6278389	0.0874690	0.5611390	0.0942202	0.7997764	0.6097927	0.0630061	0.5904042	0.3014234	0.0404093	0.4047631	0.8104675	0.0257139	0.0900590	0.1670262	0.7587518	0.1762171	0.0086800	0.6461608	0.6372095	0.2383895	0.0532622	0.2165346	0.0563722	0.3848482	0.4744795	0.6071178	0.5335617	0.8910845	0.0139594	0.7139150	0.0616605	0.3793287	0.1403805	0.5094308	0.2831798	0.2438286	0.3931009	0.0305853	0.0794248	0.4896234	0.2401336	0.5557216	0.1722975	0.3653502
0.6639532	0.5074355	0.7641622	0.3588395	0.0702662	0.6540302	0.0990965	0.5496649	0.0518535	0.6113575	0.7789074	0.0191621	0.6011072	0.6139759	0.0055004	0.4728804	0.6986455	0.0229750	0.0750429	0.1803257	0.6895645	0.2544020	0.0141547	0.6891712	0.6095825	0.1409206	0.0914252	0.2580239	0.0216820	0.4270835	0.4776547	0.5857163	0.6056615	0.6138053	0.0187874	0.8298982	0.1078984	0.3906704	0.1630075	0.5412261	0.2489757	0.1688156	0.3564810	0.0274867	0.0815501	0.4468445	0.3206876	0.5196256	0.1387582	0.4368820
0.7199235	0.4741300	0.6382767	0.3861885	0.0443805	0.7321727	0.1051221	0.7451847	0.0615183	0.5651929	0.6730922	0.0441671	0.5306033	0.6765092	0.0311046	0.1966486	0.6655650	0.0193768	0.0482744	0.1494748	0.7232072	0.2770946	0.0240747	0.7310300	0.7197527	0.2339189	0.0592812	0.1907857	0.0445440	0.6011114	0.4856731	0.5963966	0.5846121	0.6108110	0.0126778	0.7572123	0.1027368	0.4526493	0.1641274	0.4532324	0.2171244	0.1802936	0.4551510	0.0231793	0.1037860	0.3827181	0.2066038	0.5491246	0.5856504	0.6652674
0.6739667	0.4562510	0.7667983	0.4244216	0.0603908	0.6628599	0.0395978	0.6541764	0.0802363	0.6389607	0.6494457	0.0287095	0.8066767	0.7463251	0.0328623	0.5529985	0.4287681	0.0344737	0.1839401	0.1185882	0.6106471	0.1817197	0.0110788	0.6892386	0.6445362	0.2157366	0.0551472	0.2642002	0.0349211	0.4975132	0.4266373	0.6388850	0.5435835	0.5705206	0.0166730	0.6438285	0.0755767	0.3494617	0.1628616	0.4745773	0.2417768	0.1715168	0.4776733	0.0492815	0.0685722	0.3986201	0.2858691	0.5029448	0.1860204	0.4110435
0.6858569	0.4845141	0.6146237	0.4161271	0.0782937	0.6633410	0.0946833	0.8950492	0.0559827	0.6355094	0.7003315	0.0538988	0.6924340	0.5931331	0.0135337	0.4966075	0.6810957	0.0180010	0.0707219	0.1403305	0.7129105	0.2931094	0.0046090	0.6024271	0.6557812	0.1721696	0.0663944	0.2601424	0.0377363	0.4201433	0.3684062	0.5406409	0.5722816	0.6332910	0.0286065	0.8279981	0.0764172	0.4216550	0.1655445	0.5375382	0.1839668	0.1679953	0.4602494	0.0464387	0.1007261	0.3782919	0.2533542	0.6388748	0.1664416	0.4336003
0.6491647	0.5769033	0.6820220	0.4844188	0.0386016	0.6984006	0.0823643	0.6533280	0.0701956	0.6199742	0.6193357	0.0326326	0.6984499	0.6561904	0.0160788	0.5250219	0.6812195	0.0312692	0.0968002	0.0882650	0.6354616	0.1165047	0.0085510	0.6366497	0.6877695	0.1988305	0.0741148	0.2693418	0.0585951	0.4644915	0.4574271	0.5493266	0.4635130	0.7594475	0.0194891	0.5991429	0.1520128	0.4932450	0.2049491	0.4266196	0.2088894	0.1860159	0.5108549	0.0357671	0.0683627	0.4265786	0.2638405	0.5889031	0.1149949	0.3959228
0.8482285	0.5732783	0.7017496	0.4479795	0.0843219	0.7640526	0.0699819	0.6922169	0.0722812	0.7947998	0.6015635	0.0549406	0.6073935	0.6387595	0.0065602	0.5600080	0.7546427	0.0242111	0.1188745	0.0838631	0.7149297	0.2220371	0.0117363	0.5956755	0.7765840	0.1626160	0.0732892	0.1819888	0.0652709	0.5157467	0.4807481	0.6654876	0.5973978	0.5825447	0.0138613	0.7456704	0.0849823	0.3815242	0.1987813	0.5839270	0.2702111	0.1929774	0.4727125	0.0152311	0.0905641	0.4106880	0.2417534	0.6131913	0.2246473	0.4293798
