YBR182C	YOR140W	YGR044C	YGL254W	YCR018C	YLR131C	YPL038W	YCL067C	YIR017C	YJL056C	YNL103W	YLR013W	YOL067C	YCL066W	YKL185W	YIL101C	YMR019W	YJL110C	YPL177C	YJR147W	YMR021C	YGR249W	YDR421W	YKL043W	YOL089C	YMR017W	YPL176C	YDR371W	YDL071C	YDR370C	YPR107C	YNL336W	YBL074C	YNL327W	YDR525WA	YDR381CA	YDR351W	YLL033W	YGR271W	YDR380W	YOR276W	YNR049C	YDL060W	YDR416W	YGL097W	YLR394W	YLR389C	YEL070W	YER087CA	YHR193C
0.6480848	0.1808845	0.0439037	0.2339014	0.0672188	0.7709444	0.8128263	0.1402837	0.1156748	0.7811054	0.3811184	0.7333984	0.7492241	0.1634222	0.0250854	0.4520257	0.2553299	0.6703663	0.2090200	0.4014820	0.6583985	0.3440130	0.8314216	0.6847137	0.6914724	0.4280784	0.0318735	0.5990187	0.0469680	0.0855086	0.2829026	0.5749992	0.5312133	0.6417809	0.1216558	0.3189483	0.0622614	0.4228213	0.3502463	0.2962980	0.5203114	0.1523358	0.4543978	0.6461917	0.5749392	0.7917187	0.5978341	0.4109450	0.3222579	0.1980370
0.9443124	0.1600057	0.0167686	0.2021012	0.0263440	0.6921833	0.6574184	0.2035302	0.0435029	0.6487780	0.6200549	0.3247658	0.8886505	0.2402657	0.0152789	0.5008100	0.1441381	0.6414922	0.1382980	0.4490808	0.7281695	0.3259585	0.5689910	0.6553694	0.6573201	0.2631009	0.0050729	0.4884111	0.0322294	0.0774853	0.3114598	0.5547213	0.5330515	0.6413567	0.0910564	0.2296534	0.0309918	0.3604253	0.3016428	0.1900951	0.3631582	0.0442306	0.4958687	0.6924068	0.4886591	0.9681412	0.7628770	0.6626455	0.2994803	0.3925228
0.5789891	0.1932882	0.0282300	0.1589932	0.0411706	0.6853258	0.7741496	0.1795804	0.0961017	0.7522668	0.6040721	0.6762636	0.2808658	0.1801613	0.0213020	0.5041373	0.1135706	0.7545759	0.1335009	0.3989290	0.8439486	0.3161545	0.7282941	0.6003798	0.8635148	0.3232043	0.0345277	0.5540215	0.0473623	0.0645135	0.2447912	0.5176108	0.5387509	0.6741496	0.1063961	0.3246119	0.0429550	0.3828224	0.1669865	0.2471584	0.5575694	0.4433589	0.4213532	0.7423580	0.5800639	0.7302615	0.6962976	0.5284447	0.3176390	0.2711900
0.6451578	0.2484474	0.0262653	0.1773029	0.0516591	0.8642135	0.6369395	0.1258257	0.0500610	0.6856222	0.6766170	0.7103231	0.7326203	0.1011308	0.0079031	0.4479323	0.1879663	0.7340775	0.2007060	0.4778721	0.7639659	0.4304599	0.6869659	0.7824369	0.7222825	0.2601249	0.0202486	0.4383191	0.0301094	0.0511806	0.2745666	0.5176707	0.5796774	0.6831992	0.0815308	0.3353120	0.0595981	0.4335959	0.2732427	0.2917587	0.5001483	0.0998247	0.4037077	0.6267150	0.4465379	0.6619381	0.7275400	0.4246025	0.3496940	0.2480390
0.7433895	0.1858993	0.0292108	0.2555495	0.0796111	0.7600062	0.7122175	0.2173512	0.0505435	0.7646606	0.6575547	0.7992438	0.7329752	0.1714126	0.0230614	0.5628001	0.1255074	0.8640120	0.2251618	0.5253277	0.7296232	0.3736771	0.7022915	0.6074773	0.7341637	0.3028570	0.0088371	0.3483891	0.0181859	0.1141137	0.2198259	0.5366372	0.5161017	0.6664482	0.1403074	0.4551677	0.0559101	0.3404535	0.3329207	0.2080360	0.4370440	0.0692137	0.2793883	0.7900932	0.5003884	0.8022368	0.7290202	0.4553857	0.3512615	0.2205028
0.7389895	0.1469010	0.0439169	0.2256928	0.0651001	0.7387204	0.6990244	0.2231738	0.0491486	0.6400828	0.9376135	0.6248609	0.7002953	0.1797611	0.0189022	0.3249070	0.1219928	0.6771754	0.2081904	0.3518531	0.7222475	0.4890397	0.7381154	0.6414903	0.7331809	0.3394291	0.0159841	0.2933671	0.0271699	0.1022131	0.3176190	0.5797738	0.4867785	0.6562719	0.1282838	0.3883928	0.0476605	0.3709435	0.2643451	0.3190700	0.4341026	0.0989799	0.4533000	0.6766977	0.4767147	0.6261778	0.7474668	0.5193467	0.3804624	0.2447015
0.7973854	0.1460707	0.0120710	0.2531537	0.0272628	0.6968584	0.7391185	0.1766965	0.0753183	0.7296702	0.7086093	0.7372964	0.7829927	0.1324357	0.0134553	0.5974078	0.0932651	0.7877588	0.2385109	0.5302040	0.7755971	0.2296676	0.8072711	0.7154671	0.7728271	0.3419660	0.0229611	0.3495929	0.0344188	0.0734501	0.3035098	0.5384304	0.5067936	0.6811393	0.0901210	0.3082226	0.0216651	0.4266861	0.2969602	0.2008097	0.4053698	0.1700430	0.4220692	0.7907579	0.5726041	0.6748180	0.7650455	0.4533182	0.4182118	0.2168145
0.7001985	0.1496521	0.0365462	0.2216909	0.0254671	0.7697771	0.6972303	0.1626622	0.0394155	0.7731893	0.6475655	0.7028282	0.8248959	0.1793377	0.0139283	0.4937447	0.1821532	0.3619137	0.2212255	0.5483695	0.7019850	0.4028993	0.6672186	0.7418715	0.7597384	0.2600180	0.0574758	0.4939446	0.0645683	0.0933893	0.2470880	0.5291971	0.4600083	0.5462073	0.0527584	0.3804041	0.0395295	0.2998443	0.2978522	0.1966416	0.3190930	0.1235961	0.3953589	0.7575447	0.7387509	0.8377528	0.7417777	0.5367695	0.3688395	0.2021101
0.6473359	0.1538341	0.0767066	0.1890437	0.0167909	0.6580089	0.5788673	0.1287232	0.0619027	0.5759750	0.7328473	0.7066839	0.8108438	0.2077272	0.0098663	0.5745334	0.1912883	0.6807451	0.1188084	0.5857333	0.6913629	0.2963049	0.6833572	0.6066374	0.6473292	0.2942307	0.0252990	0.3157552	0.0448094	0.0774500	0.4057604	0.5896853	0.6008680	0.8229025	0.0905298	0.2834848	0.0263457	0.3994141	0.2759422	0.2704103	0.3369866	0.1356081	0.4462073	0.5789367	0.5936418	0.7104890	0.7281235	0.5314274	0.2779020	0.2816966
0.6281613	0.1781383	0.0174989	0.3259989	0.0397174	0.6560606	0.7208917	0.1558958	0.0762057	0.6787865	0.6728203	0.6998325	0.8038939	0.1473622	0.0065499	0.5866998	0.1433576	0.7270825	0.1845470	0.2088046	0.6404380	0.5237585	0.5464727	0.7134848	0.6775708	0.2267066	0.0402868	0.6250238	0.0678166	0.1006012	0.2005518	0.5562068	0.5284724	0.5814018	0.0912897	0.3378786	0.0687900	0.3140564	0.3383570	0.2364752	0.4097349	0.1265346	0.4205902	0.6784186	0.6705017	0.7090741	0.6079092	0.4244047	0.3132906	0.2361490
0.6137004	0.2088346	0.0766257	0.2449131	0.0310263	0.5915119	0.7334534	0.0894701	0.0888454	0.6546847	0.7420569	0.6257710	0.7125624	0.2294220	0.0115879	0.4447415	0.1693601	0.6298045	0.3739967	0.3880574	0.4419404	0.3641457	0.7422393	0.7394820	0.7943903	0.3813813	0.0053027	0.4140988	0.0559010	0.0869976	0.3819609	0.5778462	0.5280643	0.6042735	0.1270546	0.3438371	0.0829198	0.3942852	0.4057751	0.2890592	0.4543006	0.0429454	0.5403147	0.7142689	0.6186103	0.5920084	0.6748514	0.5449542	0.3350390	0.3712990
0.7078321	0.1618907	0.0411920	0.1855979	0.0727760	0.6828584	0.6374100	0.1711597	0.0771936	0.7134194	0.9558193	0.6716344	0.7207914	0.2170142	0.0134900	0.6130330	0.1452854	0.6833055	0.2173667	0.5681350	0.7639524	0.1680681	0.6432554	0.6522785	0.7659334	0.3739771	0.0243349	0.0447086	0.0453901	0.4268366	0.5584820	0.5769769	0.4652975	0.6661096	0.0995587	0.3900847	0.0655899	0.4060090	0.3382452	0.2920384	0.3918064	0.1160151	0.5075266	0.6984136	0.6975769	0.7788542	0.7919295	0.5100434	0.4382153	0.2616024
0.6709881	0.1085434	0.0414524	0.2219212	0.0565167	0.7392534	0.6007873	0.1351786	0.0722041	0.6733984	0.7211800	0.7263830	0.7938451	0.1701688	0.0155344	0.5565149	0.1917606	0.7332281	0.2670837	0.4845295	0.8103454	0.4376579	0.3464684	0.6497314	0.6567943	0.2853989	0.0119718	0.3737488	0.0629914	0.1017033	0.3431479	0.5553604	0.4318778	0.7709467	0.1074771	0.5659414	0.0331377	0.3694791	0.3438378	0.4301708	0.4039663	0.0996680	0.3514172	0.8003548	0.6142753	0.7461898	0.7591005	0.6621273	0.3773300	0.1924681
0.5782082	0.1744975	0.0322281	0.1428512	0.0492596	0.6101440	0.9969907	0.1342654	0.0534753	0.6060737	0.7978382	0.7228210	0.6964665	0.1686200	0.0322782	0.4852537	0.0523310	0.6308086	0.0387992	0.4095673	0.7235768	0.3479365	0.6567633	0.3672837	0.6836597	0.3195971	0.0182541	0.4228634	0.0394410	0.1394564	0.3133855	0.4833054	0.4616851	0.6763698	0.3403515	0.3483452	0.0443516	0.3888672	0.2154018	0.1916142	0.1065285	0.1217632	0.3092202	0.7045806	0.6361169	0.6070361	0.7484611	0.1567672	0.2727678	0.1973961
0.7274354	0.1440637	0.0202920	0.1846889	0.0660117	0.7907485	0.7127792	0.1661195	0.1342596	0.6843054	0.7901609	0.6709433	0.7236759	0.1805533	0.0307372	0.4789424	0.3515340	0.7192780	0.2250464	0.5086418	0.6009832	0.4433520	0.8796727	0.7910191	0.3344806	0.3250138	0.0104400	0.4331116	0.0435666	0.1357530	0.3930182	0.6455373	0.4748668	0.6128582	0.1481127	0.4454979	0.0710573	0.4039424	0.3399098	0.1975743	0.5069334	0.0573679	0.4102365	0.7068772	0.5025814	0.6756604	0.6911346	0.5010866	0.4496086	0.2518733
0.7434849	0.1616304	0.0526020	0.2170528	0.0597528	0.8951517	0.6820896	0.1266030	0.0664464	0.6384034	0.6723692	0.6608008	0.6515071	0.1729860	0.0077206	0.4579826	0.1433700	0.7223895	0.2099905	0.5093176	0.6051775	0.3523678	0.6902654	0.6877516	0.6126696	0.1484510	0.0113116	0.3134634	0.0237178	0.1261227	0.2737883	0.5487799	0.5611991	0.6932141	0.1377535	0.3179470	0.0799856	0.3141267	0.2558173	0.2750947	0.3756865	0.0761460	0.4453070	0.7463606	0.5967907	0.6873736	0.7238511	0.3994804	0.4094956	0.2507775
0.6062395	0.1868833	0.0209460	0.2322811	0.0325893	0.6180740	0.7019846	0.1833999	0.0792838	0.6880061	0.7675772	0.7101570	0.6770733	0.2079850	0.0085601	0.5480321	0.2334923	0.6399733	0.1679405	0.5227701	0.7959051	0.4232127	0.6341315	0.6641625	0.6816105	0.2879479	0.0088289	0.3831716	0.0079497	0.1093989	0.3179421	0.7585329	0.5545873	0.7032969	0.0478019	0.4082604	0.0748852	0.3397869	0.3349436	0.1871828	0.5156085	0.1050234	0.4571751	0.7094635	0.4743674	0.5731676	0.8591551	0.4993310	0.3680735	0.2006076
0.7818364	0.1163128	0.0295002	0.2130599	0.0267092	0.7173863	0.7074604	0.1781952	0.0564102	0.8907045	0.7845237	0.7361322	0.7850951	0.1928938	0.0172243	0.5576170	0.1072098	0.6788440	0.1729050	0.2993728	0.5568348	0.4278230	0.6909305	0.7367565	0.8131717	0.2538542	0.0214857	0.2355902	0.0262079	0.0908138	0.3628413	0.5823144	0.5783001	0.6341353	0.1175169	0.3617213	0.0568610	0.3429342	0.2584627	0.2706796	0.3879080	0.1132500	0.3139498	0.6732294	0.5793326	0.7252406	0.7536865	0.4942243	0.3503234	0.1787192
0.6542312	0.2337804	0.0142791	0.2658070	0.0301987	0.7524567	0.6333499	0.1859591	0.0623634	0.7295871	0.7187796	0.8691401	0.7793244	0.1385189	0.0282974	0.4380803	0.1433056	0.7293865	0.1725198	0.3391750	0.6463643	0.3901616	0.8300334	0.6833742	0.8024197	0.3518017	0.0640006	0.3911534	0.0390532	0.0891525	0.2403265	0.6349403	0.4806526	0.6281907	0.0890197	0.3565111	0.0620075	0.3458490	0.3066331	0.1781460	0.4363033	0.0876801	0.3725412	0.8274079	0.5607942	0.5864748	0.6196317	0.4844026	0.4442976	0.1675396
0.7873410	0.1710906	0.0442892	0.2076325	0.0238291	0.7793681	0.8349766	0.1378470	0.0599528	0.7925910	0.6994541	0.7240992	0.8033480	0.1702946	0.0228893	0.6549358	0.1645664	0.8075664	0.1734218	0.5101214	0.7097165	0.3051300	0.7211148	0.5949275	0.6922812	0.3114427	0.0651298	0.4083709	0.0433058	0.1175935	0.2857333	0.6137351	0.6302610	0.8059015	0.0706301	0.3225602	0.1019683	0.3329911	0.2819740	0.2656438	0.4418947	0.0989221	0.3311595	0.7384408	0.5540373	0.6005193	0.7527226	0.3616634	0.3535489	0.1944619
0.7168909	0.2151448	0.0217875	0.2918282	0.0411699	0.6183469	0.7146760	0.1276969	0.0572504	0.6253006	0.6373134	0.7347672	0.6692391	0.1849890	0.0167027	0.6472890	0.1662825	0.7399898	0.2472129	0.5629291	0.7105747	0.4100560	0.8425742	0.8258415	0.6941986	0.3552863	0.0148744	0.5161685	0.0476052	0.0738779	0.1131977	0.6032470	0.5396076	0.7173880	0.1023756	0.3798432	0.0451776	0.3838098	0.2925145	0.2229716	0.4123729	0.0761004	0.4364316	0.6316368	0.5887829	0.7527236	0.6749787	0.6036500	0.4264911	0.2908796
0.7342513	0.2001568	0.0442543	0.2933586	0.0635189	0.7108389	0.7239974	0.1531574	0.0654953	0.7950426	0.7798232	0.7093302	0.6671259	0.1577646	0.0215798	0.5427815	0.2218684	0.7136000	0.2279268	0.5404759	0.7720060	0.3324869	0.7803872	0.7475419	0.7957021	0.4036427	0.0446692	0.3001902	0.0213898	0.1648288	0.3548775	0.3528447	0.4296216	0.7996275	0.1102976	0.3016562	0.0432915	0.3541182	0.2780495	0.3322417	0.4188955	0.0594196	0.3331174	0.7642824	0.5215814	0.7979130	0.6944713	0.4354333	0.3346112	0.2329043
0.7283770	0.1798972	0.0206323	0.2317065	0.0339530	0.6431535	0.8625329	0.1834896	0.0636546	0.7548860	0.8199967	0.6791784	0.7536866	0.2028809	0.0515506	0.6197713	0.2098099	0.8107787	0.1833413	0.4329249	0.7765319	0.3599271	0.6824070	0.7575690	0.7536552	0.3145548	0.0137272	0.4025220	0.0302513	0.1027570	0.3550666	0.5599838	0.2547226	0.6172468	0.0559890	0.3322079	0.0745487	0.3156206	0.3782035	0.2091089	0.3351345	0.0813222	0.4639505	0.6146857	0.5399595	0.7721423	0.6650955	0.4151219	0.4275713	0.1945043
0.5510381	0.1663562	0.0523799	0.3040044	0.0303509	0.7322104	0.7961060	0.1313830	0.0816968	0.7943312	0.7374455	0.8804243	0.6585765	0.1506071	0.0493093	0.6316656	0.1360551	0.7366794	0.2432633	0.5646189	0.8175100	0.2876780	0.7462696	0.7743532	0.7108780	0.2957519	0.0261996	0.3461792	0.0140296	0.1421173	0.3082318	0.5822603	0.5546957	0.3423133	0.0942536	0.3984438	0.0487898	0.3826546	0.2972785	0.3148176	0.4418583	0.0987863	0.4467853	0.7102934	0.6705064	0.7459184	0.6638025	0.4433658	0.2879652	0.2491727
0.7388200	0.1403372	0.0269494	0.1883824	0.0486549	0.6808746	0.7961654	0.2237565	0.0740915	0.7854113	0.7006621	0.7586460	0.7695699	0.1742458	0.0165374	0.5836410	0.2310288	0.5633776	0.2403979	0.4075710	0.7947861	0.3075750	0.6971022	0.6482872	0.6732362	0.2738044	0.0220854	0.2893201	0.0428907	0.0830484	0.3167754	0.7084331	0.5267020	0.7513413	0.0418808	0.2879475	0.0217525	0.3954970	0.2924380	0.2351274	0.3409719	0.1008418	0.3555214	0.6181325	0.5652774	0.7857448	0.7149184	0.5050876	0.3894289	0.2474057
0.7784506	0.1858884	0.0297516	0.1683821	0.0381683	0.7936535	0.7463134	0.1877720	0.0458853	0.5864147	0.7568396	0.8398246	0.6557458	0.1713569	0.0176977	0.3754334	0.1882422	0.6378183	0.2232685	0.4530179	0.7700680	0.3167169	0.6874903	0.6073295	0.8554727	0.2638767	0.0180858	0.4520350	0.0192334	0.0824549	0.2816936	0.5952705	0.4950382	0.7924200	0.1487146	0.1298525	0.0832504	0.4004235	0.3471737	0.2390915	0.3925637	0.0693417	0.6235746	0.6917994	0.5149545	0.7192548	0.6599665	0.4342724	0.4012424	0.2288299
