YBR182C	YOR140W	YGR044C	YGL254W	YCR018C	YLR131C	YPL038W	YCL067C	YIR017C	YJL056C	YNL103W	YLR013W	YOL067C	YCL066W	YKL185W	YIL101C	YMR019W	YJL110C	YPL177C	YJR147W	YMR021C	YGR249W	YDR421W	YKL043W	YOL089C	YMR017W	YPL176C	YDR371W	YDL071C	YDR370C	YPR107C	YNL336W	YBL074C	YNL327W	YDR525WA	YDR381CA	YDR351W	YLL033W	YGR271W	YDR380W	YOR276W	YNR049C	YDL060W	YDR416W	YGL097W	YLR394W	YLR389C	YEL070W	YER087CA	YHR193C
0.7379460	0.2121378	0.0279766	0.2054188	0.0723765	0.7206849	0.9551030	0.1968359	0.1064837	0.8795595	0.3150160	0.5837854	0.6894017	0.1867191	0.0261528	0.5516632	0.1208034	0.7689636	0.2078291	0.4802507	0.7906055	0.4419184	0.6373179	0.6959734	0.6531473	0.4473498	0.0427852	0.4279823	0.0400084	0.0708148	0.2735766	0.6119017	0.5451361	0.7516627	0.1107467	0.3845905	0.0547611	0.4108169	0.3096079	0.2329111	0.4753505	0.2354926	0.3146158	0.6979533	0.5400264	0.7556188	0.6988530	0.3566957	0.3618502	0.1910393
0.6677324	0.1944507	0.0158738	0.2395063	0.0345904	0.8144728	0.7799374	0.2058662	0.0421661	0.7592103	0.7365934	0.2911562	0.7270606	0.2768895	0.0137408	0.5549333	0.1170980	0.7657253	0.3160748	0.4231575	0.7096137	0.4290768	0.7841204	0.6624490	0.7421614	0.3929654	0.0057175	0.4354580	0.0300110	0.0814292	0.2219686	0.5518386	0.5035985	0.6756945	0.1053812	0.3223535	0.0411253	0.3222500	0.3533609	0.2466079	0.2938904	0.0581553	0.4760091	0.7091208	0.5881785	0.6586497	0.7760313	0.5525008	0.3919210	0.3504358
0.6818720	0.2554335	0.0276083	0.2524365	0.0255941	0.7661626	0.7287678	0.2299433	0.0868333	0.7691069	0.8049074	0.8892581	0.3667277	0.1686001	0.0073400	0.3923926	0.1153522	0.6429532	0.2251223	0.4159182	0.6335844	0.3495483	0.8446024	0.6349988	0.8026520	0.2661673	0.0228327	0.4700330	0.0551869	0.1147220	0.3149353	0.5998908	0.5856329	0.6414738	0.1325777	0.2843590	0.0535832	0.3577026	0.2098052	0.2390318	0.3530501	0.5167052	0.2505001	0.6971476	0.5082734	0.6310596	0.6349884	0.4196828	0.3210276	0.2576661
0.5945336	0.1885029	0.0244297	0.2774541	0.0557048	0.7486933	0.7712147	0.1427445	0.0382903	0.6244052	0.7132401	0.6383843	0.6368843	0.1571429	0.0146185	0.5491603	0.1229916	0.6979932	0.2108153	0.5107898	0.6920009	0.3137822	0.7241327	0.7379283	0.7458588	0.3216980	0.0151813	0.4200809	0.0209209	0.0454632	0.2976874	0.5196368	0.5237581	0.8055264	0.0836208	0.4138839	0.0707709	0.4541683	0.2535024	0.2861732	0.5736102	0.0978185	0.3015177	0.6433719	0.5923301	0.5894745	0.7124953	0.4923185	0.4168511	0.2374894
0.6617500	0.2386550	0.0445603	0.2305786	0.0457378	0.7171518	0.6976692	0.1836608	0.0640130	0.8774593	0.8175854	0.7997130	0.8307885	0.1728929	0.0078573	0.5412669	0.1438937	0.5870367	0.1841413	0.6474954	0.8273310	0.4115050	0.5992610	0.7609759	0.7157886	0.2742712	0.0185334	0.4242961	0.0221876	0.1142704	0.2383556	0.5363197	0.4747323	0.6469529	0.1449349	0.2709751	0.0484771	0.3851890	0.2871504	0.2394080	0.4150581	0.0827592	0.3046280	0.7145620	0.6393321	0.7585960	0.7364200	0.3882881	0.3589113	0.2498598
0.7468172	0.2556787	0.0260649	0.2937710	0.0448275	0.9600015	0.6487667	0.1731760	0.0599696	0.6799006	0.8137738	0.7902189	0.6994601	0.1240519	0.0408808	0.2475185	0.1568995	0.7403218	0.3069231	0.3934432	0.6874241	0.5011047	0.7005990	0.6008529	0.7433419	0.2646532	0.0073819	0.4796777	0.0391983	0.1049242	0.2950502	0.6165305	0.5724877	0.6772133	0.1054070	0.3536290	0.0416234	0.3874703	0.3729685	0.3627684	0.5147086	0.0820588	0.4363809	0.6907343	0.4377645	0.5790133	0.6761437	0.5035362	0.4878260	0.2008416
0.7733078	0.1829325	0.0180588	0.2129858	0.0453033	0.6553443	0.6305673	0.1588301	0.0404212	0.6623674	0.6436575	0.7534477	0.6761568	0.1810411	0.0152495	0.5778939	0.0790951	0.7244297	0.2659955	0.5368645	0.7428991	0.3335490	0.6956010	0.7983589	0.8078069	0.3642664	0.0223966	0.2993379	0.0422360	0.1088537	0.3452003	0.5358866	0.4855012	0.7138895	0.0535770	0.3299340	0.0456695	0.4836087	0.2763202	0.2075940	0.4003804	0.0747148	0.3925225	0.6508591	0.5556314	0.7634038	0.7377661	0.5366097	0.3835512	0.2293081
0.6861798	0.2172655	0.0277450	0.2830041	0.0529698	0.6781819	0.6687802	0.1293151	0.0596151	0.7669794	0.8339738	0.8053966	0.8051835	0.1330270	0.0204605	0.6027897	0.2487902	0.3932881	0.2153025	0.5702018	0.7675290	0.4027803	0.6961572	0.6578938	0.6710398	0.2854101	0.0221465	0.5273576	0.0227405	0.0671785	0.2522458	0.6369981	0.4985310	0.7144935	0.0718681	0.3311495	0.0583679	0.4213000	0.2600067	0.2341336	0.3999710	0.0846393	0.3155491	0.6378358	0.5989348	0.8640409	0.7109584	0.4042030	0.4399866	0.1898583
0.6655683	0.2180523	0.0908934	0.2469256	0.0711765	0.7591957	0.7815339	0.1976132	0.0764949	0.7807569	0.7789761	0.6752919	0.6905976	0.1761295	0.0170826	0.5740452	0.1770653	0.8320207	0.0998837	0.5080440	0.6583695	0.3861265	0.7337469	0.6169211	0.6905421	0.4002754	0.0103779	0.2269323	0.0446638	0.1612050	0.3210467	0.6895623	0.5025250	0.8328732	0.0792676	0.3368032	0.0833969	0.4185226	0.3017314	0.2503583	0.4551256	0.0856255	0.3954606	0.6774948	0.5328096	0.6555637	0.6370422	0.5349075	0.3534246	0.2249765
0.6683147	0.1269509	0.0508393	0.2616111	0.0252323	0.6314209	0.8326158	0.1258407	0.0516608	0.7503819	0.6942460	0.8018423	0.6802960	0.1498356	0.0160191	0.5073047	0.1005370	0.7430703	0.2125142	0.2643772	0.5468640	0.4962240	0.7296557	0.7265784	0.7114182	0.2087661	0.0327779	0.6117056	0.0218437	0.0841726	0.1972195	0.5273228	0.4702139	0.7455363	0.0856707	0.5017817	0.0642281	0.4050552	0.3363562	0.3191839	0.4807555	0.1607240	0.2608717	0.7289765	0.6138045	0.5623162	0.7886993	0.4853732	0.3314411	0.2381167
