YBR182C	YOR140W	YGR044C	YGL254W	YCR018C	YLR131C	YPL038W	YCL067C	YIR017C	YJL056C	YNL103W	YLR013W	YOL067C	YCL066W	YKL185W	YIL101C	YMR019W	YJL110C	YPL177C	YJR147W	YMR021C	YGR249W	YDR421W	YKL043W	YOL089C	YMR017W	YPL176C	YDR371W	YDL071C	YDR370C	YPR107C	YNL336W	YBL074C	YNL327W	YDR525WA	YDR381CA	YDR351W	YLL033W	YGR271W	YDR380W	YOR276W	YNR049C	YDL060W	YDR416W	YGL097W	YLR394W	YLR389C	YEL070W	YER087CA	YHR193C
1.0627165	0.2545534	0.0117645	0.2987687	0.2697526	1.0806981	1.0595564	0.2267789	0.0809114	0.9037499	0.5641177	0.8798498	1.0650217	0.2885431	0.0003254	0.8863964	0.2509346	0.8681666	0.2683953	0.7427342	0.9703338	0.6086657	1.0350942	1.0500067	1.0928931	0.7079583	0.0095617	0.3926048	0.0003686	0.1685531	0.3671932	0.7297285	0.5947353	0.9246878	0.0752325	0.5023261	0.0853653	0.5473761	0.3521619	0.2552110	0.6238199	0.2124014	0.7609644	1.0382440	0.9919300	0.9910192	1.0354407	0.6196980	0.6846604	0.3164324
0.9539456	0.3034896	0.0626399	0.7038651	0.1047285	0.9896049	0.5438346	0.2579947	0.1353144	0.9892048	0.9712732	1.0017221	1.0275933	0.5658190	0.0179632	0.7233589	0.1609600	1.0335171	0.4676144	0.7210261	0.9603894	0.2367037	1.0963194	0.9642885	1.1414437	0.2955389	0.0289734	0.0272129	0.0024451	0.4373518	0.6811993	0.6520829	0.7342423	0.9033773	0.1350919	0.3071420	0.0829637	0.7430685	0.7571962	0.3382849	0.5929022	0.1138965	0.4532175	0.9520240	0.9035167	0.9827285	0.8470635	0.6174009	0.4923527	0.8355076
0.9631549	0.2653933	0.7951661	0.3107528	0.7514156	0.6532791	1.0126410	0.0739970	0.0139443	1.0140064	0.9963354	0.9886472	1.0543033	0.2463243	0.0410574	0.5439717	0.2848151	0.8669654	0.2917855	0.9570164	0.8776622	0.5042813	1.0174861	1.0771318	0.9939763	0.4320166	0.0224666	0.5648653	0.4784785	0.0882815	0.3288052	0.8561769	0.3099316	0.9372500	0.0736035	0.5300428	0.1042465	0.4904567	0.4898212	0.3505082	0.6801148	0.1022565	0.4800019	1.0146714	1.0041131	0.8211355	1.0147406	0.7131405	0.4468662	0.1524319
1.0103099	0.4214516	0.5738928	0.5882657	0.4974103	0.5789432	0.6367395	0.0059999	0.1183114	0.9613431	1.0072530	0.8405558	1.1411086	0.2681185	0.5523721	0.6480312	0.4652629	1.0759796	0.4720912	0.8947083	0.9199081	0.5237245	1.0737508	1.0192287	1.0257194	0.4485902	0.0264019	0.6705678	0.9322028	0.0655588	0.2014543	0.8575874	0.7367833	0.9194520	0.0865667	0.4657487	0.0204588	0.6952406	0.4672200	0.2887525	0.6635180	0.0494965	0.5269780	0.9735815	0.6753695	1.0011256	0.9722806	0.7209313	0.5638851	0.4048012
1.0333081	0.9427680	0.0317337	0.0318213	0.0077142	1.0314197	0.8910246	0.2159371	0.0147005	0.9717414	1.0297422	0.9619666	1.0625710	0.4495210	0.0142757	0.9194119	0.1486513	0.2233632	0.1681516	0.7576480	0.9355299	0.5900165	0.9357408	1.0996606	1.0471548	0.4175921	0.0409906	0.7816810	0.2423768	0.1036710	0.3354079	0.5327578	0.6266245	0.9208455	0.1413665	0.3852430	0.0598599	0.5243842	0.3673175	0.3920413	0.6491466	0.0845919	0.4046138	0.5377895	0.7945078	1.0455572	0.8943534	0.5222760	0.5734695	0.5103996
0.9521543	0.3155189	0.4523798	0.1253065	0.3213426	0.5250794	1.1079648	0.2545073	0.0090709	1.0604316	0.9966761	0.9834091	0.9338349	0.1841418	0.0031527	0.5923832	0.1834194	0.7476006	0.2871398	0.6379551	0.7794929	0.6052321	0.9711101	1.0810762	0.9731463	0.5262391	0.0253027	0.5535559	0.0003010	0.1266440	0.4280105	0.7971605	0.8379602	0.9028990	0.1081195	0.5126044	0.0234005	0.4945475	0.6486735	0.3745263	0.5333172	0.1942776	0.4255162	0.8576423	0.8754907	0.9423282	0.9496430	0.6234521	0.2496464	0.4879678
0.8350550	0.4035477	0.1061138	0.5156561	0.0447937	0.7307263	0.9312107	0.2133591	0.0400201	1.0275407	0.6931363	1.0407092	0.5064945	0.2113517	0.0051286	0.6576452	0.1487856	1.0112073	0.6095868	0.8687537	1.0782910	0.1245978	0.9982950	1.0072352	1.0030875	0.3492818	0.0300832	0.2922744	0.0003153	0.8311742	0.7140182	0.8089946	0.9912812	1.0465605	0.1071099	0.3470548	0.0253605	0.5734559	0.3419478	0.3501099	0.7681855	0.5724412	0.6121804	0.9744939	0.8260136	0.9553679	1.0729962	0.7838488	0.4034784	0.5321083
0.9826961	0.3951417	0.7563129	0.3200328	0.4849775	0.6858914	0.7867555	0.0040303	0.3712456	1.0589272	0.4322695	0.8039113	0.5734750	0.5118858	0.3570129	0.7661337	0.1304103	0.8922130	0.2754496	0.9180828	0.9903396	0.5989159	0.9638637	1.0174634	0.9145698	0.3956013	0.0106405	0.6670617	1.0206398	0.0945151	0.3787822	0.7869000	0.4685210	0.9480750	0.1577174	0.2662946	0.0691544	0.7572689	0.3774494	0.1551467	0.5356828	0.8026330	0.4183414	1.0699038	1.0052988	0.9255928	0.9386171	0.5780504	0.2785585	0.3599730
1.0267076	0.3128947	0.0421626	0.6644181	0.2013472	0.9194406	0.9865485	0.1888419	0.0134005	0.9420050	0.9589074	0.9792051	0.9683815	0.0902690	0.1273414	0.6892542	0.6463492	1.0374177	0.2356388	0.6562583	1.0758330	0.5927966	1.0528957	1.0630560	1.0158284	0.2526278	0.0134830	0.5193709	0.1928440	0.0613224	0.3589616	0.8648662	0.9935863	0.9762182	0.1587049	0.3342576	0.0114743	0.4010497	0.3918754	0.3588953	0.6973626	0.1681420	0.6006604	0.9919519	0.9187541	0.9829835	0.9580535	0.6551184	0.5168793	0.6274891
0.9465315	0.4147733	0.1429967	0.0165779	0.1320925	0.8155240	1.0202352	0.2196818	0.0935981	0.9853520	0.9214846	1.0846358	0.9926396	0.5994895	0.0520319	0.4649556	0.2018582	0.9526335	0.2470855	0.7030251	0.9665372	0.3839544	0.7214233	1.0375541	0.9607615	0.4000081	0.0268626	0.3531992	0.2483474	0.0911985	0.5335148	0.7869192	0.6795280	1.0432719	0.1290022	0.6893636	0.0141605	0.4317047	0.5842128	0.4804021	0.6853707	0.1137510	0.6117504	0.8504107	1.0414072	0.9671885	1.0300175	0.5996939	0.7661441	0.1231012
