YBR182C	YOR140W	YGR044C	YGL254W	YCR018C	YLR131C	YPL038W	YCL067C	YIR017C	YJL056C	YNL103W	YLR013W	YOL067C	YCL066W	YKL185W	YIL101C	YMR019W	YJL110C	YPL177C	YJR147W	YMR021C	YGR249W	YDR421W	YKL043W	YOL089C	YMR017W	YPL176C	YDR371W	YDL071C	YDR370C	YPR107C	YNL336W	YBL074C	YNL327W	YDR525WA	YDR381CA	YDR351W	YLL033W	YGR271W	YDR380W	YOR276W	YNR049C	YDL060W	YDR416W	YGL097W	YLR394W	YLR389C	YEL070W	YER087CA	YHR193C
0.7364576	0.1317406	0.0218296	0.2440243	0.0723070	0.7293359	0.7192966	0.1514471	0.6550597	0.6944290	0.0000000	0.7059087	0.5270347	0.1686926	0.0238106	0.4636439	0.1587865	0.6705732	0.2220584	0.4819171	0.7246745	0.3372022	0.7179283	0.9268031	0.8426893	0.3041281	0.0161694	0.3440820	0.0387789	0.0737165	0.3047668	0.5875405	0.4657029	0.7953791	0.1048084	0.3254504	0.0302042	0.6840178	0.2846619	0.2808928	0.5074725	0.7436455	0.4291332	0.6283511	0.5385312	0.6719799	0.6632335	0.5034577	0.3948350	0.2247985
0.7902789	0.2568622	0.0152086	0.2678745	0.0481680	0.6371805	0.7500439	0.6581646	0.0446220	0.8102105	0.7597083	0.0022761	0.8184910	0.4520819	0.0409058	0.6057625	0.1546945	0.7510165	0.1788058	0.6523394	0.6932809	0.3462597	0.7709228	0.7272928	0.6795896	0.3803512	0.0419084	0.3236107	0.0785994	0.1300943	0.3214603	0.6499825	0.5803445	0.7227387	0.0824166	0.4063726	0.0458136	0.4131431	0.4169901	0.2256814	0.4754177	0.0893993	0.3911455	0.7715836	0.6194971	0.5944756	0.6670041	0.5138007	0.3624279	0.2639058
0.7756093	0.2754062	0.0402515	0.0084174	0.0621995	0.7625379	0.6553413	0.1585178	0.0447137	0.7467860	0.6314297	0.5886265	0.0000000	0.1957691	0.0307110	0.3985866	0.0550680	0.7501095	0.2427330	0.4702280	0.7087720	0.3024898	0.6712358	0.7534351	0.7599224	0.3226934	0.0091627	0.2820724	0.0265941	0.1577990	0.3413508	0.6623407	0.5718611	0.6014128	0.1119620	0.3568346	0.0675487	0.4056400	0.0994355	0.2287929	0.4936247	0.6950651	0.3523158	0.6539239	0.5285157	0.6633822	0.7190805	0.4439055	0.3680996	0.2599675
0.7506716	0.2427941	0.0601638	0.1887061	0.0674355	0.7968431	0.6397800	0.1678366	0.0546243	0.6987566	0.7026880	0.7523847	0.6924403	0.0000000	0.0224457	0.5168184	0.1294479	0.7997402	0.2534420	0.4482701	0.5951882	0.3667593	0.7801564	0.6944638	0.6785225	0.3355461	0.0040033	0.3454145	0.0721609	0.1277030	0.3940399	0.6085379	0.5338170	0.6571489	0.1153751	0.2795718	0.0682433	0.3369896	0.3297686	0.2141582	0.4546681	0.0794324	0.4031691	0.6914920	0.5479875	0.7035760	0.8010373	0.4968558	0.3384417	0.2380176
0.5836747	0.1878909	0.0892080	0.2680381	0.0409824	0.6770943	0.8141999	0.1959388	0.0952222	0.6695741	0.6888341	0.7215785	0.7152479	0.1475139	0.0000000	0.5479501	0.1111641	0.6512767	0.1974427	0.5914214	0.7414721	0.3931570	0.5858890	0.6706339	0.6697265	0.4033823	0.0188072	0.3082993	0.0166351	0.1266657	0.3826388	0.6239934	0.5431486	0.6595845	0.0926100	0.2755887	0.0633070	0.3503914	0.2588821	0.2291460	0.3231136	0.1268882	0.4010644	0.6193326	0.5849973	0.6472995	0.8087042	0.3896060	0.3246797	0.2160552
0.0386159	0.0024972	0.0404774	0.2739156	0.0622417	0.7362653	0.6455396	0.1538995	0.1087557	0.6918775	0.6911713	0.7124223	0.6502179	0.2224408	0.4956498	0.0000000	0.2105595	0.6965259	0.1596183	0.5274149	0.6950026	0.3041977	0.7035125	0.7846836	0.7213582	0.2844539	0.7259455	0.2536171	0.6987928	0.1212877	0.3829236	0.1087268	0.5604018	0.6191237	0.0945339	0.2945622	0.7180548	0.3809008	0.3576733	0.1418218	0.4688122	0.0806737	0.0276319	0.6135646	0.6033918	0.3158499	0.0339974	0.4958167	0.2747238	0.0492710
0.7232562	0.1567836	0.0163626	0.3012252	0.0521009	0.8026946	0.7698944	0.1333741	0.0693070	0.7157603	0.6055270	0.5909361	0.7761755	0.2171593	0.0202250	0.4993215	0.0000000	0.6608749	0.1787635	0.5078043	0.7023801	0.3192390	0.7150274	0.7118400	0.6033647	0.2560264	0.0333875	0.4848505	0.0226723	0.1187366	0.3091364	0.5412817	0.5368681	0.7062766	0.1008322	0.4287344	0.0344958	0.4720915	0.3430234	0.1830561	0.3848020	0.0657858	0.3911654	0.7455816	0.5716547	0.7064663	0.7303030	0.4705571	0.4390341	0.1906557
0.7124740	0.1889636	0.0362119	0.2383266	0.0392430	0.7227326	0.6744568	0.1663149	0.0442805	0.6889931	0.7744389	0.7571474	0.6729732	0.1661506	0.0073601	0.4181360	0.1335231	0.0000000	0.2430088	0.5528155	0.7845625	0.4277015	0.7427746	0.7605620	0.8128688	0.4126523	0.0185509	0.5089452	0.0405551	0.1505148	0.3239101	0.5324079	0.5113423	0.5882713	0.0980700	0.4033703	0.0542239	0.3520508	0.3322125	0.2093412	0.3334117	0.0612044	0.3457498	0.0237605	0.5514609	0.7565086	0.7271626	0.4316513	0.3605680	0.2213041
0.7438832	0.2314115	0.0276455	0.3066652	0.0326127	0.6641510	0.6430127	0.1985552	0.0238515	0.5584814	0.8291734	0.7850345	0.6839381	0.1375230	0.0233731	0.6249041	0.1846288	0.6604778	0.0000000	0.6200907	0.6450474	0.2558652	0.5962643	0.5529894	0.7305136	0.3546960	0.0112868	0.4217238	0.0341490	0.0625692	0.3245464	0.5989073	0.4751613	0.7035459	0.1099825	0.3091088	0.0524363	0.4261306	0.3173978	0.2677614	0.4625787	0.0697094	0.3262244	0.6419642	0.6292882	0.6708271	0.6319145	0.0348168	0.3635850	0.2597100
0.6604364	0.1413206	0.0451222	0.2158726	0.0227134	0.6339864	0.8062243	0.1829962	0.0543786	0.6822594	0.6943482	0.6705429	0.7862372	0.1829920	0.0472013	0.5206560	0.0424883	0.7459768	0.2118455	0.0000000	0.7869042	0.4945765	0.7145622	0.7786504	0.8482825	0.0777228	0.0211566	0.6417822	0.0139754	0.0376191	0.2652008	0.7536860	0.5896849	0.7036208	0.1249520	0.3464507	0.1125672	0.4622463	0.2933285	0.2055676	0.3826371	0.0968166	0.3645364	0.7942929	0.6026950	0.5530925	0.7629033	0.5183817	0.3886765	0.2394231
