YNL216W	YCL067C	YLR013W	YJL089W	YMR280C	YGL035C	YCR040W	YHR006W	YLR098C	YCR097W	YPL248C	YPR199C	YOR032C	YJL056C	YOR140W	YJL110C	YFL021W	YOL089C	YDR421W	YML099C	YKR099W	YGL209W	YLR131C	YKL109W	YKL185W	YDR024W	YHR015W	YEL074W	YDR078C	YPR020W	YKR097W	YJL077WB	YHR195W	YDL184C	YLL065W	YDR100W	YNL054WB	YBR093C	YOR120W	YBL001C	YNL142W	YFL059W	YNL296W	YGR296W	YNL038W	YMR283C	YCR083W	YBR266C	YDL149W	YKR040C
1.0000000	0.2494939	1.0000000	0.3082197	0.3999846	0.7733675	0.5976960	0.0320378	1.0000000	0.9605375	0.8749932	1.0000000	0.8316209	0.6399058	0.1266505	0.9102685	0.9867131	0.6753316	1.0000000	0.7696786	0.5372594	0.8840814	1.0000000	0.9300778	0.4113176	0.9281305	0.8096506	0.2650472	0.0510949	0.0968591	0.7983013	0.6989480	0.2257158	0.8543734	0.6932837	0.9119881	0.7621960	0.1782513	0.8880046	0.7345121	0.9355664	0.8695783	0.9515384	0.2766701	0.4077081	0.9936101	0.7363772	0.5297207	0.1459892	0.6450700
1.0000000	0.3057293	0.6889320	0.2282210	0.6594908	0.6753732	0.3256806	0.0740081	1.0000000	0.9948462	0.7338209	0.9325818	1.0000000	0.7631482	0.1504496	0.9087896	0.9803886	1.0000000	0.8556677	0.7679244	0.3620887	0.7497216	1.0000000	0.7616351	0.3908498	0.9281281	0.6670370	0.5516925	0.1466140	0.0745350	0.6594849	0.8369832	0.2493350	0.8339689	0.3992935	0.9830631	0.6499239	0.2744022	0.8245369	0.8625926	0.9354829	0.5754802	0.9515384	0.5018027	0.5277648	0.9688263	0.3105731	0.4393472	0.0283454	0.6496580
1.0000000	0.3092524	0.8591235	0.1673787	0.4940575	0.5732905	0.4769929	0.0138396	1.0000000	0.9771245	0.8324369	1.0000000	1.0000000	1.0000000	0.1327929	0.9142426	0.9929111	1.0000000	0.8955337	0.8408217	0.5183717	0.7425072	1.0000000	0.5795437	0.4545942	0.9998576	0.6829320	0.5790544	0.0700394	0.1592522	0.6677738	0.6989480	0.0786866	0.9348853	0.3630374	0.9119881	0.4590388	0.2246953	0.9509183	0.7626682	0.9999641	0.9281988	1.0000000	0.3033383	0.4454279	0.9937802	0.6222643	0.4760743	0.2095306	0.6306246
0.8597139	0.3046819	0.7902218	0.2640804	0.5246614	0.8706152	0.7048340	0.0953785	1.0000000	0.9760994	0.8031992	0.7040389	0.7695977	0.7965588	0.1405717	0.9083623	0.9785817	0.9541736	1.0000000	0.7981211	0.5540879	1.0000000	0.9615647	0.8399668	0.2831400	0.9996787	0.8897244	0.3969055	0.1280209	0.0752534	0.6109623	0.7207173	0.1446633	0.9705698	0.7943892	0.9022015	0.7088685	0.2353811	0.9174947	0.7878001	0.9347878	0.9284251	1.0000000	0.2352941	0.6842812	0.9974426	0.7641929	0.5329939	0.1560253	0.6747653
0.9957825	0.2657202	1.0000000	0.0111973	0.4971835	0.8706152	0.4821784	0.0185229	0.8637318	0.9708826	0.8031992	0.9762538	0.9053115	1.0000000	0.1728933	0.9269703	0.9874622	0.5996051	1.0000000	0.8461784	0.1084893	1.0000000	0.7093836	0.8683126	0.5445728	0.9281245	0.7191616	0.2644310	0.1043817	0.0427223	0.8102088	0.7595167	0.4195990	0.8542632	0.7888515	0.9531645	0.7485765	0.2656726	0.9162293	0.7807807	0.9993126	0.0179556	1.0000000	0.1801499	0.3926250	0.9972024	0.4659584	0.5290345	0.1647850	0.6952335
0.9972665	0.0315318	1.0000000	0.1539196	0.6083368	0.8756783	0.0892792	0.0657574	0.7611111	0.9944316	0.9050401	1.0000000	1.0000000	0.4737364	0.1227540	0.9236476	0.9630361	0.9323644	1.0000000	0.8193446	0.4472980	0.8662997	1.0000000	0.9241095	0.3097699	0.9998272	0.7710479	0.3489773	0.1407586	0.0977290	0.4822220	0.7289549	0.4296124	0.8543022	0.4212975	0.9118465	0.7590574	0.2708101	0.8963783	0.7675475	0.9952540	0.7856371	0.9815693	0.4322553	0.4577854	0.9921050	0.0011115	0.5393431	0.1147490	0.5317132
1.0000000	0.1986111	1.0000000	0.2230772	0.6075275	0.6049273	0.8613456	0.0222476	0.7250449	0.9742592	0.7884646	1.0000000	0.9913990	1.0000000	0.1454812	0.9088979	0.9808472	0.8905856	0.7587592	0.8982898	0.5647112	0.7677159	0.9340732	0.7062465	0.1261448	0.9281281	0.6226818	0.2650472	0.0519591	0.1494431	0.4824886	0.7248557	0.1097652	0.9974247	0.4635057	0.9925420	0.6000247	0.2646325	0.8549066	0.9516438	0.9534607	0.8626472	1.0000000	0.1346386	0.6147029	0.9705424	0.8586224	0.4325496	0.1144326	0.6872173
0.6411575	0.3380356	1.0000000	0.2669992	0.5067821	0.9161817	0.7290455	0.0469089	1.0000000	0.9952437	0.8037343	0.7283929	1.0000000	1.0000000	0.0723096	0.9393384	0.8683429	1.0000000	0.6094596	0.8771354	0.5862598	1.0000000	1.0000000	0.9557506	0.3358515	0.9990829	0.5348182	0.5113419	0.1537829	0.0395811	0.5830368	0.6989480	0.3735877	0.6958589	0.4252211	0.8658408	0.7749357	0.4830124	0.9212585	0.9829653	0.9951176	0.7535457	1.0000000	0.4260586	0.4950786	0.9969258	0.8297372	0.5800595	0.1616765	0.6461234
0.7559049	0.2633913	0.7816136	0.0263129	0.6626097	0.7216818	0.8505019	0.0890129	1.0000000	0.9771245	0.7485034	0.7859780	0.8195575	1.0000000	0.1760625	0.9367857	0.9170150	1.0000000	1.0000000	0.7767996	0.6071193	0.7953859	0.6095709	0.8985278	0.5843010	0.9994130	0.9323986	0.4780048	0.1575722	0.0508936	0.8321019	0.6801004	0.2250820	0.9884239	0.6711074	0.8897791	0.7450979	0.2703526	0.8874975	0.7735146	0.9329277	0.9412777	0.9907788	0.4567170	0.4749706	0.9899593	0.9603235	0.5586917	0.1349464	0.4635285
1.0000000	0.2655092	1.0000000	0.2348253	0.3879578	0.7964825	0.3049616	0.0994513	0.9909436	0.9934235	0.7796243	1.0000000	0.7423833	0.9800222	0.0694894	0.9046298	0.9633173	0.9597215	1.0000000	0.7630783	0.3530471	0.9055743	1.0000000	0.9359038	0.3657927	0.9281290	0.7738903	0.2650472	0.0518940	0.0960405	0.6846940	0.6989480	0.1032201	0.9925489	0.7768937	0.9924161	0.8674871	0.2749103	0.9223563	0.4930706	0.9968498	0.6127460	1.0000000	0.4339511	0.5351904	0.9953190	0.3680101	0.4666924	0.1813536	0.6537802
