YNL216W	YCL067C	YLR013W	YJL089W	YMR280C	YGL035C	YCR040W	YHR006W	YLR098C	YCR097W	YPL248C	YPR199C	YOR032C	YJL056C	YOR140W	YJL110C	YFL021W	YOL089C	YDR421W	YML099C	YKR099W	YGL209W	YLR131C	YKL109W	YKL185W	YDR024W	YHR015W	YEL074W	YDR078C	YPR020W	YKR097W	YJL077WB	YHR195W	YDL184C	YLL065W	YDR100W	YNL054WB	YBR093C	YOR120W	YBL001C	YNL142W	YFL059W	YNL296W	YGR296W	YNL038W	YMR283C	YCR083W	YBR266C	YDL149W	YKR040C
0.7266603	0.1896873	0.6807519	0.2176189	0.2787578	0.6201046	0.2974478	0.0419962	0.7706441	0.7297608	0.3197998	0.7454777	0.8047896	0.8285790	0.2196484	0.7809658	0.6924496	0.5735902	0.7469339	0.6406590	0.4656241	0.7151531	0.6864599	0.6001833	0.3177300	0.7283776	0.6379634	0.2068601	0.1091141	0.0441443	0.6048629	0.4809660	0.1556379	0.6544391	0.3518430	0.8491919	0.6761935	0.1750807	0.2792910	0.5318289	0.6741619	0.7419649	0.7233962	0.2696820	0.3709292	0.7571227	0.3328958	0.4739310	0.2513395	0.4327808
0.7880251	0.1843758	0.6854415	0.1494617	0.4145714	0.6339555	0.3589197	0.1031895	0.7296646	0.7474002	0.5960379	0.3852309	0.5615337	0.7084027	0.0734305	0.8310914	0.6902330	0.6630064	0.7082510	0.6564862	0.4398788	0.6399929	0.7394094	0.7482210	0.3198589	0.7953704	0.4632399	0.3353879	0.1262063	0.0924669	0.6487680	0.5379386	0.3107859	0.8483416	0.3670936	0.5951372	0.5664385	0.2325249	0.5875887	0.4658674	0.6666679	0.6615469	0.7220381	0.3176776	0.3087971	0.6939556	0.5414900	0.3831759	0.1740311	0.4278138
0.8794199	0.2468821	0.7181107	0.2018859	0.4776138	0.8693589	0.4278425	0.1523722	0.7142621	0.7178523	0.5665833	0.7591816	0.3507580	0.6686857	0.1604017	0.7978453	0.7239245	0.6989105	0.8620328	0.6621512	0.4318958	0.8144764	0.6694599	0.8113282	0.3655084	0.6860057	0.5911614	0.2634011	0.0960477	0.0561400	0.4719016	0.4995110	0.1637298	0.8111638	0.3380645	0.7835667	0.6043717	0.1576651	0.6676856	0.6646512	0.7388917	0.8108132	0.7159479	0.3280273	0.3243442	0.7169639	0.5003760	0.3358031	0.1004523	0.5128165
0.6801472	0.1602798	0.6440399	0.2304055	0.4920008	0.6493654	0.3246700	0.0691247	0.8358576	0.7293972	0.5451029	0.6746668	0.8023361	0.3198453	0.1487884	0.7501047	0.7642819	0.6999694	0.7541804	0.6304807	0.3873814	0.8169622	0.8592170	0.6219068	0.3524357	0.6253348	0.4321132	0.2375417	0.0703495	0.0429960	0.5595439	0.4630455	0.1615636	0.5921680	0.2992724	0.6705475	0.6476566	0.1779664	0.4714127	0.4310816	0.7087380	0.5547056	0.7506479	0.2579693	0.3531874	0.7636563	0.3569057	0.3836576	0.1524261	0.4387954
0.7468798	0.1066773	0.7000848	0.2233077	0.4081313	0.6520009	0.2875931	0.0945182	0.7089761	0.8464934	0.4962601	0.8519660	0.7917085	0.6993394	0.0343466	0.4918848	0.6876217	0.7814098	0.6023835	0.4779816	0.4459664	0.6237827	0.7123665	0.6209757	0.3434222	0.7357512	0.5817685	0.1952565	0.1564259	0.0581656	0.5671827	0.5270507	0.1413482	0.6776916	0.3696803	0.6222536	0.5658091	0.2861196	0.5991771	0.5903195	0.8238304	0.5175846	0.6911490	0.2897294	0.3604065	0.6389477	0.3107147	0.4929784	0.0906675	0.4662431
0.7287470	0.1890398	0.6058678	0.1548312	0.4220710	0.5711418	0.2305350	0.0343650	0.7103599	0.6881195	0.6241113	0.7641114	0.5994475	0.6674144	0.1058578	0.3429058	0.7908480	0.6571990	0.7347424	0.4748205	0.4126191	0.7425053	0.5880693	0.6296941	0.3431298	0.6442349	0.6605993	0.2532725	0.1080518	0.0981204	0.5291270	0.4938840	0.1366910	0.7736272	0.3235791	0.7694145	0.6827545	0.1902086	0.6455119	0.5665360	0.6300788	0.6744849	0.6597637	0.3682209	0.3060255	0.7812835	0.2879659	0.4133287	0.1429986	0.4883869
0.8147534	0.2700203	0.8482487	0.1840742	0.2923487	0.5949649	0.3536841	0.0853326	0.7777168	0.7000971	0.7079540	0.6341968	0.7676297	0.6464224	0.0932301	0.4124733	0.2958263	0.7128981	0.7778320	0.4716652	0.5816447	0.8529361	0.7056126	0.6343265	0.3576772	0.8453011	0.5446059	0.1946323	0.2187781	0.0701809	0.6535499	0.6169695	0.1459129	0.6303235	0.4115455	0.6797123	0.6728364	0.1961501	0.6631896	0.5704263	0.7182781	0.7174889	0.8613982	0.3705985	0.5805116	0.7006129	0.3837719	0.4600634	0.1623469	0.4674057
0.7345900	0.1477051	0.8070953	0.2452521	0.3030325	0.7194725	0.3081617	0.0461610	0.7333172	0.7090002	0.6572338	0.6485724	0.5983467	0.6499340	0.0773117	0.7118420	0.6870383	0.4045395	0.6854163	0.6655133	0.4458188	0.8547178	0.7527418	0.6614754	0.2885276	0.8724119	0.4927503	0.2379964	0.0974101	0.1136870	0.5492348	0.4718572	0.1694590	0.6406185	0.4316815	0.6172056	0.5721884	0.1537691	0.7245423	0.5805286	0.6733888	0.4591493	0.9072386	0.3375748	0.3393556	0.6726861	0.3784227	0.3899483	0.1983433	0.4464469
0.6930456	0.2510753	0.7044783	0.1779965	0.3483450	0.7221605	0.3790904	0.0523100	0.6874866	0.8533765	0.6102485	0.6889127	0.8747379	0.5966306	0.1250055	0.7386501	0.6128527	0.6416899	0.3510186	0.5586496	0.3974083	0.6042645	0.7359201	0.6933443	0.3447241	0.7433541	0.4717981	0.2944524	0.1330749	0.0515982	0.5502598	0.4862640	0.2370191	0.7738027	0.3913660	0.7321627	0.6882249	0.2494272	0.6979923	0.8081370	0.6156106	0.5501653	0.6668121	0.3266626	0.3750108	0.8706460	0.4742947	0.4347916	0.1530191	0.4513241
0.6912361	0.2268089	0.7083529	0.2599800	0.4438132	0.5660066	0.3101809	0.0481091	0.6394402	0.5427118	0.5445635	0.5766798	0.5968169	0.6112087	0.1192182	0.5390533	0.6642380	0.9008005	0.6587487	0.2234257	0.3083373	0.8012773	0.6014760	0.5470999	0.4278529	0.6795102	0.6605945	0.1837888	0.0601717	0.0584474	0.5680537	0.5656520	0.1283106	0.5662437	0.3951226	0.7374743	0.5850397	0.3103801	0.6414901	0.5147327	0.8005133	0.6919823	0.6295498	0.4275846	0.3646065	0.7629588	0.2580079	0.4314841	0.1739042	0.4218393
