YNL216W	YCL067C	YLR013W	YJL089W	YMR280C	YGL035C	YCR040W	YHR006W	YLR098C	YCR097W	YPL248C	YPR199C	YOR032C	YJL056C	YOR140W	YJL110C	YFL021W	YOL089C	YDR421W	YML099C	YKR099W	YGL209W	YLR131C	YKL109W	YKL185W	YDR024W	YHR015W	YEL074W	YDR078C	YPR020W	YKR097W	YJL077WB	YHR195W	YDL184C	YLL065W	YDR100W	YNL054WB	YBR093C	YOR120W	YBL001C	YNL142W	YFL059W	YNL296W	YGR296W	YNL038W	YMR283C	YCR083W	YBR266C	YDL149W	YKR040C
0.7016999	0.2011741	0.7139827	0.2283451	0.3295568	0.7499019	0.2889294	0.0408771	0.6393105	0.7139948	0.3165212	0.7727806	0.7092771	0.7372967	0.2892397	0.6928226	0.7114174	0.6820875	0.7700713	0.6270265	0.5951989	0.6940665	0.6865197	0.6499796	0.3263661	0.8009492	0.5544900	0.2363754	0.0568074	0.0476618	0.4652030	0.4513736	0.2015856	0.6976789	0.3660460	0.5809352	0.5342699	0.1653805	0.2881537	0.4897018	0.7723749	0.7148406	0.7405522	0.2728229	0.4091641	0.7555654	0.3039416	0.2905989	0.2658968	0.4758099
0.7863695	0.2312115	0.6461038	0.2197075	0.4421331	0.6620017	0.4589333	0.0510785	0.7623082	0.6862870	0.4838439	0.3894007	0.5889302	0.6324617	0.0662444	0.5125824	0.6819712	0.7375764	0.6975400	0.5028914	0.3675891	0.7226812	0.7698827	0.8522865	0.4425386	0.6923918	0.5076686	0.2963423	0.1320216	0.1195965	0.4969387	0.5470896	0.3811075	0.7842106	0.2867414	0.7125107	0.5736526	0.1510496	0.5865073	0.4717934	0.5987416	0.6112379	0.6924794	0.2752119	0.2965412	0.7550265	0.4208656	0.3966407	0.1470574	0.4010970
0.7200781	0.1742143	0.7575551	0.2360136	0.3475515	0.7550413	0.3756357	0.0760583	0.7308225	0.7139159	0.4716881	0.6909979	0.3917229	0.7971896	0.1246201	0.6778951	0.9116131	0.6758931	0.8612962	0.5400315	0.3810002	0.7195656	0.7612233	0.6887055	0.3826911	0.5902325	0.6004201	0.2040797	0.1081228	0.0511698	0.6560583	0.5273379	0.1415833	0.7152195	0.2867563	0.7053544	0.6752049	0.1352785	0.6202482	0.6139161	0.7214617	0.6928244	0.7879493	0.2351510	0.3129647	0.8067445	0.4368682	0.3086963	0.1609731	0.3829282
0.5866545	0.1808755	0.6916123	0.1787071	0.3951364	0.5406330	0.3385766	0.0991517	0.7062564	0.7729595	0.5262986	0.5946395	0.6929159	0.3343498	0.0854886	0.6497815	0.6572528	0.7178488	0.7442189	0.5862971	0.3829188	0.6908383	0.8171586	0.5898935	0.3096769	0.6658431	0.4774143	0.2083086	0.1440093	0.0818969	0.6155822	0.4839211	0.2133083	0.5569640	0.4177434	0.6155270	0.6695140	0.1581284	0.6835055	0.5616963	0.5720093	0.6706937	0.7552852	0.2714414	0.3248775	0.6599490	0.3593607	0.3715355	0.1529342	0.4568185
0.6799071	0.1839101	0.9117722	0.1889755	0.4545292	0.6211930	0.3523287	0.0696375	0.7503691	0.8233533	0.5450564	0.7360150	0.7953075	0.7137568	0.0458060	0.5779638	0.8088996	0.8376746	0.8644057	0.5656160	0.3223439	0.7099294	0.8715490	0.7737691	0.3571353	0.6114876	0.6111132	0.1449620	0.1619337	0.0719986	0.5307414	0.6191329	0.1402022	0.7083822	0.3581106	0.6820776	0.5912321	0.1213963	0.7511288	0.6358823	0.6652185	0.6817597	0.8540646	0.2987867	0.3755984	0.7108987	0.3015882	0.5218180	0.0984624	0.4761420
0.7661058	0.1835222	0.7610988	0.2182664	0.3486450	0.5409302	0.2696246	0.0447509	0.7398678	0.8122982	0.5593186	0.5876054	0.6697002	0.8214878	0.0647334	0.2742375	0.7918513	0.6213463	0.8397044	0.6437179	0.4185244	0.6555318	0.6394706	0.6407814	0.3687098	0.7639885	0.6411726	0.2752728	0.1191163	0.0886808	0.6112035	0.5796495	0.1471403	0.7690327	0.3055812	0.7440160	0.4661026	0.2175901	0.6190332	0.6446495	0.7136603	0.6686662	0.6603231	0.4257676	0.3782880	0.5688064	0.2731175	0.2864801	0.2216372	0.4696101
0.7630306	0.2385629	0.6397603	0.2272949	0.3620163	0.6709286	0.3559417	0.0332567	0.7962689	0.7686492	0.7074338	0.7090519	0.5448582	0.7592675	0.1274953	0.4040390	0.3611681	0.7685983	0.8775702	0.3639222	0.5476071	0.7226872	0.7351787	0.6981128	0.4303821	0.7829212	0.6812290	0.1632637	0.2018261	0.0664621	0.5787094	0.5095262	0.1010591	0.6633702	0.3549836	0.7591732	0.7343749	0.1867734	0.6514645	0.5084860	0.7273587	0.7841908	0.7433267	0.4508110	0.5134796	0.7213689	0.3743792	0.6337681	0.1010820	0.3939447
0.7494247	0.2127304	0.7099048	0.1866738	0.3279591	0.6292800	0.3256917	0.0612252	0.6508190	0.7565918	0.5567281	0.7250175	0.6949560	0.8443699	0.0587565	0.6376821	0.7005270	0.3857296	0.7353407	0.4956934	0.4405923	0.6628907	0.6530931	0.6995607	0.3543208	0.8601276	0.5617248	0.2641886	0.0778541	0.0984373	0.5479432	0.5226351	0.1679927	0.5898557	0.3445204	0.7498711	0.6714047	0.1433783	0.5756019	0.5771909	0.6692849	0.5230369	0.6717626	0.3150806	0.3020146	0.8131034	0.3534707	0.4598086	0.1202767	0.4249110
0.6945315	0.3514482	0.7025747	0.1908202	0.3317166	0.7622302	0.4132946	0.0449849	0.6901430	0.7628680	0.6903361	0.6432663	0.6491018	0.7057356	0.1013682	0.7070719	0.6658612	0.7035967	0.3703436	0.6150372	0.4045037	0.7087107	0.7094120	0.6886037	0.3329415	0.8899728	0.3709926	0.2607408	0.0859856	0.0692851	0.5042411	0.5474695	0.1621374	0.6391757	0.4506902	0.6271721	0.4949009	0.2490125	0.6336857	0.6865700	0.6390077	0.6175984	0.8123899	0.3406291	0.4294649	0.7261344	0.4371046	0.4510294	0.1537746	0.4264401
0.7144439	0.2460901	0.8039789	0.1941144	0.3732942	0.6910673	0.3333497	0.0653193	0.7479161	0.7745621	0.6914687	0.6765308	0.7361757	0.7032009	0.1174205	0.6624476	0.7304919	0.7061023	0.8941921	0.2592447	0.3484262	0.6102831	0.6552227	0.7100337	0.3801024	0.7041957	0.6196766	0.2277903	0.0617199	0.0730312	0.5749845	0.5174432	0.1394957	0.7969814	0.3585346	0.6323152	0.6994696	0.3365093	0.7187010	0.5274385	0.7396174	0.6598471	0.6164778	0.3346457	0.3746310	0.7263304	0.3267715	0.3601466	0.1191563	0.4007022
