YCR065W	YLR228C	YGL209W	YGL035C	YMR280C	YKL109W	YKL043W	YGR288W	YCL067C	YKL032C	YPL248C	YDR421W	YPL177C	YGR044C	YCR040W	YMR042W	YBR112C	YCL066W	YJL089W	YML099C	YMR019W	YER045C	YOR140W	YDL170W	YOL067C	YCR039C	YDR006C	YIR019C	YIL175W	YNR081W	YDR143C	YFR006W	YDR210WD	YPR020W	YPR187W	YOR303W	YMR250W	YGL230C	YHL049C	YLR037C	YKR102W	YIL166C	YAL064CA	YDR356W	YJR159W	YEL058W	YGL089C	YCR105W	YGR102C	YGL210W
0.6041108	0.5212417	0.5074687	0.1545570	0.2881359	0.7451735	0.0001906	0.4404761	0.7895063	0.7185193	0.6383508	0.8289214	0.7273796	0.5901749	0.6330190	0.7254420	0.2735106	0.4855555	0.6376247	0.6022503	0.0901686	0.7036922	0.6770685	0.6613114	0.6506318	0.0605579	0.0167002	0.0390144	0.2359762	0.6165028	0.8614170	0.6051392	0.6721492	0.2966079	0.5961467	0.3571379	0.4495622	0.7243028	0.3666540	0.2948292	0.2102004	0.6705278	0.0023577	0.4624851	0.1931370	0.7810395	0.1010189	0.3628914	0.7602565	0.3722793
0.6807228	0.5563653	0.7359518	0.2054663	0.5275451	0.5323300	0.0003755	0.5933824	0.6825307	0.7887302	0.3765539	0.7122649	0.8108247	0.4390679	0.4989121	0.8877277	0.0022107	0.4847284	0.6330153	0.2619017	0.0004809	0.5161918	0.6631694	0.8499792	0.6545526	0.1389825	0.0429420	0.0070415	0.3276121	0.5875560	0.7106314	0.8600121	0.1412731	0.3807547	0.6785634	0.4170338	0.4613450	0.7033940	0.2359783	0.3800309	0.0004944	0.6530592	0.1640117	0.6793035	0.0000000	0.5862887	0.1156525	0.6743137	0.6416892	0.4853208
0.5803640	0.5977685	0.6838103	0.1554265	0.6308280	0.5857295	0.0082071	0.4889243	0.8544178	0.6504423	0.7886490	0.7592344	0.5595825	0.5187563	0.5702042	0.7135064	0.3340038	0.3794810	0.6867339	0.7379932	0.0779578	0.7954263	0.5028815	0.7780208	0.8191432	0.0745287	0.0113629	0.0888342	0.4148539	0.6655464	0.6101848	0.7881544	0.2842807	0.2352061	0.6280331	0.1970611	0.3268358	0.5638817	0.2834032	0.2638524	0.2601061	0.4972167	0.0015243	0.4990529	0.0045597	0.4363697	0.0217242	0.4856084	0.7004715	0.4395937
0.5310193	0.5522535	0.7862877	0.2471137	0.6042840	0.5627878	0.1168557	0.4630421	0.8048417	0.3905802	0.5581217	0.6700665	0.6671022	0.4796102	0.6163005	0.6938839	0.0724267	0.3048440	0.6691332	0.7228871	0.0033182	0.7480607	0.7377117	0.6254461	0.6741442	0.0448552	0.0584646	0.1342581	0.3538454	0.5744839	0.6248781	0.7418353	0.1808056	0.3165971	0.6303471	0.1965878	0.3343575	0.5307054	0.2523424	0.3381647	0.0885369	0.6884703	0.1341202	0.5237736	0.2645719	0.7414826	0.1489772	0.4612675	0.6410090	0.4198147
0.6958848	0.6022634	0.6499187	0.1666013	0.6996422	0.8249317	0.0001661	0.4949347	0.7263624	0.7028507	0.4524263	0.7248432	0.7030863	0.6600157	0.4837193	0.7820942	0.2604751	0.4481597	0.6444209	0.4947331	0.0000101	0.7261202	0.4743863	0.7523911	0.6943111	0.0702104	0.0864605	0.0003232	0.3084136	0.7713826	0.5469099	0.6801432	0.1373025	0.2107084	0.5485442	0.6533991	0.3290312	0.5106887	0.2619191	0.4461711	0.1386839	0.5872427	0.1907366	0.4964957	0.0001637	0.5276562	0.0918471	0.6509187	0.7669847	0.5196666
0.7098630	0.5925084	0.5867355	0.2019649	0.4898956	0.4471598	0.0675527	0.4202249	0.5834216	0.7482525	0.7491853	0.7594442	0.6949825	0.6516878	0.7282384	0.7634467	0.0580465	0.3074780	0.6885852	0.7325974	0.0035726	0.7251803	0.6071143	0.7717177	0.7180035	0.6883667	0.0368431	0.2587856	0.6636276	0.6726253	0.7169527	0.6766589	0.2582799	0.4028219	0.5944958	0.3101346	0.4232042	0.5459019	0.2075453	0.1587455	0.0410092	0.6671634	0.4624614	0.6176667	0.0029488	0.6254808	0.0865079	0.6561076	0.7512120	0.4679289
0.7782438	0.6671529	0.6565789	0.2418033	0.6473771	0.6409878	0.0066422	0.4561644	0.7152536	0.7241620	0.5111800	0.4420974	0.7611095	0.4801396	0.6390259	0.6954219	0.4171939	0.3744581	0.6962608	0.5730088	0.2625598	0.5962368	0.5069126	0.5564210	0.6025137	0.3757989	0.0478515	0.1421437	0.6064468	0.7306607	0.6528196	0.8476703	0.2616456	0.2388257	0.8024649	0.4520910	0.3050598	0.5321377	0.4325294	0.5144088	0.3198138	0.3551731	0.1496479	0.5864923	0.0034102	0.4123562	0.1559334	0.6201978	0.6373449	0.5089433
0.4976856	0.7470769	0.7660528	0.0425860	0.5643389	0.7454265	0.0007434	0.4357275	0.6883215	0.6932008	0.6446480	0.7650465	0.5788496	0.4785216	0.6594717	0.5167365	0.0000477	0.6069902	0.7080584	0.7622493	0.0002515	0.7078380	0.5744397	0.5956751	0.7240306	0.0664791	0.0305545	0.1203767	0.5366589	0.7508807	0.6846827	0.6972701	0.5268164	0.2398656	0.5745021	0.0469585	0.4262186	0.7071534	0.4661110	0.5886445	0.2552409	0.4931014	0.0004402	0.5024970	0.3020743	0.6161930	0.0181400	0.5455250	0.7837714	0.5923819
0.4519473	0.5119635	0.6620998	0.1689357	0.5708140	0.4344671	0.0005590	0.3199593	0.7171483	0.8108609	0.5448924	0.7657375	0.7986769	0.5102676	0.7219859	0.5923351	0.0197020	0.4955216	0.5796422	0.7958026	0.1747176	0.4943403	0.7694518	0.8417669	0.5875437	0.1624674	0.0167403	0.3487832	0.2695989	0.7339572	0.7885149	0.6723773	0.2888653	0.3810443	0.6930609	0.2185848	0.3664036	0.5862259	0.3844103	0.5173583	0.0011365	0.8100659	0.1600146	0.4328549	0.0000650	0.5402414	0.0064939	0.6069415	0.6919344	0.4612740
0.5812725	0.6966116	0.6783466	0.1628408	0.6156506	0.7455497	0.0844196	0.4722559	0.6966130	0.6614180	0.4841372	0.7929303	0.7023228	0.4992721	0.6593079	0.6048316	0.1091817	0.2262057	0.6091051	0.3921300	0.0004279	0.7022119	0.6313169	0.4903592	0.6864257	0.0876036	0.0334189	0.2309719	0.4818887	0.6400887	0.6598110	0.6891390	0.2432586	0.2578201	0.5824318	0.2537159	0.3522088	0.5577430	0.1632430	0.1132030	0.2159167	0.6728621	0.1217838	0.4014678	0.0053797	0.4614487	0.1477099	0.5816039	0.8925254	0.4706365
