YCR065W	YLR228C	YGL209W	YGL035C	YMR280C	YKL109W	YKL043W	YGR288W	YCL067C	YKL032C	YPL248C	YDR421W	YPL177C	YGR044C	YCR040W	YMR042W	YBR112C	YCL066W	YJL089W	YML099C	YMR019W	YER045C	YOR140W	YDL170W	YOL067C	YCR039C	YDR006C	YIR019C	YIL175W	YNR081W	YDR143C	YFR006W	YDR210WD	YPR020W	YPR187W	YOR303W	YMR250W	YGL230C	YHL049C	YLR037C	YKR102W	YIL166C	YAL064CA	YDR356W	YJR159W	YEL058W	YGL089C	YCR105W	YGR102C	YGL210W
0.8608190	0.7588605	0.8438925	0.1854633	0.6581553	0.6531535	0.0430664	0.4887917	0.0244850	0.7529420	0.0000000	0.6625918	0.9394193	0.0108125	0.7114639	0.6834741	0.0567869	0.3090422	0.6563576	0.7075731	0.0164431	0.8177146	0.1045178	0.6928836	0.6738118	0.2914034	0.7020877	0.1641916	0.5583087	0.0184543	0.7604668	0.8996420	0.2227495	0.3489860	0.6721059	0.2150747	0.4223814	0.6580010	0.1564230	0.3691523	0.0729861	0.7309758	0.0758147	0.5815084	0.0019686	0.6463152	0.6919452	0.0404840	0.0271456	0.5819264
0.7509412	0.6155691	0.9051919	0.1273913	0.7296785	0.7024133	0.0495405	0.5201920	0.0230895	0.9389451	0.6813487	0.0000000	0.8586670	0.0315700	0.5611851	0.5886300	0.0991724	0.7841858	0.7490059	0.6907518	0.0162304	0.6360132	0.5686990	0.7331969	0.7720040	0.3003181	0.0362651	0.1634179	0.4704876	0.6578622	0.8327271	0.5877812	0.3023431	0.3360751	0.7960524	0.2296109	0.4149616	0.5536943	0.2185668	0.4662100	0.0670411	0.7484769	0.1946879	0.6829851	0.0076707	0.6434504	0.6693701	0.6275775	0.7083601	0.3832062
0.5438448	0.5457074	0.7338032	0.1122503	0.6572727	0.6536135	0.0491484	0.5581802	0.6739483	0.7668438	0.7503713	0.7841001	0.0000000	0.5130629	0.6463241	0.8040406	0.0596453	0.5354569	0.6770090	0.7039994	0.0385856	0.8030186	0.5621182	0.7922127	0.6674559	0.3071587	0.0385241	0.7233809	0.4814725	0.6382363	0.7367380	0.0260972	0.1723826	0.2431512	0.7075261	0.1741258	0.3746204	0.4555054	0.2175356	0.3707126	0.0683344	0.6993799	0.1044776	0.5685528	0.1901421	0.5284709	0.1283838	0.5980191	0.6377854	0.5205336
0.7338488	0.5723865	0.9008886	0.1249878	0.6027636	0.6707568	0.0288049	0.5478287	0.6869778	0.7929663	0.7448647	0.7678103	0.6907675	0.0012574	0.7190560	0.7033129	0.1134351	0.5125341	0.7471532	0.6268811	0.0076359	0.7526304	0.5689163	0.6786012	0.7748313	0.3209499	0.0258397	0.1393641	0.4689895	0.7004697	0.6853723	0.7936419	0.2074629	0.2262538	0.7686565	0.2262044	0.3459760	0.4790779	0.2200112	0.5181670	0.0813973	0.7074475	0.1537781	0.6351169	0.0057715	0.6116930	0.1349253	0.6223450	0.7604531	0.6082062
0.7591281	0.6682764	0.5607797	0.1643900	0.6129968	0.7882843	0.0645613	0.4953145	0.7182234	0.7121561	0.6119868	0.7346983	0.7339019	0.6052886	0.0000000	0.7790818	0.0580779	0.5546756	0.6314653	0.5971964	0.0132983	0.7889570	0.6597457	0.8211609	0.6664379	0.2602262	0.0520780	0.1349426	0.4972199	0.6563003	0.7697197	0.7615121	0.3116130	0.3954541	0.8054052	0.2058675	0.3555934	0.5530661	0.1670002	0.4235679	0.0895858	0.7101102	0.1290313	0.4775607	0.0052846	0.6082511	0.7086381	0.5995997	0.6250735	0.5479586
0.8548879	0.6767584	0.6626733	0.1565799	0.6474420	0.7349525	0.0723098	0.4102572	0.6571829	0.6831131	0.7067976	0.8115996	0.3855581	0.4009506	0.6040713	0.0000000	0.0893695	0.5269723	0.6929141	0.8152051	0.0100988	0.7472836	0.6731269	0.7618410	0.9397457	0.3114614	0.0244142	0.1767229	0.5936784	0.7422790	0.6046374	0.6157206	0.3515355	0.2940609	0.7629107	0.0194551	0.3146752	0.5296942	0.2054618	0.4329861	0.0571775	0.6814262	0.0949435	0.5310818	0.0010671	0.7544731	0.0774726	0.5990121	0.6161168	0.5076948
0.6584924	0.4649884	0.7981316	0.1620556	0.5547130	0.7714871	0.0503241	0.4659530	0.7381442	0.6253234	0.7906425	0.7760646	0.6638134	0.5355563	0.7394746	0.7645759	0.0000000	0.5624455	0.7839865	0.5579089	0.0060466	0.6923429	0.5849929	0.7295987	0.7123779	0.3851716	0.0814630	0.1973710	0.5159503	0.8028717	0.7775122	0.8031960	0.2324268	0.2810619	0.6190110	0.2683918	0.3583809	0.5125955	0.2206305	0.4648637	0.0764142	0.8415028	0.1145996	0.6375151	0.0019340	0.5247058	0.0922768	0.6715857	0.6482096	0.4858002
0.7488599	0.5364113	0.8304236	0.1515164	0.6084361	0.7390185	0.0392904	0.4373824	0.7015253	0.7623476	0.7636172	0.7043722	0.7363843	0.4959540	0.4927032	0.7556910	0.0773492	0.0000000	0.5746729	0.9286277	0.0037929	0.6934806	0.6464373	0.7601204	0.7946580	0.3246604	0.0329448	0.1358144	0.5260480	0.7595941	0.7620874	0.6128697	0.2632473	0.2882755	0.6430419	0.3081302	0.4935861	0.5362694	0.2698666	0.4152938	0.0611398	0.8428544	0.1183232	0.7026262	0.0090132	0.5988454	0.7868415	0.5931964	0.7951311	0.4777790
0.7253051	0.6665845	0.7052430	0.1927033	0.7117376	0.7050499	0.0583328	0.4815121	0.6536025	0.7174301	0.5646705	0.6517098	0.7304307	0.4052592	0.6810114	0.6745840	0.0342243	0.5220560	0.0000000	0.7288912	0.0273800	0.8816886	0.4822520	0.7711183	0.6621981	0.3030634	0.0509326	0.1741426	0.5777185	0.6237651	0.7638738	0.7385694	0.2543722	0.3760491	0.5735848	0.2129298	0.4933173	0.0511869	0.1489856	0.3504033	0.1053186	0.9069634	0.1020473	0.6186935	0.0118196	0.5884750	0.0951488	0.5407033	0.7265001	0.5051510
0.8055893	0.5810632	0.9329015	0.1412301	0.5900149	0.9530444	0.0334032	0.5699630	0.7166815	0.6132250	0.8014170	0.7771228	0.3927082	0.4786079	0.7445977	0.8973095	0.0898988	0.4665484	0.6622641	0.0000000	0.0041913	0.7101666	0.5415489	0.6153351	0.7114955	0.2419915	0.0441011	0.1971764	0.5759124	0.6549191	0.8335314	0.7004434	0.2605292	0.2904238	0.7936665	0.5673710	0.4333676	0.5415458	0.1706085	0.3836978	0.0940036	0.8266784	0.0833632	0.4750480	0.0103164	0.5132309	0.0795347	0.6327024	0.6289297	0.5532709
0.8483524	0.5315985	0.6692770	0.1862862	0.5433779	0.6370432	0.0378002	0.4890322	0.6953721	0.7270931	0.6302755	0.8770516	0.7282432	0.4412606	0.6785265	0.6683036	0.1027883	0.4588125	0.6556245	0.6459856	0.0000000	0.7302966	0.5336550	0.8005859	0.6145203	0.2482839	0.0489252	0.1265084	0.5777896	0.7658131	0.6255391	0.7066420	0.2860163	0.3914729	0.7467435	0.2101662	0.3609643	0.7002317	0.1539438	0.4755325	0.1054390	0.5740887	0.2067605	0.5689129	0.0008668	0.6469144	0.0945330	0.6712743	0.7071086	0.4600838
0.6608565	0.6838244	0.6915871	0.1765699	0.6501470	0.7365493	0.0291075	0.5595582	0.7610018	0.8095538	0.6776414	0.9115678	0.6240901	0.4321675	0.6315781	0.5655373	0.0894684	0.5902666	0.7324949	0.7532480	0.0070222	0.0000000	0.5524451	0.7302629	0.8556802	0.2976909	0.0225926	0.2007966	0.5857315	0.7078165	0.6123211	0.8050595	0.3577960	0.2401788	0.6208655	0.2331552	0.3790675	0.4812326	0.1830101	0.4528458	0.0910098	0.7333911	0.1038439	0.5203921	0.0107808	0.5548415	0.1208412	0.6982917	0.6555643	0.3899521
0.5768410	0.6353839	0.6143386	0.1858195	0.5825768	0.7139215	0.0623716	0.5180012	0.8611219	0.7780573	0.7599112	0.7553175	0.6681688	0.4860252	0.5515363	0.7919882	0.0840778	0.4584616	0.7832882	0.6232692	0.0101226	0.8121834	0.0000000	0.7185300	0.6779549	0.2596633	0.0598837	0.0991749	0.5479685	0.7326371	0.7039198	0.8169725	0.2313767	0.2440328	0.7272375	0.2178583	0.3486682	0.6755423	0.2391016	0.4007332	0.1197756	0.6326551	0.0932985	0.5418925	0.0061285	0.5958754	0.1064656	0.7214814	0.8070044	0.5033430
