YCR065W	YLR228C	YGL209W	YGL035C	YMR280C	YKL109W	YKL043W	YGR288W	YCL067C	YKL032C	YPL248C	YDR421W	YPL177C	YGR044C	YCR040W	YMR042W	YBR112C	YCL066W	YJL089W	YML099C	YMR019W	YER045C	YOR140W	YDL170W	YOL067C	YCR039C	YDR006C	YIR019C	YIL175W	YNR081W	YDR143C	YFR006W	YDR210WD	YPR020W	YPR187W	YOR303W	YMR250W	YGL230C	YHL049C	YLR037C	YKR102W	YIL166C	YAL064CA	YDR356W	YJR159W	YEL058W	YGL089C	YCR105W	YGR102C	YGL210W
0.7548820	0.7073606	0.8971037	0.1553643	0.4520355	1.0000000	0.0010758	0.5283789	0.9989833	1.0000000	0.9863206	1.0000000	0.9999934	0.7598720	0.8952397	1.0000000	0.3278725	0.7417108	0.7699196	0.9549631	0.0736916	0.9216707	0.8580972	1.0000000	1.0000000	0.0763480	0.0152071	0.0290887	0.4391608	0.9471006	0.9726535	0.9733615	0.9936837	0.3252671	0.9605797	0.5158036	0.5413537	0.7697660	0.5407786	0.5013484	0.2322627	0.9999764	0.0000220	0.6295431	0.2420372	0.9765685	0.1280146	0.5021741	0.9883380	0.5554669
0.9156057	0.7644298	0.9958919	0.2554572	0.9427881	0.8307954	0.0013988	0.7109807	0.9785802	1.0000000	0.6002055	1.0000000	0.9980426	0.7531051	0.6808972	1.0000000	0.0000002	0.6876643	0.9303867	0.4931884	0.0000000	0.7311008	0.9132445	1.0000000	0.8658247	0.1811628	0.0789907	0.0002613	0.4309342	0.9050561	0.9726543	0.9967486	0.1998993	0.4586775	0.9235984	0.5384749	0.7787889	0.8314198	0.3483276	0.6323009	0.0001104	1.0000000	0.2510586	0.8643528	0.0000000	0.8329432	0.1552983	0.7500094	0.9087614	0.6731364
0.9329937	0.8547206	0.9976658	0.2550291	0.7817411	0.8225234	0.0015975	0.6365606	0.9815911	0.9212339	0.9767215	1.0000000	0.8862100	0.7314863	0.9003033	1.0000000	0.3862762	0.5756494	0.9746391	0.8797512	0.0863333	1.0000000	0.7967894	1.0000000	0.9686813	0.1000433	0.0191594	0.1048592	0.7148395	0.9467780	0.9999996	0.9934784	0.2959408	0.3808669	0.9230395	0.3080908	0.4452633	0.8509710	0.4029866	0.3243790	0.3859021	0.5796973	0.0000409	0.7810546	0.0045229	0.7077770	0.0148111	0.5432807	0.9908853	0.6895971
0.8342534	0.7342126	0.9950060	0.2556696	0.8861805	0.7345294	0.1049033	0.6484847	0.9957545	0.4201395	0.7884350	0.8653708	0.9999836	0.7836499	0.9033826	0.9189254	0.0849868	0.5437082	0.9583796	1.0000000	0.0001935	0.9771098	0.9517867	0.9977625	0.9510891	0.1298051	0.0339122	0.1632098	0.5323254	0.9479506	0.9913756	0.9733614	0.2795996	0.4053703	0.9162892	0.3341594	0.4154254	0.7212455	0.4768116	0.6033663	0.1301605	0.8936291	0.1409376	0.7747278	0.3838918	0.8618251	0.1363107	0.6258301	0.9217139	0.6761861
1.0000000	0.7550015	0.9053644	0.2041683	0.9994647	1.0000000	0.0014374	0.6696274	0.9809297	0.9498641	0.7049792	1.0000000	0.9998691	0.6864070	0.7216100	1.0000000	0.3032504	0.6287239	0.9338593	0.6870444	0.0000000	1.0000000	0.6761135	1.0000000	0.8351086	0.0705517	0.0894846	0.0002759	0.3025758	0.9266159	0.9999998	0.9974873	0.2316959	0.2595217	0.9657199	0.8410169	0.4638357	0.7110199	0.2752543	0.5813375	0.1867517	0.8908927	0.2342429	0.6814929	0.0012749	0.7420361	0.1532427	0.7901790	0.9807389	0.7507301
0.9958027	0.7522056	0.9973549	0.2551043	0.6534773	0.7597006	0.0704990	0.6676656	0.9813307	0.9993192	0.9769937	1.0000000	0.9947902	0.8396982	0.9023907	1.0000000	0.0213940	0.3657434	0.9299091	1.0000000	0.0000339	0.9511740	0.9678785	0.9983721	1.0000000	0.7861483	0.0539033	0.4763959	0.7874602	0.9914848	0.9821764	0.9732590	0.3243271	0.4969747	0.9183827	0.4622168	0.6086659	0.7278194	0.3289685	0.2401388	0.0545342	1.0000000	0.5816185	0.7394849	0.0005879	0.8922380	0.1617074	0.8308371	0.9280606	0.6375483
0.8552272	0.9008202	0.9021508	0.2804395	0.8959229	0.8572294	0.0022316	0.5931512	0.9914875	0.8721291	0.7630222	0.6815595	0.9999816	0.7514754	0.8384040	1.0000000	0.5381886	0.5062209	0.9660775	1.0000000	0.4454236	0.8561556	0.7071737	0.8235774	1.0000000	0.4105629	0.0773570	0.1975737	0.7587160	0.9848302	0.9726541	0.9733613	0.3558473	0.4453632	0.9253160	0.6571932	0.4220115	0.8026708	0.5138872	0.6704041	0.4490234	0.5277837	0.2477152	0.6533992	0.0027530	0.6585954	0.1471498	0.7264783	0.9204960	0.6645499
0.7515091	0.7297413	0.9937233	0.0791646	0.9216340	1.0000000	0.0008304	0.5260412	0.9818272	1.0000000	0.8870044	1.0000000	0.9286494	0.6715295	0.8484490	0.7105121	0.0000006	0.7108873	0.9295958	1.0000000	0.0000000	1.0000000	0.7924589	0.9286339	1.0000000	0.0714082	0.0220396	0.1442167	0.7205746	0.9886130	0.9726534	0.9971126	0.6561287	0.3115730	0.9329999	0.0716283	0.5082975	0.8266003	0.6769508	0.7388296	0.3923111	0.7718684	0.0000146	0.7466341	0.4016068	0.7101188	0.0105207	0.6305531	0.9905526	0.7696056
0.7671449	0.7087412	0.9912774	0.2565754	0.6508099	0.6972851	0.0014764	0.5368632	0.9789316	1.0000000	0.7237988	1.0000000	0.9999851	0.6904970	0.9057765	1.0000000	0.0214095	0.7193479	0.8863248	1.0000000	0.2138044	0.8358473	0.9118143	1.0000000	0.9518426	0.1780827	0.0345312	0.4029949	0.2926909	0.9771932	0.9999991	0.9969436	0.4558024	0.4180144	0.9536298	0.2838152	0.3932367	0.7526186	0.6554991	0.7283873	0.0001169	0.9981453	0.2081502	0.6326957	0.0000000	0.7227997	0.0043145	0.6926803	0.9903695	0.7824118
0.9955498	0.8204536	0.9973233	0.2551119	0.9182601	0.9997826	0.0716150	0.7248862	0.9983632	0.8602211	0.7753878	1.0000000	0.9987453	0.6864148	0.8653993	1.0000000	0.1288897	0.4204161	0.9422931	0.5073821	0.0000293	0.9807193	0.7626661	0.9038064	0.9335186	0.1486412	0.0343304	0.2023317	0.7202355	0.9520645	0.9999997	0.9961630	0.2631422	0.3413864	0.9329899	0.3513974	0.4626418	0.8085237	0.2294495	0.1941957	0.3201471	0.7991229	0.1243028	0.6807207	0.0040325	0.7399667	0.1551033	0.8123132	0.9842080	0.6374778
