YPL075W	YDR310C	YLR098C	YCL067C	YCL066W	YDR421W	YLR013W	YGR044C	YCR018C	YCR097W	YDR146C	YOL089C	YGL035C	YJL110C	YDR123C	YOR140W	YKL109W	YCR040W	YMR280C	YOL108C	YLR131C	YKL185W	YBL103C	YGL254W	YMR070W	YGL140C	YIL099W	YGR238C	YMR027W	YCL041C	YHR135C	YGL077C	YMR272C	YGR260W	YBR093C	YDR278C	YNL130CA	YOR257W	YML125C	YNL182C	YER127W	YDL068W	YDR279W	YNL327W	YJL078C	YMR251WA	YBL112C	YNL269W	YKR042W	YEL070W
0.6852216	0.0080199	0.7646476	0.2258577	0.5659401	0.7075120	0.4572636	0.6858977	0.1996425	0.3605081	0.0244161	0.6640755	0.8144225	0.5758593	0.7151932	0.2225154	0.6116734	0.2237363	0.6595933	0.8081416	0.6656018	0.0757660	0.7313362	0.7728309	0.0914305	0.1020873	0.1032727	0.1668427	0.2671860	0.0171228	0.0470186	0.6669367	0.7270215	0.0111904	0.2703948	0.3977597	0.2910205	0.0603703	0.0190603	0.7853044	0.0729468	0.0589221	0.5381150	0.6832986	0.0476625	0.4018100	0.0647353	0.0221962	0.1313559	0.3738963
0.9150439	0.0143805	0.7892533	0.2812805	0.7865980	0.6512509	0.5190020	0.7031620	0.2431613	0.6939165	0.0951229	0.3553726	0.7377309	0.6463255	0.7480575	0.4304011	0.6554194	0.2384108	0.6423021	0.6402592	0.7303207	0.0746543	0.7281305	0.6197219	0.0615599	0.0855744	0.1262058	0.1730986	0.3386970	0.0081370	0.0525390	0.5897196	0.7484643	0.0160227	0.2178756	0.4195852	0.3849864	0.0713024	0.0356855	0.6846824	0.0612937	0.2472297	0.5712052	0.6957087	0.1050094	0.1742576	0.0540274	0.0282795	0.0848385	0.4005414
0.7094761	0.0071256	0.7527318	0.2557364	0.6379376	0.8113300	0.6238024	0.7360918	0.1730971	0.3062697	0.0693139	0.7012943	0.4066635	0.8056780	0.5874803	0.3647207	0.6634061	0.2148707	0.6562483	0.7187694	0.5896991	0.0869814	0.7026141	0.7815060	0.0788816	0.0999933	0.1521578	0.1684620	0.1881942	0.0307239	0.0592400	0.6222982	0.7242974	0.0260734	0.1942772	0.4870453	0.3252043	0.0592657	0.0253755	0.7096023	0.0637575	0.0696206	0.5598856	0.7024041	0.0748264	0.1681898	0.0716193	0.0228427	0.1390886	0.5871710
0.7731124	0.0127201	0.7108317	0.2242164	0.7953974	0.6423836	0.5379689	0.7614057	0.2004839	0.4403121	0.1132444	0.8100672	0.6162490	0.3176666	0.6584430	0.4004418	0.6318555	0.2425153	0.7132383	0.7960108	0.7374593	0.0817931	0.6626940	0.7522373	0.0746602	0.0906124	0.0751334	0.1778112	0.2814106	0.0064991	0.0657918	0.6904394	0.6941680	0.0168066	0.2426015	0.5761277	0.3052988	0.0594830	0.0464543	0.6647337	0.0570845	0.1192999	0.6296854	0.7185963	0.0953162	0.1510552	0.0600769	0.0194069	0.1560733	0.3044008
0.7754096	0.0407121	0.7855307	0.0411258	0.6982066	0.7864385	0.2125450	0.7353120	0.1804619	0.3105600	0.1881569	0.7403851	0.8943539	0.8726929	0.4409531	0.3522229	0.5952459	0.2527890	0.8251991	0.8815428	0.7377292	0.4870725	0.7633410	0.6854702	0.0891474	0.1724206	0.2646453	0.1561157	0.2268912	0.0219901	0.0558776	0.4317301	0.6958342	0.0283568	0.0785053	0.3407276	0.6311514	0.0428551	0.3826112	0.9468260	0.0575339	0.2494521	0.4403628	0.8070004	0.4245396	0.1187103	0.3083098	0.0339090	0.0941358	0.4434385
0.7704950	0.0476790	0.8440498	0.2069357	0.6346222	0.7578883	0.4748672	0.7104563	0.2010837	0.2893849	0.0717019	0.6615814	0.7499140	0.6914932	0.6870162	0.1695008	0.5989414	0.1835584	0.8167239	0.8142057	0.7736308	0.1021892	0.6439698	0.7265023	0.0801053	0.0929848	0.2068758	0.1652684	0.2480513	0.0129604	0.0563329	0.5407910	0.7012762	0.0063767	0.2955622	0.4380571	0.3644014	0.0200320	0.0377164	0.7484087	0.0292297	0.0591971	0.4225948	0.6662368	0.1093463	0.1114361	0.0757250	0.0169830	0.1135409	0.5312903
0.8215597	0.0236865	0.8040478	0.2903287	0.8428138	0.6717950	0.6108251	0.7850986	0.1897767	0.3830900	0.0754364	0.7772561	0.7202970	0.9103368	0.7127161	0.3916272	0.3451312	0.1872669	0.6066948	0.6559730	0.6659676	0.0440719	0.7295951	0.6887648	0.0628384	0.1049675	0.0903643	0.1687591	0.2135222	0.0153115	0.0424550	0.5162502	0.8301427	0.0116641	0.2603710	0.4220283	0.2151002	0.0833207	0.0127715	0.7141710	0.0434217	0.0383663	0.5454623	0.7364370	0.0725948	0.2835470	0.0799558	0.0175514	0.1573016	0.5277346
0.6642662	0.0292667	0.7930553	0.2892211	0.6715170	0.7181013	0.6188669	0.8115132	0.2297665	0.3403645	0.0384879	0.6930855	0.7512007	0.7783933	0.6431836	0.3650174	0.7038263	0.0515147	0.6725126	0.7903814	0.7299081	0.0893642	0.7258950	0.7025989	0.0817517	0.1053849	0.1534570	0.1824610	0.2296355	0.0249818	0.0265129	0.5229208	0.7669583	0.0093231	0.1969964	0.4449097	0.2536348	0.0547865	0.0149172	0.6594306	0.0545810	0.0571070	0.5332705	0.7975238	0.0713055	0.2358504	0.1243254	0.0547757	0.1756908	0.5423911
0.7517146	0.0527869	0.7693415	0.2315887	0.6431216	0.7604228	0.5450197	0.7010428	0.1533587	0.3739529	0.0555732	0.7866713	0.6323495	0.6655525	0.7897575	0.2521213	0.7312891	0.1953327	0.3969770	0.7081621	0.7624442	0.0764213	0.6644194	0.6862559	0.0827815	0.0943344	0.1129518	0.1719090	0.2279771	0.0053502	0.0658405	0.6671855	0.6852930	0.0078234	0.2831603	0.4592057	0.2857055	0.0437695	0.0246722	0.6876458	0.0594263	0.1028241	0.3821858	0.6862943	0.0958395	0.2267517	0.0836281	0.0201051	0.1095426	0.3493314
0.7897131	0.0174775	0.7275962	0.1798500	0.7499567	0.7424849	0.4965582	0.5783902	0.3073558	0.3473772	0.0570928	0.6339439	0.6269465	0.6552771	0.7390951	0.4300489	0.5661129	0.1650379	0.8093866	0.3685318	0.5631029	0.1213400	0.7973708	0.7452407	0.0780516	0.1040039	0.1561043	0.1857863	0.2998855	0.0310346	0.0914441	0.5157777	0.6677044	0.0123334	0.4681423	0.2917139	0.3165443	0.0645761	0.0210603	0.5918978	0.0465838	0.0560602	0.4916725	0.7208901	0.0676151	0.1763924	0.0490486	0.0266308	0.1558187	0.4937576
0.7708680	0.0358294	0.7921437	0.2777890	0.7758757	0.6857638	0.5840849	0.6581741	0.1567294	0.3382416	0.0569224	0.7306993	0.6560265	0.7823320	0.6717673	0.1449036	0.5681732	0.1665366	0.6021888	0.6110507	0.4251316	0.1491204	0.6861450	0.7935982	0.0846729	0.1088761	0.2543678	0.1621727	0.2237618	0.0107168	0.0464482	0.5973457	0.6901008	0.0080909	0.1947512	0.4128181	0.3660502	0.0875002	0.0097532	0.6918456	0.1092549	0.1439814	0.4472846	0.7124714	0.0464315	0.3992206	0.0412784	0.0824993	0.0405034	0.3975220
0.6674131	0.0149220	0.7126772	0.3216275	0.5671245	0.7709224	0.6199802	0.6692884	0.2168069	0.2956870	0.0213498	0.7673696	0.8566437	0.6113063	0.6718131	0.2235249	0.6589475	0.2221781	0.7317897	0.7380080	0.6897460	0.0945692	0.8766688	0.7620122	0.1061018	0.1138864	0.1395157	0.1469757	0.3127515	0.0103756	0.0381478	0.6877925	0.6110050	0.0181226	0.2665969	0.5418273	0.2194898	0.0438734	0.0210685	0.7324787	0.0337680	0.0698828	0.5586867	0.7684177	0.0650280	0.2153794	0.0344153	0.0225030	0.1363033	0.3796870
0.6980836	0.0390529	0.8728999	0.1559735	0.7324988	0.6692425	0.4473763	0.7067638	0.2622996	0.3704409	0.0574369	0.6883525	0.6752561	0.8002942	0.8159771	0.3078508	0.5587030	0.2318965	0.8317861	0.7889789	0.7089082	0.0702379	0.3314510	0.8331355	0.1042444	0.1100819	0.0947804	0.1518186	0.3077077	0.0163652	0.0521887	0.6862115	0.8599636	0.0146368	0.2558555	0.4066241	0.2421808	0.0519060	0.0344395	0.7945167	0.0423008	0.1173640	0.4875936	0.6533845	0.0715684	0.4358792	0.1159018	0.0230043	0.1289976	0.4501262
0.7052664	0.0126897	0.6708474	0.1416478	0.7019492	0.6645588	0.3817397	0.7909583	0.2277578	0.3293821	0.0568176	0.7518882	0.6903317	0.7881752	0.7272551	0.4264542	0.5463198	0.1694748	0.6398329	0.7858723	0.7816213	0.0462749	0.7548033	0.3773692	0.0441036	0.0894314	0.1339323	0.1722021	0.2470798	0.0622450	0.0457363	0.6140284	0.7677017	0.0075556	0.2620242	0.4491538	0.2925570	0.0662259	0.0510459	0.8129153	0.0247036	0.0617893	0.4841711	0.7128461	0.0838005	0.1451253	0.0725672	0.0402653	0.0960728	0.3990127
0.8546619	0.0299889	0.7839596	0.2109912	0.7739068	0.6904190	0.5470336	0.8329837	0.1860802	0.3438479	0.0623969	0.7594442	0.6745486	0.7775279	0.6292079	0.2767392	0.6709423	0.1963119	0.8413639	0.8370385	0.7023745	0.0548321	0.7073049	0.8053855	0.0578074	0.1092520	0.0165342	0.2499990	0.3114841	0.0193316	0.0675683	0.4901102	0.7292215	0.0090208	0.2873206	0.5835335	0.2376353	0.0528643	0.0479571	0.7813532	0.0669803	0.0527839	0.4314696	0.6508428	0.0618104	0.2036490	0.0466180	0.0134847	0.1641962	0.2037650
0.8057079	0.0158383	0.7174915	0.1541163	0.7126406	0.6934424	0.6197459	0.6478642	0.2007215	0.3519110	0.1171073	0.7077978	0.8162818	0.7058413	0.8345000	0.3706279	0.6408965	0.1976342	0.7218270	0.7341722	0.8465043	0.0788398	0.8139741	0.7486411	0.1142471	0.0532075	0.1175213	0.2126460	0.3223045	0.0434588	0.0550163	0.5884931	0.7388359	0.0219799	0.1929553	0.3473611	0.2621023	0.0920640	0.0199572	0.7502039	0.0603740	0.1093373	0.4837219	0.6929644	0.1023439	0.1617627	0.1124769	0.0118949	0.1756615	0.4708209
0.6981499	0.0263599	0.9021691	0.1905474	0.6202461	0.5911630	0.5989791	0.6482271	0.3065280	0.3615908	0.1108608	0.7039212	0.7604295	0.6341320	0.6247538	0.3923284	0.5918087	0.1679327	0.6330205	0.7376565	0.7443837	0.0853852	0.7765163	0.8234221	0.0423560	0.1024873	0.0902904	0.1685734	0.2517309	0.0230535	0.0534201	0.7094801	0.8225827	0.0075234	0.2650569	0.5661879	0.2353082	0.0724552	0.0226635	0.7755900	0.0678869	0.1085913	0.6378272	0.7842885	0.0748423	0.1607753	0.0511115	0.0173280	0.1465629	0.3717106
0.7577937	0.0190303	0.7194926	0.2157450	0.5742965	0.6549570	0.6005161	0.7827736	0.1600416	0.2513379	0.0649477	0.7593940	0.6885038	0.6656999	0.6664706	0.2542783	0.5609425	0.2405172	0.7625500	0.7673023	0.6137199	0.0787479	0.7992947	0.6486513	0.0708618	0.1627309	0.1107312	0.0780789	0.3212328	0.0205344	0.0753790	0.5227461	0.8626209	0.0115050	0.2721452	0.4208234	0.1851281	0.0527086	0.0130335	0.7497008	0.1063672	0.0694875	0.4619818	0.6479094	0.0534240	0.2367355	0.0773014	0.0236053	0.1599255	0.4902245
0.7178473	0.0169938	0.6486355	0.2860230	0.6377446	0.7559828	0.4592289	0.5874004	0.1809302	0.3695266	0.0390714	0.7506493	0.6639254	0.8353699	0.8148609	0.3509122	0.6385508	0.2005549	0.7578106	0.6780254	0.6093614	0.0817611	0.7328640	0.7060865	0.1355599	0.0777406	0.1372298	0.2687685	0.1213076	0.0169084	0.0383934	0.6252559	0.8385854	0.0043611	0.2952493	0.3728842	0.2467523	0.0360077	0.0310728	0.6925514	0.0477110	0.0750947	0.6041294	0.7099803	0.1386739	0.2531242	0.1058447	0.0123890	0.0925015	0.4217961
