YPL075W	YDR310C	YLR098C	YCL067C	YCL066W	YDR421W	YLR013W	YGR044C	YCR018C	YCR097W	YDR146C	YOL089C	YGL035C	YJL110C	YDR123C	YOR140W	YKL109W	YCR040W	YMR280C	YOL108C	YLR131C	YKL185W	YBL103C	YGL254W	YMR070W	YGL140C	YIL099W	YGR238C	YMR027W	YCL041C	YHR135C	YGL077C	YMR272C	YGR260W	YBR093C	YDR278C	YNL130CA	YOR257W	YML125C	YNL182C	YER127W	YDL068W	YDR279W	YNL327W	YJL078C	YMR251WA	YBL112C	YNL269W	YKR042W	YEL070W
0.5971400	0.0198896	0.6765326	0.1304157	0.6169004	0.6420289	0.3231781	0.4414375	0.5018182	0.2900912	0.0959888	0.7647839	0.8748850	0.6774932	0.6455072	0.5661673	0.5499470	0.2210403	0.6740259	0.6817248	0.4972434	0.1190742	0.6455318	0.4606538	0.0592633	0.0752510	0.0925708	0.1604961	0.1772848	0.0169560	0.0086740	0.5041977	0.6038817	0.2042034	0.2131722	0.5353185	0.4123039	0.0003660	0.3122266	0.6129276	0.0185845	0.0233282	0.6501738	0.6516151	0.1282555	0.0222068	0.4632894	0.3672401	0.1856824	0.3570998
0.5391142	0.0346968	0.5067114	0.0928778	0.5214208	0.6133501	0.3454987	0.4728891	0.4557161	0.2821186	0.0429862	0.6445425	0.5995399	0.6755634	0.7124993	0.4450869	0.7195309	0.3266828	0.5447365	0.5719574	0.7101356	0.0906075	0.6739795	0.7679736	0.0652696	0.0105625	0.3325376	0.0140311	0.2341233	0.0258510	0.0144240	0.5283182	0.6512135	0.1780543	0.0900845	0.5338642	0.2234298	0.0033245	0.1332351	0.9373240	0.0329360	0.2021221	0.5083419	0.7986984	0.1046014	0.1886476	0.1361701	0.0009678	0.0907062	0.2838345
0.4599447	0.0075692	0.4564506	0.1051228	0.4271051	0.6622507	0.3660441	0.6639140	0.2322175	0.5174834	0.0485314	0.7237868	0.7983842	0.7345244	0.6594068	0.4543214	0.6093368	0.2918608	0.6196269	0.7753305	0.7169141	0.0741347	0.6180989	0.5541791	0.0729535	0.3032939	0.3412263	0.1727216	0.2641026	0.0210632	0.0197947	0.5101984	0.7864749	0.0081927	0.4681334	0.3629459	0.2790515	0.0667093	0.1531624	0.7165425	0.0240960	0.0717319	0.4669341	0.6133485	0.0338155	0.1529440	0.0361438	0.0067799	0.2973015	0.4237053
0.4449296	0.0144420	0.7202918	0.3208130	0.8207553	0.5384596	0.4948912	0.4381967	0.3427912	0.0882238	0.0519298	0.7717841	0.8112682	0.5875585	0.7538732	0.1868535	0.6326151	0.4185867	0.6030735	0.6693668	0.3934880	0.0472249	0.5408264	0.4540643	0.0854985	0.0053237	0.0794795	0.0100221	0.4479564	0.0140299	0.0682645	0.6251941	0.7001946	0.0063743	0.4151918	0.4024927	0.4291003	0.0586005	0.0090720	0.8398766	0.1337556	0.1928693	0.5960561	0.7517305	0.0606925	0.1907254	0.0573583	0.0013607	0.3080928	0.3331303
0.6421360	0.0069595	0.8650052	0.0300554	0.7224086	0.6131517	0.3143842	0.6297068	0.1351418	0.5808850	0.1019367	0.4269657	0.6714070	0.8810113	0.5028876	0.1672015	0.6262733	0.1503406	0.6234160	0.6894861	0.7005209	0.1882391	0.7561931	0.6089790	0.0814548	0.1699405	0.2609587	0.1185874	0.2842490	0.0087560	0.0682519	0.5864790	0.6865587	0.0118097	0.0047311	0.6249767	0.4460401	0.0333894	0.1009864	0.8033526	0.0647739	0.2538523	0.3110530	0.8412521	0.2073203	0.1469509	0.1356931	0.0117978	0.0647010	0.4179732
0.4045999	0.0008729	0.5872348	0.0091725	0.6687519	0.4539224	0.1796478	0.6558055	0.3710213	0.2767968	0.2304074	0.6733449	0.4824801	0.6667409	0.3342481	0.3811328	0.5630915	0.4860519	0.7036822	0.6738506	0.3999858	0.6257681	0.8019042	0.3597416	0.1521051	0.1417963	0.2690530	0.2255214	0.5184628	0.0112292	0.0911471	0.6150334	0.6807912	0.1241337	0.4632660	0.3902073	0.5747169	0.0901298	0.6213576	0.6954741	0.0805217	0.3229372	0.7630266	0.6872798	0.4888633	0.0000980	0.3945248	0.0394694	0.0247331	0.4018483
0.8168136	0.0040840	0.7529126	0.2097293	0.5893499	0.6913390	0.4137573	0.7549350	0.2071144	0.4362759	0.0358915	0.5653025	0.7461789	0.6739033	0.8449834	0.0391389	0.5968253	0.1966009	0.8218695	0.6807306	0.6393510	0.1346566	0.5570302	0.7108523	0.0848765	0.1431593	0.3356731	0.1441057	0.2862347	0.0315063	0.0488084	0.6474033	0.7491149	0.0122308	0.0866919	0.6648770	0.2430253	0.0464624	0.1662447	0.5868169	0.0299326	0.2251255	0.6486951	0.6420801	0.0202612	0.5121555	0.0363914	0.0824934	0.1593841	0.4996697
0.6642576	0.0078318	0.3901513	0.0286350	0.5306727	0.6532389	0.2004895	0.6262343	0.2874030	0.4343013	0.2122962	0.7075961	0.5119204	0.6508681	0.7849501	0.5249104	0.6492682	0.0304421	0.6581009	0.4449960	0.6026779	0.2836750	0.4072876	0.6429876	0.0087129	0.2709370	0.2963133	0.2218943	0.4447393	0.0123956	0.0795995	0.6277641	0.6224268	0.0010296	0.4563771	0.3488080	0.1806125	0.0003253	0.2383784	0.7617335	0.0367375	0.1391953	0.4575849	0.6996249	0.4209512	0.0159206	0.1605912	0.0627951	0.0092439	0.6452623
0.5595902	0.0031703	0.7476502	0.1767818	0.6153427	0.5859696	0.4503911	0.5755141	0.1937226	0.3222199	0.0971636	0.7932749	0.6057369	0.8492233	0.5578733	0.5686339	0.6405871	0.1829056	0.6404886	0.6065579	0.7815796	0.0708434	0.2469372	0.6985733	0.0006817	0.1692879	0.3042592	0.1879332	0.3307926	0.0053046	0.0057646	0.4215129	0.6787036	0.0047954	0.1644651	0.6949190	0.5425289	0.0357342	0.2361105	0.6169409	0.0033931	0.4544005	0.3699955	0.8713338	0.0960720	0.1016322	0.2017555	0.1573154	0.0786638	0.4696272
0.7068997	0.0103703	0.8003495	0.0287646	0.5313169	0.7322070	0.1689187	0.5684433	0.2943365	0.2607051	0.2531286	0.7611916	0.8227819	0.3188622	0.6413285	0.4924915	0.8659215	0.3010172	0.7443352	0.6027041	0.6686284	0.1334526	0.7043188	0.7311374	0.0978995	0.1032064	0.3272212	0.2079064	0.2986461	0.0057193	0.0788168	0.6590123	0.7028869	0.0160249	0.1372367	0.4024977	0.2830456	0.0000084	0.0185618	0.7171887	0.0141510	0.1043249	0.4817766	0.6593058	0.4679204	0.0419651	0.0349356	0.1175265	0.2448930	0.2413926
