YPL075W	YDR310C	YLR098C	YCL067C	YCL066W	YDR421W	YLR013W	YGR044C	YCR018C	YCR097W	YDR146C	YOL089C	YGL035C	YJL110C	YDR123C	YOR140W	YKL109W	YCR040W	YMR280C	YOL108C	YLR131C	YKL185W	YBL103C	YGL254W	YMR070W	YGL140C	YIL099W	YGR238C	YMR027W	YCL041C	YHR135C	YGL077C	YMR272C	YGR260W	YBR093C	YDR278C	YNL130CA	YOR257W	YML125C	YNL182C	YER127W	YDL068W	YDR279W	YNL327W	YJL078C	YMR251WA	YBL112C	YNL269W	YKR042W	YEL070W
0.0000000	0.0289554	1.0000000	0.3026477	0.9591743	1.0000000	0.7876414	0.9974419	0.2818058	0.4991800	0.0751496	1.0000000	1.0000000	1.0000000	1.0000000	0.4892572	0.8943129	0.2735755	0.9895738	1.0000000	1.0000000	0.1065094	1.0000000	1.0000000	0.0994100	0.1305374	0.1560288	0.2491118	0.3788722	0.0252064	0.0763075	0.8813392	0.9999978	0.0145515	0.3307059	0.6498685	0.3888801	0.0763667	0.0330404	0.9956522	0.0683369	0.1077364	0.7200245	0.9979818	0.1000593	0.2262612	0.0818820	0.0266347	0.1738339	0.5571938
1.0000000	0.0000006	1.0000000	0.3026477	0.9591743	1.0000000	0.7876414	0.9974419	0.2818058	0.4991800	0.0751496	1.0000000	1.0000000	1.0000000	1.0000000	0.4892572	0.8943129	0.2735755	0.9895738	1.0000000	1.0000000	0.1065094	1.0000000	1.0000000	0.0994100	0.1305374	0.1560288	0.2491118	0.3788722	0.0252064	0.0763075	0.8813392	1.0000000	0.0063256	0.3307059	0.6498685	0.3888801	0.0763667	0.0330404	0.9956522	0.0683369	0.1077364	0.7200245	0.9979818	0.1000593	0.2262612	0.0818820	0.0266347	0.1738339	0.5571938
0.3191731	0.9999994	0.0000000	0.3458080	0.8193187	1.0000000	0.7876414	0.9970111	0.2818947	0.4991800	0.0751496	1.0000000	1.0000000	1.0000000	1.0000000	0.4893398	0.8943129	0.4304925	0.9895738	1.0000000	1.0000000	0.1065094	1.0000000	1.0000000	0.0994100	0.1305374	0.1338556	0.2491118	0.3788722	0.0252064	0.0763075	0.8813392	0.2118668	0.6476745	0.3307059	0.6498685	0.3888801	0.0763667	0.0330548	0.9956522	0.0683369	0.1077364	0.7200245	0.9979818	0.1000593	0.2262612	0.0818820	0.0266347	0.1738339	0.5571938
0.9999789	0.0289554	1.0000000	0.0000009	0.8738049	1.0000000	0.7876414	0.9982491	0.2816396	0.4991800	0.0751496	1.0000000	1.0000000	1.0000000	1.0000000	0.4891027	0.8943129	0.2735755	0.9895738	1.0000000	1.0000000	0.1065094	1.0000000	1.0000000	0.0994100	0.1305374	0.1424219	0.2491118	0.3788722	0.0252064	0.0763075	0.8813392	0.9999978	0.0145515	0.3307059	0.6498685	0.3888801	0.0763667	0.0330136	0.9956522	0.0683369	0.1077364	0.7200245	0.9979818	0.1000593	0.2262612	0.0818820	0.0266347	0.1738339	0.5571938
0.9999789	0.0289554	1.0000000	0.3026477	0.0000000	1.0000000	0.7876414	0.9974419	0.2818058	0.4991800	0.0751496	1.0000000	1.0000000	1.0000000	1.0000000	0.4892572	0.8943129	0.2735755	0.9895738	1.0000000	1.0000000	0.1065094	1.0000000	1.0000000	0.0994100	0.1305374	0.0453649	0.2491118	0.3788722	0.0252064	0.0763075	0.8813392	0.9999978	0.0145515	0.3307059	0.6498685	0.3888801	0.0763667	0.0330404	0.9956522	0.0683369	0.1077364	0.7200245	0.9979818	0.1000593	0.2262612	0.0818820	0.0266347	0.1738339	0.5571938
0.9999789	0.0289554	1.0000000	0.2980970	0.7930088	0.0000000	0.7876414	0.9974821	0.2817976	0.4991800	0.0751496	1.0000000	1.0000000	1.0000000	1.0000000	0.4892495	0.8943129	0.2735755	0.9895738	1.0000000	1.0000000	0.1065094	1.0000000	1.0000000	0.0994100	0.1305374	0.1297632	0.2491118	1.0000000	0.0252064	1.0000000	0.8813392	0.9999978	0.0145515	0.3307059	0.6498685	0.3888801	0.0763667	0.0330391	0.0133286	0.0683369	0.1077364	0.7200245	0.9979818	0.1000593	0.2262612	0.0818820	0.0266347	0.1738339	0.5571938
0.9999789	0.0289554	1.0000000	0.0254616	0.9179378	1.0000000	0.0000006	0.9982490	0.2816396	0.4991800	0.0751496	1.0000000	1.0000000	1.0000000	1.0000000	0.4891027	0.8943129	0.3348511	0.9895738	1.0000000	1.0000000	0.1065094	1.0000000	1.0000000	0.0994100	0.1305374	0.1494315	0.2491118	0.3788722	0.0252064	0.0763075	0.8813392	0.9999978	0.0145515	0.3307059	0.6498685	0.3888801	0.0763667	0.0330136	0.9956522	0.0683369	0.1077364	0.7200245	0.9979818	0.1000593	0.2262612	0.7071257	0.0266347	0.1738339	0.5571938
0.9999789	0.0289554	1.0000000	0.3026477	0.9591743	1.0000000	0.7876414	0.0000000	0.6116985	0.4991800	0.0751496	1.0000000	1.0000000	1.0000000	1.0000000	0.9710315	0.8943129	0.2735755	0.9895738	1.0000000	1.0000000	0.1065094	1.0000000	1.0000000	0.0994100	0.1305374	0.1560288	0.2491118	0.3788722	0.0252064	0.0763075	0.8813392	0.9999978	0.0145515	0.3307059	0.6498685	0.3888801	0.0763667	0.5485536	0.9956522	0.0683369	0.1077364	0.7200245	0.9979818	0.1000593	0.2262612	0.0818820	0.0266347	0.1738339	0.5571938
0.9999789	0.0289554	1.0000000	0.3026477	0.9591743	1.0000000	0.7876414	0.9974419	0.0000002	0.4991800	0.0751496	1.0000000	1.0000000	1.0000000	1.0000000	0.4892572	0.8943129	0.2735755	0.9895738	1.0000000	1.0000000	0.1065094	1.0000000	1.0000000	0.0994100	0.1305374	0.1560288	0.2491118	0.3788722	0.0252064	0.0763075	0.8813392	0.9999978	0.0145515	0.3307059	0.6498685	0.3888801	0.0763667	0.0330404	0.9956522	0.0683369	0.1077364	0.7200245	0.9979818	0.1000593	0.2262612	0.0818820	0.0266347	0.1738339	0.5571938
0.9999789	0.0289554	1.0000000	0.3026477	0.8650155	1.0000000	0.7876414	0.9982490	0.2816408	0.0000007	0.0751496	1.0000000	1.0000000	1.0000000	1.0000000	0.4891034	0.8943129	0.6276215	0.9895738	1.0000000	1.0000000	0.1065094	1.0000000	1.0000000	0.0994100	0.1305374	0.1410449	0.2491118	0.3788722	0.0252064	0.0763075	0.8813392	0.9999978	0.0145515	0.3307059	0.6498685	0.3888801	0.0763667	0.0330137	0.9956522	0.0683369	0.1077364	0.7200245	0.9979818	0.1000593	0.2262612	0.0818820	0.0266347	0.1738339	0.5571938
0.9999789	0.0289554	1.0000000	0.4582069	0.9740792	1.0000000	0.9999983	0.9982491	0.2815906	0.4991800	0.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0515803	0.8943129	0.2565934	0.9895738	1.0000000	1.0000000	0.1029754	1.0000000	1.0000000	0.0994100	0.1236157	0.1573495	0.2491118	0.3788722	0.0252064	0.0763075	0.8813392	0.9999978	0.0145515	0.3307059	0.6498685	0.3888801	0.0763667	0.0202736	0.9956522	0.0683369	0.1055942	0.7200245	0.5529337	0.0610523	0.9999806	0.0735963	0.0262018	0.1770179	0.5571938
0.9999789	0.0289554	1.0000000	0.3026477	0.9725678	1.0000000	0.7876414	0.9971053	0.2818748	0.9999995	0.0751496	0.0000001	1.0000000	1.0000000	1.0000000	0.4893215	0.8943129	0.2451828	0.9895738	1.0000000	1.0000000	0.1065094	1.0000000	1.0000000	0.0994100	0.1305374	0.1581777	0.2491118	0.3788722	0.0252064	0.0763075	0.8813392	0.9999978	0.0145515	0.3307059	0.6498685	0.3888801	0.0763667	0.0330516	0.9956522	0.0683369	0.5101362	0.7200245	0.9979818	0.1000593	0.2262612	0.0818820	0.0266347	0.1738339	0.5571938
0.9999789	0.0289554	1.0000000	0.4733484	0.9775001	1.0000000	0.9784097	0.9982413	0.2815922	0.4991800	0.0167386	1.0000000	0.0000000	1.0000000	1.0000000	0.0687135	0.0482985	0.1722578	0.0318729	1.0000000	1.0000000	0.1029781	1.0000000	1.0000000	0.0994100	0.1239276	0.1579008	0.2491118	0.3788722	0.0252064	0.0763075	0.8813392	0.9999978	0.0145515	0.3307059	0.6498685	0.3888801	0.0782285	0.0203251	0.9956522	0.0683369	0.1055958	0.7200245	0.9666084	0.0617620	0.9966180	0.0740702	0.0262037	0.1770154	1.0000000
0.9999789	0.0289554	1.0000000	0.2980970	0.9873090	1.0000000	0.7876414	0.9974821	0.2817976	0.4991800	0.0751496	1.0000000	1.0000000	0.0000014	1.0000000	0.4892495	0.8943129	0.4304923	0.9895738	1.0000000	1.0000000	0.1065094	1.0000000	1.0000000	0.0994100	0.1305374	0.1605486	0.2491118	0.3788722	0.0252064	0.0763075	0.8813392	0.9999978	0.0145515	0.3307059	0.6498685	0.3888801	0.0763667	0.0330391	0.9956522	0.0683369	0.1077364	0.9296517	0.9979818	0.1000593	0.2262612	0.0684742	0.0266347	0.1738339	0.5571938
0.9999789	0.0289554	1.0000000	0.0255405	0.8830090	1.0000000	0.0864926	0.9982444	0.6826407	0.4991800	0.9998565	1.0000000	1.0000000	1.0000000	0.0000000	0.5167406	0.8943129	0.3336167	0.9895738	1.0000000	1.0000000	0.5647255	1.0000000	1.0000000	1.0000000	0.6736375	0.8538470	0.9999986	0.3788722	0.0252064	0.0763075	0.0042947	0.9999978	0.0145515	0.0098177	0.3424270	0.9999941	0.0763667	0.5745561	0.9956522	0.0683369	0.3467670	0.5867712	0.9979936	0.9802098	0.1628832	0.7035639	0.8425133	0.3606595	0.9811207
0.9999789	0.0289554	1.0000000	0.3026477	0.9591743	1.0000000	0.7876414	0.9974419	0.2818058	0.4991800	0.0751496	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	0.8943129	0.2735755	0.9895738	1.0000000	1.0000000	0.1065094	1.0000000	1.0000000	0.0994100	0.1305374	0.1560288	0.2491118	0.3788722	0.0252064	0.0763075	0.8813392	0.9999978	0.0145515	0.3307059	0.6498685	0.3888801	0.0763667	0.0330404	0.9956522	0.0683369	0.1077364	0.7200245	0.9979818	0.1000593	0.2262612	0.0818820	0.0266347	0.1738339	0.5571938
0.9999789	0.0289554	1.0000000	0.3347267	0.9821118	1.0000000	0.7876414	0.9971296	0.2818701	0.4991800	0.0751496	1.0000000	1.0000000	1.0000000	1.0000000	0.4893170	0.0000001	0.1983600	0.9895738	1.0000000	1.0000000	0.1065094	1.0000000	1.0000000	0.0994100	0.1305374	0.1597117	0.2491118	0.3788722	0.0252064	0.0763075	0.8813392	0.9999978	0.0145515	0.3307059	0.6498685	0.3888801	0.9997368	0.0330508	0.9956522	0.0683369	0.1077364	0.7200245	0.9979818	0.1000593	0.2262612	0.0818820	0.0266347	0.1738339	0.5571938
0.9999789	0.0289554	1.0000000	0.3026477	0.9591743	1.0000000	0.7876414	0.9974419	0.2818058	0.4991800	0.0751496	1.0000000	1.0000000	1.0000000	1.0000000	0.4892572	0.8943129	0.0000000	0.9895738	1.0000000	1.0000000	0.1065094	1.0000000	1.0000000	0.0994100	0.1305374	0.1560288	0.2491118	0.3788722	0.0252064	0.0763075	0.8813392	0.9999978	0.0145515	0.3307059	0.6498685	0.3888801	0.0763667	0.0330404	0.9956522	0.0683369	0.1077364	0.7200245	0.9979818	0.1000593	0.2262612	0.0818820	0.0266347	0.1738339	0.5571938
0.9999789	0.0289554	1.0000000	0.3026477	0.9591743	1.0000000	0.7876414	0.9974419	0.2818058	0.4991800	0.0751496	1.0000000	1.0000000	1.0000000	1.0000000	0.4892572	0.8943129	0.2735755	0.0000000	1.0000000	1.0000000	0.1065094	1.0000000	1.0000000	0.0994100	0.1305374	0.1560288	0.2491118	0.3788722	0.0252064	0.0763075	0.8813392	0.9999978	0.0145515	0.3307059	0.6498685	0.3888801	0.0763667	0.0330404	0.9956522	0.0683369	0.1077364	0.7200245	0.9979818	0.1000593	0.2262612	0.0818820	0.0266347	0.1738339	0.5571938
0.9999789	0.0289554	1.0000000	0.4446510	0.9732804	1.0000000	0.9784084	0.9982423	0.2815920	0.4991800	0.0167386	1.0000000	1.0000000	1.0000000	1.0000000	0.0687141	0.8943129	0.2581410	0.9895738	0.0000000	1.0000000	0.1029781	1.0000000	1.0000000	0.0994100	0.1239276	0.1572206	1.0000000	0.3788722	0.0252064	0.0763075	0.0042945	0.9999978	0.0145515	0.9446466	0.4011500	0.3888801	0.0763667	0.0203251	0.9956522	0.0683369	0.1055958	0.2758377	0.9666109	0.0617620	0.9966191	0.0740705	0.0262037	0.1770154	0.5571938
0.9999789	0.0289554	1.0000000	0.3026477	0.9591743	1.0000000	0.7876414	0.4488139	0.4377660	0.4991800	0.0751496	1.0000000	1.0000000	1.0000000	1.0000000	0.3698369	0.8943129	0.2735755	0.9895738	1.0000000	0.0000033	0.4674845	1.0000000	1.0000000	0.0994100	0.1305374	0.3549195	0.2491118	0.3788722	0.0252064	0.0763075	0.8813392	0.9999978	0.0145515	0.3307059	0.6498685	0.3888801	0.0763667	0.0839255	0.9956522	0.9999820	0.3107222	0.7200245	0.6219166	0.9999979	0.2262612	0.0818820	0.0266347	0.0381199	0.5571938
0.9999789	0.0289554	1.0000000	0.3026477	0.9591743	1.0000000	0.7876414	0.9974419	0.2818058	0.4991800	0.0751496	1.0000000	1.0000000	1.0000000	1.0000000	0.4892572	0.8943129	0.2735755	0.9895738	1.0000000	1.0000000	0.0000006	1.0000000	1.0000000	0.0994100	0.1305374	0.1400223	0.2491118	0.3788722	0.0252064	0.0763075	0.8813392	0.9999978	0.0145515	0.3307059	0.6498685	0.3888801	0.0763667	0.0330404	0.9956522	0.0683369	0.0612314	0.7200245	0.9979818	0.1000593	0.2262612	0.0818820	0.0266347	0.5834875	0.5571938
0.9999789	0.0289554	1.0000000	0.3026477	0.9725679	1.0000000	0.7876414	0.9971053	0.2818752	1.0000000	0.0751496	1.0000000	1.0000000	1.0000000	1.0000000	0.4893217	0.8943129	0.2451827	0.9895738	1.0000000	1.0000000	0.1065094	0.0000001	1.0000000	0.0994100	0.1305374	0.1581787	0.2491118	0.3788722	0.0252064	0.0763075	0.8813392	0.9999978	0.0145515	0.3307059	0.6498685	0.3888801	0.0763667	0.0330516	0.9956522	0.0683369	0.1077364	0.7200245	0.9979818	0.1000593	0.9999961	0.0818820	0.0266347	0.1738339	0.5571938
0.9999789	0.0289554	1.0000000	0.3026477	0.9591743	1.0000000	0.7876414	0.9974419	0.2818058	0.4991800	0.0751496	1.0000000	1.0000000	1.0000000	1.0000000	0.0517280	0.8943129	0.2735755	0.9895738	1.0000000	1.0000000	0.1065094	1.0000000	0.0000000	0.0994100	0.1305374	0.1560288	0.2491118	0.3788722	0.9999922	0.0763075	0.8813392	0.9999978	0.0145515	0.3307059	0.6498685	0.3888801	0.0763667	0.0330404	0.9956522	0.0683369	0.1077364	0.7200245	0.9979818	0.1000593	0.2262612	0.0818820	0.0266347	0.1738339	0.5571938
0.9999789	0.0289554	1.0000000	0.3026477	0.9591743	1.0000000	0.7876414	0.9974419	0.2818058	0.4991800	0.0751496	1.0000000	1.0000000	1.0000000	1.0000000	0.4892572	0.8943129	0.2735755	0.9895738	1.0000000	1.0000000	0.1065094	1.0000000	1.0000000	0.0000000	0.1305374	0.0453649	0.2491118	0.3788722	0.0252064	0.0763075	0.8813392	0.9999978	0.0145515	0.3307059	0.6498685	0.3888801	0.0763667	0.0330404	0.9956522	0.0683369	0.1077364	0.7200245	0.9979818	0.1000593	0.2262612	0.0818820	0.0266347	0.0955458	0.3613327
0.9999789	0.0289554	1.0000000	0.3026477	0.9591743	1.0000000	0.7876414	0.9974419	0.2818058	0.4991800	0.0751496	1.0000000	1.0000000	1.0000000	1.0000000	0.4892572	0.8943129	0.2735755	0.9895738	1.0000000	1.0000000	0.1065094	1.0000000	1.0000000	0.0994100	0.0000000	0.1560288	0.2491118	0.3788722	0.0252064	0.0763075	0.8813392	0.9999978	0.0145515	0.3307059	0.6498685	0.3888801	0.0763667	0.0330404	0.9956522	0.0683369	0.1077364	0.7200245	0.9979818	0.1000593	0.2262612	0.0818820	0.0266347	0.1738339	0.5571938
