YPL075W	YDR310C	YLR098C	YCL067C	YCL066W	YDR421W	YLR013W	YGR044C	YCR018C	YCR097W	YDR146C	YOL089C	YGL035C	YJL110C	YDR123C	YOR140W	YKL109W	YCR040W	YMR280C	YOL108C	YLR131C	YKL185W	YBL103C	YGL254W	YMR070W	YGL140C	YIL099W	YGR238C	YMR027W	YCL041C	YHR135C	YGL077C	YMR272C	YGR260W	YBR093C	YDR278C	YNL130CA	YOR257W	YML125C	YNL182C	YER127W	YDL068W	YDR279W	YNL327W	YJL078C	YMR251WA	YBL112C	YNL269W	YKR042W	YEL070W
0.5101415	0.0163895	0.6472106	0.0828343	0.5664849	0.7559826	0.4565525	0.4183621	0.4328173	0.3645570	0.1219368	0.7518625	0.7361693	0.4919999	0.6435999	0.5559160	0.6826392	0.2065547	0.6637534	0.7327856	0.4549644	0.1317432	0.6911561	0.4635330	0.0627561	0.0763806	0.0671189	0.1001747	0.1743096	0.0167254	0.0114659	0.5262551	0.6029186	0.2177318	0.2383723	0.4919434	0.3006875	0.0006394	0.3690614	0.6989959	0.0340850	0.0278393	0.5629164	0.8239401	0.1127092	0.0019542	0.4144113	0.3890655	0.2331944	0.3203863
0.4570037	0.0210946	0.5854102	0.0870699	0.6696748	0.7758741	0.3112039	0.4852110	0.3933389	0.2040374	0.0292562	0.8340478	0.6162808	0.8300341	0.7295547	0.4704828	0.6250804	0.3846176	0.6322627	0.5169757	0.6230459	0.0866084	0.7839949	0.7165312	0.0392754	0.0054126	0.3240489	0.0216799	0.1901808	0.0062913	0.0168584	0.4767378	0.6443344	0.2589184	0.1583520	0.5122501	0.2615154	0.0000565	0.1136415	0.7939037	0.0148631	0.2425813	0.4594913	0.6277096	0.0466520	0.3008139	0.1194826	0.0002559	0.0544392	0.4033484
0.5773940	0.0213549	0.5089484	0.1115944	0.4558631	0.6134637	0.5302053	0.7487746	0.2787060	0.4998226	0.0743190	0.5150474	0.6321601	0.7599357	0.5565338	0.3186494	0.6425788	0.2040664	0.6867065	0.7652054	0.8824748	0.0387527	0.4087044	0.4286652	0.0648595	0.3429854	0.2552295	0.1396347	0.3397450	0.0256279	0.0385828	0.5665199	0.6565358	0.0157915	0.4568824	0.4430851	0.3137765	0.0375580	0.1789000	0.7063985	0.0256829	0.0612098	0.5009549	0.6235918	0.0188542	0.2152718	0.0409043	0.0070308	0.3945639	0.4124973
0.4785741	0.0520749	0.7160482	0.4105660	0.6744537	0.4535434	0.3600175	0.3844438	0.3561686	0.0678409	0.0635542	0.7671585	0.7267883	0.5452809	0.6915329	0.2412735	0.5906581	0.4213787	0.7375889	0.8817781	0.3202939	0.0322562	0.6945405	0.4551582	0.1024272	0.0031504	0.0794868	0.0009778	0.3962599	0.0136152	0.0516987	0.4479203	0.6122584	0.0042002	0.2946875	0.3540061	0.2282817	0.0541322	0.0187992	0.5916774	0.1522538	0.2744619	0.7455470	0.7309031	0.0484518	0.1317702	0.0656151	0.0005994	0.2221655	0.3224115
0.5501883	0.0096585	0.7216415	0.0654767	0.6585960	0.7802274	0.3025945	0.6389317	0.1091575	0.5110065	0.1931915	0.4419380	0.5672791	0.6885737	0.4993881	0.1116784	0.6669195	0.1160153	0.6728969	0.7774210	0.7983990	0.2377985	0.6688788	0.7413883	0.0907256	0.2255426	0.3048633	0.1495047	0.3166719	0.0128316	0.0254477	0.5034746	0.5630994	0.0109291	0.0034703	0.6032020	0.4420635	0.1019710	0.1465422	0.6688476	0.0353281	0.2090769	0.4135548	0.7142520	0.2794875	0.1164858	0.1272823	0.0148262	0.0431217	0.4545259
0.5028320	0.0057993	0.5981878	0.0083416	0.7021710	0.4230694	0.1265176	0.7523737	0.3448860	0.2200888	0.2218278	0.6873764	0.4561130	0.6556304	0.3233061	0.4065913	0.5098169	0.3774936	0.7014055	0.7712735	0.4374743	0.4971539	0.7107189	0.5557625	0.0683603	0.1866534	0.2434803	0.1596942	0.4639487	0.0097261	0.0449491	0.4962293	0.7484118	0.1316069	0.3493258	0.4206383	0.6664585	0.0497651	0.6634797	0.6322261	0.1104332	0.2911239	0.7584305	0.7611928	0.3912693	0.0000226	0.3912321	0.0282756	0.0196529	0.4347483
0.6185448	0.0074339	0.7245537	0.1513047	0.5344449	0.8012397	0.3833308	0.8120691	0.1593302	0.5562524	0.0481366	0.4751840	0.7525171	0.5584995	0.7043463	0.0790086	0.6904606	0.1749992	0.6904810	0.8558853	0.7422283	0.1496319	0.4892532	0.7717042	0.0827944	0.1117772	0.3316357	0.1297137	0.2730633	0.0118508	0.0871289	0.6681675	0.6724842	0.0017264	0.1171142	0.6718459	0.2272144	0.0459890	0.1462539	0.8457396	0.0453784	0.2820419	0.4952590	0.6222599	0.0118087	0.5470832	0.0518585	0.0841710	0.1674930	0.4633115
0.6821131	0.0129249	0.3908812	0.0158275	0.4982811	0.5163562	0.1289961	0.7678305	0.3778049	0.3792111	0.1780542	0.6287390	0.3896556	0.6597340	0.7246434	0.4592249	0.4942842	0.0093461	0.7172120	0.4747628	0.5721698	0.2734464	0.5090939	0.7495049	0.0023298	0.4064836	0.2589488	0.1890274	0.4784211	0.0099893	0.0820863	0.6295958	0.7171775	0.0011795	0.4505140	0.4306457	0.3319188	0.0004072	0.3136782	0.8866676	0.0491842	0.2216737	0.4697468	0.7071356	0.4739638	0.0297228	0.2089594	0.0613762	0.0023490	0.6016835
0.5381815	0.0008995	0.7159953	0.1450623	0.7349861	0.7981829	0.4029886	0.6358886	0.1393010	0.3130154	0.0856545	0.8395043	0.4808619	0.7084240	0.5315226	0.5015204	0.5584134	0.2131576	0.7590189	0.5561019	0.6445158	0.0736170	0.3340729	0.6865971	0.0026335	0.1510432	0.3192534	0.1861148	0.3346577	0.0099011	0.0144488	0.5214670	0.7769107	0.0023827	0.1668588	0.5720275	0.5054970	0.0330921	0.2225872	0.6898157	0.0113962	0.3663604	0.4653072	0.6844875	0.0634006	0.0763467	0.3189367	0.1869530	0.0900668	0.5756418
0.7374790	0.0075903	0.7607720	0.0041321	0.4940297	0.7862845	0.1858455	0.5360628	0.2307170	0.3160819	0.1850499	0.7467624	0.8084999	0.3960711	0.7010745	0.4605429	0.5230401	0.2947651	0.7277720	0.5715960	0.6008619	0.2483133	0.6759972	0.7116392	0.0774686	0.1508410	0.3105978	0.1990943	0.2266338	0.0151715	0.0461285	0.6747827	0.7048213	0.0287040	0.1674469	0.4195154	0.2667762	0.0000009	0.0402419	0.5831654	0.0241393	0.0882560	0.5091240	0.5860239	0.3231836	0.0454929	0.0370712	0.1711771	0.1532493	0.3197625
