YMR037C	YGL162W	YMR070W	YPL177C	YIL101C	YCR096C	YML113W	YGR249W	YDR123C	YMR021C	YBR297W	YJL110C	YMR042W	YER045C	YDR520C	YCL066W	YMR019W	YCL067C	YKL043W	YPR199C	YNL167C	YOR113W	YCR097W	YOL067C	YGL254W	YGL231C	YJR150C	YMR135WA	YMR169C	YNL001W	YLR042C	YMR136W	YLR171W	YJR044C	YAL062W	YLR023C	YCR107W	YDR309C	YPR123C	YDR544C	YER189W	YMR170C	YER145C	YAR050W	YGR073C	YJR050W	YBR013C	YBR292C	YGR136W	YGL001C
0.0584224	1.0000000	0.7966022	0.0588760	0.9994764	0.9026786	1.0000000	0.4729558	1.0000000	1.0000000	0.0955747	1.0000000	1.0000000	0.0836034	0.4414171	0.0688220	0.9998290	0.1289483	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6117518	0.0181049	0.2071629	0.3013610	0.1167418	0.8741528	0.9813302	0.4769021	0.2151384	0.5181910	0.3737807	0.6492373	0.9993909	0.3583991	0.9870307	0.5748745	0.9996625	0.0241655	0.6947709	0.0869590	0.6399521	0.9957630	0.0113525	0.4132865	0.4582335	0.4777064
0.5508847	0.5000000	0.8221757	0.0432042	0.9995518	0.6532218	1.0000000	0.6768952	1.0000000	1.0000000	0.0955747	1.0000000	1.0000000	0.2661803	0.4414171	0.0688220	0.7864874	0.1289483	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6117518	0.5612848	0.2072780	0.3013610	0.6816562	0.5618856	0.3000105	0.7347364	0.2151384	0.5181910	0.2492275	0.6492373	0.9997266	0.3583811	0.9870307	0.5748620	0.9996625	0.8321180	0.7986221	0.0865427	0.8785115	0.9957630	0.0565301	0.6274848	0.4582335	0.3752082
0.1168443	1.0000000	0.3983021	0.0588760	0.9994764	0.8763049	1.0000000	0.4899659	1.0000000	1.0000000	0.0955747	1.0000000	1.0000000	0.0836034	0.4414171	0.0688220	0.9983799	0.1289483	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6117518	0.0465864	0.2071629	0.3013610	0.2092904	0.8203441	0.9086594	0.4708245	0.2151384	0.5181910	0.2658831	0.6492373	0.9994330	0.3583991	0.9870307	0.5748745	0.9996625	0.0367688	0.6947709	0.1053353	0.6708518	0.9957630	0.0113567	0.4145257	0.4582335	0.4777064
0.1168443	1.0000000	0.7966022	0.0294476	0.9995657	0.8763049	1.0000000	0.4899665	1.0000000	1.0000000	0.0955747	1.0000000	1.0000000	0.0836078	0.4414171	0.0688220	0.9983799	0.1289483	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6117518	0.0465864	0.2071629	0.3013610	0.2092904	0.8203439	0.9086579	0.4708245	0.2151384	0.5181910	0.2658831	0.6492373	0.9994333	0.3583779	0.9870307	0.5748598	0.9996625	0.0367688	0.6947709	0.0869590	0.6708529	0.9957630	0.0113624	0.4145257	0.4582335	0.4777064
0.1168443	1.0000000	0.7966022	0.0588760	0.4997446	0.8763049	1.0000000	0.4787327	1.0000000	1.0000000	0.0955747	1.0000000	1.0000000	0.0514038	0.4414171	0.0688220	0.9983799	0.1289483	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6117518	0.0465864	0.2071629	0.3007111	0.2092904	0.8203440	0.9231470	0.4708245	0.2151384	0.5181910	0.2658831	0.6492373	0.9804182	0.5381269	0.9870307	0.7576711	0.9996619	0.0367688	0.6947709	0.0869590	0.6509797	0.9957630	0.0113624	0.4145257	0.4582335	0.4777064
0.1168443	1.0000000	0.7966022	0.0588760	0.9994764	0.4382996	1.0000000	0.4899659	1.0000000	1.0000000	0.0955747	1.0000000	1.0000000	0.0836034	0.4414171	0.0688220	0.9983799	0.1289483	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6117518	0.0465864	0.2071629	0.3013610	0.2092904	0.8203439	0.9086594	0.4708245	0.2151384	0.5181910	0.2658831	0.6492373	0.9994330	0.3583991	0.9870307	0.5748745	0.9996625	0.0367688	0.6947709	0.0869590	0.6708518	0.9957630	0.0113624	0.4145257	0.4582335	0.4777064
0.1168443	1.0000000	0.7966022	0.0588760	0.9994764	0.8339393	0.5000026	0.4899659	1.0000000	1.0000000	0.0955747	1.0000000	1.0000000	0.0836034	0.9203577	0.0688220	0.9983799	0.1289483	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6117518	0.0465864	0.2071629	0.3013610	0.2092904	0.8203441	0.9086594	0.4708245	0.2151384	0.5181910	0.2658831	0.6492373	0.9994330	0.3583991	0.9870307	0.5061030	0.9996619	0.0367688	0.6947709	0.0869590	0.6708518	0.9957630	0.0113624	0.4145257	0.4582335	0.5417904
0.1168443	1.0000000	0.7966022	0.0588760	0.9994764	0.8763049	1.0000000	0.2449837	1.0000000	1.0000000	0.0955747	1.0000000	1.0000000	0.0836034	0.4414171	0.0688220	0.9983799	0.1289483	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6117518	0.0465864	0.2071629	0.3013610	0.2092904	0.8203441	0.9086594	0.4708245	0.2151384	0.5181910	0.2658831	0.6492373	0.9984372	0.3583991	0.9870307	0.5748745	0.9996625	0.0367688	0.6947709	0.0869590	0.1236406	0.9957630	0.0113624	0.4145257	0.4582335	0.4777064
0.1168443	1.0000000	0.6080478	0.0588760	0.9994764	0.8763049	1.0000000	0.4899659	0.5000102	1.0000000	0.0955747	1.0000000	1.0000000	0.0836034	0.4414171	0.0688220	0.9983799	0.1289483	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6117518	0.0465864	0.2071629	0.3013610	0.2092904	0.8203441	0.9086594	0.4708245	0.8588055	0.5181910	0.2658831	0.6492373	0.9994330	0.3583991	0.9870307	0.5748745	0.9996625	0.0367688	0.6947709	0.0916375	0.6708518	0.9957630	0.0113599	0.4145257	0.4582335	0.4777064
0.1168443	1.0000000	0.7966022	0.1515996	0.9703587	0.8763049	1.0000000	0.4897490	1.0000000	0.5000022	0.3257354	1.0000000	1.0000000	0.0821145	0.4414171	0.0688220	0.9983799	0.1289483	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6117518	0.0465864	0.2071629	0.1341286	0.2092904	0.8203441	0.9091284	0.4708245	0.2151384	0.6313096	0.5760347	0.6492373	0.9985296	0.3653351	0.6781872	0.5797671	0.9791462	0.0367688	0.4088870	0.0869590	0.6705070	0.9751081	0.0113624	0.4145257	0.6255053	0.4777064
