YMR037C	YGL162W	YMR070W	YPL177C	YIL101C	YCR096C	YML113W	YGR249W	YDR123C	YMR021C	YBR297W	YJL110C	YMR042W	YER045C	YDR520C	YCL066W	YMR019W	YCL067C	YKL043W	YPR199C	YNL167C	YOR113W	YCR097W	YOL067C	YGL254W	YGL231C	YJR150C	YMR135WA	YMR169C	YNL001W	YLR042C	YMR136W	YLR171W	YJR044C	YAL062W	YLR023C	YCR107W	YDR309C	YPR123C	YDR544C	YER189W	YMR170C	YER145C	YAR050W	YGR073C	YJR050W	YBR013C	YBR292C	YGR136W	YGL001C
0.1806905	0.8158102	0.7785428	0.0201961	0.9250171	0.8631396	0.9335063	0.5556343	0.8328182	1.0000000	0.0955747	1.0000000	1.0000000	0.2947177	0.3753261	0.4660445	0.9926970	0.1289483	1.0000000	1.0000000	1.0000000	0.9093328	0.8806722	1.0000000	0.6809220	0.1894796	0.0000075	0.3562626	0.2560682	0.4976272	0.7849894	0.5050339	0.3590902	0.4684777	0.4631934	0.6551809	0.4940976	0.3265047	0.9915044	0.4093132	0.9996778	0.0663947	0.6446289	0.0872748	0.9053428	0.9661078	0.0196538	0.2692800	0.4582335	0.4020074
0.1684978	0.8701846	0.8374021	0.0164330	0.9996694	0.9594440	1.0000000	0.6553019	0.8121358	1.0000000	0.0955747	0.8617972	1.0000000	0.0686181	0.4385559	0.0194929	0.9866514	0.1617103	0.7673737	1.0000000	0.7874484	1.0000000	1.0000000	0.9581182	0.5176165	0.0791815	0.2071678	0.3036093	0.2370566	0.6840471	0.5392109	0.3667463	0.2161703	0.6256504	0.1802728	0.5406752	0.9996328	0.3787007	0.9890912	0.3674551	0.9996893	0.2637834	0.6517997	0.1100037	0.8946910	0.9962991	0.0000785	0.4247057	0.2418243	0.4766358
0.0952292	1.0000000	0.3406271	0.5686697	0.4242041	0.6544188	0.8880892	0.3435343	1.0000000	1.0000000	0.0955747	1.0000000	1.0000000	0.0440714	0.5555658	0.0790793	0.9991940	0.1029314	1.0000000	0.9357333	0.7774810	0.8706923	0.6610581	0.9867378	0.6406377	0.0232318	0.2071629	0.2713098	0.3387226	0.9284732	0.9539281	0.4733860	0.1351054	0.6449498	0.1661464	0.6309332	0.9681699	0.4973068	0.9872498	0.9861892	0.9997494	0.4457691	0.8912373	0.0278582	0.3871813	0.9961477	0.1715297	0.4138258	0.4582335	0.4361998
0.2120181	0.7343465	0.7829676	0.0520775	0.9976740	0.7672494	1.0000000	0.5839745	0.8112282	0.6660211	0.1993718	0.9349699	1.0000000	0.2984457	0.4414171	0.3038541	0.9725780	0.0942038	1.0000000	0.4871523	0.7758853	0.5817426	0.8509188	1.0000000	0.6504579	0.1260818	0.0831399	0.3941931	0.3029579	0.7679614	0.5254765	0.5407612	0.3853893	0.3548648	0.3155833	0.3758211	0.9984042	0.4325948	0.8971391	0.7419457	0.9776921	0.1146697	0.6342360	0.0871951	0.7941074	0.9884860	0.0002584	0.4372553	0.1958476	0.6075939
0.1257077	0.8768786	0.4520872	0.1749012	0.9400103	0.9200707	0.7921490	0.8885618	1.0000000	1.0000000	0.0955747	1.0000000	1.0000000	0.0479811	0.6603665	0.0211632	0.9979202	0.1289483	1.0000000	1.0000000	0.9448142	1.0000000	0.9783199	1.0000000	0.5688561	0.2904718	0.2071674	0.2460140	0.6258627	0.7383375	0.8944203	0.1726976	0.2151384	0.4685092	0.3142035	0.5727335	0.9998464	0.5786984	0.9814328	0.6087077	0.9808966	0.1396637	0.5300446	0.1001419	0.9467032	0.9971729	0.2521768	0.3672228	0.4582335	0.4268105
0.7468670	0.3842529	0.8593545	0.6263675	0.4203684	0.6713490	1.0000000	0.4824890	1.0000000	1.0000000	0.0561598	1.0000000	1.0000000	0.1028800	0.3231528	0.2454703	0.4121854	0.1289483	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.7598950	0.7064962	0.2075394	0.2332330	0.7137206	0.5341205	0.1965641	0.8368721	0.2151384	0.4602995	0.0453172	0.6492373	0.4554561	0.6697565	0.9882582	0.9319974	0.9810769	0.9162975	0.8776263	0.0859980	0.6957075	0.9963599	0.2663433	0.7542856	0.4582335	0.4089371
0.0883188	1.0000000	0.5910012	0.0372684	0.7095534	0.9026105	1.0000000	0.2601471	1.0000000	0.8127940	0.1386879	0.6294127	0.9970969	0.1245273	0.3279405	0.0663752	0.9993768	0.5803783	0.9555216	1.0000000	0.7625732	1.0000000	1.0000000	0.7568325	0.2678024	0.0196757	0.0021622	0.1445198	0.6583421	0.7472429	0.7948400	0.4731723	0.1265894	0.9041280	0.6465430	0.3905890	0.9899263	0.5076165	0.9665540	0.8197877	0.9993862	0.0048084	0.6911295	0.0134655	0.1899895	0.9631255	0.1133663	0.4136684	0.5063438	0.4255171
0.1111331	0.9154013	0.2575644	0.0703663	0.8312806	0.5672068	1.0000000	0.5442464	0.6778948	0.6528677	0.2066467	1.0000000	1.0000000	0.2722942	0.4414171	0.3984564	0.6388836	0.1289483	1.0000000	0.7565914	1.0000000	0.8065563	0.9468107	0.8975185	0.6634210	0.0325853	0.1875152	0.3955221	0.2333225	0.6972466	0.9209417	0.3785175	0.5854464	0.4596805	0.4645906	0.6653925	0.6894372	0.5302614	0.9098634	0.8827994	1.0000000	0.2783457	0.6610905	0.0989574	0.7688123	0.9576947	0.0000018	0.7859922	0.3471783	0.4136645
0.0679619	1.0000000	0.1717949	0.2576310	0.4629148	0.9945420	1.0000000	0.3547145	0.8087102	0.8590319	0.1253853	1.0000000	0.8146176	0.4369932	0.4414171	0.2183225	0.9681389	0.0809384	1.0000000	0.6083332	0.8335725	1.0000000	1.0000000	0.7723913	0.5051921	0.1012862	0.2071629	0.2322189	0.0751051	0.8495985	0.9781580	0.3037480	0.2100661	0.4081715	0.4137519	0.6492373	0.9215255	0.7350076	0.9728054	0.6497027	0.9805180	0.0018013	0.7090833	0.0697981	0.5479404	0.9640817	0.0501202	0.4412998	0.4932234	0.4267508
0.1017596	1.0000000	0.4794006	0.0194879	0.9998467	0.6526020	1.0000000	0.8140391	1.0000000	0.9275316	0.0774422	0.7480867	1.0000000	0.1075380	0.3967261	0.0250404	0.9988441	0.3730969	0.7074509	0.8403839	1.0000000	0.8066261	1.0000000	1.0000000	0.7924573	0.1468570	0.2071629	0.3537836	0.3360235	0.8900085	0.9325759	0.4624684	0.1286114	0.4778522	0.2120697	0.5033452	0.9993653	0.4916980	0.9753734	0.7349405	0.9997566	0.0081624	0.4121530	0.1999532	0.9581225	0.9652028	0.0000026	0.4141263	0.4753479	0.4845747
