YMR037C	YGL162W	YMR070W	YPL177C	YIL101C	YCR096C	YML113W	YGR249W	YDR123C	YMR021C	YBR297W	YJL110C	YMR042W	YER045C	YDR520C	YCL066W	YMR019W	YCL067C	YKL043W	YPR199C	YNL167C	YOR113W	YCR097W	YOL067C	YGL254W	YGL231C	YJR150C	YMR135WA	YMR169C	YNL001W	YLR042C	YMR136W	YLR171W	YJR044C	YAL062W	YLR023C	YCR107W	YDR309C	YPR123C	YDR544C	YER189W	YMR170C	YER145C	YAR050W	YGR073C	YJR050W	YBR013C	YBR292C	YGR136W	YGL001C
0.0804341	0.8257174	0.5602798	0.0514992	0.7986608	0.5883909	0.7334715	0.3559584	0.6194683	0.7418935	0.0547729	0.8017028	0.8707563	0.0673202	0.2962804	0.0385421	0.8340328	0.1033659	0.7154716	0.6782293	0.7965210	0.7264450	0.7735008	0.7246153	0.3198367	0.0265506	0.1569229	0.2336542	0.1492018	0.5988471	0.7822697	0.3938879	0.2014252	0.3743070	0.1348365	0.5200937	0.6634660	0.1917959	0.6893122	0.3801770	0.7822241	0.0437965	0.4731538	0.0852481	0.5306006	0.9231594	0.0164010	0.3347518	0.3121506	0.3129081
0.0784756	0.8275080	0.5988019	0.0773255	0.8132165	0.5940906	0.6706966	0.3625520	0.7356048	0.8114534	0.0580912	0.3566096	0.7433140	0.0584023	0.3532742	0.1345876	0.7415471	0.4992437	0.8304205	0.7724172	0.8369398	0.7362222	0.9415106	0.8489977	0.4958499	0.0407572	0.0800816	0.2135545	0.1895585	0.5690855	0.5655237	0.2833844	0.1710042	0.4162214	0.1829154	0.2131992	0.7754686	0.3232153	0.7792423	0.3977346	0.6859031	0.0528499	0.5527357	0.0584379	0.4240269	0.7928466	0.0149213	0.2703687	0.3730684	0.4253206
0.1299346	0.7131683	0.5267804	0.0242157	0.7161300	0.6513061	0.7294953	0.3121276	0.8011520	0.7963986	0.0758909	0.7910183	0.3650624	0.0710464	0.3552737	0.0277139	0.6352967	0.1047758	0.7723883	0.7916833	0.7252407	0.7694284	0.9345997	0.6958107	0.4015080	0.0340164	0.1184312	0.2445742	0.1767345	0.5477738	0.7279561	0.3063569	0.1983548	0.3923998	0.2446242	0.4026602	0.7301095	0.2568115	0.6918972	0.5350419	0.7026320	0.0189231	0.4899777	0.1137713	0.5288199	0.8151040	0.0120536	0.2698869	0.3637915	0.3219296
0.1104974	0.6498141	0.4372344	0.0216244	0.8435458	0.8042305	0.8076776	0.3852203	0.6840633	0.7595648	0.0477664	0.7692451	0.7490221	0.0177448	0.3031273	0.0414224	0.7024515	0.0763241	0.6538132	0.7127330	0.8143674	0.8526411	0.7788551	0.8383603	0.4671121	0.0442350	0.1747418	0.3179142	0.2413506	0.5401175	0.5696852	0.3051923	0.1028068	0.2911289	0.2398834	0.5094844	0.6695591	0.1928961	0.6945965	0.3636130	0.6657742	0.0311884	0.6271035	0.0566208	0.5319597	0.7196970	0.0448040	0.2764276	0.3173517	0.3663010
0.2121347	0.7048139	0.6143747	0.0335945	0.7038429	0.6450670	0.6727519	0.3300922	0.8015636	0.7270486	0.0852611	0.7197749	0.7510223	0.0762832	0.1860899	0.0705703	0.6567711	0.1056275	0.8107388	0.7830631	0.6378697	0.7745439	0.7765877	0.7813527	0.6533100	0.0595592	0.1690171	0.2150009	0.2613996	0.6337660	0.6047362	0.3455095	0.1885980	0.2916721	0.1564117	0.3942659	0.7138729	0.3042715	0.7616445	0.3700572	0.6936559	0.0485737	0.5410272	0.0776705	0.5876781	0.7638303	0.0021764	0.2607919	0.3244892	0.4300606
0.0640776	0.7194443	0.6207804	0.0302501	0.8074732	0.6270532	0.7811893	0.3860771	0.7772005	0.7620152	0.0725577	0.6588384	0.7375534	0.0736008	0.2916769	0.0189538	0.8094768	0.0979354	0.6814567	0.8362254	0.8272511	0.6611293	0.8731851	0.7646553	0.5086429	0.0114507	0.1623220	0.2095385	0.1846110	0.5631056	0.5866691	0.3203708	0.1332583	0.3560873	0.1781236	0.5030133	0.7353944	0.2884440	0.7704031	0.4043579	0.8013243	0.0532339	0.5575894	0.0710869	0.5321935	0.6830094	0.0164308	0.3068823	0.2361089	0.3548760
0.1010005	0.6782431	0.4831194	0.0442841	0.7776496	0.6979369	0.7414986	0.3711158	0.8681091	0.7642602	0.0711762	0.6415608	0.8382728	0.0766788	0.2756596	0.0622202	0.4214249	0.1255584	0.7188446	0.7331979	0.8324248	0.7966937	0.8045390	0.8203434	0.4248743	0.0251435	0.1865444	0.2831860	0.1322823	0.5496294	0.7233762	0.3060586	0.2159758	0.3233228	0.1760712	0.5078104	0.8508570	0.2406153	0.5907616	0.4332020	0.6971140	0.0263935	0.5926852	0.0800772	0.5124395	0.7251711	0.0100508	0.6083400	0.4670410	0.2664776
0.0660545	0.6920317	0.5238689	0.1042016	0.6784577	0.6224067	0.6850165	0.4463136	0.5956988	0.6915114	0.0552493	0.7554373	0.6273573	0.0621040	0.2433485	0.0724002	0.8062066	0.1236587	0.8390993	0.7935019	0.8053875	0.7372970	0.6225417	0.7889400	0.4001403	0.0806067	0.1053338	0.1900327	0.1799243	0.6332127	0.6300765	0.2203279	0.1358460	0.4143114	0.2323741	0.4882484	0.7058484	0.3194994	0.6882040	0.3941240	0.7446513	0.0298312	0.5435881	0.0592270	0.4941713	0.7686577	0.0167920	0.3589827	0.3236117	0.4355193
0.0763341	0.7245753	0.6673241	0.0489714	0.7502628	0.6410483	0.8272540	0.3800359	0.6890197	0.8506962	0.0740051	0.7436761	0.6452221	0.1487768	0.2580387	0.0961128	0.6547284	0.0783632	0.4167745	0.7315733	0.6980757	0.6631180	0.6794722	0.8238788	0.4991969	0.0259552	0.1760320	0.2426576	0.1425679	0.6585547	0.7477609	0.2890480	0.1726628	0.3626676	0.2236170	0.5290428	0.8203920	0.2459877	0.7015418	0.5396995	0.6294111	0.0266786	0.4507756	0.2037828	0.4976060	0.7100774	0.0038332	0.3113773	0.3954130	0.2762829
0.1561890	0.7096387	0.5239055	0.0303570	0.6150068	0.6253771	0.7579901	0.4145312	0.7816753	0.8331287	0.1054777	0.7013098	0.7269358	0.0699565	0.4069168	0.0481639	0.6891467	0.0912864	0.6900523	0.3983334	0.8173984	0.6826611	0.9003227	0.6534521	0.3044214	0.0206932	0.1838589	0.3321952	0.1749102	0.6316801	0.7127477	0.2652177	0.1606377	0.2320218	0.1530868	0.4066292	0.7969342	0.2565265	0.5701935	0.5013976	0.8387677	0.0389906	0.4682038	0.0473864	0.5489245	0.7208725	0.0237531	0.3279270	0.2874829	0.4373485
