YMR037C	YGL162W	YMR070W	YPL177C	YIL101C	YCR096C	YML113W	YGR249W	YDR123C	YMR021C	YBR297W	YJL110C	YMR042W	YER045C	YDR520C	YCL066W	YMR019W	YCL067C	YKL043W	YPR199C	YNL167C	YOR113W	YCR097W	YOL067C	YGL254W	YGL231C	YJR150C	YMR135WA	YMR169C	YNL001W	YLR042C	YMR136W	YLR171W	YJR044C	YAL062W	YLR023C	YCR107W	YDR309C	YPR123C	YDR544C	YER189W	YMR170C	YER145C	YAR050W	YGR073C	YJR050W	YBR013C	YBR292C	YGR136W	YGL001C
0.1980004	0.8293368	0.7785034	0.0325615	0.8695895	0.8783513	0.9344850	0.5935178	0.8359679	0.9679832	0.0749150	1.1686856	1.1752574	0.3136774	0.3895278	0.4882474	0.9891879	0.0964893	0.9856991	0.8886069	1.0104160	0.9620149	1.0365396	1.0699265	0.7002773	0.2136336	0.0058774	0.3905665	0.2869768	0.4024381	0.7186506	0.5035141	0.4499184	0.4442528	0.3954305	0.7361989	0.5640120	0.3230430	0.9560449	0.4484349	1.0565027	0.1878582	0.6894807	0.0780547	0.7949539	0.9415119	0.0166053	0.2829798	0.4896184	0.3941290
0.2125295	0.9767156	0.8815165	0.0212295	0.9531749	1.0102185	1.0522519	0.6980130	0.7297893	1.0033423	0.0755155	0.8981800	1.0634792	0.0685139	0.4374353	0.0229082	1.0053348	0.1942740	0.7086245	0.9697730	0.8082108	0.9990921	1.0459964	0.8511466	0.4364959	0.0888289	0.2124822	0.3310580	0.2040967	0.6502878	0.5990376	0.3979136	0.2733057	0.5798837	0.1334589	0.5349936	0.9124342	0.3918195	1.0419011	0.3748435	1.0744770	0.2987161	0.6633359	0.1363122	0.9917829	1.0284146	0.0019196	0.3989752	0.2833297	0.4643368
0.1007394	1.0274642	0.3308637	0.5581353	0.4441261	0.6846908	1.0309259	0.3313567	0.9896723	1.0992788	0.0837298	0.9800987	0.9583093	0.0323101	0.6086260	0.0784721	1.0457591	0.1241281	1.0787507	0.9842680	0.8353434	0.9064573	0.6003953	1.0313326	0.6238090	0.0168824	0.2182269	0.2803371	0.3596992	1.0108559	0.9716732	0.5548824	0.1026267	0.6567922	0.1959622	0.5871431	0.9871926	0.5080324	0.9572258	0.9949828	1.0083256	0.4874064	1.0255824	0.0179774	0.4649957	0.9817524	0.1241776	0.3705884	0.4453361	0.3900478
0.2600140	0.7217991	0.7795552	0.0464064	0.9546714	0.8590618	1.1768374	0.6664598	0.8382640	0.7431404	0.1503003	0.9921170	1.0911834	0.3811311	0.3156188	0.3194202	0.9164024	0.1257936	0.9547836	0.4504972	0.8614722	0.6507556	0.8391741	0.9980011	0.6278803	0.1290844	0.0635497	0.4694216	0.3841664	0.8960831	0.5072860	0.5910859	0.3697870	0.3749385	0.3093351	0.4094312	1.0708075	0.4787158	0.8767519	0.7219110	0.9455821	0.1195487	0.6991338	0.1025054	0.8083054	1.0736511	0.0104892	0.4518625	0.1890731	0.5753972
0.1124490	0.9558586	0.4529310	0.1673071	0.9530148	0.8941832	0.8432806	0.9921666	1.0482014	0.9823483	0.0980155	1.0212427	1.0834337	0.0405601	0.6232153	0.0223834	0.9575214	0.1242467	1.0384814	0.9921273	0.8842329	0.9161274	0.9725273	1.0413482	0.5350915	0.3796949	0.2051199	0.2529364	0.6129315	0.7416017	0.9546309	0.2122803	0.2205702	0.4410536	0.3136864	0.6055284	0.9378040	0.5239305	0.9587686	0.6448891	1.0994366	0.1821491	0.5448077	0.1425515	1.0078164	1.0314024	0.2905620	0.3959828	0.4815677	0.4016276
0.8275447	0.4450928	0.9374768	0.7059006	0.3795506	0.6333302	1.0289773	0.4864657	1.0305333	1.0025569	0.0689829	0.9622751	0.9787069	0.1355229	0.4096859	0.2290748	0.3625959	0.2217833	1.0055619	0.9798024	1.0101585	0.9503993	1.0350541	1.0351542	0.6884484	0.7158134	0.2196466	0.2609704	0.7269186	0.5161748	0.2080961	0.8314323	0.2183842	0.4735083	0.0459256	0.6523117	0.4469138	0.7293398	1.0325512	0.9683393	1.0477442	0.9796606	0.9240177	0.1087570	0.7282364	1.1045572	0.2935618	0.8087825	0.5130769	0.4731039
0.1040921	0.9731055	0.5453326	0.0301238	0.7152397	0.8442907	0.9098254	0.3037863	1.0691641	0.8292555	0.1471013	0.6182206	1.0005522	0.1508637	0.2901361	0.1383157	1.0305326	0.6878243	0.8971781	0.9120948	0.8339299	1.0132835	1.0469379	0.8245314	0.2500336	0.0224985	0.0023874	0.1251038	0.6394823	0.7059662	0.7453130	0.4647636	0.1497051	0.8067333	0.7005639	0.3646945	1.0456869	0.5180409	1.0814497	0.7618828	1.0015236	0.0147218	0.6938667	0.0154051	0.2478671	0.9558317	0.1426506	0.4413129	0.6044123	0.3813303
0.1349909	0.8632565	0.2920939	0.0381775	0.8494290	0.6091092	0.8850469	0.5337677	0.6968458	0.8144923	0.2379830	0.9934505	0.9859336	0.2354967	0.4656797	0.3592799	0.6585066	0.1014373	0.9541667	0.7663049	1.0617594	0.7560263	0.9404736	0.9691661	0.7443228	0.0426083	0.2045411	0.4668183	0.2585326	0.7106408	0.9364517	0.3679042	0.6505945	0.4450684	0.4087815	0.6639642	0.7045613	0.4819941	0.9972792	0.9023585	1.0995955	0.2764207	0.6805116	0.1100056	0.7577085	1.0421833	0.0004858	0.7665376	0.3266688	0.4768149
0.0673722	1.0685263	0.1601573	0.2327346	0.4838882	1.0125451	1.0114281	0.3356698	0.8008047	0.8327253	0.1332507	0.8971203	0.8078562	0.4372225	0.4253797	0.1841240	1.0218276	0.0679886	1.0224280	0.5757309	0.8014699	1.0618318	1.0403539	0.8107646	0.4989381	0.1125707	0.2030916	0.2253650	0.0712680	0.8670625	1.0075267	0.3180059	0.2483735	0.3203027	0.4563522	0.6195899	0.9267052	0.8468001	1.0101139	0.6948461	0.9699848	0.0006384	0.6443640	0.0694309	0.5044238	0.9883411	0.0507679	0.5547699	0.5341528	0.4523775
0.0948731	0.9346155	0.5370322	0.0233813	1.0628947	0.6031583	0.9889141	0.8605452	1.0393145	0.9533693	0.0865117	0.8066810	0.9186284	0.0962061	0.4180309	0.0518549	1.1254378	0.3633166	0.7323348	0.8940850	0.8999223	0.7981163	0.9979449	0.9899369	0.8713227	0.1962076	0.2369597	0.3718229	0.3866492	0.7860229	0.8872462	0.5010753	0.1696927	0.4565452	0.1984021	0.5107286	0.9933340	0.4718254	1.0219325	0.7687590	0.9129701	0.0282819	0.5339344	0.1919432	1.1066092	0.9782752	0.0018601	0.3727231	0.4091883	0.4900837
