YBR033W	YER169W	YIL085C	YML027W	YCR096C	YJL110C	YFL021W	YCR040W	YML113W	YPR199C	YCR097W	YDL170W	YLR098C	YDR520C	YGL162W	YML099C	YCL067C	YPL075W	YMR070W	YCL066W	YPL230W	YDR310C	YPL248C	YPL177C	YKR099W	YBR196CA	YGR258C	YDR014W	YER047C	YMR243C	YDR493W	YBL029W	YBR290W	YDR067C	YJL203W	YLR465C	YIL099W	YDR402C	YGL206C	YBL075C	YBR196CB	YBR211C	YLL033W	YKR003W	YJL081C	YAR002W	YML006C	YEL049W	YCR019W	YNL209W
0.7147523	0.7491105	0.0272145	0.7033145	0.8003099	0.0321297	0.8410393	0.6111377	0.6398751	0.6321900	0.0000000	0.7119896	0.6843427	0.4068627	0.3111576	0.0640113	0.1559027	0.3929497	0.1900870	0.3169943	0.4797240	0.2861131	0.6976479	0.2133741	0.4139551	0.5129699	0.5754820	0.1083812	0.2801178	0.5349874	0.5307065	0.5934997	0.0292735	0.3373335	0.1245554	0.2208881	0.1348630	0.2822134	0.3638023	0.0069702	0.1903199	0.3446009	0.2073213	0.0623103	0.3190861	0.7990174	0.4925529	0.7527726	0.1046702	0.1723022
0.6257036	0.5707862	0.0296353	0.7071919	0.7917315	0.0532904	0.7329780	0.4956044	0.8237824	0.6528358	0.9810567	0.0000000	0.5998714	0.4037173	0.2579590	0.0515832	0.0986221	0.4100318	0.1733753	0.2716250	0.5462192	0.2932653	0.8733514	0.2405519	0.5971172	0.6874003	0.7627330	0.0828570	0.2738116	0.4136728	0.3628889	0.7703643	0.0197608	0.2995097	0.1777749	0.7257104	0.1234358	0.1672798	0.2539245	0.0055215	0.1481344	0.3589452	0.1594620	0.0438275	0.4342289	0.6631806	0.4412940	0.6652491	0.2119863	0.1482948
0.5953784	0.7461912	0.0288985	0.7026947	0.6444118	0.0190275	0.6192992	0.5147402	0.7809044	0.8017513	0.6338690	0.6649618	0.0000000	0.3365612	0.2483448	0.0533144	0.6471673	0.5380232	0.1452469	0.2743313	0.4390945	0.8571900	0.6390510	0.1796802	0.4547331	0.3846671	0.3168335	0.0877773	0.6557591	0.4901941	0.3321412	0.7259313	0.0208147	0.2341574	0.1471589	0.2724723	0.0626611	0.7631741	0.2293417	0.0129142	0.2864233	0.3588770	0.1786066	0.1017922	0.3162531	0.7640796	0.4690895	0.5871345	0.0776625	0.1258247
0.7299235	0.7248315	0.0161692	0.6055504	0.6795248	0.0214473	0.6783607	0.4595029	0.7375288	0.6751269	0.6570234	0.9077987	0.6963091	0.0000000	0.3136573	0.0402683	0.0997286	0.4265842	0.1605265	0.2167765	0.4730233	0.2280323	0.7604500	0.2116795	0.5971752	0.5855045	0.5894708	0.0990041	0.3573188	0.3423823	0.3647077	0.7522874	0.0231047	0.2818202	0.1522709	0.2475801	0.0675848	0.3111981	0.2628276	0.0052952	0.2281178	0.3852406	0.2190681	0.0420991	0.3159529	0.5948467	0.4918868	0.8297082	0.0461519	0.1268846
0.8179525	0.7547585	0.0088882	0.7511464	0.6221502	0.0508846	0.7041805	0.4792501	0.7256607	0.6941259	0.6890528	0.6245140	0.6715305	0.4397012	0.0000000	0.0580686	0.1309121	0.4256882	0.0158710	0.2951574	0.7351817	0.2750384	0.8009006	0.4283822	0.4131382	0.7353842	0.6106476	0.0882603	0.2646734	0.4015126	0.4376942	0.3622193	0.0126921	0.3075677	0.1104854	0.2546430	0.0483374	0.1609741	0.4880483	0.0103592	0.1442312	0.4307206	0.8084971	0.0193697	0.2925201	0.6601196	0.4599152	0.7417246	0.0386199	0.0708243
0.6633332	0.8359846	0.0166327	0.8539742	0.6909415	0.0376025	0.7736188	0.5481712	0.6779496	0.7257785	0.6849002	0.6935857	0.8076004	0.4379882	0.2581222	0.0000000	0.0808974	0.3282569	0.1861752	0.2749482	0.5292883	0.3197916	0.6599007	0.2075737	0.4109292	0.6236437	0.6179606	0.0756201	0.3142813	0.4143281	0.5286463	0.6585028	0.0232571	0.2216193	0.1546963	0.2679902	0.1664549	0.2923423	0.3183143	0.0302298	0.1961760	0.3287872	0.2459536	0.0261713	0.4656144	0.7035252	0.4263268	0.7470974	0.0898744	0.0900869
0.7668426	0.7217514	0.0166760	0.5716443	0.7268853	0.0159508	0.6124999	0.5710585	0.7278713	0.7330332	0.8117694	0.6466161	0.7138350	0.3708043	0.2236508	0.0732732	0.0000000	0.3474062	0.1725276	0.3039190	0.5886951	0.3248417	0.5949045	0.2007273	0.4117387	0.6358752	0.7485499	0.0737322	0.3380360	0.5152110	0.4177609	0.7263713	0.0268964	0.2619503	0.2248592	0.3101493	0.1905187	0.2280741	0.2262660	0.0071648	0.1841679	0.3679951	0.1418702	0.0900238	0.3776342	0.6024842	0.3742750	0.6807928	0.0611321	0.1445874
0.7155811	0.6553214	0.0187611	0.7119163	0.7603760	0.0366299	0.7504609	0.5790113	0.6824549	0.6497436	0.7013176	0.6613757	0.6722205	0.3866235	0.2728231	0.1112885	0.1137434	0.0000000	0.2548132	0.3325127	0.4606047	0.3841249	0.6980140	0.1665605	0.4960039	0.7833817	0.6107339	0.0936971	0.2880070	0.4336019	0.3631128	0.6224918	0.0136786	0.2918622	0.1295998	0.2385342	0.2102093	0.1661493	0.2158377	0.0056699	0.0657024	0.4132886	0.1630254	0.0595863	0.3202896	0.7172587	0.4441892	0.5998139	0.0427599	0.1104458
0.6120839	0.8316802	0.0306260	0.7836610	0.6623389	0.0325347	0.6660738	0.5908460	0.6600338	0.6042832	0.7495083	0.6686927	0.8203645	0.4071466	0.2766049	0.0522368	0.1353268	0.2955148	0.0000000	0.2963239	0.5235549	0.3354936	0.7887230	0.2243973	0.3915560	0.5504585	0.6866898	0.0798097	0.2986222	0.4360873	0.4391542	0.6499311	0.0252143	0.2592970	0.1497784	0.2517444	0.1120333	0.2250671	0.2451406	0.0114342	0.1643806	0.3563100	0.2027068	0.0341934	0.3432661	0.6937367	0.4623575	0.6501451	0.0329765	0.0983475
0.6512718	0.6666123	0.0179904	0.7556146	0.7613805	0.0280752	0.7672699	0.5434940	0.7853396	0.7424620	0.6910010	0.5854898	0.7959930	0.3714911	0.2220783	0.0887925	0.0967985	0.3527294	0.2049603	0.0000000	0.4989882	0.2399965	0.8379126	0.1791072	0.5619374	0.6247935	0.7106169	0.0637308	0.3538404	0.3927465	0.4846325	0.7861931	0.0161246	0.2732149	0.1250765	0.2252467	0.0819684	0.2407777	0.2788729	0.0163927	0.1613352	0.3542822	0.1211687	0.0617372	0.3278503	0.7476657	0.4536028	0.6653714	0.0522764	0.1162926
