YBR033W	YER169W	YIL085C	YML027W	YCR096C	YJL110C	YFL021W	YCR040W	YML113W	YPR199C	YCR097W	YDL170W	YLR098C	YDR520C	YGL162W	YML099C	YCL067C	YPL075W	YMR070W	YCL066W	YPL230W	YDR310C	YPL248C	YPL177C	YKR099W	YBR196CA	YGR258C	YDR014W	YER047C	YMR243C	YDR493W	YBL029W	YBR290W	YDR067C	YJL203W	YLR465C	YIL099W	YDR402C	YGL206C	YBL075C	YBR196CB	YBR211C	YLL033W	YKR003W	YJL081C	YAR002W	YML006C	YEL049W	YCR019W	YNL209W
0.6933443	0.8495345	0.0249695	0.7021372	0.5989649	0.0126449	0.6184601	0.6106867	0.6071360	0.7649496	0.6174574	0.7371191	0.6292776	0.5595771	0.3452259	0.0694561	0.2074650	0.3528464	0.1536808	0.3166819	0.2090166	0.2897926	0.5651716	0.1169100	0.5354191	0.5501926	0.6453817	0.0604878	0.5159125	0.4189131	0.3386749	0.6067740	0.0342496	0.0002291	0.1445229	0.5034186	0.0536915	0.1596898	0.0211973	0.0058994	0.3421021	0.1224550	0.0788953	0.2415218	0.3142886	0.5748771	0.4752665	0.5885071	0.0049644	0.1016743
0.5228548	0.7700305	0.4382589	0.2992583	0.5848578	0.0104132	0.6084733	0.3674616	0.6012039	0.6970446	0.7414081	0.6899579	0.4215290	0.3106625	0.4947011	0.0790667	0.0173890	0.5235877	0.5952925	0.3201080	0.3350461	0.4392103	0.7096295	0.1500006	0.3821946	0.4884810	0.2562122	0.5342969	0.5113934	0.4562170	0.6113639	0.5820487	0.1038754	0.5401123	0.2654509	0.1750218	0.3024864	0.5078702	0.0472508	0.0497855	0.2243951	0.2340456	0.1330989	0.4522822	0.7964428	0.7744897	0.0951765	0.4964305	0.2250251	0.5529654
0.7135439	0.5637662	0.0060070	0.8591501	0.3791422	0.0451101	0.5547159	0.6714840	0.7650239	0.6028007	0.7912004	0.4787306	0.6246421	0.1616077	0.2468515	0.0337420	0.0003536	0.3914916	0.1512224	0.0352480	0.5047629	0.3419342	0.7123516	0.4592958	0.4073669	0.7633788	0.5746704	0.0576409	0.3237126	0.5046960	0.4738244	0.8007394	0.0136411	0.4899540	0.1706550	0.1457694	0.3174636	0.2856649	0.2670847	0.0027564	0.4678702	0.3207383	0.2354837	0.0551347	0.3674544	0.5212265	0.3747750	0.7135199	0.0944043	0.0417693
0.6857053	0.4383801	0.0421942	0.6335469	0.6124485	0.0089750	0.7543233	0.3670693	0.6537536	0.5988420	0.5214627	0.5529310	0.6188510	0.5141671	0.2685706	0.0191312	0.1647124	0.3444172	0.2794521	0.3051403	0.2875440	0.2876059	0.7127238	0.3013484	0.5890247	0.5219056	0.6602557	0.1253364	0.1781331	0.4768406	0.5107570	0.6295224	0.0127114	0.0627548	0.1614760	0.4933149	0.2822505	0.1436229	0.0449719	0.0013411	0.1577774	0.3297862	0.2154445	0.1688073	0.4030777	0.6372424	0.3682549	0.7630985	0.0306824	0.1547747
0.7626273	0.6008863	0.0185095	0.6583312	0.8035602	0.0436049	0.6176880	0.4006050	0.6922741	0.4716800	0.6538666	0.7222513	0.5745320	0.3616970	0.1310505	0.0352912	0.1382874	0.3097337	0.2838671	0.6055147	0.6369201	0.3623151	0.4398535	0.3793151	0.3781826	0.6583472	0.4648169	0.0610183	0.4027052	0.3534288	0.3884967	0.6390490	0.0150286	0.3157207	0.1897787	0.0031433	0.5596021	0.1793474	0.3128477	0.0023629	0.1474185	0.3933374	0.3623285	0.0925079	0.4455110	0.6813809	0.6303107	0.7042615	0.0263762	0.1273575
0.5698060	0.5891242	0.0748803	0.5461363	0.4757291	0.0022743	0.3933060	0.7386919	0.7029470	0.5630787	0.3792944	0.4016205	0.7400450	0.5684069	0.1648066	0.0761506	0.0003556	0.3442000	0.1916944	0.0482359	0.4934814	0.2819486	0.6046299	0.1794175	0.2128363	0.5719652	0.7133617	0.1607586	0.3483418	0.2780042	0.3989112	0.6032490	0.0559486	0.4501872	0.2559475	0.2433856	0.1630712	0.2003584	0.2811376	0.0035914	0.3490746	0.3139154	0.3322345	0.1692962	0.5729743	0.6731424	0.3031245	0.5549925	0.0986165	0.1687975
0.5740249	0.5677231	0.0157074	0.7973469	0.7468860	0.0013482	0.5776715	0.6977140	0.5947434	0.6365569	0.4489779	0.5987581	0.4967955	0.1182490	0.1739176	0.0453359	0.1357179	0.3755328	0.0693835	0.4400842	0.4891052	0.3428413	0.7323171	0.3791736	0.5907529	0.7140826	0.3270720	0.0352964	0.4894979	0.4947316	0.5728673	0.7701672	0.0045161	0.0556676	0.1579661	0.0998754	0.2870038	0.1286138	0.2311595	0.0099039	0.1825474	0.3216454	0.2606937	0.0397907	0.2505835	0.6513979	0.4730107	0.8094452	0.0133356	0.0542871
0.8134421	0.8026082	0.0233883	0.5533200	0.6909470	0.0187812	0.7493011	0.6522831	0.3519890	0.5597132	0.6680251	0.6561708	0.7258635	0.2199154	0.2722112	0.0563185	0.1582579	0.4568803	0.2770702	0.5002282	0.4791178	0.3032385	0.6922714	0.1071688	0.4078657	0.6343663	0.5985181	0.0310002	0.4737520	0.3855123	0.4835683	0.5664916	0.0194106	0.2796970	0.2156056	0.2287213	0.0157904	0.1676477	0.1309613	0.0067242	0.2215504	0.2027137	0.1414048	0.1776599	0.4159782	0.6663155	0.4173985	0.7189015	0.0559914	0.2192890
0.6044888	0.7398762	0.0147258	0.7497249	0.7691568	0.0226089	0.5650280	0.3726948	0.3312200	0.6194597	0.8118476	0.5278047	0.6658282	0.1556727	0.2093974	0.0522541	0.1791991	0.4059384	0.1248389	0.1589966	0.3903320	0.2728603	0.5923879	0.0128550	0.3890513	0.6815465	0.3708785	0.0197675	0.2841725	0.2869495	0.4182458	0.3764939	0.0228561	0.0883760	0.1829181	0.0295668	0.0716545	0.0803203	0.3102352	0.0061498	0.0770236	0.3469609	0.2056912	0.0872616	0.4383117	0.6621220	0.4135804	0.5599335	0.0900985	0.0883525
0.7651962	0.5001856	0.0458189	0.6801679	0.6661908	0.0160865	0.6378487	0.4797746	0.6017863	0.6178726	0.7719634	0.6394962	0.4013883	0.5414321	0.2514284	0.0721352	0.0617024	0.3667838	0.2487079	0.2444359	0.4952655	0.3443366	0.5460589	0.1876602	0.3773104	0.4817914	0.7304257	0.0982893	0.6024250	0.4233519	0.3994508	0.7834636	0.0190054	0.3543241	0.1340176	0.2882214	0.0647438	0.2396523	0.1998725	0.0075070	0.1505938	0.2812108	0.0355535	0.2015718	0.3987787	0.7238512	0.5530884	0.5972159	0.0715663	0.1828333
