YBR033W	YER169W	YIL085C	YML027W	YCR096C	YJL110C	YFL021W	YCR040W	YML113W	YPR199C	YCR097W	YDL170W	YLR098C	YDR520C	YGL162W	YML099C	YCL067C	YPL075W	YMR070W	YCL066W	YPL230W	YDR310C	YPL248C	YPL177C	YKR099W	YBR196CA	YGR258C	YDR014W	YER047C	YMR243C	YDR493W	YBL029W	YBR290W	YDR067C	YJL203W	YLR465C	YIL099W	YDR402C	YGL206C	YBL075C	YBR196CB	YBR211C	YLL033W	YKR003W	YJL081C	YAR002W	YML006C	YEL049W	YCR019W	YNL209W
0.7922701	0.9928715	0.0091415	1.0063263	0.8158126	0.0060425	0.9377298	0.9845190	0.9504368	1.0541410	1.0439558	1.0593339	0.9019891	0.8284292	0.4210604	0.0559943	0.2341287	0.4817191	0.3327902	0.5267016	0.3219688	0.5219810	0.7795526	0.2210273	0.7745745	0.7089511	0.8333237	0.1045661	0.5082095	0.7197304	0.4726003	0.9451195	0.0237864	0.0002699	0.1722571	0.6770688	0.0835950	0.1825531	0.0537799	0.0193027	0.5056402	0.2617941	0.1228798	0.3806942	0.4738314	0.8754636	0.6720057	1.0382256	0.0334170	0.1599817
0.9350658	1.0425123	0.5686764	0.3876085	0.8149945	0.0526487	0.8578317	0.5904679	0.9897328	0.9567692	1.0601839	1.0229693	0.6328791	0.4769645	0.7877619	0.0908652	0.0261428	0.6693051	0.8562643	0.3829787	0.3884731	0.6309590	1.0302344	0.1770101	0.5348311	0.6830485	0.3852471	0.8744827	0.7486952	0.6123406	0.6378734	0.8721080	0.1233073	0.7040885	0.2846812	0.3049774	0.4195824	0.7418040	0.1029766	0.0764902	0.3784984	0.3496170	0.1842477	0.6871590	1.0026858	0.9385458	0.1084056	0.6216551	0.2827032	0.7272918
1.0349233	0.7982058	0.0128226	1.0059205	0.6123129	0.0550365	0.9754727	0.9221108	1.0757200	0.9233829	1.1408175	0.7315628	0.9360400	0.3155326	0.3876769	0.0766396	0.0000779	0.5493712	0.2304654	0.0761030	0.8279016	0.4576835	1.0617517	0.8046788	0.7480252	0.9278161	0.8899050	0.1003695	0.5228002	0.9055015	0.6635614	0.9920335	0.0138577	0.6668415	0.2184640	0.2632704	0.2862523	0.3288962	0.3585968	0.0081819	0.6034340	0.4848039	0.3245920	0.0826048	0.5000503	0.8501607	0.5806618	0.9237118	0.1105538	0.0630807
0.9546990	0.6615238	0.0349610	0.9633313	0.8355321	0.0082136	1.0292402	0.4417905	0.9962818	1.1344092	0.7083692	0.9241228	0.9861159	0.6774388	0.4456059	0.0646156	0.2111709	0.6280909	0.3638036	0.3333374	0.4314305	0.4686311	0.9800146	0.4893187	0.7122567	0.6763813	0.9892393	0.0947995	0.2888754	0.6891571	0.5843981	0.9755414	0.0163473	0.0668780	0.2617750	0.7270884	0.4745058	0.2283840	0.0677351	0.0115917	0.3325710	0.3950046	0.2628852	0.3135158	0.5529431	0.9385768	0.5292204	1.0067069	0.0542612	0.1972293
0.9305245	0.8116348	0.0321336	0.9822622	1.0288912	0.0188696	0.9849316	0.6018829	1.0600323	0.6737309	0.8619108	0.9991273	0.8416922	0.4521563	0.2300092	0.0744323	0.1960473	0.4298838	0.2789751	0.8819356	0.8322633	0.5303480	0.6838154	0.5681524	0.6022020	0.8653194	0.6239617	0.1113625	0.6379609	0.5623590	0.5779782	1.0383075	0.0175612	0.4713394	0.2391782	0.0087059	0.6677437	0.2950045	0.4228309	0.0091673	0.2191386	0.6269210	0.4903558	0.1849307	0.5056961	0.8325109	0.7414797	0.9495250	0.0157866	0.2268944
0.9517451	0.7980916	0.1197582	0.6690807	0.6978095	0.0018306	0.6797489	1.0487295	1.0399335	0.9852885	0.6907042	0.5586807	0.9919152	0.8134969	0.2723184	0.1165036	0.0006478	0.4383686	0.3458072	0.0689747	0.5864861	0.3931348	1.0660366	0.3241394	0.3941011	0.8692311	0.9054704	0.2059740	0.4687181	0.4203565	0.6590790	0.9132676	0.0341528	0.6973039	0.4058106	0.3008113	0.2437494	0.3697057	0.4606141	0.0079363	0.3585273	0.5369127	0.4222523	0.3095496	0.7609151	0.9144879	0.5192257	0.8239534	0.1133701	0.2163619
0.9381310	0.9170909	0.0286960	1.1019706	0.9962613	0.0069601	0.9551064	0.8423011	1.0031141	1.0638294	0.6788378	0.8373008	0.8156202	0.2300989	0.3466769	0.0460185	0.2245700	0.5156659	0.0862381	0.5644558	0.6750153	0.3875216	0.9742618	0.4352596	0.7883803	0.9105750	0.4577770	0.0929253	0.6767181	0.6677518	0.6364352	1.0824309	0.0071409	0.0857140	0.1843627	0.1687580	0.3860545	0.1885040	0.3328362	0.0026245	0.2684855	0.4987206	0.3673126	0.0470665	0.4863971	0.9374224	0.7887135	1.0099913	0.0170746	0.1476118
1.0193690	1.0187317	0.0382127	0.6860314	0.9818511	0.0279860	0.9710673	1.0503913	0.5025294	0.7790938	1.0090515	0.9974729	1.0330856	0.3331309	0.4057189	0.0884316	0.1789843	0.6740275	0.4030006	0.6874519	0.7178817	0.4310720	1.0139922	0.1737915	0.6163307	0.8364047	1.0206290	0.0316150	0.5189616	0.5631407	0.7190950	0.8459635	0.0359441	0.2661814	0.3163539	0.3493332	0.0613950	0.2662228	0.1854563	0.0030658	0.2975550	0.2643545	0.2525173	0.3129644	0.6490790	1.0100397	0.5411375	0.8899658	0.1163737	0.2025254
0.8664054	1.0691381	0.0212757	1.0546921	1.1518931	0.0384333	0.9919544	0.5810568	0.4880401	0.8657561	1.0310285	0.5974766	1.0259889	0.1696807	0.3840793	0.0825430	0.2512812	0.5461058	0.2243274	0.1698580	0.7011747	0.3402781	0.7732765	0.0142216	0.5362233	0.9478434	0.5940423	0.0238013	0.4394099	0.5634370	0.6591663	0.6440431	0.0230861	0.1239415	0.2952250	0.0596094	0.0758354	0.1539066	0.3663929	0.0073000	0.1378765	0.4164600	0.2693417	0.0662858	0.5379072	0.9120272	0.6271651	0.9794875	0.1387341	0.1606311
0.9773049	0.7224260	0.0585616	0.8533544	1.0025030	0.0396961	0.8030514	0.8028129	0.8097001	1.0483556	1.0552148	0.8128389	0.5812339	0.7679720	0.4144579	0.1004232	0.1527898	0.5760582	0.2994672	0.3316020	0.6373516	0.4140203	0.6979848	0.3005043	0.6396167	0.7077411	0.8891602	0.1515405	0.7749548	0.5158500	0.4658154	1.0100001	0.0333632	0.4783221	0.2113364	0.5114779	0.0778603	0.1711757	0.2673539	0.0054899	0.1901738	0.5495278	0.0812929	0.1790175	0.6552925	0.8858730	0.6440392	0.9440889	0.1021102	0.2272659
1.0626229	1.0826199	0.0243462	0.9191971	0.7672426	0.0416770	1.0197185	0.8108006	0.9311960	0.8758091	1.0107356	0.7363883	1.0135725	0.8398072	0.3418371	0.0530564	0.2090686	0.4179940	0.1395165	0.2984176	0.5283869	0.4521866	0.9769859	0.5973094	0.7305013	0.8818945	0.8996028	0.0923892	0.5092131	0.5891933	0.6062399	0.9302702	0.0296584	0.6023066	0.2428956	0.1915784	0.5506421	0.4255626	0.1355118	0.0125400	0.0882771	0.5247208	0.3055735	0.0150939	0.3880772	0.9219402	0.5022257	0.9406374	0.0905701	0.1725802
0.9740315	1.0615136	0.0377517	0.8495812	0.7568851	0.0419393	1.0149706	0.9238751	0.9276473	1.0308468	0.9413484	0.5454564	0.7974749	0.2487896	0.4473627	0.0800825	0.2219613	0.5814023	0.5458417	0.2664879	0.7327193	0.5267475	0.7565079	0.3908596	0.8269892	0.6144589	0.9064484	0.0493423	0.4934019	0.6191177	0.7695506	0.9756012	0.0412238	0.0000564	0.2485062	0.6854107	0.1938932	0.4352545	0.5206932	0.0061925	0.2893261	0.6243792	0.0182170	0.3412411	0.4037937	0.9591335	0.5209978	0.9969134	0.0268940	0.2739642
0.9738193	0.8933628	0.0397916	0.9113748	1.0131935	0.0044685	0.9399279	0.6599150	0.9810633	1.0223435	1.0833746	1.0755759	1.0241454	0.4869046	0.4112999	0.0720866	0.2746463	0.4065013	0.6894145	0.4337989	0.5861763	0.4671596	0.4575287	0.0226353	0.6708434	0.5597758	0.8894570	0.0540484	0.5034840	0.5619287	0.3827401	1.0460056	0.0150706	0.3042037	0.2628143	0.0477251	0.0138869	0.3915342	0.1757139	0.0033954	0.1045443	0.7363035	0.2426205	0.7425689	0.5509114	0.7074689	0.5085948	0.9640932	0.1212126	0.2340936
1.0423184	0.6085177	0.0849317	0.5563205	0.9556261	0.0485447	0.9629134	0.5448908	1.0399685	0.6480123	0.2389846	0.8852653	1.0122260	0.6503173	0.5244819	0.0383694	0.0183555	0.5136793	0.6397412	0.1912729	0.6200149	0.3630147	1.0579251	0.2429209	0.5230843	0.8416229	0.6865858	0.1231470	0.4695496	0.6889708	0.7857752	0.9929258	0.0576980	0.7012260	0.4343448	0.2162308	0.0382014	0.2611942	0.2051753	0.0212897	0.2894020	0.4542244	0.0220062	0.7000743	0.7495511	0.9624697	0.4642620	0.9000114	0.1828357	0.3506469
0.9483141	1.0362756	0.1800731	0.6371768	0.6989559	0.0141260	0.9991958	0.7609078	0.9853444	0.7451786	1.0787251	1.0538855	1.0188650	0.7357119	0.6305819	0.0825976	0.2305614	0.7069721	0.7621774	0.2546777	0.4668246	0.4417075	1.0280588	0.3988789	0.6241664	0.5079631	0.8911395	0.2174943	0.5507492	0.5140882	0.6049708	0.9991285	0.0400787	0.2669743	0.4085734	0.5731852	0.1660182	0.4891163	0.5227128	0.0269560	0.2650744	0.4641800	0.2093826	0.6083047	0.7749291	0.9696837	0.2169472	0.8180981	0.1867728	0.4967794
0.9304120	0.6362719	0.0385502	0.7645488	1.0209620	0.0534498	0.9685457	0.8682766	1.0255581	0.9599225	0.8135481	1.0496976	1.0340185	0.7613816	0.2284033	0.0705424	0.0000298	0.5813332	0.0558881	0.6953052	0.6750818	0.3121568	1.0917692	0.3232617	0.5695245	0.5471460	0.8929932	0.0888266	0.3937491	0.5313025	0.6819373	0.8838594	0.0435635	0.3014546	0.3107341	0.0242968	0.1751399	0.1034196	0.4322280	0.0197317	0.7163711	0.4971238	0.6335375	0.0148848	0.5928739	0.9750232	0.6089074	0.8624646	0.0362394	0.2518779
