YBR033W	YER169W	YIL085C	YML027W	YCR096C	YJL110C	YFL021W	YCR040W	YML113W	YPR199C	YCR097W	YDL170W	YLR098C	YDR520C	YGL162W	YML099C	YCL067C	YPL075W	YMR070W	YCL066W	YPL230W	YDR310C	YPL248C	YPL177C	YKR099W	YBR196CA	YGR258C	YDR014W	YER047C	YMR243C	YDR493W	YBL029W	YBR290W	YDR067C	YJL203W	YLR465C	YIL099W	YDR402C	YGL206C	YBL075C	YBR196CB	YBR211C	YLL033W	YKR003W	YJL081C	YAR002W	YML006C	YEL049W	YCR019W	YNL209W
0.6610006	0.7400663	0.0154702	0.6877392	0.5702608	0.0350708	0.6594548	0.5749358	0.8401399	0.6818449	0.2982167	0.7922873	0.7845504	0.4535606	0.2791544	0.0519401	0.0884992	0.4630882	0.1457119	0.3430063	0.6154684	0.2563944	0.6396315	0.2904660	0.4191913	0.6806556	0.6430865	0.1103909	0.4285608	0.4134623	0.4430860	0.6843278	0.0122846	0.2547876	0.1443191	0.2058850	0.1746652	0.1586961	0.3866104	0.0018831	0.1441602	0.3452512	0.2276298	0.0632025	0.3737419	0.6790229	0.5300976	0.6730487	0.0929587	0.1360893
0.6384633	0.5925038	0.0047959	0.7329738	0.6026756	0.0321122	0.5791083	0.5457973	0.7545801	0.6184894	0.7640772	0.3746928	0.7060736	0.4531939	0.2525548	0.0788373	0.0913238	0.3700084	0.1053325	0.3624909	0.5244713	0.2873368	0.7465678	0.2779621	0.3930003	0.7087956	0.6908201	0.0900954	0.2793493	0.3701527	0.5372315	0.6996860	0.0275855	0.2215716	0.1785250	0.2189055	0.2067301	0.1845867	0.2564089	0.0120906	0.1168570	0.3090360	0.2190291	0.0443720	0.3373042	0.6549034	0.4920935	0.6840631	0.1557316	0.1340558
0.7166995	0.7664068	0.0374803	0.8582749	0.7648708	0.0160267	0.7499202	0.4444892	0.7519793	0.6749255	0.7860765	0.7871729	0.3056476	0.4159512	0.3591816	0.0370910	0.1971082	0.4132957	0.2226658	0.2641940	0.5417272	0.4889092	0.6789464	0.1558041	0.5086076	0.6293949	0.5205892	0.0654405	0.5614008	0.4381733	0.4264379	0.5984115	0.0142300	0.3383212	0.2144969	0.2839197	0.0895381	0.4551802	0.2360293	0.0212065	0.2119978	0.4493819	0.2014687	0.0967650	0.2863862	0.8431492	0.4698101	0.7354400	0.0447312	0.1106080
0.6510696	0.7596120	0.0228970	0.7989600	0.5813768	0.0296384	0.6129344	0.5189751	0.7911390	0.6717129	0.7856213	0.7374735	0.6698510	0.2887816	0.3229633	0.0395727	0.1413410	0.4686507	0.1360340	0.3021608	0.4687863	0.3178087	0.6206582	0.2355691	0.3484461	0.6467583	0.6160792	0.0524336	0.3437087	0.3869525	0.5248247	0.6178818	0.0338848	0.2560142	0.2219546	0.2444687	0.1475098	0.1800069	0.2473469	0.0094553	0.2190947	0.3528400	0.2222426	0.1055539	0.3166441	0.7901314	0.4166344	0.6863898	0.0873349	0.1334732
0.7282260	0.7073535	0.0137738	0.7200237	0.6565361	0.0158411	0.7656738	0.3726454	0.7159627	0.5643467	0.7369877	0.7989351	0.7018487	0.4183700	0.1365479	0.0606183	0.1545776	0.4013871	0.0081296	0.2611936	0.6960789	0.3526950	0.7388326	0.3126748	0.4718082	0.7075297	0.7212241	0.0367410	0.3759479	0.5084607	0.4172906	0.6913490	0.0159072	0.2524235	0.1202078	0.2241047	0.1740834	0.1575098	0.3249630	0.0022183	0.1079127	0.3016562	0.5866668	0.0191138	0.3594188	0.8523949	0.5249434	0.6257694	0.0319041	0.1102733
0.7202763	0.6512668	0.0124637	0.8190928	0.7151486	0.0147242	0.7487329	0.5185964	0.6814357	0.7093029	0.6572664	0.7490402	0.7423271	0.4129748	0.2900346	0.0226175	0.1602372	0.4196948	0.2130164	0.3081076	0.4561066	0.2973333	0.7438942	0.1174633	0.4264030	0.5079254	0.6424020	0.0579081	0.2665751	0.4817460	0.4975988	0.7383404	0.0185374	0.2910989	0.1696357	0.2782723	0.0695175	0.2148685	0.2160726	0.0139811	0.1638468	0.3704547	0.1790157	0.1521613	0.4240266	0.7854232	0.4343889	0.6314765	0.0379766	0.1867782
0.6834249	0.7198201	0.0364674	0.5741505	0.6656288	0.0242232	0.8182681	0.4768003	0.7031222	0.7343069	0.6855447	0.6272796	0.7273336	0.3855797	0.2471497	0.0578423	0.0500562	0.3142310	0.1016241	0.2090405	0.4959441	0.3208216	0.7037887	0.2586721	0.4435288	0.6582545	0.7069400	0.1160730	0.2172286	0.4069271	0.3686895	0.7341555	0.0359519	0.2710500	0.1801900	0.2169155	0.1313440	0.2781820	0.1785014	0.0061938	0.1808725	0.4916803	0.2847030	0.0787788	0.3938416	0.6748288	0.4983582	0.7550455	0.0367397	0.1325996
0.6149165	0.6292374	0.0111407	0.6674640	0.7763573	0.0704116	0.7198348	0.5356248	0.6287926	0.7200629	0.7663269	0.6381037	0.7679990	0.3957604	0.2888611	0.0531770	0.0968417	0.1993050	0.1809576	0.3747689	0.4843076	0.2815227	0.7375562	0.2399757	0.4863013	0.7687452	0.7913864	0.0933914	0.2909340	0.3401107	0.4143770	0.5890500	0.0082465	0.3125164	0.2056760	0.2233957	0.1442775	0.2303432	0.2291150	0.0032994	0.0816267	0.3456378	0.1545065	0.1265193	0.3566686	0.5325910	0.5351078	0.5181056	0.0672307	0.1172896
0.8072704	0.6762154	0.0070205	0.7140883	0.7254436	0.0418955	0.6704511	0.4793528	0.6662298	0.6306495	0.6508243	0.8426830	0.7400002	0.4842001	0.2898879	0.0565134	0.1592266	0.3376093	0.0858603	0.3110785	0.4584768	0.3129247	0.8086219	0.2097456	0.4973861	0.6638751	0.8793014	0.0807182	0.4347192	0.4237847	0.4461576	0.6481767	0.0167492	0.2645422	0.1697300	0.2800774	0.1451817	0.1898940	0.3876695	0.0004539	0.1205391	0.2489348	0.1720166	0.0124521	0.3535500	0.6695660	0.4738029	0.6710149	0.0704832	0.1189899
0.7701871	0.7788648	0.0132647	0.6758717	0.7255734	0.0349914	0.7346832	0.4269763	0.7826154	0.8538382	0.6789198	0.8592271	0.6332624	0.4461588	0.2728294	0.0436100	0.1757694	0.3779173	0.1611693	0.2023655	0.5399543	0.3217992	0.8039902	0.2249888	0.5126278	0.6243417	0.6343426	0.0772173	0.3386738	0.4372501	0.4435886	0.7684365	0.0107867	0.4030504	0.1790582	0.2099377	0.1047117	0.1939656	0.3115059	0.0062368	0.2093555	0.4018189	0.2394718	0.0741178	0.3066520	0.6771400	0.4276183	0.6014716	0.0983301	0.0797821
