YCR097W	YCR040W	YPR199C	YJL056C	YHR006W	YCL066W	YKL109W	YDL170W	YLR013W	YGR044C	YOR032C	YCR018C	YLR098C	YOR140W	YJL110C	YDR146C	YKR034W	YGL162W	YMR070W	YHL027W	YLR131C	YGL035C	YDR123C	YOR344C	YER045C	YJL166W	YNL253W	YDR275W	YKL141W	YMR086CA	YPL026C	YHR111W	YHR145C	YIR006C	YDR129C	YOL042W	YDR210WD	YEL001C	YFL022C	YER177W	YMR136W	YIL099W	YOL157C	YNL254C	YGR073C	YGR019W	YPL251W	YPL078C	YLR463C	YFR017C
0.7453353	0.2282564	0.6833246	0.6466086	0.0481614	0.4035190	0.6809575	0.6357347	0.4279397	0.2876184	0.6866957	0.1354788	0.5865713	0.0341469	0.5641088	0.5266785	0.0259836	0.7591535	0.4407358	0.3565266	0.8348830	0.7416222	0.6392832	0.6052284	0.5444040	0.1650344	0.2337586	0.3713821	0.0240534	0.6918969	0.4837899	0.4112697	0.0136570	0.7291230	0.3781638	0.4567222	0.5073767	0.6806539	0.4524088	0.0935693	0.4485661	0.2174645	0.4558696	0.7829261	0.2650902	0.0844939	0.0775204	0.4792964	0.1074345	0.6048492
0.8008234	0.2856267	0.6304196	0.6169676	0.1556632	0.5052205	0.6098067	0.7283893	0.3951505	0.0895035	0.4433674	0.3986547	0.6806144	0.3147739	0.6520968	0.5145269	0.0237790	0.5613749	0.6495690	0.2360722	0.5492438	0.7339762	0.7191188	0.7237635	0.7074445	0.2106018	0.3486248	0.3837205	0.0624402	0.7186677	0.4256959	0.3836491	0.0823747	0.8098311	0.5046596	0.5553534	0.6389007	0.8658488	0.4165846	0.0030477	0.5341541	0.2329330	0.4963158	0.7255054	0.3697842	0.1920879	0.0991963	0.4419264	0.0648133	0.4244639
0.5856111	0.3668356	0.7286867	0.8601751	0.0004960	0.3571778	0.8026917	0.7849466	0.3639190	0.1198018	0.9170712	0.2428686	0.6869166	0.1865804	0.6421494	0.4231081	0.0024369	0.7649813	0.5539887	0.6326296	0.7124575	0.6822673	0.7253322	0.6543270	0.7265484	0.2613256	0.2422527	0.3667687	0.0412764	0.8207812	0.2752006	0.4557542	0.0150424	0.6246579	0.2781076	0.6728652	0.4627152	0.6795741	0.4329785	0.1853185	0.3374282	0.1341652	0.4983080	0.7995941	0.4720816	0.3024999	0.0616853	0.3543650	0.0705087	0.5676705
0.6879649	0.2528193	0.7679647	0.7948717	0.2109834	0.3611140	0.6093452	0.7623046	0.3372382	0.1772362	0.6594961	0.2696231	0.6598891	0.2669520	0.8637567	0.6027174	0.0439852	0.8158096	0.4400422	0.5443406	0.7920860	0.6489267	0.7355136	0.7874295	0.7302636	0.2474867	0.1641830	0.3639382	0.0414213	0.6982613	0.1155168	0.4338502	0.0153640	0.7415476	0.2207830	0.6698497	0.4120695	0.7945404	0.3452582	0.1733835	0.3942304	0.2215142	0.7333465	0.7575284	0.0911802	0.0931962	0.0604264	0.3512587	0.1301929	0.5118346
0.6245441	0.2757428	0.7066424	0.4372055	0.2470843	0.6203097	0.8413933	0.7004300	0.2980700	0.0721818	0.7741038	0.3469117	0.8245605	0.2868875	0.6910688	0.4642864	0.0306541	0.7571835	0.6382019	0.4804435	0.6873432	0.7700273	0.8579797	0.6648509	0.3845897	0.0792403	0.3012736	0.3700547	0.0354105	0.8293722	0.1877140	0.4735684	0.0980147	0.6499525	0.1157728	0.5116584	0.6082015	0.7523299	0.3443732	0.1495613	0.4096163	0.1970080	0.6029153	0.7833903	0.1622814	0.0102254	0.0985496	0.2221952	0.1634868	0.4854773
0.3114412	0.5593928	0.5950911	0.4865288	0.1024428	0.5632558	0.6594791	0.7025211	0.3550334	0.4683378	0.8139165	0.1157947	0.7596140	0.0779029	0.5886781	0.2725696	0.0005364	0.6281331	0.3489405	0.4379704	0.7297819	0.6561410	0.6041479	0.5326715	0.7483378	0.1555736	0.2423117	0.4751551	0.0125292	0.6573147	0.1503937	0.5530874	0.0268566	0.5600129	0.4513789	0.7566381	0.5891221	0.6312439	0.5445232	0.0586231	0.3962093	0.3317068	0.6844444	0.8509943	0.7349918	0.3173531	0.0443302	0.4934237	0.0266806	0.6400632
0.7939716	0.1347693	0.6979302	0.7077264	0.0488802	0.1243710	0.8044710	0.7147862	0.6911462	0.4628015	0.7574348	0.0656840	0.6862083	0.0221109	0.6453549	0.4503589	0.0323846	0.7345190	0.5720689	0.4095156	0.7454244	0.8707385	0.7160833	0.4392133	0.6765624	0.1860691	0.2518404	0.3283446	0.0247573	0.6178836	0.1398651	0.4779719	0.0070932	0.8337071	0.2423396	0.7079712	0.4598193	0.6270424	0.4834716	0.3357607	0.3760264	0.0305891	0.6974614	0.6675817	0.1779723	0.1353885	0.0777504	0.4959740	0.0691542	0.8244078
0.8585771	0.2731232	0.6594073	0.4158648	0.0000859	0.1319944	0.6461229	0.6544535	0.4501676	0.2421855	0.6114543	0.2018884	0.7679399	0.2266175	0.7907167	0.4145411	0.0004620	0.7989512	0.6171146	0.5629411	0.8927366	0.7077094	0.4896701	0.6722718	0.8470620	0.2423317	0.2796716	0.5647506	0.0805847	0.7606926	0.6244127	0.3848965	0.0547564	0.6833865	0.2066495	0.7265671	0.4833449	0.7627431	0.3964385	0.0859824	0.3318745	0.3176252	0.4408734	0.8749140	0.8864273	0.0601158	0.1044338	0.3593958	0.0826634	0.7190282
0.7090237	0.2519797	0.6313062	0.4083390	0.0017833	0.2159316	0.7114073	0.5200237	0.5377059	0.3528492	0.8649036	0.1480838	0.6184214	0.0186688	0.6787103	0.5413812	0.0281823	0.4745236	0.7831478	0.1886293	0.7025837	0.7286556	0.5437342	0.6713140	0.5482026	0.2766346	0.2768042	0.2234895	0.0103818	0.7153990	0.4973849	0.5056003	0.0887639	0.6288058	0.5098666	0.6249556	0.3829680	0.6891180	0.4182214	0.2150994	0.4754938	0.1804044	0.5766135	0.7174934	0.3497165	0.1996702	0.1310456	0.3108792	0.0521218	0.7718346
0.6769098	0.3957487	0.6398772	0.6877992	0.0012917	0.6726921	0.6760192	0.8724260	0.2911139	0.0669611	0.4302908	0.2980580	0.6970091	0.1842762	0.7068702	0.6131661	0.0002163	0.6320188	0.7515038	0.4131371	0.8444721	0.7788834	0.7167885	0.6499003	0.7851700	0.2374225	0.3042178	0.4523479	0.0434195	0.6220416	0.2423692	0.6053276	0.0184223	0.6680318	0.4000736	0.4713768	0.4396670	0.8494458	0.3571894	0.1177344	0.3358153	0.3423014	0.5729946	0.6865729	0.4667437	0.0100333	0.0467434	0.4979924	0.1417764	0.5362394
