YCR097W	YCR040W	YPR199C	YJL056C	YHR006W	YCL066W	YKL109W	YDL170W	YLR013W	YGR044C	YOR032C	YCR018C	YLR098C	YOR140W	YJL110C	YDR146C	YKR034W	YGL162W	YMR070W	YHL027W	YLR131C	YGL035C	YDR123C	YOR344C	YER045C	YJL166W	YNL253W	YDR275W	YKL141W	YMR086CA	YPL026C	YHR111W	YHR145C	YIR006C	YDR129C	YOL042W	YDR210WD	YEL001C	YFL022C	YER177W	YMR136W	YIL099W	YOL157C	YNL254C	YGR073C	YGR019W	YPL251W	YPL078C	YLR463C	YFR017C
0.5000000	0.7078934	1.0000000	1.0000000	0.0333200	0.5852333	0.9308299	1.0000000	0.5072813	0.3007150	1.0000000	0.2940787	1.0000000	0.2383987	0.9978678	0.6957028	0.0397557	1.0000000	0.9584707	0.6170724	1.0000000	1.0000000	1.0000000	1.0000000	0.9624545	0.2648882	0.2994184	0.4526840	0.0700017	0.9564169	0.2686405	0.6283357	0.0284857	0.9673341	0.5032512	0.9999430	0.6849314	0.9486046	0.5564470	0.1671720	0.5166425	0.1875285	0.8117728	0.9999999	0.3463286	0.1001643	0.1083503	0.5156072	0.1429260	0.8144959
1.0000000	0.2001454	1.0000000	1.0000000	0.0333200	0.5870010	0.9308299	1.0000000	0.5072813	0.2195715	1.0000000	0.3886993	1.0000000	0.3219247	0.9978678	0.6957028	0.0397557	1.0000000	0.9584707	0.6170724	1.0000000	1.0000000	1.0000000	1.0000000	0.9624545	0.2648882	0.2994184	0.4526840	0.0700017	0.9564169	0.2686405	0.6283357	0.0284857	0.9673341	0.5032512	0.9999430	0.6849314	0.9486046	0.5564470	0.1671720	0.5166425	0.1872219	0.8117728	0.9999999	0.3463285	0.1001643	0.1075243	0.5156072	0.1429260	0.7376405
1.0000000	0.4002952	0.5000149	1.0000000	0.0333200	0.5870010	0.9308299	1.0000000	0.5072813	0.2195715	1.0000000	0.3886993	1.0000000	0.3219247	0.9978678	0.6957028	0.0397557	1.0000000	0.9584707	0.6170724	1.0000000	1.0000000	1.0000000	1.0000000	0.9624545	0.2648882	0.2994184	0.4526840	0.0700017	0.5461899	0.2686405	0.6283357	0.0284857	0.9673341	0.5032512	0.9999430	0.6069817	0.9486046	0.5564470	0.1671720	0.5166425	0.1872219	0.8117728	0.9999999	0.3463286	0.1001643	0.1075243	0.5156072	0.1429260	0.7376405
1.0000000	0.3779477	1.0000000	0.5000002	0.0333200	0.5867984	0.9308299	1.0000000	0.5072813	0.2195715	1.0000000	0.3886993	1.0000000	0.3219247	0.9978678	0.6957028	0.0397557	1.0000000	0.9584707	0.6170724	1.0000000	1.0000000	1.0000000	1.0000000	0.9624545	0.2648882	0.5332428	0.4526840	0.0700017	0.9564169	0.2686405	0.6283357	0.2473615	0.9673341	0.5032512	0.9999430	0.6849314	0.9486046	0.5564470	0.1671720	0.5166425	0.1872570	0.8117728	0.9999957	0.3463286	0.1001643	0.1075243	0.5156072	0.1429260	0.7376405
1.0000000	0.4002858	1.0000000	1.0000000	0.0166606	0.5870010	0.9308299	1.0000000	0.5072813	0.2195715	1.0000000	0.3886993	1.0000000	0.3219247	0.9978678	0.6957028	0.0397557	1.0000000	0.9584707	0.6170724	1.0000000	1.0000000	1.0000000	1.0000000	0.9624545	0.2648882	0.2994184	0.4526840	0.0700017	0.9564169	0.2686405	0.6283357	0.0284857	0.9673341	0.5032512	0.9999430	0.6849314	0.9486046	0.5564470	0.1671720	0.5166425	0.1872219	0.8117728	0.9999999	0.3463285	0.1001643	0.1075243	0.5156072	0.1429260	0.7376405
1.0000000	0.4002860	1.0000000	1.0000000	0.0333200	0.2935005	0.9308299	1.0000000	0.5072813	0.2195715	1.0000000	0.3886993	1.0000000	0.3219247	0.9978678	0.6957028	0.0397557	1.0000000	0.9584707	0.6170724	1.0000000	1.0000000	1.0000000	1.0000000	0.9624545	0.2648882	0.2994184	0.4526840	0.0700017	0.9564169	0.2686405	0.6283357	0.0284857	0.9673341	0.5032512	0.9999430	0.6849314	0.9486046	0.5564470	0.1671720	0.5166425	0.2375793	0.8117728	0.9999999	0.3463285	0.1001643	0.1075243	0.5156072	0.1429260	0.7376405
1.0000000	0.4004056	1.0000000	1.0000000	0.0333200	0.7619233	0.4654150	1.0000000	0.5072813	0.2195715	1.0000000	0.3886993	1.0000000	0.3219247	0.9978678	0.6957028	0.0397557	1.0000000	0.9584707	0.6170724	1.0000000	1.0000000	1.0000000	1.0000000	0.9624545	0.5893030	0.2994184	0.4526840	0.6508828	0.9564169	0.2686405	0.1557200	0.0757631	0.9673341	0.5032512	0.9999430	0.6849314	0.7125396	0.5564470	0.1671720	0.5166425	0.1583403	0.8117728	0.9999999	0.3463286	0.1001643	0.1075243	0.5156072	0.2458721	0.7376405
1.0000000	0.4003187	1.0000000	1.0000000	0.0333200	0.5870010	0.9308299	0.5000002	0.5072813	0.2195715	1.0000000	0.3886993	1.0000000	0.3219247	0.9978678	0.6957028	0.0397557	1.0000000	0.9584707	0.6170724	1.0000000	1.0000000	1.0000000	1.0000000	0.9624545	0.2648882	0.2994184	0.4526840	0.0700017	0.9564169	0.2686405	0.6283357	0.0284857	0.9673341	0.5030015	0.9999430	0.5018662	0.9486046	0.5564470	0.1671720	0.5166425	0.1872219	0.8117728	0.9999999	0.3463286	0.1472933	0.3793444	0.5156072	0.1429638	0.7376405
1.0000000	0.4738404	1.0000000	1.0000000	0.0333200	0.7359036	0.9308299	1.0000000	0.2536408	0.2195715	1.0000000	0.3886993	1.0000000	0.3219247	0.9978678	0.6957028	0.0397557	1.0000000	0.9584707	0.6170724	1.0000000	1.0000000	1.0000000	1.0000000	0.9624545	0.2648882	0.2994184	0.4526840	0.0700017	0.9564169	0.2686405	0.6283357	0.0284857	0.9673341	0.5032512	0.9999430	0.6849314	0.9486046	0.5564470	0.1671720	0.5166425	0.1624253	0.8117728	0.9999999	0.3463286	0.1001643	0.1075243	0.5156072	0.1429320	0.7376405
1.0000000	0.4002860	1.0000000	1.0000000	0.0333200	0.5870010	0.9308299	1.0000000	0.5072813	0.1097858	1.0000000	0.5056361	1.0000000	0.3568731	0.9978678	0.6957028	0.0397557	1.0000000	0.9584707	0.6170724	1.0000000	1.0000000	1.0000000	1.0000000	0.9624545	0.2648882	0.2994184	0.4526840	0.0700017	0.9564169	0.2686405	0.6283357	0.0284857	0.9673341	0.5032512	0.9999430	0.6849314	0.9486046	0.5564470	0.1671720	0.5166425	0.1872219	0.8117728	0.9999999	0.3463285	0.1001643	0.1071523	0.5156072	0.1429260	0.5493510
