YCR097W	YCR040W	YPR199C	YJL056C	YHR006W	YCL066W	YKL109W	YDL170W	YLR013W	YGR044C	YOR032C	YCR018C	YLR098C	YOR140W	YJL110C	YDR146C	YKR034W	YGL162W	YMR070W	YHL027W	YLR131C	YGL035C	YDR123C	YOR344C	YER045C	YJL166W	YNL253W	YDR275W	YKL141W	YMR086CA	YPL026C	YHR111W	YHR145C	YIR006C	YDR129C	YOL042W	YDR210WD	YEL001C	YFL022C	YER177W	YMR136W	YIL099W	YOL157C	YNL254C	YGR073C	YGR019W	YPL251W	YPL078C	YLR463C	YFR017C
0.6265935	0.2896788	0.6565061	0.7471134	0.0552539	0.4440655	0.6542162	0.6344353	0.3411439	0.2491433	0.0000000	0.3184090	0.6732029	0.2630501	0.7221100	0.5766433	0.0298741	0.6919299	0.7572420	0.6357419	0.7371900	0.6641588	0.6362025	0.8483696	0.6176962	0.1444937	0.2148684	0.3085326	0.0401895	0.8086432	0.2394311	0.5463318	0.0175711	0.7717362	0.3801491	0.6287339	0.5456216	0.6675678	0.4907125	0.1108771	0.3119913	0.1842544	0.6162282	0.7301920	0.2082393	0.1022550	0.0970510	0.3780809	0.1215907	0.4762340
0.6896422	0.3787392	0.7794976	0.6540133	0.0240107	0.4858396	0.6946956	0.7753719	0.3473305	0.1501648	0.6239825	0.0000000	0.6565719	0.2808931	0.8060336	0.4950133	0.0351894	0.6477403	0.6505302	0.4706409	0.7057538	0.8049492	0.7307946	0.6030162	0.6661895	0.2085401	0.2663430	0.3922898	0.0272330	0.6366812	0.1683339	0.4682692	0.0110226	0.7751202	0.3358756	0.8259274	0.5632176	0.7399586	0.3674877	0.2575457	0.3564522	0.1716093	0.5810362	0.7276931	0.4259719	0.0790037	0.4137348	0.3755124	0.1622505	0.4458374
0.7207992	0.6904716	0.7321900	0.8127958	0.0386331	0.1180632	0.7022478	0.7611876	0.3327059	0.1684875	0.6739516	0.2052094	0.0000000	0.2254225	0.9946382	0.4006154	0.0235075	0.7895003	0.7202292	0.3692966	0.8000348	0.7571208	0.7420967	0.7186005	0.7117791	0.2323508	0.1818344	0.2727452	0.0396871	0.7592334	0.2151379	0.5089747	0.0178737	0.9133208	0.3725806	0.7840109	0.6155642	0.7409704	0.4923099	0.1269755	0.4093446	0.2071472	0.5619807	0.7665981	0.3012294	0.0779497	0.0672327	0.4309061	0.1446372	0.6974175
0.7452685	0.3019066	0.8551998	0.7140891	0.0414750	0.4844388	0.6050617	0.8191949	0.4303665	0.1796128	0.7720824	0.3138303	0.7667127	0.0000000	0.8117659	0.4602146	0.0395043	0.8807815	0.6556313	0.5073360	0.7542658	0.7167988	0.8049927	0.8544286	0.6649453	0.1305589	0.2482840	0.3096431	0.0323817	0.7012101	0.2181444	0.3704558	0.0153204	0.7104150	0.5284861	0.8157943	0.4939013	0.6703262	0.3915293	0.1094492	0.4499125	0.1408379	0.5119549	0.7503240	0.3063044	0.0671962	0.0594867	0.3483765	0.1008884	0.5136120
0.8050628	0.0612062	0.8224805	0.6552820	0.0368504	0.1121857	0.8208613	0.8240764	0.4169388	0.2022479	0.7417024	0.3405168	0.7408345	0.1937635	0.0000000	0.4312658	0.7737256	0.6519360	0.7182792	0.4140725	0.6682750	0.8719540	0.7240593	0.7051450	0.6780738	0.2262236	0.3061508	0.4747798	0.1001589	0.0414206	0.2278249	0.4320310	0.0232618	0.7061629	0.3611811	0.2098790	0.5749043	0.8136418	0.3846946	0.1282013	0.4066774	0.1611885	0.6086354	0.7324398	0.1522130	0.3811297	0.1192925	0.3519851	0.5731128	0.5289459
0.7522837	0.3405008	0.6437529	0.7233078	0.0167887	0.6102141	0.5588501	0.7947122	0.0630179	0.4297714	0.6689197	0.3905348	0.9215700	0.3556852	0.6853721	0.0000000	0.0257800	0.7483913	0.6971600	0.5063434	0.7316092	0.6495720	0.6413675	0.5907806	0.6403468	0.1597437	0.2421963	0.3856993	0.0456897	0.7666744	0.2526897	0.5814646	0.0401056	0.6821502	0.4811054	0.9516656	0.5176563	0.6816021	0.2137296	0.2170143	0.3958394	0.1053853	0.6400332	0.7661763	0.2999116	0.1128529	0.1166782	0.3794150	0.0596424	0.7270135
0.8640736	0.3497336	0.8442091	0.8275431	0.0132227	0.5357169	0.5672244	0.7682209	0.3974280	0.1620635	0.7886305	0.2816274	0.7108996	0.2160398	0.7994067	0.5076749	0.0000000	0.7312706	0.6115681	0.3639106	0.6828037	0.7058992	0.7036765	0.7818345	0.8150891	0.2059512	0.2483244	0.4545104	0.0488466	0.6122973	0.2203689	0.4925165	0.0311258	0.7486446	0.3447575	0.7661529	0.5692668	0.7248083	0.2849993	0.1410239	0.3758593	0.1416193	0.5361589	0.5990597	0.6563144	0.0482803	0.1035609	0.3921728	0.1118018	0.5868319
0.7024232	0.3403933	0.6669925	0.6328050	0.0240022	0.4392188	0.6342642	0.7047135	0.4332217	0.1372810	0.6386697	0.2297927	0.6694239	0.1472664	0.8014836	0.4768504	0.0293275	0.0000000	0.7652688	0.0280896	0.6631408	0.6642703	0.8227360	0.6151926	0.6916975	0.2986928	0.1876214	0.3031521	0.1418501	0.5914920	0.6084587	0.2907191	0.0262834	0.6572147	0.8668529	0.8131573	0.5120844	0.6346934	0.3907335	0.1821850	0.0225335	0.5189990	0.5490233	0.6747888	0.2716048	0.0690867	0.1140721	0.4322706	0.1189418	0.5223602
0.8002124	0.2187632	0.8018220	0.7608936	0.0109272	0.4734560	0.6779616	0.6748584	0.3200098	0.2317362	0.6583587	0.3637317	0.6441770	0.2191819	0.6626184	0.4628239	0.0636228	0.7053879	0.0000000	0.4670865	0.8460207	0.7547410	0.7128357	0.7262669	0.7725407	0.2128245	0.1843259	0.3541940	0.0809656	0.6710093	0.2977005	0.5345325	0.0195752	0.8450377	0.3287452	0.8341697	0.4167505	0.8178172	0.3136496	0.1070441	0.4647906	0.0976501	0.5566158	0.7905560	0.3245922	0.0853396	0.0800996	0.4251334	0.1443273	0.7196040
0.7689682	0.2916649	0.7967573	0.6945779	0.0517879	0.4867435	0.6438518	0.7921903	0.4291800	0.1482877	0.7952143	0.2855843	0.6648606	0.2234232	0.7909374	0.5277661	0.0237639	0.7104609	0.7771793	0.0000000	0.7976703	0.7521422	0.7902727	0.8158336	0.2432377	0.2656949	0.2042619	0.3066446	0.0355091	0.6353726	0.2829743	0.4313606	0.0455096	0.7362537	0.7340840	0.8218808	0.5438512	0.6000789	0.3801188	0.0875471	0.8810918	0.3828064	0.4838298	0.8025103	0.2346975	0.0620610	0.0610552	0.0911284	0.1160613	0.6003537
