YOR363C	YIL101C	YJR147W	YER045C	YOR113W	YHL027W	YBR297W	YGL162W	YBR182C	YMR021C	YPL230W	YOR140W	YKL043W	YPR065W	YER184C	YMR070W	YGR249W	YOR032C	YDR043C	YPL248C	YKL032C	YHR006W	YNL167C	YGL013C	YDL106C	YAL062W	YBR057C	YPR124W	YPR108WA	YGL234W	YLR413W	YOR024W	YML053C	YGR106C	YBL111C	YJR158W	YOR318C	MEL1	YLL065W	YOR269W	YLR410WB	YMR195W	YGL134W	YOR268C	YOL078W	YKL110C	YBR018C	YDL148C	YOL121C	YCR021C
0.8260129	0.2998633	0.3364779	0.3488057	0.9572751	0.0516995	0.0592612	0.0721604	0.4737294	0.6631817	0.0608189	0.6063041	0.2823377	0.0570369	0.5113681	0.0051322	0.5456408	0.7119008	0.6963762	0.7284934	0.7423594	0.5103991	0.7556347	0.5195229	0.7722380	0.2934144	0.4640256	0.1672945	0.5054540	0.4052556	0.2788463	0.1189489	0.3103601	0.3767404	0.4361175	0.1267448	0.6205718	0.3815387	0.6237816	0.5988208	0.5144956	0.2935661	0.2188283	0.1785824	0.1593902	0.0321974	0.1030917	0.4547174	0.3386764	0.7394577
0.7932210	0.2686447	0.3355632	0.5050101	0.7308604	0.0301027	0.0537236	0.0512658	0.3696938	0.6746842	0.1866569	0.3887239	0.3401217	0.0311303	0.6013713	0.0014503	0.4457084	0.7995010	0.6807201	0.8208437	0.8344982	0.4953659	0.7508400	0.4811970	0.6997661	0.2260753	0.4249019	0.1909262	0.4619384	0.4815012	0.1972287	0.0967579	0.2212941	0.2737015	0.4290339	0.1290200	0.8175101	0.2847738	0.6306017	0.5946312	0.4315736	0.3601701	0.2743720	0.2372611	0.2776963	0.0204520	0.1305900	0.4964601	0.3092800	0.8208753
0.6517660	0.4456031	0.2487654	0.0776922	0.7718119	0.1080220	0.0278858	0.0280259	0.2931311	0.7038318	0.2433394	0.5718795	0.1394859	0.0417438	0.4692349	0.0021773	0.6611338	0.6361693	0.7751727	0.8018885	0.6498655	0.5648417	0.8662519	0.4657147	0.7529900	0.1214253	0.4328608	0.0601105	0.5587997	0.5562432	0.2791107	0.1259860	0.4339833	0.2868318	0.5736551	0.0833694	0.6659805	0.3962503	0.7009768	0.8474333	0.4060366	0.4113330	0.4626707	0.1208430	0.2797981	0.0049857	0.0964845	0.5276265	0.5754583	0.7418499
0.6907552	0.2854783	0.4426209	0.4343652	0.7200842	0.0286779	0.0554289	0.0289862	0.5496642	0.6035002	0.3266934	0.6157630	0.3376598	0.0381586	0.7334976	0.0002248	0.4073484	0.6932879	0.6355640	0.6368716	0.7235215	0.6662757	0.7832920	0.5170652	0.6559596	0.2404151	0.3234568	0.1763279	0.2504467	0.3981200	0.3178674	0.0677072	0.2822949	0.2882905	0.3538460	0.1369718	0.7708221	0.3592226	0.4864796	0.6411028	0.5122548	0.3302832	0.1641863	0.2004462	0.2804225	0.0029219	0.1250503	0.5359803	0.2149304	0.6521360
0.7645218	0.2639888	0.4026688	0.5682714	0.8331752	0.0437840	0.0269492	0.0566578	0.3844804	0.7057892	0.2539911	0.6814296	0.2901726	0.0577086	0.1804759	0.0000251	0.5811097	0.7293713	0.7856076	0.7018148	0.6361611	0.7074867	0.7400594	0.5003295	0.7986767	0.2713887	0.3934991	0.1818108	0.5478001	0.3814722	0.2512796	0.0428438	0.3896004	0.3473492	0.4334621	0.0704078	0.5976465	0.2753466	0.6421710	0.6689016	0.4829038	0.2884541	0.3725644	0.2291337	0.2402944	0.0046245	0.0903062	0.4964653	0.2778123	0.5969137
1.0111063	0.2243971	0.4585980	0.5704350	0.7948416	0.0440377	0.0147839	0.0592184	0.4486455	0.8152709	0.2473233	0.6768276	0.2829869	0.0191650	0.4207862	0.0005246	0.4840609	0.6991487	0.7081105	0.6678751	0.6526898	0.5817922	0.7563212	0.6223371	0.8405969	0.2123258	0.3530832	0.1954501	0.3815174	0.6271720	0.2751433	0.1002985	0.2298893	0.4028541	0.3812159	0.0975811	0.5555775	0.4094456	0.6554576	0.6014745	0.3488059	0.3235516	0.2657582	0.2044668	0.2446379	0.0111708	0.1075065	0.5128128	0.2061948	0.7815989
0.7890391	0.3389246	0.4204768	0.3952848	0.8962740	0.0486570	0.0137165	0.0563624	0.4680014	0.7220589	0.2272466	0.6734299	0.3168498	0.0668115	0.3805120	0.0020712	0.1990387	0.7711815	0.6554494	0.6664146	0.8131718	0.6397879	0.8030756	0.6143625	0.5977743	0.3407461	0.3776444	0.2471381	0.5486181	0.4165570	0.2170730	0.0440109	0.2526446	0.3228894	0.4478303	0.1474036	0.7358319	0.3565018	0.6418758	0.6214599	0.3636868	0.2470375	0.3052367	0.1665965	0.2223215	0.0090690	0.1112593	0.3897296	0.2773671	0.8655133
0.8533210	0.2088763	0.3691453	0.4257598	0.6566745	0.0359990	0.0353575	0.0501206	0.3379904	0.7637814	0.1391375	0.6436410	0.2915014	0.0826679	0.6181936	0.0014860	0.5952306	0.3651892	0.7080530	0.7628237	0.8062753	0.2038206	0.6850528	0.6100179	0.8037367	0.2075920	0.3357216	0.1314270	0.4404614	0.4749033	0.2332800	0.0563067	0.2988929	0.3499796	0.4886529	0.1039956	0.6794502	0.2607494	0.5134244	0.6277199	0.3942270	0.2452365	0.3934879	0.2296772	0.1826508	0.0129152	0.1270132	0.6079743	0.2973096	0.6032085
0.7571273	0.3999073	0.3936826	0.3382210	0.7666349	0.0616534	0.0612584	0.0562228	0.3933859	0.7256340	0.0525319	0.8003650	0.2088764	0.0548369	0.5835812	0.0003747	0.4348682	0.7116125	0.4269385	0.7173586	0.7460007	0.6449195	0.6397569	0.2742202	0.7598941	0.1482421	0.7126808	0.1662589	0.4215799	0.5326588	0.2819852	0.0482120	0.2866294	0.3707158	0.3362858	0.0939410	0.5800452	0.2630849	0.7410927	0.6293070	0.7366323	0.3477140	0.2575923	0.3450276	0.4261314	0.0075782	0.2422741	0.1528269	0.3426624	0.6924393
0.6942022	0.2642710	0.5110418	0.4638811	0.6576618	0.0609512	0.0259396	0.0995384	0.3131362	0.6698461	0.2140885	0.7132675	0.2878671	0.0559146	0.5238353	0.0003926	0.4987107	0.6998001	0.7256900	0.4156656	0.7491589	0.5514718	0.7162386	0.5408611	0.6762441	0.1729627	0.4618976	0.1483391	0.5069047	0.5113587	0.2906430	0.0900039	0.4756202	0.3460068	0.3481980	0.0898720	0.8097006	0.7707714	0.6331947	0.6732433	0.3905244	0.2601608	0.1057546	0.1801914	0.2817236	0.0184870	0.3606939	0.5226144	0.2578669	0.6932641
0.7528563	0.3050622	0.3862365	0.4731948	0.7004795	0.0429444	0.0349277	0.0414492	0.3040705	0.5753824	0.1854266	0.7172022	0.3864102	0.0266079	0.5810831	0.0000588	0.3819395	0.8356570	0.7398215	0.7776582	0.4276648	0.6842495	0.7594379	0.5406661	0.6774619	0.2648582	0.4151072	0.1346388	0.4136761	0.4667886	0.2471078	0.5006130	0.3236562	0.3207305	0.4627377	0.0934709	0.7300415	0.3784404	0.6129838	0.5971746	0.4443158	0.2459612	0.1960125	0.1546374	0.1867389	0.0039272	0.1257418	0.5023985	0.2938419	0.6888152
0.8386185	0.3127921	0.5366733	0.4535638	0.6844421	0.0274263	0.0528863	0.0475148	0.4425482	0.9321406	0.1502888	0.7907410	0.3038303	0.0129555	0.4505668	0.0005124	0.4962052	0.5959910	0.6492778	0.8011352	0.7786790	0.2640923	0.6605254	0.4391652	0.7549796	0.2538137	0.3318097	0.2625533	0.5103763	0.4402853	0.2319477	0.0964710	0.3407679	0.2720693	0.5805709	0.1592534	0.8935915	0.2745001	0.5891977	0.4768780	0.3963836	0.2529821	0.3099881	0.1700952	0.2081177	0.0079614	0.0900110	0.5620183	0.2657513	0.8492750
0.7192436	0.3016051	0.4033850	0.5817546	0.7569824	0.0414516	0.0140361	0.0622599	0.3464357	0.7547378	0.1587394	0.8184795	0.2262076	0.1005748	0.5058365	0.0005200	0.4915969	0.7472731	0.7239461	0.8506680	0.7648797	0.6856367	0.3425776	0.5320044	0.6890843	0.2353121	0.4090968	0.3061669	0.5165838	0.3547205	0.2661157	0.1115101	0.3144419	0.4438792	0.4147720	0.1264843	0.7824970	0.3384997	0.6333348	0.6572917	0.3964126	0.2759951	0.2526189	0.1642383	0.2531019	0.0068458	0.0753884	0.4401130	0.3593090	0.6341059
0.7135840	0.3208741	0.4633527	0.4788801	0.6243507	0.0914256	0.0129970	0.0428087	0.3138090	0.5639353	0.1928726	0.7801320	0.2868176	0.0596499	0.6914293	0.0009964	0.5883194	0.6622181	0.6848286	0.6484965	0.8209760	0.8043917	0.6525601	0.3205321	0.8312863	0.2351674	0.5963698	0.1673225	0.4047426	0.5412928	0.2125473	0.1034563	0.2889442	0.2830789	0.2488483	0.1414487	0.6497327	0.3296443	0.7030290	0.6858593	0.3566009	0.3556100	0.2189631	0.2872773	0.3913978	0.0141743	0.1340979	0.2568947	0.2681580	0.8173589
0.6320215	0.3104616	0.3488561	0.5392538	0.8446373	0.0684014	0.0438126	0.0875690	0.5369966	0.7990950	0.1979294	0.5866898	0.2920988	0.0360345	0.6269081	0.0045124	0.4879498	0.7000738	0.6997588	0.6508147	0.7946769	0.5784664	0.7038323	0.6757436	0.3171474	0.2330480	0.4221287	0.2163817	0.4199286	0.4516321	0.3304015	0.1696213	0.2961323	0.5451779	0.3729028	0.1251221	0.7469165	0.3598034	0.6745825	0.6414947	0.4049823	0.3225999	0.2345863	0.1544669	0.1881631	0.0085561	0.1322863	0.4816093	0.2483157	0.8572314
0.7051341	0.3711436	0.5746729	0.3917107	0.7022704	0.0617873	0.0538587	0.0650543	0.3724336	0.7799564	0.2611424	0.7596723	0.3167233	0.0828815	0.5447585	0.0000372	0.4148322	0.7488533	0.8330121	0.7466661	0.8133396	0.6855809	0.8237226	0.4833427	0.7215088	0.1151427	0.3489288	0.1783200	0.4873657	0.5269012	0.2645925	0.0611556	0.2031908	0.4353142	0.5075326	0.1003371	0.6420707	0.3571267	0.6203625	0.5336069	0.4145768	0.2648549	0.3781306	0.2693634	0.2655451	0.0223791	0.0899198	0.3413525	0.1858637	0.7510310
0.8093657	0.3124656	0.3602934	0.4081548	0.6432274	0.0678835	0.0562011	0.0458317	0.3428556	0.6084117	0.3377688	0.6232088	0.3259929	0.0498470	0.5949086	0.0010970	0.3256683	0.6694337	0.6603987	0.7895649	0.7135180	0.6633337	0.6735832	0.5166880	0.7842087	0.2399875	0.1949582	0.1442048	0.3631361	0.5410129	0.2223284	0.1156560	0.3033053	0.3996826	0.4524419	0.0485580	0.6761984	0.2315425	0.5784390	0.6857282	0.3861024	0.3257793	0.1714764	0.1735219	0.2272421	0.0052092	0.1265971	0.4313034	0.3290063	0.6858953
0.8452838	0.3520578	0.3165977	0.3963329	0.8092975	0.0518509	0.0575600	0.0615616	0.3939928	0.7633777	0.2172837	0.6144907	0.2955443	0.0553001	0.5590420	0.0002212	0.4185881	0.8324442	0.6380349	0.7948526	0.6313579	0.5685688	0.7632780	0.4922817	0.6656569	0.2896941	0.4083775	0.0527203	0.4055716	0.5715266	0.2246558	0.1071616	0.2611998	0.4100314	0.3445356	0.1374031	0.8382049	0.3087165	0.5257560	0.6308732	0.3283115	0.3291326	0.2017286	0.1822726	0.3303824	0.0168717	0.0555062	0.5087654	0.2744314	0.6996131
0.6797239	0.3392117	0.3398342	0.4816852	0.7509668	0.1002029	0.0751098	0.0569387	0.4149211	0.7045135	0.1194674	0.6148628	0.3196226	0.0617194	0.3391211	0.0031583	0.5404433	0.6857615	0.7777480	0.8168509	0.8263176	0.7960448	0.7807851	0.5266917	0.7625230	0.2008481	0.4168446	0.2162400	0.2256229	0.4597564	0.3269664	0.0593764	0.3334022	0.3344949	0.5161636	0.0852141	0.7759251	0.4019666	0.5740154	0.5590733	0.3610841	0.2984490	0.2445753	0.1907149	0.1709197	0.0042132	0.0943131	0.5285278	0.2135399	0.6931470
0.7974730	0.2447108	0.2642544	0.3785682	0.8044930	0.0639193	0.0334178	0.0423814	0.3701978	0.7353851	0.2015920	0.6958040	0.2682973	0.0649937	0.5974962	0.0049056	0.6543447	0.7932811	0.7346614	0.8353708	0.6311091	0.7559367	0.8073857	0.6215951	0.5902872	0.1770538	0.4392649	0.1980358	0.4593182	0.2335834	0.3873952	0.0759488	0.3324040	0.3106520	0.3928583	0.1243138	0.7696937	0.3021493	0.5960638	0.6521194	0.3909408	0.3228091	0.1982297	0.1369650	0.2599055	0.0109384	0.0850770	0.4394875	0.2201524	0.7490422
0.6928436	0.3241710	0.3129219	0.4233007	0.8034123	0.0607132	0.0515182	0.0394554	0.3445030	0.6862191	0.1748733	0.5985956	0.3608382	0.0326963	0.7201274	0.0001803	0.4763454	0.6881266	0.7459527	0.7692838	0.8140074	0.7882651	0.7063310	0.5789204	0.7725995	0.2301609	0.5412685	0.1521365	0.4539897	0.5751676	0.0990938	0.0706185	0.2378770	0.2983678	0.5564198	0.1255216	0.6436427	0.2888324	0.5236861	0.7610598	0.4533807	0.2438981	0.2168521	0.1642766	0.2871691	0.0090908	0.1226906	0.6307701	0.3916912	0.6329307
0.7496149	0.3259802	0.3931379	0.3775781	0.7587599	0.0642272	0.0335218	0.0986697	0.2361030	0.7217695	0.1914153	0.7282363	0.3492472	0.0252279	0.6227701	0.0002830	0.4666796	0.7635054	0.6680261	0.7064244	0.8124185	0.6532860	0.6667837	0.5279303	0.7951044	0.2059675	0.4208142	0.1680445	0.5198466	0.4071610	0.2671610	0.0554947	0.3047667	0.2534636	0.5679980	0.1369110	0.6839473	0.2867307	0.5083803	0.7241573	0.4086824	0.2548675	0.3684724	0.1820171	0.2028854	0.0061156	0.1548058	0.5225862	0.2999596	0.6041911
0.5717126	0.3337301	0.3873102	0.3709541	0.7000477	0.0495152	0.0281710	0.0594385	0.3697341	0.7287588	0.2067474	0.6891769	0.2673792	0.0127816	0.5015307	0.0007590	0.5402971	0.6771483	0.6664992	0.9827489	0.6895597	0.6329618	0.7699378	0.5153200	0.6383513	0.2538244	0.4556240	0.1673576	0.3727807	0.4635875	0.2581575	0.0969443	0.1045132	0.3001636	0.4850235	0.1103983	0.6652016	0.3100209	0.5602506	0.6756434	0.4348625	0.2920619	0.2593084	0.2203969	0.2128566	0.0194459	0.1191861	0.5092439	0.3817977	0.6404186
0.7460304	0.1867270	0.4175100	0.5166541	0.8884215	0.0652310	0.0439042	0.0508545	0.3290889	0.7623737	0.1774562	0.7465732	0.2747063	0.0260552	0.6126672	0.0057332	0.4733653	0.9379031	0.7198553	0.6191000	0.6381397	0.6994116	0.6943207	0.5358221	0.7446646	0.1959519	0.4719428	0.2071891	0.3767209	0.4618160	0.2608974	0.0704602	0.2644180	0.2070448	0.5239037	0.1287857	0.6304763	0.3012698	0.3921664	0.7455805	0.3359258	0.3684202	0.1804615	0.1715021	0.2314043	0.0136398	0.1236838	0.5074991	0.3265495	0.7994892
0.7696480	0.3080573	0.5327810	0.4754486	0.6263163	0.0325551	0.0680584	0.1027759	0.3720237	0.6705827	0.2114705	0.7688749	0.2879940	0.0615715	0.5205241	0.0044860	0.5340702	0.6813597	0.8245223	0.7439019	0.8301351	0.6408288	0.7244559	0.4231930	0.7160851	0.2451087	0.3564683	0.1886844	0.3699038	0.5280787	0.2746449	0.0712405	0.3017416	0.3234191	0.1972370	0.1151394	0.5613879	0.3065625	0.5379702	0.6764465	0.3617504	0.3224592	0.2750754	0.1425487	0.2612705	0.0070277	0.0870056	0.4148954	0.3011532	0.6879375
0.7578930	0.3304218	0.3708825	0.4685593	0.7638792	0.0430183	0.0298429	0.0653523	0.3080878	0.8833048	0.2152589	0.7413755	0.3034676	0.0420242	0.6318224	0.0010506	0.5405838	0.7876819	0.7608703	0.6467108	0.6799292	0.6467322	0.8224934	0.5081993	0.8300587	0.2228671	0.4062881	0.1748088	0.4770624	0.6176380	0.2920912	0.0576952	0.2457584	0.3315300	0.3699724	0.0304701	0.7147157	0.3598867	0.6035151	0.7054148	0.5028020	0.3356169	0.2956086	0.1886316	0.1993042	0.0063694	0.1112707	0.4904702	0.4016713	0.7478741
0.7974467	0.2855852	0.4545696	0.5328310	0.6675105	0.0333379	0.0425757	0.0572152	0.5318873	0.7163813	0.2407874	0.6465931	0.2354088	0.0335482	0.5761469	0.0064475	0.5711289	0.6271496	0.9059312	0.7864847	0.6008988	0.6626948	0.6536992	0.6079277	0.7698637	0.1767536	0.4423328	0.1075485	0.4478984	0.4886099	0.2439437	0.0947295	0.2667668	0.4551412	0.5165978	0.1584789	0.3164122	0.3167238	0.5110343	0.6847659	0.4127431	0.2630189	0.2253615	0.1854762	0.2001090	0.0030644	0.1355648	0.6475795	0.2934783	0.6600432
0.7271570	0.2316723	0.4732178	0.4999083	0.7002384	0.0765553	0.0401328	0.0696786	0.3968179	0.7543776	0.1977636	0.6738539	0.3309967	0.0431264	0.6485640	0.0002050	0.3891436	0.7268263	0.7304618	0.6036581	0.7657581	0.7601135	0.6494799	0.5009537	0.6801397	0.2714238	0.3839997	0.2226705	0.4293328	0.4273126	0.2552540	0.0528498	0.3132383	0.3996922	0.3715348	0.1068187	0.5145003	0.2057783	0.5980114	0.5197126	0.3261066	0.2956566	0.2218338	0.2755845	0.2104280	0.0024312	0.1370916	0.5407857	0.3232632	0.7845323
0.8467196	0.2272378	0.4914487	0.4871927	0.6925766	0.0686602	0.0706453	0.0636491	0.3704669	0.6511341	0.2119486	0.6513188	0.3198977	0.0756446	0.5241290	0.0041137	0.5693472	0.5360454	0.6249799	0.7852266	0.7572514	0.6436945	0.7390901	0.5510573	0.5381682	0.2285538	0.5014357	0.1919912	0.4968977	0.4294999	0.2367202	0.0603907	0.3170369	0.2721979	0.5057061	0.1125200	0.6289962	0.3190230	0.2311223	0.6409388	0.4424465	0.3162696	0.3257019	0.2118202	0.1780943	0.0103855	0.0776296	0.5578286	0.2311350	0.7638421
0.7572651	0.2245867	0.4066165	0.4501357	0.5978297	0.0605687	0.0290150	0.0550240	0.3413442	0.7762409	0.1633487	0.6233722	0.3094581	0.0280896	0.5713004	0.0002406	0.4943306	0.7265299	0.7182915	0.7182472	0.6253184	0.7701693	0.6868809	0.5005586	0.7856726	0.2416552	0.4078156	0.1260681	0.3217998	0.5006558	0.3071687	0.0921211	0.3150941	0.3290178	0.4909488	0.1086601	0.7616104	0.3558465	0.6017753	0.3779728	0.4007762	0.3571415	0.1534874	0.2506673	0.1807424	0.0074558	0.1766947	0.5035055	0.3886095	0.7074632
0.7635200	0.2763608	0.3517396	0.4020131	0.8429121	0.0459782	0.0537141	0.0478557	0.4582417	0.5914054	0.1827321	0.7553713	0.3304144	0.0326689	0.7832195	0.0000171	0.4871840	0.8873374	0.7279987	0.6961291	0.6796085	0.6964292	0.7905681	0.4542799	0.7619834	0.1833373	0.3485028	0.1606104	0.2601816	0.4482501	0.2524320	0.0811561	0.3450497	0.3140398	0.5404233	0.1156303	0.7037453	0.3657138	0.4230775	0.6112238	0.1959423	0.3305969	0.2452760	0.1726462	0.2511354	0.0018366	0.1318227	0.6095918	0.1927796	0.7075458
