YPL089C	YBL037W	YBR182C	YKL185W	YOR140W	YGR044C	YCR097W	YCL067C	YPL248C	YJL056C	YCR040W	YPR199C	YCR096C	YCL066W	YJL110C	YKR034W	YDR421W	YGL254W	YDL170W	YFL021W	YCR018C	YGL035C	YOL089C	YHR006W	YLR013W	YER189W	YGR103W	YBR040W	YNL253W	YDR379CA	YBR182CA	YCL041C	YML132W	YHR193C	YIL174W	YJR161C	YKR105C	MEL1	YDR441C	YBR006W	YLR023C	YMR086CA	YHR081W	YBL111C	YMR014W	YER188CA	YCR104W	YHR156C	YIL002WA	YAL025C
0.6297810	0.0161827	0.7437893	0.0696481	0.1672487	0.1177642	0.3288902	0.7123392	0.4700586	0.5711549	0.0000000	0.7549823	0.6041793	0.3824114	0.2602422	0.4017330	0.6565133	0.8211788	0.6258049	0.2509038	0.1228382	0.6679635	0.8833140	0.6419339	0.7462610	0.3698785	0.3826270	0.1886515	0.8373714	0.6352318	0.4504302	0.2171474	0.3660210	0.7240766	0.4489443	0.5395012	0.0769000	0.3902594	0.6794867	0.1304852	0.7284473	0.4559612	0.6492946	0.3939871	0.0913420	0.2441877	0.6945048	0.3558065	0.1917507	0.0192993
0.7247377	0.0137267	0.6237574	0.0381307	0.1233129	0.1155647	0.2933665	0.7061790	0.5462196	0.7502677	0.0279877	0.0000000	0.8044431	0.4216392	0.2280770	0.4308339	0.8142764	0.7029817	0.7470091	0.1978903	0.1707346	0.6721600	0.6854417	0.5668350	0.7777184	0.1967492	0.3087889	0.6705328	0.8917321	0.5716516	0.3562710	0.2006765	0.3879091	0.5456633	0.5608263	0.7138791	0.0748848	0.3499576	0.5018521	0.1647363	0.6900113	0.0742048	0.7033947	0.4233206	0.0973987	0.2834679	0.6099681	0.3395187	0.1704872	0.0400704
0.7543289	0.0210914	0.7330032	0.1302394	0.1628215	0.0741971	0.3674040	0.6034882	0.4791469	0.7755399	0.1466073	0.8527036	0.0000000	0.5535344	0.2527280	0.4065504	0.7744243	0.6885035	0.7034245	0.2054943	0.1102557	0.6403555	0.6082128	0.7841159	0.7636743	0.3303507	0.3432943	0.2544711	0.6059024	0.6973617	0.4392148	0.2098594	0.4355822	0.7090810	0.5270814	0.5693456	0.0613955	0.3708288	0.5019763	0.1896457	0.6828996	0.4615007	0.6130202	0.3159727	0.1666466	0.3058907	0.6153895	0.4349947	0.1398671	0.0601200
0.7023214	0.0373700	0.6890534	0.0863261	0.1723327	0.0758817	0.2648478	0.6892388	0.5483881	0.6727010	0.0680912	0.6695553	0.5719025	0.0000000	0.2223145	0.4458011	0.7387131	0.7085589	0.6277503	0.1934276	0.1560058	0.7729665	0.6754133	0.7535093	0.6853025	0.3259933	0.3698340	0.2003468	0.7987851	0.5820795	0.4728372	0.1758522	0.3837943	0.6037190	0.5835575	0.5352346	0.0554573	0.4814778	0.3942264	0.1790398	0.6959919	0.3788926	0.7346471	0.3750340	0.1585117	0.2535237	0.8023306	0.3209797	0.2077953	0.0806670
0.8331422	0.0274284	0.7739892	0.0590842	0.3003801	0.4058684	0.2976005	0.3159431	0.5812163	0.6375806	0.4743817	0.7153449	0.3997576	0.5157240	0.0000000	0.7333250	0.6765168	0.5824232	0.9531317	0.3498793	0.4071827	0.7546518	0.6615320	0.7517580	0.7838143	0.3730406	0.3794266	0.2241358	0.6996332	0.6920113	0.3237762	0.2671911	0.4044162	0.6054702	0.5729107	0.5421160	0.0238094	0.3937392	0.6115678	0.1399650	0.1511866	0.3690462	0.6524107	0.5308971	0.1293359	0.3134356	0.6572970	0.4484346	0.2332193	0.5178280
0.7088038	0.0154529	0.7148781	0.0820699	0.2586203	0.4857702	0.2844291	0.3075290	0.3917090	0.6556536	0.5899982	0.7490220	0.3991264	0.6414118	0.0132269	0.0000000	0.6561434	0.6581760	0.6484571	0.0204425	0.4067977	0.7044522	0.8017845	0.6786689	0.6929991	0.3600853	0.3480082	0.2310632	0.7165444	0.5792314	0.4779071	0.1596420	0.4633611	0.6197834	0.4786287	0.5017731	0.0792690	0.3567642	0.4887590	0.6470445	0.7051056	0.4894821	0.6378617	0.3841610	0.1174726	0.2698438	0.6981349	0.3943618	0.2557908	0.0471920
0.7079914	0.0150896	0.6732712	0.0414092	0.1491580	0.0742156	0.2846964	0.7096207	0.5438277	0.6825800	0.0887121	0.6688489	0.6970202	0.1763518	0.2096790	0.3480119	0.0000000	0.7006057	0.6225984	0.3215857	0.1344760	0.6736386	0.6556189	0.5602753	0.7571968	0.3200532	0.3025913	0.2262468	0.6694625	0.0024187	0.5757110	0.1878759	0.3503963	0.6186319	0.5867361	0.5516568	0.0833856	0.3867106	0.4632335	0.1835048	0.6156243	0.4613108	0.6746124	0.3713065	0.1045894	0.3613516	0.6350893	0.3135328	0.5234148	0.1089454
0.7035325	0.0311763	0.6254305	0.0750439	0.1099718	0.1010377	0.2334229	0.6845296	0.4465950	0.7857732	0.0909710	0.6089683	0.7648313	0.5135129	0.2109368	0.3409400	0.6093962	0.0000000	0.7936879	0.2211932	0.1458803	0.7458624	0.6680571	0.7791150	0.6272855	0.2535462	0.4433678	0.2737938	0.7793317	0.6432644	0.5407634	0.6897580	0.3453710	0.5502928	0.5473094	0.5006222	0.0833239	0.3616521	0.5485675	0.1939480	0.5687718	0.4823037	0.7376540	0.4623766	0.0886639	0.2367113	0.7692801	0.4122281	0.3300457	0.0862242
0.7624455	0.0062113	0.8138270	0.0801171	0.1506414	0.1070292	0.2618897	0.8138653	0.6070136	0.5586880	0.0423443	0.6316811	0.6654116	0.3943608	0.2196747	0.3505171	0.6679999	0.8110265	0.0000000	0.2061165	0.1069239	0.7083108	0.6852520	0.6530133	0.6833251	0.3654664	0.3609235	0.2725766	0.7903744	0.6888779	0.4837614	0.1849504	0.3524736	0.6417522	0.5344317	0.5724990	0.0517200	0.3729460	0.4222424	0.7358361	0.7239441	0.4274182	0.6315641	0.3200764	0.1924049	0.2133312	0.6754752	0.0511968	0.2364870	0.0496184
0.5522923	0.0263826	0.6797891	0.0567612	0.1385881	0.1195517	0.2185613	0.5223417	0.4540433	0.8024600	0.1224403	0.6612756	0.6410078	0.5881765	0.3339710	0.3356720	0.6791809	0.6073729	0.8560046	0.0000000	0.1390306	0.6405792	0.6264823	0.6663431	0.5210574	0.2210737	0.3568638	0.2538137	0.7337899	0.6394504	0.4705802	0.2298396	0.4181505	0.4248800	0.5225286	0.6329610	0.0474477	0.4578714	0.4948377	0.1703573	0.7019100	0.3115472	0.7859757	0.3863956	0.1717705	0.2523670	0.6325920	0.3365521	0.1787437	0.0618416
