YCR040W	YCR097W	YPR199C	YCR096C	YHR006W	YOL067C	YMR019W	YGL254W	YDR463W	YJL110C	YCL066W	YOL089C	YOR032C	YKR034W	YKL020C	YBL103C	YDR081C	YGR044C	YBR083W	YJR147W	YGR249W	YOR140W	YDR421W	YMR164C	YGL162W	YPL060CA	YHR156C	YOR265W	YLR302C	YLL055W	YCR108C	YPL215W	YMR135C	YJL198W	YBR167C	YIL012W	YNL038W	YNL105W	YML055W	YCL012W	YBR281C	YGL156W	YLL047W	YML048WA	YGL247W	YHR015W	YEL071W	YOL057W	YJR044C	YOL159C
0.8072199	0.7873649	1.1547584	0.0151129	0.5279900	1.0468364	0.2232658	0.0919659	0.5665962	0.8054841	0.0000000	0.9654866	1.0383602	0.3248671	0.8965461	1.0490017	1.1035577	0.4251073	1.0155797	1.0079915	0.4100206	0.8040469	0.9585361	0.1274125	0.9518293	0.7594211	1.0202413	1.0008108	0.6753733	0.9366198	0.8898466	0.0283343	0.1819927	1.0053198	0.4676412	0.1793085	0.1369715	0.0521223	0.2819249	0.8902291	0.4182960	0.3601292	0.0527806	0.5755451	0.8718565	0.5274441	1.0043460	1.0604289	0.0457917	0.7951654
0.8623219	0.0684755	1.0336042	0.1386461	0.5993385	1.0621864	0.5228431	0.0866427	0.5370578	0.7548120	0.8867772	0.0000000	0.9905688	0.3988186	1.0337193	1.0181360	1.1343870	0.0811772	1.0305182	1.0129737	0.5556097	0.7802079	0.9305490	0.1383921	0.9768215	0.7905406	0.9785109	0.9382712	0.5744306	0.9665121	0.0401016	0.0911871	0.1883187	0.9956919	0.5836290	0.2310897	0.0101585	0.0599610	0.0442696	0.8714297	0.7364425	0.2915827	0.0635671	0.6401783	0.5232446	0.5070197	1.0051980	1.0970632	0.0411647	0.6442254
0.6990573	0.7100220	1.0266841	0.0326590	0.0407493	1.0831736	0.2668426	0.0679855	0.5553466	0.7477167	0.5435509	1.0208136	0.0000000	0.2327886	0.9625218	0.9216997	1.0773173	0.5508093	0.9716348	1.0438153	0.3854002	0.8714238	1.1276997	0.0924549	0.8600327	0.7306297	0.9793530	0.9154856	0.6056548	0.9370420	1.0005641	0.0392231	0.2336873	1.0101639	0.4719253	0.2315522	0.1587568	0.0773937	0.3136911	0.9418784	0.3778479	0.2952145	0.0833093	0.6741139	0.6816766	0.5513127	0.9233016	1.1197961	0.0470748	0.9197360
0.7645832	0.7099880	1.0615585	0.0201994	0.5473948	1.1063948	0.2736266	0.0891619	0.5204481	0.9628541	0.8054134	0.9964214	0.9424146	0.0000000	1.0119335	0.9278545	1.0170849	0.4183419	0.9816951	0.9296233	0.4146774	0.8326014	0.9095847	0.1279962	1.0267099	0.7318843	0.8853901	1.0267709	0.6043222	0.9449864	0.9244628	0.0355730	0.2173508	1.0255106	0.5181102	0.1519297	0.1328238	0.0605752	0.1919666	0.9126994	0.5526734	0.1594359	0.0737605	0.5308249	0.9031357	0.5126702	0.9605705	0.9649988	0.0560831	0.9443005
0.8162811	0.6282827	1.1275086	0.0045835	0.5395968	1.0766028	0.2423080	0.0491237	0.5290064	0.7472474	0.7170213	0.9045150	1.0114649	0.2565228	0.0000000	1.0639369	0.8942193	0.4328337	1.0253548	1.0691864	0.4650207	0.8454440	1.0499907	0.0952864	0.9532695	0.8283039	0.9519758	0.9278633	0.5834630	1.0002540	0.8598007	0.0422347	0.2258635	0.9742566	0.4788443	0.1627272	0.1222657	0.0551305	0.2365559	0.9401388	0.4882283	0.3010300	0.0426779	0.6144291	0.5095614	0.4873107	0.9742888	0.9869959	0.0468497	1.0140034
0.8171062	0.0446252	0.9471538	0.0102073	0.5206700	1.0211777	0.5996407	0.1064183	0.5928728	0.8202234	0.8121374	1.0194540	1.0225026	0.2204951	1.0711418	0.0000000	0.9827429	0.1500099	0.9417667	1.0214119	0.4069407	0.8277195	0.9903323	0.1445504	1.1038198	0.7228202	0.8576343	1.0110560	0.1215663	0.9504616	0.9453460	0.1367826	0.2814205	1.0355599	0.5267760	0.2812858	0.2059984	0.0374794	0.0532290	0.9495955	0.6277165	0.3468351	0.0857025	0.5618265	0.7403272	0.4468199	0.5671626	0.9771639	0.0555490	0.3771738
0.7807000	0.5943569	1.0481109	0.1163950	0.5235364	1.0875304	0.5069014	0.1358280	0.0056475	0.7725071	0.6322723	1.0496155	0.9346531	0.3230916	1.0696460	1.0058134	0.0000000	0.4167760	0.8946142	0.8629015	0.4067619	0.8456388	1.1069251	0.1192155	0.9971917	0.9442395	0.9191760	1.0306676	0.4597767	0.9723744	0.8962521	0.0875923	0.1913093	0.9907842	0.3464049	0.1639540	0.1094190	0.0288032	0.2930993	0.9845491	0.5213919	0.3408129	0.0771593	0.6375227	0.4531017	0.5729534	0.8768913	0.0252467	0.0612667	0.9033073
0.8073010	0.6374530	0.9245703	0.0025110	0.5839855	0.9762772	0.2100702	0.1040632	0.6467865	0.6416905	0.6866488	1.0209730	0.9853719	0.2169639	1.0583438	0.9900402	0.9824532	0.0000000	1.0968145	1.0157917	0.4127865	0.6735300	1.0581810	0.1523857	0.8807418	0.6015566	0.9505975	1.0032621	0.5893115	0.9783574	0.9525626	0.0212012	0.2046972	1.0456530	0.5210025	0.2988099	0.1650293	0.0368763	0.0242938	0.9131591	0.4698623	0.3378602	0.0554787	0.4862101	0.9864986	0.5003405	0.8735796	0.9481575	0.0547574	0.9407959
0.8765770	0.6840061	0.9711914	0.0057507	0.5499193	0.9940600	0.2002415	0.1003933	1.0639366	0.6368628	0.6309098	0.9657880	0.9784704	0.2815623	1.0999936	1.0451413	0.9077681	0.4451880	0.0000000	0.9896412	0.4439324	0.8497349	1.0395433	1.0338519	0.9904048	0.3738848	0.8997156	0.9355216	0.8881120	0.8792927	1.0143571	0.0352501	0.3707687	1.0809021	0.8405875	0.1694628	0.1480478	0.0455269	0.2434010	0.3914425	0.6642274	0.3452045	0.0963333	0.5608040	1.0276228	0.6550516	0.9294213	1.0224162	0.0510203	0.9136170
0.8408015	0.6678357	0.9698078	0.0253693	0.5469029	0.9390885	0.4751342	0.0870655	0.5484656	0.6868258	0.7296661	1.0586540	1.0587188	0.3169806	0.8686813	0.9981686	0.9986017	0.4250879	1.0918679	0.0000000	0.0463238	0.9178325	1.1316456	0.1097143	1.0051098	0.8814511	0.9526984	0.0360819	0.5540812	0.9711135	0.8302416	0.0915176	0.3258051	0.9500605	0.5955721	0.1371425	0.1091421	0.0522250	0.2221694	0.9388171	0.6247567	0.2773559	0.0525496	0.5883696	0.5869962	0.6796860	0.7885732	0.9984245	0.0726327	0.8683632
