YCR040W	YCR097W	YPR199C	YCR096C	YHR006W	YOL067C	YMR019W	YGL254W	YDR463W	YJL110C	YCL066W	YOL089C	YOR032C	YKR034W	YKL020C	YBL103C	YDR081C	YGR044C	YBR083W	YJR147W	YGR249W	YOR140W	YDR421W	YMR164C	YGL162W	YPL060CA	YHR156C	YOR265W	YLR302C	YLL055W	YCR108C	YPL215W	YMR135C	YJL198W	YBR167C	YIL012W	YNL038W	YNL105W	YML055W	YCL012W	YBR281C	YGL156W	YLL047W	YML048WA	YGL247W	YHR015W	YEL071W	YOL057W	YJR044C	YOL159C
0.5059180	0.5360265	0.9116883	0.0089025	0.4058435	0.6558346	0.1741222	0.0596381	0.5082065	0.6524634	0.0000000	0.5791108	0.6725859	0.2334766	0.6754264	0.6771903	0.9227576	0.2668666	0.6869341	0.7216625	0.2587209	0.5566498	0.6700042	0.0688705	0.5952628	0.5278239	0.7500309	0.6518222	0.5332719	0.6704912	0.5996642	0.0202022	0.1109342	0.6379625	0.2994154	0.1194397	0.1597644	0.0438213	0.1595429	0.5759777	0.2852939	0.2603427	0.0455532	0.3101586	0.5649668	0.4357227	0.7892923	0.7173606	0.0247781	0.5844306
0.6492338	0.0748783	0.7678684	0.1114798	0.3703538	0.8503991	0.4219194	0.0814981	0.3332685	0.5091360	0.5992983	0.0000000	0.6840394	0.3000299	0.7098674	0.7041264	0.8757314	0.0474504	0.6482860	0.7111903	0.3461361	0.5494557	0.7119865	0.1515624	0.6489260	0.5445637	0.6444156	0.6125322	0.4174771	0.7278417	0.0120451	0.0468641	0.1582560	0.7077208	0.5239265	0.1616568	0.0048696	0.0606042	0.0311580	0.5541752	0.5889846	0.2053624	0.0669762	0.5365169	0.3320426	0.3441890	0.6609362	0.7665339	0.0399300	0.4958036
0.4901380	0.4583352	0.8105203	0.0253030	0.0204474	0.6665666	0.1750977	0.0430327	0.3532646	0.6312833	0.4524666	0.7205135	0.0000000	0.1301176	0.6255647	0.6690537	0.9136287	0.4040732	0.7596562	0.7608605	0.2921737	0.6637293	0.9446727	0.0701011	0.6006142	0.4841328	0.6263787	0.7310216	0.4540132	0.6488287	0.6503375	0.0347338	0.1241219	0.7678354	0.3609680	0.1786688	0.1435163	0.0473897	0.2222098	0.6675537	0.2819998	0.1949623	0.0752857	0.4559528	0.4179547	0.4144643	0.5864963	0.8205610	0.0369534	0.6623345
0.4904432	0.4441420	0.7089142	0.0334357	0.3264602	0.7980167	0.1992133	0.0325494	0.3722454	0.7142770	0.5786317	0.6786589	0.7934849	0.0000000	0.7170525	0.6521983	0.6263932	0.2853488	0.8090577	0.6325948	0.2316456	0.5764760	0.5734197	0.1064327	0.7920506	0.5340209	0.5166547	0.7612477	0.3820243	0.7146688	0.6223380	0.0413512	0.2091253	0.7033507	0.3691213	0.0999173	0.1270327	0.0336505	0.1708407	0.5958137	0.4480178	0.1056345	0.0382853	0.2996525	0.6069639	0.3630459	0.6314304	0.7381437	0.0405358	0.7443163
0.6243745	0.3866716	0.8047061	0.0018198	0.3198197	0.6838051	0.1343991	0.0333881	0.4153317	0.5456252	0.4289878	0.6916983	0.7280014	0.1535946	0.0000000	0.6473031	0.5668911	0.3241026	0.7053455	0.7754147	0.2865264	0.5649158	0.6609382	0.0550197	0.6549431	0.5976526	0.6304601	0.6661631	0.5526431	0.5841116	0.5687729	0.0273846	0.1518147	0.8055543	0.2994681	0.1131745	0.0961964	0.0465660	0.1861206	0.6736501	0.3614700	0.2570293	0.0148110	0.3457761	0.3584202	0.3192318	0.6928433	0.6856043	0.0456273	0.7222341
0.5862018	0.0244461	0.6475865	0.0026642	0.3553385	0.7006846	0.3820591	0.0481721	0.4305343	0.5372139	0.5331007	0.7115918	0.6554088	0.1649470	0.7897505	0.0000000	0.6357773	0.0947997	0.7095751	0.9207705	0.2488431	0.6149359	0.8180807	0.0880984	0.6956491	0.4895391	0.5545194	0.6963069	0.0921157	0.6084358	0.6481060	0.0647948	0.1844943	0.6735765	0.4083583	0.2059059	0.1623311	0.0223630	0.0289263	0.6046539	0.5060858	0.1824550	0.0925229	0.3737269	0.4832310	0.2338058	0.3301326	0.7553379	0.0448549	0.2660552
0.5217761	0.4005630	0.6338952	0.0753104	0.3681375	0.7278752	0.2896480	0.1200970	0.0014491	0.5808590	0.3698542	0.7873800	0.5458370	0.2029695	0.7845747	0.8435146	0.0000000	0.3504528	0.6657025	0.6282402	0.2617970	0.5382551	0.6833320	0.1030778	0.7487584	0.6447116	0.5743846	0.6861456	0.3557996	0.6156583	0.7195391	0.0561302	0.0865619	0.5904562	0.2211979	0.1811235	0.0994075	0.0171482	0.2011613	0.7328638	0.3519541	0.2841399	0.0266698	0.3858356	0.4007637	0.3602428	0.6619920	0.0141010	0.0516073	0.6216447
0.5181266	0.5569323	0.6099937	0.0008862	0.3535842	0.6481573	0.1398464	0.0948149	0.3888263	0.4075787	0.4040457	0.7078186	0.6050621	0.2280526	0.6769609	0.6851249	0.6309365	0.0000000	0.6985820	0.7216785	0.3117925	0.5460339	0.6774716	0.1033595	0.6946172	0.4176986	0.6048258	0.6484495	0.3817968	0.7490735	0.7328159	0.0267588	0.1011156	0.6365594	0.3141208	0.2553000	0.1050319	0.0320911	0.0276652	0.8114604	0.4102829	0.2030357	0.0261361	0.4714355	0.5901783	0.3437652	0.8185950	0.7195983	0.0355021	0.8330484
0.5677287	0.4596596	0.6534342	0.0052932	0.3504703	0.6455152	0.1398730	0.0502823	0.6752816	0.4629909	0.3819577	0.5951863	0.6918056	0.2129535	0.7729372	0.7265775	0.6099714	0.2394619	0.0000000	0.6599528	0.2732450	0.4869064	0.6895744	0.6890983	0.7109802	0.2298722	0.7687749	0.5629220	0.5838867	0.5086357	0.5870054	0.0232258	0.2767339	0.8436272	0.6122459	0.1101190	0.0990406	0.0297937	0.1491842	0.2411390	0.4510913	0.2470977	0.0363142	0.4386378	0.6491823	0.5916812	0.6553909	0.6646965	0.0610117	0.6115430
0.5203824	0.4639298	0.6912062	0.0260528	0.4283669	0.5881272	0.3366841	0.1014030	0.4086092	0.4865668	0.4996433	0.7996264	0.7962126	0.2445675	0.5609065	0.7000338	0.7050931	0.2708757	0.7474404	0.0000000	0.0298693	0.6416666	0.7940810	0.0707528	0.7161291	0.6215916	0.6028733	0.0219644	0.3646014	0.6891123	0.5057388	0.0584294	0.2314070	0.6285735	0.4229496	0.1041814	0.0806749	0.0750819	0.2200879	0.6794645	0.4834990	0.1931877	0.0382154	0.4814956	0.4238064	0.4710495	0.5614368	0.5592883	0.0512666	0.5923294
