YML076C	YLR256W	YBR112C	YKL020C	YBR083W	YDR463W	YCR096C	YCR040W	YLR013W	YML113W	YCL067C	YDR081C	YLR098C	YPR199C	YDR310C	YMR070W	YJL056C	YOL067C	YHR006W	YDR520C	YPL075W	YOL089C	YPL248C	YML051W	YFL021W	YDR098CB	YLL065W	YLR094C	YDR210WC	YKR003W	YEL035C	YCR018CA	YDR495C	YDR103W	YCL027W	YDR545W	YML126C	YDR099W	YLR082C	YDR493W	YCR041W	YDR277C	YGR220C	YHR156C	YKL178C	YBL113C	YNL073W	YDR048C	YBR020W	YGL169W
0.1973004	0.6981564	0.7363116	0.0736775	0.1005660	0.2018628	0.5475338	0.2313535	0.6009729	0.6511067	0.2155272	0.8794567	0.7027535	0.5913444	0.5686164	0.6886916	0.4882878	0.6501287	0.7205234	0.6429186	0.1237703	0.6000028	0.8002796	0.1176837	0.6781331	0.6207991	0.1516965	0.5421371	0.2589584	0.7014319	0.5993200	0.6997422	0.0333801	0.5412908	0.4262836	0.2385623	0.6515984	0.0006002	0.4514590	0.7329842	0.6674733	0.3348598	0.3078415	0.3477575	0.0270837	0.4573063	0.6867502	0.5582179	0.2910775	0.0020324
0.2016745	0.6741774	0.6012673	0.0987455	0.0033270	0.6247840	0.5604361	0.4338304	0.7543412	0.5501830	0.0727965	0.7470777	0.7787983	0.7204696	0.7036238	0.7223318	0.7238953	0.3394662	0.7217724	0.5070432	0.1775128	0.7117742	0.7689703	0.0762291	0.6492268	0.4984483	0.3246109	0.2917645	0.5551619	0.7101282	0.6640983	0.6500424	0.1593538	0.2737854	0.5105234	0.4479864	0.7036040	0.0160846	0.2859933	0.8596398	0.2799237	0.3088502	0.4214730	0.4833965	0.2545101	0.2032157	0.5780551	0.1932850	0.2603257	0.0021874
0.0981380	0.6939516	0.6066471	0.0613428	0.0920485	0.5762620	0.3820930	0.1455466	0.8506512	0.7428155	0.0793550	0.8530561	0.7073823	0.5145298	0.7471272	0.6913670	0.7066367	0.6570736	0.7373926	0.5125898	0.2752843	0.8625216	0.6857269	0.1490974	0.5050542	0.4329878	0.1187072	0.3160738	0.6310784	0.6918245	0.7048497	0.3524576	0.0104676	0.4051751	0.3883031	0.5075140	0.7489353	0.0003897	0.3212467	0.7437065	0.3195573	0.5547768	0.2230016	0.2527684	0.6956548	0.1335850	0.6055387	0.2170955	0.2324647	0.0433042
0.2292671	0.7707709	0.8858270	0.0626300	0.1215267	0.3237791	0.5969985	0.2214717	0.7397290	0.8723067	0.1027316	0.7680425	0.5030311	0.4689766	0.3720004	0.6921944	0.6394345	0.6507631	0.7713344	0.4298504	0.7177018	0.7263861	0.3807771	0.4863156	0.4507959	0.5350563	0.0692257	0.5660800	0.7320575	0.7177509	0.7250467	0.4877694	0.0110997	0.0392212	0.5068303	0.5062011	0.7364909	0.0008403	0.3796329	0.5455819	0.3510492	0.1410238	0.2572887	0.1647002	0.1078496	0.3009349	0.4861887	0.6839400	0.2243740	0.0874153
0.1607534	0.6976304	0.7026592	0.1280623	0.0761978	0.4313966	0.2677517	0.0733125	0.6608663	0.7341696	0.3798078	0.6232320	0.7095061	0.5860963	0.7173770	0.8383844	0.7839163	0.3885385	0.3103655	0.6774422	0.0624943	0.4618291	0.4163647	0.2929720	0.6513420	0.6251410	0.0751193	0.4912120	0.2584617	0.7423527	0.8576588	0.2688654	0.1850130	0.2602811	0.5121460	0.3767287	0.6540519	0.0000822	0.1520915	0.5377949	0.5122604	0.2799051	0.4131124	0.1466785	0.4474301	0.2456156	0.4752001	0.3932744	0.3678181	0.0554078
0.1987235	0.7671602	0.6948377	0.1085763	0.0033226	0.1082893	0.3520321	0.4599297	0.7851084	0.6008035	0.1358604	0.3982071	0.6665553	0.6697519	0.7253189	0.8466356	0.5349584	0.5816238	0.6408910	0.4144799	0.2174358	0.3716407	0.6578964	0.2039518	0.5629844	0.6617014	0.0949624	0.7222043	0.5704256	0.6998148	0.6552187	0.7031364	0.0035107	0.0164149	0.7313192	0.7243367	0.6706983	0.0000049	0.3226814	0.6169360	0.4406252	0.3202976	0.2018094	0.3652917	0.4960382	0.6054967	0.5443536	0.6208202	0.6539955	0.0029866
0.1752901	0.6065888	0.7098348	0.0892914	0.0009381	0.2687678	0.4228407	0.1097814	0.7563085	0.7673536	0.0409634	0.5555198	0.6699195	0.7282811	0.5555627	0.7744254	0.6250904	0.7009210	0.6376725	0.5651781	0.1984745	0.7719004	0.7349875	0.0786138	0.3515002	0.6853694	0.0004681	0.5574245	0.6076729	0.6322731	0.6463899	0.5424477	0.1050504	0.5074949	0.4526233	0.2604467	0.6318494	0.0000304	0.4543261	0.6643531	0.1586581	0.3518465	0.3742746	0.2968012	0.1571919	0.4446080	0.6685590	0.6512219	0.2920957	0.0754833
0.1904643	0.6180956	0.5619131	0.0954976	0.0053018	0.4020137	0.1265612	0.2753984	0.7587255	0.7284124	0.0595532	0.5217533	0.7356277	0.7877713	0.7465733	0.7718846	0.6988018	0.7882519	0.6708855	0.6391018	0.2213234	0.7577164	0.7694345	0.2297366	0.7998227	0.7251475	0.1540883	0.4956232	0.6326928	0.6645283	0.6590069	0.5573527	0.2622319	0.2549551	0.4167412	0.2580817	0.7391879	0.0000601	0.0301509	0.7680090	0.6332751	0.4030521	0.2787414	0.3016983	0.4597966	0.6699365	0.7309948	0.5094874	0.6854619	0.0076222
0.2569197	0.6879372	0.6130821	0.1822529	0.0033598	0.2497309	0.0631197	0.3977341	0.7185582	0.6317363	0.0616155	0.5508034	0.6430396	0.8954168	0.6348466	0.8262636	0.6406076	0.7493442	0.4292346	0.6571733	0.2062363	0.6208266	0.6882628	0.1779299	0.7053976	0.7697411	0.0022829	0.3031106	0.8197500	0.8239289	0.8175185	0.3479373	0.1752648	0.4383140	0.3958429	0.3769698	0.5912144	0.0480249	0.3348389	0.7457091	0.4346119	0.4558532	0.5313566	0.3371101	0.3876995	0.4785513	0.7247977	0.5779605	0.2615181	0.0045492
0.2011655	0.6863991	0.5957598	0.1754482	0.1161177	0.4958923	0.1853134	0.1366948	0.6052599	0.6980809	0.0335101	0.7906027	0.7284619	0.6987825	0.5684929	0.5569168	0.7126170	0.1741945	0.7092887	0.4634636	0.1955128	0.4774745	0.3705688	0.4539975	0.4914652	0.5842492	0.0662356	0.4816199	0.6094642	0.6373929	0.6737925	0.6022766	0.0615779	0.2473496	0.7523653	0.1278169	0.8687823	0.0302684	0.3368373	0.4971780	0.3252579	0.1191947	0.3448172	0.4365170	0.4445267	0.2450775	0.5386273	0.5230228	0.2296901	0.0172388
