YML076C	YLR256W	YBR112C	YKL020C	YBR083W	YDR463W	YCR096C	YCR040W	YLR013W	YML113W	YCL067C	YDR081C	YLR098C	YPR199C	YDR310C	YMR070W	YJL056C	YOL067C	YHR006W	YDR520C	YPL075W	YOL089C	YPL248C	YML051W	YFL021W	YDR098CB	YLL065W	YLR094C	YDR210WC	YKR003W	YEL035C	YCR018CA	YDR495C	YDR103W	YCL027W	YDR545W	YML126C	YDR099W	YLR082C	YDR493W	YCR041W	YDR277C	YGR220C	YHR156C	YKL178C	YBL113C	YNL073W	YDR048C	YBR020W	YGL169W
0.2688178	0.9130950	1.0000000	0.1791427	0.1207913	0.3368636	0.6190851	0.3098340	0.8563660	0.9411933	0.3760038	0.9237605	1.0000000	0.7608647	0.8900834	0.9989320	0.6958171	0.9750585	0.9959686	0.8718245	0.0939395	1.0000000	1.0000000	0.1386696	1.0000000	0.9381218	0.1534296	0.8260137	0.4152957	0.9854392	0.9105264	0.8889815	0.0716558	0.7683521	0.6355140	0.3263813	0.8957531	0.0000013	0.6196778	0.9872491	0.8394829	0.5080507	0.4254664	0.4268015	0.0356736	0.5278688	0.9226288	0.9760345	0.3856432	0.0090938
0.1903224	0.9013684	0.7894065	0.1854319	0.0045443	0.7002093	0.8458674	0.6131045	1.0000000	0.8811603	0.0620301	1.0000000	1.0000000	1.0000000	0.8900834	0.9874846	1.0000000	0.4220828	1.0000000	0.8524060	0.3128356	0.8943106	1.0000000	0.1083866	1.0000000	0.7838015	0.4244973	0.5100460	0.7220454	0.9429516	0.9521847	0.8113259	0.1074621	0.4113448	0.6321432	0.6513169	0.8942515	0.0282683	0.4884809	0.9779281	0.3930600	0.4912023	0.4434236	0.8037665	0.3275341	0.3374597	0.8910913	0.3306589	0.3233783	0.0028773
0.1866320	0.9871545	1.0000000	0.1322723	0.1199125	0.7625609	0.4019071	0.1381687	1.0000000	1.0000000	0.0785545	1.0000000	1.0000000	0.9581931	0.8900833	0.9991261	0.9942196	1.0000000	0.9248243	0.7537880	0.3128359	1.0000000	1.0000000	0.1966421	0.7535034	0.7139582	0.1521553	0.4509504	0.8722200	0.9754578	0.9337792	0.5036016	0.0333573	0.3909209	0.6355679	0.7039228	0.9181461	0.0000011	0.4115564	0.9864982	0.4658271	0.6896266	0.3809632	0.3642836	0.7998120	0.1890695	0.8910913	0.3751329	0.3272699	0.0610651
0.2568642	0.9307866	1.0000000	0.1218524	0.1205571	0.3833057	0.6947847	0.2930816	1.0000000	1.0000000	0.1398328	1.0000000	0.4989560	0.6636116	0.4146014	0.9510451	0.8710029	1.0000000	1.0000000	0.5484698	0.8083308	1.0000000	0.5217291	0.6529857	0.5817147	0.8017456	0.0540479	0.7842932	0.9313226	0.9781421	0.9133689	0.7425236	0.0171482	0.0385071	0.6200204	0.6277197	0.9735964	0.0000012	0.3815549	0.6201188	0.4261095	0.1050464	0.4057468	0.2308929	0.2281714	0.4248770	0.4800867	0.8334567	0.4277674	0.1280477
0.1897105	0.9800135	0.8993082	0.1254377	0.1199865	0.5376016	0.4344878	0.1486002	1.0000000	1.0000000	0.5628451	0.7501906	1.0000000	0.8552941	0.9119447	0.9991264	1.0000000	0.5203773	0.5961843	0.8469506	0.0883947	0.5762073	0.6208404	0.3741579	0.8944121	0.8525290	0.0785855	0.6441857	0.2810014	0.9848518	0.9205600	0.3943584	0.2657128	0.2907229	0.6355681	0.5861201	0.9027791	0.0000066	0.2332544	0.7418692	0.7898631	0.5134611	0.4697626	0.2096673	0.5267458	0.3879838	0.6476887	0.5830603	0.3724080	0.0505916
0.2240294	0.9844642	1.0000000	0.1206569	0.0027632	0.1218866	0.4702775	0.5140783	0.9420513	0.8058419	0.1618619	0.6058640	1.0000000	1.0000000	0.8900834	0.9992325	0.7406866	0.8398428	0.8097274	0.6431707	0.3128356	0.5639688	0.9368873	0.2304285	0.7950669	0.8735632	0.2041180	0.9749544	0.8446353	0.9841355	0.9211622	0.9809475	0.0302442	0.0140461	0.9473561	0.7315572	0.9031675	0.0000078	0.3413873	0.9686382	0.6046532	0.4409675	0.3443818	0.3971954	0.6998697	0.6879415	0.8753741	0.9005718	0.7549574	0.0028796
0.2688244	0.9130948	1.0000000	0.1339977	0.0035826	0.3834798	0.4841549	0.1496746	1.0000000	0.9638553	0.0652382	0.7165539	1.0000000	1.0000000	0.8900833	0.9990642	0.7599322	1.0000000	0.8456532	0.6353888	0.3128359	1.0000000	0.9495018	0.1497359	0.5558731	0.9434942	0.0011236	0.7841343	0.7220462	0.9434343	0.9105253	0.8172424	0.1335214	0.7190219	0.6355272	0.4388875	0.9626694	0.0000010	0.7164904	0.9724772	0.2179934	0.5409746	0.4602228	0.3913925	0.3172419	0.6204168	0.9472073	0.8879113	0.3224812	0.0500741
0.2294500	0.9750005	0.7658793	0.1501409	0.0025758	0.4641410	0.1552413	0.4450193	1.0000000	1.0000000	0.0982039	0.7076836	0.9729709	1.0000000	0.9114136	0.9993576	1.0000000	1.0000000	0.8845783	0.8351558	0.2894433	1.0000000	0.9101761	0.2471038	1.0000000	0.9529961	0.1728461	0.7101439	0.8143866	0.9434464	0.9198743	0.8909449	0.3756791	0.2391176	0.6356103	0.3968791	0.9543377	0.0000012	0.0961495	0.9665853	0.8177251	0.4964456	0.3545843	0.3966890	0.6117984	0.7788149	0.8670882	0.7294886	0.9938801	0.0049234
0.2710659	0.9098712	0.9249302	0.1777703	0.0034418	0.3497230	0.1087581	0.5328410	1.0000000	0.8911978	0.0865348	0.8517972	0.9393163	1.0000000	0.8751002	0.9991136	0.8911551	1.0000000	0.7470892	0.8084617	0.3190032	0.9439324	1.0000000	0.1966421	1.0000000	0.9644074	0.0011102	0.3715000	0.8294431	0.9847539	0.9665706	0.5981795	0.1779883	0.5567360	0.6355413	0.5643430	0.8953490	0.0274241	0.4785894	0.9844539	0.6142895	0.6095542	0.5178769	0.4079510	0.5416560	0.7330886	0.8910913	0.8420674	0.3272700	0.0047916
0.2526711	0.9371993	0.9352657	0.1670485	0.1204763	0.5687349	0.2809038	0.2446999	0.6998975	0.9180750	0.0484609	1.0000000	1.0000000	0.8624242	0.8970739	0.9510675	1.0000000	0.3027666	0.9865118	0.6005968	0.2068822	0.6554540	0.6007798	0.4375712	0.6958100	0.8402634	0.0932883	0.6172353	0.5909957	0.9797475	0.9580170	0.8318045	0.0444798	0.2944313	0.9516247	0.3097489	0.9829802	0.0397960	0.4703932	0.7033594	0.4502676	0.1578186	0.3993774	0.5628527	0.5583676	0.3724048	0.7012796	0.6765370	0.3206304	0.0147822
