YML076C	YLR256W	YBR112C	YKL020C	YBR083W	YDR463W	YCR096C	YCR040W	YLR013W	YML113W	YCL067C	YDR081C	YLR098C	YPR199C	YDR310C	YMR070W	YJL056C	YOL067C	YHR006W	YDR520C	YPL075W	YOL089C	YPL248C	YML051W	YFL021W	YDR098CB	YLL065W	YLR094C	YDR210WC	YKR003W	YEL035C	YCR018CA	YDR495C	YDR103W	YCL027W	YDR545W	YML126C	YDR099W	YLR082C	YDR493W	YCR041W	YDR277C	YGR220C	YHR156C	YKL178C	YBL113C	YNL073W	YDR048C	YBR020W	YGL169W
0.2685844	1.0416132	1.0333145	0.1096540	0.1294709	0.4893001	0.5364732	0.3484297	0.9742691	1.0199939	0.0547601	1.0309089	1.0107233	0.9777573	0.9132524	1.0782876	1.0346747	0.9810993	0.9507380	0.8944792	0.2695508	1.0074547	0.9598105	0.2215952	0.9874557	0.8215451	0.2001238	0.6980316	0.7598388	0.9384798	0.9630791	0.7875204	0.0650307	0.6051469	0.6362965	0.6588708	0.9952054	0.0509113	0.4693286	0.9036295	0.4481891	0.5103189	0.4251579	0.4396693	0.5711834	0.5359597	0.9187603	0.7976518	0.4131722	0.0089080
0.1943566	1.0493768	1.0071540	0.1059919	0.1226909	0.0877722	0.6276805	0.3832651	0.9688555	1.0306576	0.1178965	0.5693319	1.0164895	1.0024381	0.8194539	1.0082124	1.0571552	1.0589970	1.0220423	0.9196388	0.3566357	1.1472664	1.0762064	0.2360437	0.9676280	1.0115698	0.1736257	1.0398556	0.8158957	0.9756873	0.9569132	0.9365360	0.0364035	0.2871454	0.7142492	0.6749013	1.0295689	0.0391751	0.4435333	1.0159722	0.4595208	0.5985002	0.3159314	0.4943869	0.4339996	0.5622601	1.0342933	0.9329842	0.4011831	0.0133852
0.2592982	1.0053515	0.9796686	0.1396312	0.1254618	0.4571071	0.5153216	0.3624821	0.9208461	0.9997941	0.2331551	1.1084205	0.5646781	1.0190659	0.2271918	1.1114603	0.9937104	0.9731647	1.0010735	0.8298756	0.9633683	1.0256695	0.9792980	0.1835257	1.0015572	0.9321769	0.2430742	0.8288653	0.9373108	1.0019867	0.8629107	0.7729228	0.0559666	0.3386008	0.5931220	0.5292050	0.9724512	0.0503913	0.0713475	1.0552332	0.2914704	0.5723046	0.3795924	0.4276321	0.4924362	0.5836904	0.9972241	0.8670456	0.4156460	0.4916009
0.1534462	1.0101795	1.0128017	0.1409758	0.0965759	0.4251176	0.6754101	0.3741911	1.0534172	0.9534677	0.1259536	1.0416194	1.0325928	0.4805085	0.7795967	1.0319393	0.9624929	0.9586979	1.0684405	0.8766771	0.3898362	1.0412947	1.0969090	0.2149463	0.9536606	0.8972446	0.1867266	0.7801761	0.7873933	0.9900984	1.0136225	0.7815019	0.0998493	0.4002646	0.6929479	0.6225530	0.9344344	0.0405943	0.6613514	1.0541145	0.5241297	0.5941376	0.2819589	0.5027298	0.3832226	0.5767196	1.0172470	0.8949481	0.4013833	0.0150973
0.2272836	0.9524356	1.0522712	0.1470197	0.1388664	0.3971768	0.6192773	0.3459767	1.0851492	1.0661485	0.1263781	1.0526992	0.9914219	1.0145343	0.4921139	0.9919934	1.0344465	1.0735097	1.0017766	0.8179665	0.7880041	1.0383446	1.1091391	0.1724263	0.9405468	0.8906005	0.2473958	0.7835461	0.9334074	0.9476947	0.9508339	0.7667298	0.0710911	0.3636606	0.5713154	0.5974837	1.0469429	0.0380354	0.2770949	1.0838779	0.4565993	0.6672160	0.5077420	0.3783822	0.4692256	0.5363335	0.9462920	0.8665077	0.3981381	0.0893542
0.2174732	0.9126790	0.9241659	0.1537693	0.1422707	0.4112185	0.5227460	0.3791808	1.0450196	0.9648554	0.0745907	1.0119911	1.0067051	0.9767681	0.8636307	0.5053887	1.0365518	1.0650599	0.8933939	0.8438876	0.3336643	0.9698553	1.0515945	0.2000441	0.9841590	0.9100412	0.1635625	0.8609388	0.8361738	0.9569427	0.9330010	0.8413333	0.0717116	0.3524718	0.2096153	0.6084322	1.0347452	0.0435742	0.3817691	0.9131138	0.4629010	0.5502467	0.3653184	0.3925926	0.4213754	0.5961134	0.9723505	0.9094745	0.3819267	0.0056469
0.2733453	0.8892165	1.0443028	0.2055162	0.1359903	0.4202879	0.5602538	0.4956017	1.0747720	1.0097191	0.0994942	1.0648629	0.9388561	1.0155017	0.9110053	1.0716239	0.5782250	1.0157113	1.0039049	0.9002739	0.2891756	1.0038835	1.0264245	0.1858061	0.9625516	0.9744443	0.1694577	0.8674038	0.7356612	1.0062312	0.8607915	0.7978302	0.1201404	0.3394119	0.6859841	0.6052799	0.9943009	0.0358572	0.4192212	1.0357231	0.7019640	0.6579327	0.3698534	0.5095053	0.6076585	0.6190553	0.9495325	0.8435784	0.4167770	0.0053696
0.2036929	0.9611307	1.0075622	0.2150927	0.1146409	0.4737592	0.6033374	0.3424466	1.1050148	1.0463226	0.0934902	1.0170898	0.9357786	0.9643016	0.8807813	1.0055344	0.9576604	0.4159406	1.0060633	0.8998398	0.3472177	0.9591673	0.9880745	0.1673036	0.9348330	0.8385359	0.1874601	0.7527843	0.7512975	0.9875327	1.0132667	0.7591410	0.0740389	0.4131230	0.6788575	0.6455516	0.9131948	0.0609343	0.3867902	1.0115787	0.5715432	0.5540718	0.4226548	0.7450878	0.4261603	0.6003586	0.9275669	0.8561531	0.4208331	0.0123589
0.3037465	1.0400498	1.0720985	0.1966137	0.1362493	0.3328337	0.5631529	0.4189139	1.0183447	1.0888040	0.1069307	1.0654625	0.9949739	1.0200664	0.8631648	1.0652536	0.9665653	0.9366830	0.4863874	0.9157625	0.4281642	1.0066722	0.9960410	0.2123444	1.0290849	0.9067142	0.1925996	0.8037310	0.7520661	1.0781241	0.9859201	0.7771286	0.0717060	0.2209142	0.6447599	0.5543481	0.9977154	0.0379221	0.4157635	0.9740740	0.3513587	0.6041333	0.4260729	0.3668901	0.4856584	0.5040515	0.9771188	0.9043503	0.3548537	0.0050073
0.1924719	1.0070341	0.9680102	0.1292470	0.1495425	0.4063059	0.5151230	0.3765093	1.0556380	1.1393575	0.1313614	0.9550174	1.0045396	1.0218272	0.8537760	1.0171170	0.9547359	1.0334601	1.0999001	0.3678974	0.3109057	1.0752052	1.0369379	0.2302073	1.0081124	0.9286076	0.1677593	0.7513275	0.7820338	0.9904503	1.0212859	0.8697949	0.0384662	0.3410814	0.7444435	0.7198999	0.9387212	0.0443888	0.3773209	0.9550505	0.5531190	0.5361783	0.4410227	0.3758703	0.5025029	0.5734722	0.8667937	0.8822842	0.3773876	0.0115400
0.2610360	1.0543770	1.0305126	0.2253016	0.1155059	0.4370224	0.5412922	0.3655536	1.1198364	1.0028206	0.1380785	1.0186706	0.9864350	1.0138827	0.8257626	0.9433959	0.9805044	0.9673641	1.0379791	0.8909228	0.1765163	1.0478653	1.0434716	0.1723688	1.0398807	0.8387815	0.1408964	0.7404412	0.6287277	0.9058966	0.9740568	0.7897387	0.1079790	0.3514917	0.6814250	0.5622163	0.9769377	0.0371260	0.3496302	1.0079632	0.5170661	0.6942721	0.4277555	0.4493812	0.5050526	0.6065966	0.9649156	0.7893352	0.4031229	0.0030106
0.2554881	0.9567731	0.9964931	0.1974445	0.1179650	0.3947555	0.5938424	0.3797571	1.0340249	1.0135025	0.1148480	1.0291014	0.8941634	1.0419795	0.9820912	0.9621628	0.9467033	0.9868474	0.9890137	0.8482070	0.2807774	0.4769814	0.9839131	0.1628772	1.0260809	0.6594229	0.3099213	0.7903336	0.8043167	1.0230563	0.8440189	0.8937826	0.0539312	0.3668291	0.6076655	0.5894082	1.0593962	0.0370911	0.4054473	1.0074813	0.5976536	0.6636564	0.3446253	0.3685463	0.5197325	0.5717113	0.9840716	0.8445547	0.4048088	0.0087960
0.2200861	0.9871032	1.0575633	0.1731502	0.1303212	0.3786764	0.5558545	0.3003264	1.0343935	1.0405583	0.1086347	1.0063758	1.0279900	1.0524151	0.9272871	1.0549117	1.0256532	0.9734819	1.0632312	0.8978987	0.3069287	1.0535494	0.4511423	0.6997263	1.1010005	0.9713321	0.0956303	0.7772257	0.7835543	0.9604782	0.9436246	0.8557734	0.0417734	0.3221565	0.6601448	0.5270280	0.9447826	0.0354421	0.3637062	0.5311587	0.4777550	0.1861658	0.2977165	0.4701426	0.4948898	0.3511580	0.5672396	0.8960947	0.4676043	0.0178541
0.2672389	1.0037938	0.9382728	0.1381647	0.1429992	0.3987488	0.5382578	0.3521558	1.0526787	0.9767243	0.1170310	1.0638930	1.0361551	1.0138007	0.8563025	1.0149489	0.9746553	1.0207824	0.9745753	0.9243242	0.2887849	1.0018688	0.9929578	0.1069623	0.9987928	0.8729879	0.1249612	0.8705462	0.7527996	0.9835039	0.8596491	0.8128994	0.0611601	0.3697703	0.5901376	0.6901384	0.9612238	0.0595309	0.3666214	1.0220961	0.5335563	0.6043428	0.3980694	0.3692618	0.4033753	0.4981607	0.9582286	0.9591956	0.4081103	0.0029596
0.2186267	1.0307939	1.0523817	0.1644195	0.1336469	0.3798443	0.5273009	0.3769782	0.9966753	1.0131708	0.1244252	1.0218357	1.0844685	1.0403595	0.8601899	0.9573722	1.0633932	0.9789731	1.0250804	0.3780237	0.3537489	0.9960414	1.0491329	0.1964411	0.4201523	0.8611831	0.1364723	0.8836956	0.8562822	1.0255917	0.9306079	0.7950018	0.0220357	0.3410465	0.7011375	0.6506228	0.9115312	0.0375785	0.4992075	1.0332191	0.4320876	0.5882809	0.3684118	0.4937829	0.5627593	0.5493186	0.9230179	0.9192256	0.4377243	0.0098278
