YML076C	YLR256W	YBR112C	YKL020C	YBR083W	YDR463W	YCR096C	YCR040W	YLR013W	YML113W	YCL067C	YDR081C	YLR098C	YPR199C	YDR310C	YMR070W	YJL056C	YOL067C	YHR006W	YDR520C	YPL075W	YOL089C	YPL248C	YML051W	YFL021W	YDR098CB	YLL065W	YLR094C	YDR210WC	YKR003W	YEL035C	YCR018CA	YDR495C	YDR103W	YCL027W	YDR545W	YML126C	YDR099W	YLR082C	YDR493W	YCR041W	YDR277C	YGR220C	YHR156C	YKL178C	YBL113C	YNL073W	YDR048C	YBR020W	YGL169W
0.0920001	0.7366731	0.6853194	0.1283838	0.1104610	0.3760362	0.4213431	0.2190708	0.7473171	0.7982185	0.0790661	0.7699209	0.7038042	0.7197854	0.6062796	0.6234214	0.8112724	0.7034151	0.7696993	0.5784205	0.3086022	0.7763447	0.7785038	0.1447260	0.8429185	0.6595441	0.1571172	0.5757364	0.5519250	0.6631065	0.6101450	0.6810549	0.0342740	0.3571174	0.3680921	0.5109821	0.5502057	0.0295287	0.3438896	0.7805522	0.3444072	0.3881061	0.1155676	0.2973276	0.4914525	0.3767370	0.6329255	0.4794481	0.3749563	0.0441252
0.4769379	0.4260999	0.6293097	0.4860992	0.1326906	0.3371961	0.3780373	0.3372082	0.7109943	0.7120128	0.0734461	0.7719714	0.7490476	0.6372538	0.5994781	0.7156985	0.7600638	0.7283160	0.7045047	0.7410517	0.2436139	0.6947423	0.7806028	0.1394137	0.7322965	0.5623507	0.1713293	0.6790348	0.6471236	0.7684949	0.6213923	0.3758184	0.3155660	0.2038567	0.4284248	0.1863346	0.6480751	0.0165589	0.2648793	0.8869220	0.2988139	0.5223748	0.5712437	0.2506166	0.3493606	0.4015131	0.7008965	0.5085516	0.3315501	0.0094525
0.2310321	0.6055457	0.4480469	0.2009666	0.0834603	0.2447987	0.3372690	0.2571167	0.7221313	0.6756047	0.0455342	0.6304056	0.7039534	0.6343649	0.5999528	0.6993211	0.6672681	0.7329991	0.6172366	0.5812333	0.1945189	0.7287707	0.6139198	0.1368854	0.6610988	0.6403599	0.1050977	0.5627778	0.5105072	0.7114009	0.6088778	0.6119556	0.0860713	0.2102967	0.5686198	0.4149295	0.5808988	0.0381401	0.2909448	0.6902685	0.2787998	0.4733412	0.4224512	0.3810446	0.4670496	0.4072553	0.8030215	0.6649122	0.3090792	0.0083573
0.1450774	0.7503970	0.7205337	0.0542735	0.0779664	0.2508477	0.3624984	0.2645560	0.7976538	0.6418138	0.0720032	0.6753985	0.7995599	0.9120332	0.5158836	0.7239636	0.7632145	0.7651861	0.6940270	0.5730118	0.2041444	0.6772437	0.6208943	0.2145584	0.7568591	0.6128967	0.1461327	0.5340096	0.6370156	0.7417501	0.7015436	0.5675758	0.0077312	0.1950605	0.5033204	0.4667961	0.8258605	0.0274305	0.2654844	0.8062440	0.4477458	0.4269586	0.2319862	0.2436772	0.3117102	0.3823959	0.6037670	0.6718071	0.3387487	0.0110405
0.2586023	0.7703650	0.7083288	0.1647303	0.0341822	0.2823840	0.3155167	0.3159107	0.8719459	0.7385836	0.0751480	0.7116210	0.6454427	0.6918862	0.5736762	0.8512192	0.7925665	0.6914523	0.7827646	0.6232451	0.3040841	0.7645875	0.7671247	0.1359022	0.8904873	0.5911881	0.0324558	0.5859814	0.5146556	0.6622658	0.5826345	0.5757255	0.0657705	0.2206990	0.5150994	0.3895367	0.7601106	0.0228328	0.2868155	0.6170045	0.2683685	0.3867928	0.4600738	0.2490454	0.3408365	0.3416828	0.7786037	0.5745325	0.2671813	0.0053605
0.1857753	0.5922427	0.7840012	0.1067311	0.0889338	0.1368164	0.4471388	0.2714494	0.8609099	0.5758165	0.0927025	0.8193121	0.7379152	0.7115453	0.6621293	0.7529852	0.7389869	0.8173685	0.6908980	0.5783683	0.2455329	0.7511091	0.7704881	0.1196388	0.8185237	0.8064614	0.1393836	0.6989407	0.4612311	0.7125465	0.6757002	0.7766760	0.0453804	0.2128258	0.6209586	0.5260016	0.8882468	0.0476424	0.3020179	0.6852074	0.3541618	0.4683997	0.3366107	0.3007412	0.4385425	0.3895655	0.6196786	0.6266386	0.2666725	0.0059472
0.1989946	0.7391157	0.8667713	0.0553745	0.0544721	0.3057793	0.1507058	0.3166265	0.6425826	0.6231922	0.0761376	0.7510523	0.6360178	0.8814577	0.6649206	0.7730264	0.7128794	0.6455295	0.7733253	0.6307832	0.2332945	0.9326130	0.7022394	0.1070937	0.8098354	0.6295269	0.1923441	0.5359210	0.4985486	0.7729328	0.7555693	0.5454294	0.0349851	0.2518091	0.3984192	0.4567015	0.6621440	0.0483184	0.2544140	0.7006724	0.3598211	0.4844809	0.2929686	0.3913700	0.7120458	0.3873923	0.7028659	0.4788700	0.2447976	0.0059671
0.1847771	0.6598632	0.5410073	0.1616077	0.1286898	0.3109647	0.3068518	0.1746984	0.6461074	0.8181643	0.0858257	0.9059990	0.5991487	0.8800695	0.5664740	0.7752377	0.7661249	0.6365793	0.7644450	0.4817600	0.3861657	0.6681148	0.7817687	0.1927268	0.7373236	0.6481721	0.1250155	0.5440860	0.5904560	0.6213230	0.7943256	0.5551238	0.0587375	0.4034922	0.5110857	0.4675973	0.6907463	0.0424959	0.3120621	0.6529512	0.3323334	0.5028850	0.2325290	0.3026489	0.1710299	0.4085820	0.7294908	0.7215333	0.3344119	0.0189093
0.1505631	0.7224840	0.6884018	0.1422206	0.1235254	0.3120565	0.3834038	0.3195511	0.3395645	0.7927770	0.0742869	0.8124038	0.8383073	0.7090320	0.7147675	0.7121912	0.7882706	0.6975291	0.7543854	0.7876227	0.1777927	0.7362425	0.7198482	0.1286890	0.6930717	0.6809301	0.1485988	0.6182110	0.5828229	0.7240557	0.6519069	0.6044850	0.0580540	0.2928709	0.4549832	0.4972201	0.6200363	0.0420500	0.2951838	0.7614301	0.5050574	0.4863776	0.2858613	0.3623346	0.3876251	0.5486561	0.7352018	0.6146252	0.3531022	0.0171635
0.2135873	0.7359044	0.7992123	0.1323023	0.1581196	0.2271096	0.3459445	0.3246978	0.6981310	0.3612636	0.1131930	0.8118064	0.8017966	0.7609412	0.6032073	0.6671853	0.6153375	0.7292192	0.8066140	0.4180239	0.2049528	0.8145934	0.7966751	0.1450168	0.7111580	0.5793976	0.1559371	0.6936758	0.4608734	0.8758464	0.8052236	0.5386639	0.0591208	0.2552371	0.4482622	0.5179659	0.7029477	0.0276728	0.2925339	0.6947930	0.3882225	0.3898284	0.3984093	0.3117073	0.4225153	0.5116395	0.7305279	0.6029324	0.3401209	0.0052012
